id,sentence_id,head_id,row_loc,verb,verb_compound,feats,pos,lemma,form,status,ekilex_tag,ner_tag,timex_tag,morph_case,tags,sentence
129,54,84,3,loobuma,,"ad,com,sg",S,aeg,ajal,,,,DATE,ad,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,Olen viimasel ajal juhutöödest loobunud ja kirjutan kindlatele bändidele .
130,54,84,4,loobuma,,"com,el,pl",S,juhutöö,juhutöödest,,,,,el,,Olen viimasel ajal juhutöödest loobunud ja kirjutan kindlatele bändidele .
131,54,85,9,kirjutama,,"all,com,pl",S,bänd,bändidele,,alive,,,all,|A|AE|AL|AS|AT|AET|ALT|AST|,Olen viimasel ajal juhutöödest loobunud ja kirjutan kindlatele bändidele .
132,55,86,7,tulema,,"ad,pl",P,tema,neil,,,,,ad,,"Praegu põhiliselt Vanilla Ninjale , sest neil tuleb mais ilmuva plaadi jaoks materjal kokku panna ."
138,59,92,6,tekkima,,"ad,sg",P,mina,mul,,,,,ad,,Ükskord ööklubist koju tulles tekkis mul enda arvates hea lauluidee .
142,60,93,3,toksima,sisse,"ad,com,sg",S,pill,pillil,,,,,ad,,"Toksisin pala pillil sisse , aga hommikul kuulates ei kõlvanud see kuhugi ."
148,63,96,5,saama,,"com,el,pl",S,inimene,inimestest,,alive,,,el,|A|AE|AL|AS|AT|AET|ALT|AST|,"Ma ei saa aru inimestest , kes üldse napsu ei võta , nagu ka neist , kes hommikust õhtuni joovad ."
153,63,97,15,võtma,,"el,pl",P,see,neist,,,,,el,,"Ma ei saa aru inimestest , kes üldse napsu ei võta , nagu ka neist , kes hommikust õhtuni joovad ."
155,63,98,18,jooma,,"com,el,sg",S,hommik,hommikust,,,,TIME,el,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Ma ei saa aru inimestest , kes üldse napsu ei võta , nagu ka neist , kes hommikust õhtuni joovad ."
170,68,109,13,tahtma,,"com,el,sg",S,pidu,peost,,event,,,el,|E|AE|EL|ET|AET|ELT|,"Narkootikumidest ja vahel ka napsust on kerge ära öelda , aga kihvtist peost , heast filmist või toredast sündmusest ei tahaks küll ilma jääda ."
183,75,121,17,minema,ära,"com,el,sg",S,käsi,käest,,,,,el,,"Kindlasti saabub ka stabiilsem periood , kuid kui praegu peaks naisterahvaga kantseldama , siis läheks asi käest ära ."
188,81,131,8,tiirutama,,"ad,com,pl",S,tuur,tuuridel,,,,,ad,,Saime tuhandeid kirju ja meie ümber tiirutasid tuuridel fännitarid .
196,83,135,5,tulema,,"all,com,sg",S,kontsert,kontserdile,,event,,,all,|E|AE|EL|ET|AET|ELT|,"Inimest , kes tuleb kontserdile , näeb sind esimest korda ja ütleb , et sa oled nii ilus ja tark ja ma tahan sinuga abielluda , ei saa tõsiselt võtta ."
205,84,142,14,helistama,,"com,el,sg",S,hommik,hommikust,,,,TIME,el,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Mõned tüdrukud muutusid lausa tüütuks , uurisid telefoninumbri välja ja helistasid iga päev hommikust õhtuni ."
221,92,157,2,täitma,,"ad,com,sg",S,aasta,aastal,,,,DATE,ad,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Sel aastal täitsime oma missiooni , mille eesmärgiks oli pääseda kümne parima sekka ja teha tüdrukutele promo , üliõnnestunult ."
233,94,163,11,kaasnema,,"all,pl,pos",A,positiivne,positiivsetele,,,,,all,,"Tegelikult ma polekski võita soovinud , sest sellega kaasneb lisaks positiivsetele palju negatiivseid emotsioone ."
237,96,166,13,tundma,kaasa,"all,pl",P,tema,neile,,,,,all,,"Mul on Claire's Birthday võidu üle hea meel , aga samas tunnen neile kaasa ."
239,97,167,1,ootama,,"com,ill,sg",S,poi,Poisse,,,,,ill,,Poisse ootab raske ettevalmistusperiood .
248,100,172,4,lõpetama,,"com,in,sg",S,pedagoogikaülikool,pedagoogikaülikoolis,,organisation,,,in,|L|AL|EL|LS|LT|ALT|ELT|LST|,Sa oled lõpetanud pedagoogikaülikoolis orkestrijuhtimise eriala .
253,103,177,3,pidama,,"com,in,sg",S,silm,silmas,,,,,in,,Ma pean silmas muusika teoreetilise baasi tundmist .
258,104,179,8,nõudma,,"abl,sg",P,mina,mult,,,,,abl,,"Ma ei viitsinud eriti pedas õppida ja mult nõudis kooli lõpetamine suurt pingutust , sest ma ei leidnud sealt , mida otsisin ."
269,106,183,4,viima,,"all,com,sg",S,siht,sihile,,,,,all,,Kuid visadus viis sihile ja orkestrijuhi paberid on mul taskus .
272,107,185,5,mõtlema,,"all,com,sg",S,tegutsemine,tegutsemisele,,,,,all,,Ma pole õpitud ametis tegutsemisele mõelnud .
275,109,188,2,aitama,,"ad,sg",P,sina,sul,,,,,ad,,Mis sul muusikamaailmast välja tulla aitab ?
277,110,189,1,tekkima,,"ad,sg",P,mina,Mul,,,,,ad,,Mul tekkis viis aastat tagasi tõsine huvi lennunduse vastu ning kavatsen sel kevadel kindlasti amatöörpiloodi paberid ära teha .
281,110,190,13,kavatsema,,"ad,com,sg",S,kevad,kevadel,,time,,DATE,ad,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,Mul tekkis viis aastat tagasi tõsine huvi lennunduse vastu ning kavatsen sel kevadel kindlasti amatöörpiloodi paberid ära teha .
285,112,193,1,meeldima,,"all,sg",P,mina,Mulle,,,,,all,,"Mulle meeldib ka suusatada ja ujuda , aga need on liialt tavalised alad ."
297,120,206,4,saama,,"com,el,pl",S,sõna,sõnadest,,,,,el,,"Kui inimene ikka sõnadest aru ei saa , siis pole ka rusikatega midagi teha ."
323,127,219,25,saama,,"com,el,sg",S,alkoholism,alkoholismist,,state,,,el,|S|AS|LS|ST|AST|LST|,"“ Mu suhted on seni kõik läbi kukkunud , ” pihib BEATRICE , kes on uue armastuse , DJ PRIIT KUUSIKu kõrval saanud üle alkoholismist ."
331,129,225,11,elama,välja,"adit,com,sg",S,raev,raevu,,,,,adit,,Enam ei ürita Beatrice enesetappe rõdult alla hüpates ega ela raevu välja nõusid lõhkudes .
334,129,225,14,elama,välja,"com,in,pl",S,lõhk,lõhkudes,,,,,in,,Enam ei ürita Beatrice enesetappe rõdult alla hüpates ega ela raevu välja nõusid lõhkudes .
336,130,226,6,peituma,,"com,in,sg",S,armastus,armastuses,,,,,in,,Tema hingerahu põhjus peitub uues armastuses .
346,133,231,7,saama,,"com,in,sg",S,oktoober,oktoobris,,,,DATE,in,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Priit : Tuttavaks saime 1998. aasta oktoobris Vibe'i korraldamise ajal , siis nägime esimest korda teineteist ."
361,135,235,12,nägema,,"ad,com,pl",S,üritus,üritustel,,event,,,ad,|E|AE|EL|ET|AET|ELT|,Järgmise aasta jooksul nägime teineteist kuskil ehk paar korda - mingitel üritustel .
375,141,245,3,sattuma,,"com,ill,sg",S,sõna,Sõnasse,,,,,ill,,Aga Võitlevasse Sõnasse sattusin täiesti juhuslikult ühel päeval kohvi jooma .
377,141,245,8,sattuma,,"ad,com,sg",S,päev,päeval,,,,DATE,ad,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,Aga Võitlevasse Sõnasse sattusin täiesti juhuslikult ühel päeval kohvi jooma .
401,150,264,16,helistama,,"all,sg",P,mina,mulle,,,,,all,,"Järgmised poolteist kuud , mil tema oli New Yorgis ja mina siin , helistas ta mulle kolm korda päevas - iga kõne kestis kuskil 40-50 minutit ."
412,152,269,2,valitsema,,"com,in,sg",S,elu,elus,,,,,in,,Mu elus valitsesid väga segased ajad .
416,153,271,11,naasma,,"ad,com,sg",S,aasta,aastal,,,,DATE,ad,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Olin omadega puntras , sest just enne seda , 1999. aastal naasis vanglast minu abikaasa Oleg Belokrõlov ."
417,153,271,13,naasma,,"com,el,sg",S,vangla,vanglast,,organisation,,,el,|L|AL|EL|LS|LT|ALT|ELT|LST|,"Olin omadega puntras , sest just enne seda , 1999. aastal naasis vanglast minu abikaasa Oleg Belokrõlov ."
428,155,274,7,saama,kokku,"com,in,sg",S,kohvik,kohvikus,,organisation,,,in,|L|AL|EL|LS|LT|ALT|ELT|LST|,"Sel ajal , kui me Priiduga kohvikus kokku saime ja kokku jäimegi , olid Oleg ja Raul Pariisi äri ajama sõitnud ."
443,160,282,3,külastama,,"com,in,sg",S,maikuu,maikuus,,,,DATE,in,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Vahepeal , maikuus külastasin Pariisis veel Olegi ja Rauli ning adusin , et mul pole nendega enam vähimatki ühist ."
