,sketch,support
0,[V]nsubj(L),1918
1,[S],1891
2,[V]nsubj(L)obl(L),979
3,[V],883
4,[S]cop(L)nsubj:cop(L),853
5,[V]nsubj(L)obj(L),760
6,[V]advmod(L)nsubj(L),663
7,[V]obj(L),594
8,[V]obl(L),557
9,[V]nsubj(L)obj(L)obl(L),534
10,[V]obj(L)obl(L),489
11,[S]advmod(L)cop(L)nsubj:cop(L),485
12,[V]nsubj(L)obl(P),484
13,[V]nsubj(P),477
14,[V]advmod(L)nsubj(L)obl(L),476
15,[S]nmod(L),423
16,[V]nsubj(P)obl(L),418
17,[V]nsubj(L)obj(P),396
18,[V]advmod(L)nsubj(L)obj(L),366
19,[S]cop(L)nsubj:cop(P),365
20,[V]advmod(L),357
21,[V]nsubj(L)obl(L)obl(L),338
22,[X],311
23,[V]nsubj(L)xcomp(P),305
24,[V]obj(P),291
25,[V]aux(L)nsubj(L),283
26,[S]cop(L)nsubj:cop(L)obl(L),267
27,[S]nummod(L),264
28,[V]nsubj(L)xcomp(L),258
29,[V]nsubj(L)obl(L)obl(P),248
30,[V]advmod(L)obj(L),242
31,[V]nsubj(P)obj(L),236
32,[V]aux(L)nsubj(L)obj(L),234
33,[V]xcomp(P),217
34,[S]amod(L)cop(L)nsubj:cop(L),213
35,[V]nsubj(P)obl(P),212
36,[V]obl(P),207
37,[V]aux(L)nsubj(L)obl(L),206
38,[V]advmod(L)obl(L),203
39,[S]amod(L),203
40,[V]obj(P)obl(L),195
41,[V]nsubj(L)obj(P)obl(L),189
42,[S]cop(L)nmod(L)nsubj:cop(L),188
43,[V]nsubj(L)obj(L)obl(P),187
44,[V]advmod(L)nsubj(L)obj(L)obl(L),185
45,[V]advmod(L)nsubj(L)obl(P),184
46,[S]advmod(L),177
47,[V]obj(L)obl(P),177
48,[V]advmod(L)nsubj(P),173
49,[V]aux(L),173
