,File,LA,UAS,LAS
0,train_0,0.961,0.944,0.931
1,test_0,0.907,0.875,0.846
2,train_1,0.962,0.945,0.931
3,test_1,0.91,0.877,0.848
4,train_2,0.961,0.944,0.93
5,test_2,0.912,0.879,0.853
6,train_3,0.961,0.944,0.931
7,test_3,0.913,0.881,0.853
8,train_4,0.961,0.944,0.93
9,test_4,0.908,0.88,0.851
10,train_5,0.961,0.944,0.931
11,test_5,0.907,0.872,0.843
12,train_6,0.961,0.945,0.931
13,test_6,0.907,0.871,0.843
14,train_7,0.962,0.945,0.931
15,test_7,0.912,0.881,0.854
16,train_8,0.961,0.945,0.931
17,test_8,0.911,0.876,0.849
18,train_9,0.961,0.944,0.93
19,test_9,0.913,0.879,0.853
