,File,LA,UAS,LAS
0,train_0,0.958,0.946,0.929
1,test_0,0.897,0.867,0.834
2,train_1,0.958,0.946,0.929
3,test_1,0.898,0.866,0.833
4,train_2,0.958,0.946,0.929
5,test_2,0.902,0.872,0.841
6,train_3,0.958,0.945,0.928
7,test_3,0.901,0.872,0.84
8,train_4,0.958,0.946,0.929
9,test_4,0.894,0.861,0.828
10,train_5,0.959,0.946,0.93
11,test_5,0.893,0.86,0.824
12,train_6,0.957,0.945,0.929
13,test_6,0.904,0.877,0.844
14,train_7,0.958,0.945,0.928
15,test_7,0.901,0.873,0.84
16,train_8,0.958,0.945,0.928
17,test_8,0.897,0.87,0.836
18,train_9,0.958,0.945,0.929
19,test_9,0.901,0.873,0.841
