verb,verb_compound,kaane,elus_cnt,mitteelus_cnt,root_cnt,isik
kujundama,välja,in,2,1,10,
kujutama,ette,abl,0,0,10,mitte kunagi
kukkuma,tagasi,ad,2,0,10,mitte kunagi
kukkuma,vastu,adit,1,2,10,vahel
kulgema,edasi,in,0,0,10,
kulmineeruma,,el,1,0,10,
kuluma,kokku,el,1,0,10,
kumama,välja,el,0,0,10,
kummardama,,el,2,0,10,
kummitama,,abl,1,0,10,mitte kunagi
kuritarvitama,,el,2,0,10,
kurseerima,,el,1,1,10,
kusema,,ill,0,3,10,mitte kunagi
kustuma,ära,ad,4,0,10,vahel
kutsuma,ära,ad,1,0,10,mitte kunagi
kuuluma,peale,ill,0,0,10,vahel
kvalifitseeruma,,ill,0,0,10,vahel
käima,ära,abl,1,2,10,mitte kunagi
käivituma,,adit,1,1,10,vahel
käristama,,in,0,1,10,
kärutama,,ad,1,0,10,mitte kunagi
kärvama,,in,0,0,10,mitte kunagi
kätlema,,in,0,1,10,mitte kunagi
käärima,,el,2,1,10,vahel
kõhutama,,in,1,2,10,
kõigutama,,all,1,0,10,vahel
kõlistama,,all,5,0,10,vahel
kõmpima,,adit,0,3,10,mitte kunagi
kõmpima,,ill,0,2,10,mitte kunagi
kõngema,,ad,1,1,10,mitte kunagi
küdema,,ad,2,1,10,vahel
külastama,kokku,in,0,1,10,mitte kunagi
külmetuma,,in,0,1,10,mitte kunagi
kütma,üles,el,0,0,10,
küttima,,el,2,2,10,
küünitama,,all,1,3,10,vahel
küünitama,,el,0,1,10,
laduma,välja,all,2,0,10,vahel
lagundama,,in,1,2,10,
lagunema,,adit,2,2,10,vahel
lagunema,laiali,ad,2,0,10,mitte kunagi
lahendama,ära,in,0,0,10,
lahmima,,in,0,1,10,mitte kunagi
lahtuma,,in,3,1,10,mitte kunagi
lahvatama,,adit,3,2,10,vahel
lainetama,,el,1,0,10,mitte kunagi
laksima,,all,3,0,10,vahel
lamasklema,,in,0,3,10,
langema,peale,ad,1,0,10,mitte kunagi
langema,ära,abl,1,3,10,vahel
laotama,,adit,2,3,10,mitte kunagi
laotama,,el,0,0,10,
lapsendama,,ad,1,0,10,
laskma,kokku,ad,3,0,10,
laskma,läbi,all,2,1,10,vahel
laskma,puruks,ad,0,1,10,
laskma,täis,ad,1,0,10,
laulatama,,in,0,3,10,
lausuma,,adit,1,2,10,vahel
lausuma,,ill,0,1,10,mitte kunagi
lavastama,,abl,0,0,10,mitte kunagi
leebuma,,in,0,1,10,
leidma,üles,adit,1,5,10,mitte kunagi
lendama,eemale,el,1,3,10,
lendama,kohale,abl,0,3,10,mitte kunagi
lendama,sisse,ad,2,0,10,
lendama,vastu,in,0,1,10,
lennutama,välja,el,0,3,10,
leppima,kokku,ill,0,3,10,mitte kunagi
libisema,kõrvale,el,1,1,10,
libisema,läbi,el,5,0,10,
liigutama,,ill,0,1,10,mitte kunagi
liikuma,tagasi,in,0,0,10,
liikuma,välja,ad,1,0,10,
liikuma,üles,all,1,1,10,mitte kunagi
likvideerima,,all,1,1,10,vahel
linastuma,,abl,4,1,10,alati
lippama,välja,el,0,6,10,
lisama,juurde,ad,0,0,10,
litsuma,,all,1,1,10,mitte kunagi
liuglema,,el,1,2,10,
lonkama,,all,0,2,10,mitte kunagi
loobuma,tagasi,el,0,0,10,
looma,juurde,in,0,3,10,
looma,katki,ad,4,0,10,
looma,külge,all,6,0,10,alati
looma,läbi,el,1,0,10,
looma,tagasi,ad,0,0,10,
lubama,kohal,ad,1,0,10,
lubama,kokku,all,8,1,10,alati
lugema,tagasi,el,0,0,10,mitte kunagi
luiskama,,ad,0,0,10,mitte kunagi
luiskama,,in,0,0,10,
lukustuma,,ad,1,0,10,mitte kunagi
luurama,,el,0,1,10,mitte kunagi
läbima,kokku,ad,0,2,10,mitte kunagi
lähendama,,el,1,1,10,
lähtuma,välja,el,0,0,10,
lõhkuma,,abl,0,1,10,mitte kunagi
lõhkuma,ära,el,1,0,10,
lõikuma,,all,3,2,10,vahel
lõunastama,,ad,1,1,10,
lõõgastuma,,el,0,0,10,
lõõtsuma,,ad,0,0,10,
löpetama,,ad,0,0,10,
lööbima,,ad,1,1,10,
lööma,peale,all,0,0,10,vahel
lööma,tagasi,in,1,5,10,
lööma,vastu,ad,0,1,10,
lükkama,kõrvale,in,0,2,10,
lükkama,sisse,el,1,1,10,
lükkama,sisse,in,0,2,10,
lükkama,tagasi,ill,0,0,10,mitte kunagi
lükkuma,edasi,adit,0,2,10,mitte kunagi
maadlema,,all,0,0,10,mitte kunagi
magatama,,in,1,5,10,
mahtuma,sisse,ad,2,0,10,
mahtuma,sisse,all,5,0,10,alati
mahutama,ära,all,0,3,10,vahel
maigutama,,ad,1,0,10,
maksma,kokku,adit,1,2,10,mitte kunagi
maksma,tagasi,abl,1,1,10,mitte kunagi
maksma,tagasi,ill,0,0,10,mitte kunagi
manama,esile,el,1,1,10,
manustama,,el,1,0,10,vahel
masendama,,ad,1,0,10,
matkama,,ill,0,1,10,mitte kunagi
meelitama,kohale,el,0,3,10,
meisterdama,,adit,1,4,10,
minema,ette,abl,0,0,10,mitte kunagi
minema,ilma,ad,1,1,10,
minema,kaotsi,ad,1,0,10,
minema,koos,all,0,0,10,mitte kunagi
minema,ringi,in,0,2,10,
minema,vastu,el,2,0,10,
muganduma,,in,1,1,10,
mugima,,in,0,4,10,
mulksuma,,ad,3,2,10,vahel
murdma,välja,ad,0,2,10,mitte kunagi
mustama,,el,3,0,10,vahel
muukima,lahti,ad,0,1,10,mitte kunagi
mängima,koos,el,2,1,10,mitte kunagi
märkima,maha,ad,0,3,10,mitte kunagi
mõjutama,ilma,in,0,2,10,
mõlkima,,ad,0,1,10,mitte kunagi
mõmisema,,in,2,2,10,
möllama,kokku,ad,0,2,10,
müdistama,,in,0,2,10,
müristama,,el,2,0,10,
müüma,edasi,adit,1,1,10,mitte kunagi
müüma,edasi,ill,0,2,10,mitte kunagi
müüma,maha,adit,2,1,10,mitte kunagi
müüma,välja,in,0,1,10,
naerma,,ill,1,1,10,vahel
naima,,el,1,0,10,
naksama,,el,3,0,10,
nihestama,,ad,0,1,10,mitte kunagi
nihkuma,edasi,in,0,1,10,
niisutama,,in,1,0,10,
niitima,,in,0,0,10,
niitma,,all,3,0,10,vahel
nokauteerima,,in,0,0,10,
noppima,,adit,0,0,10,vahel
noppima,üles,el,1,0,10,
norima,,el,3,1,10,
nosima,,in,1,3,10,
noteerima,,ad,0,0,10,
noteerima,,in,0,0,10,
nullima,,el,1,0,10,
nuuskima,,in,0,1,10,
nähvama,,ad,1,0,10,
nähvama,,in,0,1,10,
näpistama,,all,0,1,10,vahel
näppima,,el,2,0,10,
närbuma,,ad,0,3,10,
nõrgestama,,in,3,2,10,
nõrkema,,ad,1,0,10,
nõudma,välja,all,2,2,10,vahel
ohkama,,abl,1,0,10,mitte kunagi
olema,ees,in,0,1,10,
olema,kohale,in,0,2,10,
olema,käsil,in,0,1,10,
olema,taga,ad,3,0,10,mitte kunagi
olema,villand,el,0,1,10,
omama,kokku,in,0,1,10,
oopima,,ad,2,1,10,mitte kunagi
ootama,ära,el,2,0,10,
opereerima,,abl,2,0,10,vahel
oponeerima,,el,0,1,10,
ostma,juurde,abl,3,2,10,alati
ostma,kaasa,all,2,2,10,vahel
ostma,tagasi,all,2,0,10,vahel
otsima,läbi,adit,1,5,10,vahel
otustama,,ad,0,0,10,mitte kunagi
painduma,,el,2,2,10,
painutama,,in,0,2,10,
paisutama,,all,1,1,10,mitte kunagi
pakkima,kaasa,all,6,1,10,alati
pakkuma,juurde,all,2,0,10,vahel
pakkuma,kokku,ad,0,0,10,
palistama,,in,0,2,10,
paljundama,,el,0,0,10,
panema,läbi,el,0,1,10,
panema,plehku,abl,0,1,10,mitte kunagi
panema,täis,ad,2,0,10,
panema,ära,abl,0,1,10,mitte kunagi
panema,ümber,adit,2,0,10,mitte kunagi
pankrotistuma,,all,1,0,10,vahel
pareerima,,ad,0,1,10,
partsima,,ad,1,1,10,
patustama,,el,2,1,10,
peegeldama,,abl,0,1,10,mitte kunagi
peegelduma,tagasi,in,2,1,10,
peetuma,kinni,abl,0,0,10,mitte kunagi
pehmenema,,ad,0,1,10,mitte kunagi
petma,välja,all,3,2,10,mitte kunagi
pidama,kohal,ad,0,0,10,
pihustama,,in,1,2,10,
piiluma,,abl,0,1,10,mitte kunagi
pikkima,,ill,0,2,10,mitte kunagi
pildistama,,abl,0,2,10,mitte kunagi
pillama,maha,in,0,0,10,
piserdama,,el,0,0,10,
pissima,,in,0,4,10,
pistma,läbi,el,1,2,10,
plaadistama,,in,0,2,10,
plaksutama,,el,2,0,10,
plaksutama,kaasa,all,3,0,10,vahel
pommitama,,all,0,0,10,mitte kunagi
prahvatama,,in,0,1,10,
praksuma,,in,2,4,10,
presenteerima,,all,4,0,10,alati
printima,,all,2,0,10,vahel
programmeerima,,ill,1,0,10,vahel
projitseerima,,ill,2,0,10,vahel
proovima,järele,ad,1,0,10,
proovima,läbi,ad,0,0,10,
proovima,läbi,in,0,0,10,
publitseerima,,el,1,0,10,
pudenema,laiali,in,0,0,10,
pugema,sisse,all,4,1,10,alati
puhastama,,abl,1,1,10,mitte kunagi
puhastuma,,in,0,0,10,
pukseerima,,ill,0,4,10,mitte kunagi
putitama,,ad,0,0,10,mitte kunagi
pärlendama,,el,0,0,10,mitte kunagi
pääsema,kokku,in,0,0,10,
pääsema,ära,el,0,0,10,mitte kunagi
põrkuma,tagasi,all,1,3,10,mitte kunagi
põõnama,,ad,1,2,10,
pöhjustama,,ad,0,1,10,
pöörama,ette,ad,0,2,10,
pühenduma,,ill,1,1,10,vahel
rabistama,,ad,0,1,10,
raevuma,,ad,1,0,10,
rahunema,maha,in,2,0,10,
raiuma,,abl,0,4,10,mitte kunagi
rallima,,ad,0,2,10,
ratifitseerima,,all,0,0,10,vahel
realiseeruma,,all,4,1,10,vahel
rebima,maha,in,1,2,10,
registreerima,kokku,in,0,2,10,
rekonstrueerima,,el,0,1,10,
revansheerima,,in,0,0,10,
rikastama,,all,4,0,10,alati
riknema,,el,1,0,10,
ringutama,,in,0,1,10,
rippuma,otsas,ad,1,0,10,
rippuma,välja,el,4,2,10,
riskeerima,,ad,0,1,10,mitte kunagi
riskeerima,,in,0,1,10,
ristlema,,in,1,2,10,mitte kunagi
risustama,,ad,1,0,10,mitte kunagi
rivistama,,all,0,3,10,mitte kunagi
rivistuma,üles,ad,0,4,10,mitte kunagi
ronima,järele,all,3,0,10,alati
ronima,otsa,all,1,0,10,vahel
ronima,ringi,in,2,3,10,
rulluma,lahti,el,0,0,10,
rändama,välja,ill,0,2,10,mitte kunagi
räppima,,el,1,0,10,vahel
rõhutama,,ill,0,2,10,vahel
rõõmustama,,ill,0,0,10,mitte kunagi
rühkima,edasi,in,0,0,10,
rühmama,,ad,1,3,10,
saabuma,kokku,el,0,2,10,
saalima,,ad,1,1,10,
saama,edasi,adit,1,2,10,mitte kunagi
saama,jaole,all,0,0,10,mitte kunagi
saama,järele,all,2,0,10,vahel
saama,kaasa,ill,1,0,10,mitte kunagi
saama,kätte,all,0,0,10,vahel
saatma,ilma,ad,1,1,10,mitte kunagi
saatma,välja,ill,0,1,10,mitte kunagi
sadestuma,,ad,0,1,10,mitte kunagi
sakutama,,ad,1,1,10,mitte kunagi
salgama,,el,2,0,10,vahel
samastama,,el,2,1,10,
samastuma,,all,7,0,10,vahel
sarjama,,el,1,2,10,
segunema,,adit,1,0,10,
seiklema,ringi,in,0,1,10,
seirama,,abl,0,3,10,mitte kunagi
seisma,püsti,all,1,0,10,vahel
seletama,ära,ad,1,0,10,
seostuma,,adit,0,1,10,vahel
settima,,adit,1,0,10,mitte kunagi
sigatsema,,in,1,4,10,
sillutama,,adit,0,1,10,mitte kunagi
silmitsema,,adit,4,2,10,vahel
siristama,,ad,0,0,10,mitte kunagi
sittama,,el,3,0,10,
sobima,kokku,abl,0,2,10,mitte kunagi
solistama,,in,0,2,10,
soltuma,,el,3,0,10,
sondeerima,,ad,0,0,10,
soostuma,,abl,4,3,10,mitte kunagi
sorteerima,,ill,0,0,10,mitte kunagi
spikerdama,,ad,0,0,10,
spioneerima,,in,0,1,10,
spurtima,mööda,el,4,0,10,
staaritsema,,in,0,0,10,
suikuma,,adit,1,0,10,mitte kunagi
sulama,välja,el,0,0,10,
sulatama,,abl,1,2,10,mitte kunagi
surema,kokku,ad,0,0,10,mitte kunagi
surmama,,el,1,1,10,
suruma,välja,in,0,0,10,
suskama,,ad,1,1,10,
suunduma,tagasi,ad,0,1,10,mitte kunagi
sähvima,,el,2,1,10,
särama,vastu,in,0,0,10,
sättima,üles,ad,0,2,10,mitte kunagi
sättima,üles,all,2,2,10,vahel
sõbrustama,,ad,0,0,10,
sõitma,ees,ad,2,0,10,vahel
sõitma,kinni,in,0,2,10,
sõitma,maha,adit,0,1,10,mitte kunagi
sõitma,mööda,abl,0,1,10,mitte kunagi
sõitma,mööda,adit,0,2,10,vahel
sõitma,otsa,abl,0,0,10,mitte kunagi
sööma,ära,adit,2,1,10,
sööstma,alla,abl,0,2,10,mitte kunagi
sügelema,,in,3,0,10,
sülgama,,adit,2,1,10,mitte kunagi
sünnitama,,abl,0,1,10,mitte kunagi
süvendama,,adit,0,2,10,mitte kunagi
süüdistama,välja,in,0,0,10,
taaruma,,adit,0,7,10,vahel
taaselustuma,,ad,0,0,10,
taasiseseisvuma,,all,1,1,10,vahel
taaskäivitama,,ad,0,0,10,
tahtma,eemale,el,1,3,10,
takseerima,,el,1,1,10,
taltsutama,,ad,0,1,10,mitte kunagi
taltuma,,in,0,2,10,
taluma,,abl,4,0,10,mitte kunagi
tantsima,,abl,0,0,10,mitte kunagi
tantsisklema,,in,1,0,10,mitte kunagi
tapma,kokku,in,0,4,10,
tappima,,all,2,2,10,vahel
targutama,,ad,1,0,10,vahel
tarnima,,abl,2,3,10,vahel
tasanduma,,ad,0,0,10,mitte kunagi
tassima,,abl,0,6,10,mitte kunagi
tassima,kokku,all,5,0,10,vahel
tasuma,kokku,all,1,0,10,vahel
tasuma,kokku,in,0,1,10,
tasuma,ära,adit,1,2,10,mitte kunagi
teenima,kokku,all,3,2,10,vahel
tegema,tasa,in,0,1,10,
tegema,ära,ill,0,0,10,mitte kunagi
tegema,üle,ad,0,3,10,
tegema,üles,in,0,1,10,
tegema,ümber,in,1,2,10,
tegutsema,edasi,all,0,0,10,mitte kunagi
tegutsema,edasi,el,1,0,10,
tembutama,,ad,1,0,10,
teostama,,abl,1,1,10,mitte kunagi
terendama,ees,ad,2,0,10,
terenduma,,ad,1,1,10,
terenduma,,all,3,1,10,alati
tihendama,,el,0,0,10,
tiirlema,,abl,1,0,10,mitte kunagi
tiivustama,,all,0,0,10,mitte kunagi
tikkima,,ad,1,0,10,
tikkuma,,adit,4,4,10,mitte kunagi
tikkuma,kallale,all,8,0,10,alati
tilgutama,,in,0,3,10,
tippima,,in,0,2,10,
tirisema,,in,0,1,10,
toimetama,tagasi,adit,1,6,10,mitte kunagi
toimetama,välja,ad,1,0,10,
toimuma,vastu,in,0,1,10,
toimuma,välja,el,0,1,10,
tooma,üles,el,1,1,10,
toppima,sisse,all,3,0,10,alati
torisema,,ad,1,2,10,
tormama,ette,ad,1,1,10,
tormama,ringi,ad,0,2,10,
tormama,sisse,ad,0,0,10,
tormama,välja,ad,0,0,10,
trallima,,ad,0,0,10,
trügima,läbi,el,2,0,10,
trügima,sisse,el,0,3,10,
tsiteerima,,abl,1,0,10,mitte kunagi
tuginema,,abl,3,1,10,alati
tuhisema,,adit,1,5,10,mitte kunagi
tulema,peale,abl,0,1,10,mitte kunagi
tulema,tarvis,ad,2,1,10,vahel
tulema,üles,all,1,1,10,vahel
tuletama,,ill,1,2,10,mitte kunagi
tumenema,,ad,0,1,10,mitte kunagi
tumenema,,el,0,0,10,mitte kunagi
tundma,vastu,ad,0,0,10,mitte kunagi
tungima,läbi,ad,1,0,10,mitte kunagi
tungima,peale,all,1,0,10,vahel
tungima,välja,ad,1,0,10,mitte kunagi
tupsutama,,all,3,0,10,vahel
tutvuma,,ill,0,0,10,mitte kunagi
tutvustama,,ill,0,2,10,mitte kunagi
tuurima,,ad,1,0,10,mitte kunagi
tuuritama,,el,0,0,10,
täitma,,ill,0,2,10,mitte kunagi
täiustama,,in,1,1,10,
tänama,,abl,3,0,10,mitte kunagi
tõmbama,sisse,el,1,4,10,mitte kunagi
tõmbama,tagasi,abl,1,5,10,mitte kunagi
tõmbama,tagasi,ill,1,0,10,vahel
tõmbama,täis,ad,1,2,10,vahel
tõmbama,üles,ad,1,0,10,mitte kunagi
tõrjuma,,ill,1,0,10,mitte kunagi
tõrjuma,kõrvale,abl,1,2,10,mitte kunagi
tõrjuma,kõrvale,in,0,0,10,
tõstma,esile,abl,1,0,10,mitte kunagi
tõstma,üles,all,2,1,10,vahel
tögama,,ad,1,0,10,
töötama,alla,in,1,2,10,
töötama,kaasa,ad,2,0,10,
töötama,koos,ad,0,1,10,
tühistama,,abl,1,2,10,mitte kunagi
uhama,,all,3,0,10,vahel
uhkama,,el,0,0,10,
uhtma,,ad,0,1,10,
uhtuma,välja,el,2,2,10,
uinutama,,ad,0,0,10,
uppuma,ära,in,0,0,10,
usaldama,,abl,1,0,10,mitte kunagi
uuenema,,adit,0,1,10,vahel
vaaritama,,in,1,5,10,
vaatama,tagasi,ill,0,0,10,mitte kunagi
vaatama,üle,all,3,0,10,vahel
vaesuma,,ad,1,0,10,
vahtima,vastu,ad,2,0,10,
vaikima,,all,0,1,10,vahel
vajuma,kokku,all,1,2,10,mitte kunagi
vaktsineerima,,in,0,2,10,
valama,,abl,1,3,10,mitte kunagi
valguma,maha,ad,0,0,10,
valgustuma,,ad,0,2,10,
valmima,kokku,ad,0,2,10,
vannutama,,in,0,0,10,
vantsima,,ad,1,1,10,
varastama,ära,ad,3,1,10,
varieerima,,in,0,1,10,
varisema,,ill,0,2,10,mitte kunagi
varisema,alla,ad,0,1,10,
varustama,,adit,1,1,10,vahel
vastama,ära,in,0,0,10,
vedama,alt,el,1,0,10,
vedama,ette,all,4,1,10,vahel
vedama,laiali,ad,0,1,10,
vedama,laiali,in,0,4,10,
vedama,välja,abl,1,5,10,mitte kunagi
veerema,mööda,el,3,0,10,
vehklema,,el,2,1,10,
veiklema,,ad,2,0,10,
venima,välja,el,2,2,10,
venitama,,abl,0,1,10,mitte kunagi
veristama,,in,0,2,10,
vibutama,,ad,0,3,10,
vigastama,,all,3,1,10,vahel
vihisema,mööda,ad,0,0,10,
vihkama,,adit,1,1,10,vahel
viibima,kohal,in,1,0,10,
viibima,üle,in,0,3,10,
viima,ette,all,2,0,10,vahel
viima,kohale,ad,0,1,10,
viima,kokku,all,0,3,10,mitte kunagi
viima,vastu,all,0,0,10,vahel
viipama,,adit,0,3,10,mitte kunagi
viitma,,el,1,1,10,
vilgutama,,all,3,0,10,vahel
vingerdama,välja,el,0,0,10,
viskama,alla,all,2,2,10,vahel
viskama,kokku,ad,0,0,10,mitte kunagi
viskama,maha,el,2,0,10,vahel
viskama,mööda,abl,0,2,10,mitte kunagi
viskama,täis,ad,2,0,10,
viskama,üle,el,2,0,10,
voogama,,adit,2,5,10,mitte kunagi
voogama,,all,3,1,10,vahel
voolama,alla,abl,0,1,10,mitte kunagi
voolama,kokku,ill,1,0,10,mitte kunagi
voolama,välja,abl,0,6,10,mitte kunagi
voorima,läbi,el,1,4,10,
vuhisema,,ill,0,2,10,mitte kunagi
vupsama,välja,ad,2,0,10,mitte kunagi
vurisema,,ad,1,0,10,mitte kunagi
välgatama,,el,0,1,10,vahel
välkuma,,el,2,0,10,
väänama,,ill,0,0,10,mitte kunagi
väärama,,in,1,0,10,
võiduma,,in,1,2,10,
võimenduma,,el,1,1,10,
võitma,juurde,el,1,0,10,
võluma,ära,ad,0,0,10,
võrsuma,,all,1,1,10,vahel
võtma,lahti,abl,0,0,10,mitte kunagi
võtma,vahele,in,1,0,10,
võõrandama,,abl,2,1,10,alati
äratama,,ill,2,2,10,vahel
ässitama,,ad,0,0,10,mitte kunagi
õhutama,,abl,3,1,10,mitte kunagi
õppima,edasi,ad,3,1,10,mitte kunagi
ümisema,,el,1,0,10,
adopteerima,,el,2,1,9,
aeglustuma,,abl,0,0,9,mitte kunagi
aeguma,,abl,0,0,9,mitte kunagi
aetama,,in,1,3,9,
agiteerima,,all,2,1,9,mitte kunagi
ahvatlema,,ill,0,0,9,mitte kunagi
aitama,edasi,el,0,2,9,
aitama,tagasi,ill,0,0,9,mitte kunagi
ajama,külge,all,6,0,9,alati
ajama,segi,in,2,1,9,
ajama,taga,adit,1,1,9,
ajama,tagasi,ill,1,1,9,mitte kunagi
ajendama,,abl,5,0,9,vahel
aktsepteerima,,abl,2,0,9,mitte kunagi
algama,peale,el,4,1,9,
alistama,ringi,in,0,0,9,
alluma,,adit,1,1,9,
alustama,vastu,ad,0,1,9,
alustama,üle,in,0,1,9,
andma,ilma,all,3,1,9,mitte kunagi
andma,valmis,all,3,0,9,mitte kunagi
andma,välja,ill,0,2,9,mitte kunagi
andma,ära,adit,2,2,9,
anduma,,adit,0,0,9,
anuma,,el,1,0,9,
arendama,edasi,el,0,0,9,
armatsema,,ad,0,1,9,
arvama,ära,in,1,1,9,
arvestama,maha,ad,1,0,9,
asetama,tagasi,all,1,0,9,mitte kunagi
astuma,edasi,all,1,1,9,mitte kunagi
astuma,ette,adit,2,0,9,
astuma,ära,abl,0,3,9,mitte kunagi
asuma,ette,ad,0,0,9,
asuma,vastu,all,2,1,9,vahel
asuma,ümber,adit,0,3,9,
asuma,ümber,all,0,6,9,mitte kunagi
auditeerima,,ad,1,0,9,
autasustama,,el,3,1,9,
avalikustama,,abl,3,1,9,vahel
avarduma,,el,2,1,9,
blokeerima,,abl,0,3,9,mitte kunagi
boikoteerima,,el,0,2,9,
deponeerima,,adit,1,0,9,
destabiliseerima,,in,1,2,9,
dirigeerima,,all,1,0,9,vahel
distantseerima,,in,1,0,9,
edutama,,ad,0,0,9,
edutama,,in,0,1,9,
eelnema,,abl,4,2,9,vahel
eemaldama,,adit,2,0,9,
eemalduma,,ill,0,3,9,mitte kunagi
eestima,,el,0,0,9,
ehitama,valmis,el,1,2,9,
ehmuma,,in,0,1,9,
eirama,,all,1,1,9,mitte kunagi
ekspresseeruma,,ad,2,0,9,
elama,peale,in,0,5,9,
elama,sees,ad,2,0,9,
elama,ära,all,2,1,9,mitte kunagi
emigreeruma,,all,0,3,9,mitte kunagi
emigreeruma,,in,0,0,9,
ennetama,,all,1,1,9,mitte kunagi
ennistama,,all,0,1,9,mitte kunagi
eristama,,adit,1,1,9,
esietendama,,in,0,3,9,
esinema,alla,ad,1,0,9,
esitama,välja,el,1,0,9,
eskortima,,adit,0,4,9,
etableeruma,,in,0,1,9,
evakueerima,,all,0,4,9,mitte kunagi
fantaseerima,,ad,0,1,9,
finisheerima,,el,3,0,9,
formeerima,,el,1,0,9,
graveerima,,all,0,0,9,mitte kunagi
haarama,kaasa,adit,0,0,9,
haarama,kaasa,in,0,0,9,
hakkama,kinni,all,5,0,9,alati
hakkama,vaja,ad,3,1,9,
hakkama,ära,in,0,1,9,
hallitama,,in,0,3,9,
harvendama,,ad,1,2,9,
heiskama,,el,0,1,9,
heldima,,in,2,1,9,
helenduma,,in,2,0,9,
helklema,,ad,0,0,9,
hiilgama,,abl,0,1,9,mitte kunagi
hiilima,ringi,in,1,1,9,
himustama,,el,5,0,9,
hingeldama,,in,0,4,9,
hirmutama,eemale,el,0,3,9,
hoidma,kõrvale,abl,0,1,9,mitte kunagi
hoidma,ära,adit,1,1,9,
hoiduma,eemale,ad,0,0,9,
hoolima,,all,5,1,9,mitte kunagi
hoolitsema,,ill,0,0,9,mitte kunagi
hubisema,,ad,0,1,9,
hukkama,,el,4,0,9,
hukkuma,välja,ad,0,1,9,
hukutama,,in,0,0,9,
hullutama,,el,1,1,9,
häbenema,,abl,6,0,9,alati
häkkima,,ill,2,0,9,vahel
hämmelduma,,in,0,1,9,
hääldama,,ad,1,0,9,
hõikuma,,ad,0,2,9,
hõikuma,,all,7,0,9,alati
hülgama,,all,1,2,9,mitte kunagi
hüppama,eemale,el,4,2,9,
hüppama,ette,in,0,3,9,
hüppama,püsti,el,1,1,9,
hüppama,üles,el,0,4,9,
identifitseerima,,el,1,0,9,
ilmuma,edasi,in,0,0,9,
imbuma,välja,ad,0,0,9,
imetlema,,all,0,3,9,mitte kunagi
imiteerima,,el,1,1,9,
immigreeruma,,el,1,3,9,
inspireerima,,el,3,0,9,
installima,,in,0,0,9,
intensiivistama,,in,0,4,9,
intrigeerima,,ad,1,0,9,
istuma,läbi,in,0,3,9,
jagelema,,in,0,0,9,
jahenema,,el,1,1,9,
jahtima,,all,3,1,9,vahel
jahuma,,in,0,0,9,
jooksma,kaasa,ad,0,1,9,
jooksma,läbi,adit,0,1,9,
jooksma,maha,abl,0,1,9,mitte kunagi
jooksma,mööda,in,2,0,9,
jooksma,ringi,adit,1,6,9,
jooksma,ringi,el,3,0,9,
jooksma,välja,all,0,3,9,mitte kunagi
jooksma,ära,all,1,3,9,mitte kunagi
jootma,,el,2,0,9,
joovastama,,ad,0,0,9,
joppama,,ad,4,0,9,
juhtima,eemale,abl,0,0,9,mitte kunagi
juhtuma,ette,all,3,1,9,vahel
juhtuma,vastu,in,1,5,9,
julgustama,,abl,2,2,9,mitte kunagi
jupsima,,in,0,1,9,
juurima,välja,el,0,3,9,
järgima,,abl,1,0,9,vahel
jätkuma,edasi,ad,0,2,9,
jätkuma,edasi,in,2,2,9,
jätma,katki,ad,0,1,9,
jätma,lahti,el,1,3,9,
jätma,sisse,ad,0,1,9,
jäädvustuma,,adit,0,0,9,
jääma,külge,abl,4,2,9,vahel
jääma,puudu,ill,0,0,9,mitte kunagi
jääma,võlg,ad,0,0,9,
jääma,võlg,in,0,1,9,
jäätuma,,all,2,1,9,mitte kunagi
jõudma,alla,ad,0,0,9,
jõudma,läbi,ad,0,0,9,
jõudma,läbi,all,0,1,9,mitte kunagi
jõudma,ringi,el,4,0,9,
jõustama,,in,0,0,9,
jõutama,,ad,1,0,9,
k2isima,,in,0,1,9,
kaalutlema,,ad,1,0,9,
kaarduma,,ad,1,0,9,
kaarduma,,el,0,0,9,
kahekordistuma,,abl,3,0,9,mitte kunagi
kahekordistuma,,adit,0,1,9,
kahima,,in,1,0,9,
kahjustama,,ill,0,1,9,mitte kunagi
kaikuma,,adit,0,6,9,
kallama,peale,all,4,0,9,vahel
kallutama,,abl,1,1,9,mitte kunagi
kandma,kokku,ad,0,0,9,
kandma,kokku,el,1,1,9,
kandma,kokku,in,0,0,9,
kandma,laiali,ad,0,0,9,
kandma,läbi,el,0,1,9,
kanduma,üle,in,0,2,9,
kangestuma,,in,1,1,9,
kantima,,in,1,1,9,
kaotama,kokku,ad,0,0,9,
kaotama,kokku,in,0,0,9,
kapituleeruma,,all,2,0,9,alati
karastama,,in,0,2,9,
karistama,,adit,1,0,9,
karjuma,vastu,all,6,0,9,alati
kasvama,juurde,in,1,1,9,
kasvama,sisse,ill,3,0,9,mitte kunagi
kasvatama,üles,el,3,0,9,
kaugenema,,all,0,2,9,mitte kunagi
kavaldama,üle,ad,1,0,9,
keema,,all,3,0,9,mitte kunagi
keerama,ringi,in,1,2,9,
keerama,välja,all,1,3,9,mitte kunagi
keerama,välja,in,0,3,9,
keerama,üle,in,1,0,9,
keerutama,,ill,0,3,9,mitte kunagi
keerutama,mööda,el,3,1,9,
keetma,,adit,0,0,9,
keetma,kokku,ad,0,1,9,
kehitama,,el,3,0,9,
kehtestuma,,all,2,1,9,vahel
kekslema,,ad,0,1,9,
kekslema,,in,1,2,9,
kepslema,,in,0,1,9,
