verb,verb_compound,kaane,elus_cnt,mitteelus_cnt,root_cnt,isik
tooma,,el,181,111,1909,vahel
paluma,,ad,530,44,1904,vahel
pääsema,,all,109,106,1900,mitte kunagi
jõudma,,adit,34,148,1897,mitte kunagi
kaotama,,all,288,35,1893,vahel
olenema,,el,224,66,1885,vahel
tundma,,el,242,60,1884,vahel
kasutama,,in,30,92,1861,mitte kunagi
näitama,,in,45,128,1857,mitte kunagi
asuma,,el,158,162,1831,vahel
langema,,all,293,89,1823,vahel
kõnelema,,el,157,52,1819,vahel
ütlema,,el,241,68,1818,vahel
kohtuma,,in,24,116,1816,mitte kunagi
jääma,,adit,45,112,1807,mitte kunagi
sattuma,,all,146,98,1798,mitte kunagi
pidama,,ad,58,85,1797,mitte kunagi
sõitma,,all,128,79,1795,vahel
jõudma,,ad,57,59,1786,vahel
ootama,,abl,415,60,1775,alati
jätkuma,,in,41,149,1767,mitte kunagi
ootama,,in,36,163,1756,mitte kunagi
lubama,,all,458,81,1754,vahel
lugema,,el,151,39,1753,vahel
tahtma,,in,53,134,1742,mitte kunagi
tahtma,,el,215,72,1729,vahel
sattuma,,ill,48,94,1728,mitte kunagi
kuluma,,ad,384,53,1723,alati
maksma,,in,42,119,1706,mitte kunagi
soovitama,,ad,455,48,1690,alati
hakkama,,all,377,74,1687,vahel
kirjutama,,in,40,70,1687,mitte kunagi
mängima,,ad,50,65,1679,mitte kunagi
tundma,,in,52,121,1675,mitte kunagi
jätkama,,in,36,102,1671,mitte kunagi
kasvama,,in,52,137,1668,mitte kunagi
algama,,ad,140,82,1663,mitte kunagi
tõusma,,in,35,121,1662,mitte kunagi
nägema,,el,193,84,1658,vahel
olema,vaja,all,362,90,1650,vahel
teenima,,in,29,82,1648,mitte kunagi
näitama,,all,506,53,1643,vahel
töötama,,ad,36,80,1631,mitte kunagi
lõpetama,,in,30,104,1624,mitte kunagi
jääma,ilma,el,154,69,1615,mitte kunagi
ilmuma,,in,36,55,1613,mitte kunagi
pakkuma,,in,32,118,1608,mitte kunagi
juhtuma,,ad,128,71,1585,mitte kunagi
leidma,,all,205,78,1575,vahel
ütlema,,ad,47,56,1572,mitte kunagi
tulema,välja,el,48,82,1569,mitte kunagi
kasutama,,ad,21,51,1559,mitte kunagi
mööduma,,el,145,64,1549,vahel
kuuluma,,el,224,88,1529,vahel
viima,,ill,24,109,1522,vahel
suutma,,in,43,82,1518,mitte kunagi
õppima,,in,28,92,1515,mitte kunagi
sattuma,,adit,31,93,1514,mitte kunagi
rääkima,,all,485,39,1513,vahel
tõusma,,el,127,77,1509,vahel
liikuma,,in,39,119,1502,mitte kunagi
lõppema,,in,30,120,1499,mitte kunagi
eelistama,,all,137,78,1496,vahel
sõitma,,in,23,88,1494,mitte kunagi
aitama,kaasa,all,23,12,1490,mitte kunagi
veetma,,in,22,156,1487,mitte kunagi
võitma,,ad,24,30,1483,mitte kunagi
hoidma,,in,44,107,1478,mitte kunagi
tähendama,,in,36,97,1466,mitte kunagi
kujunema,,el,106,68,1457,vahel
istuma,,ad,50,82,1451,mitte kunagi
elama,,ad,37,91,1449,mitte kunagi
muutuma,,ad,96,52,1444,vahel
toetuma,,all,119,41,1439,vahel
avama,,in,25,135,1429,mitte kunagi
korraldama,,in,25,150,1428,mitte kunagi
hukkuma,,in,20,100,1422,mitte kunagi
kaduma,,el,81,133,1414,mitte kunagi
kuuluma,,in,29,80,1413,mitte kunagi
võimaldama,,ad,378,54,1405,vahel
esitama,,in,30,80,1401,mitte kunagi
saama,,adit,58,83,1399,vahel
sõitma,,ad,34,61,1398,mitte kunagi
tooma,,in,32,64,1389,mitte kunagi
lootma,,all,165,41,1386,vahel
otsima,,el,70,85,1374,vahel
hoidma,,ad,136,87,1373,vahel
unistama,,el,97,65,1373,vahel
ostma,,el,75,62,1370,mitte kunagi
aitama,,el,98,44,1367,mitte kunagi
pidama,,all,275,69,1366,vahel
tekitama,,all,360,91,1360,vahel
näitama,,ad,53,65,1359,mitte kunagi
saabuma,,all,143,83,1358,vahel
tekkima,,all,149,101,1358,vahel
panema,,ad,95,56,1346,mitte kunagi
müüma,,all,332,52,1338,alati
puutuma,,adit,23,29,1336,mitte kunagi
leidma,,abl,122,101,1335,vahel
võitma,,el,131,39,1332,vahel
kinkima,,all,418,48,1331,vahel
