verb,verb_compound,ei_saa_olla_sihitist,kahtlane,total,freq_nom,freq_gen,freq_par
kavandama,,,,2008,183,458,1367
peatama,,,,2001,475,1051,475
säilitama,,,,1987,404,1051,532
pidama,kinni,,,1951,602,914,435
pakkuma,välja,,,1940,427,875,638
lootma,,,,1924,296,363,1265
usaldama,,,,1917,246,459,1212
parandama,,,,1893,206,308,1379
tuletama,,,,1876,237,366,1273
keerama,,,,1875,528,891,456
asetama,,,,1868,582,882,404
vastama,,,x,1858,549,750,559
kujundama,,,,1841,376,740,725
piirama,,,,1841,148,367,1326
rõhutama,,,,1833,108,213,1512
tundma,ära,,,1828,480,938,410
sõlmima,,,,1827,366,1041,420
arvestama,,,,1811,150,317,1344
kritiseerima,,,,1811,149,213,1449
tänama,,,,1795,432,314,1049
kindlustama,,,,1794,303,971,520
lõhkuma,,,,1794,318,701,775
tervitama,,,,1784,207,204,1373
häirima,,,,1780,246,140,1394
edestama,,,,1779,465,243,1071
toimetama,,,,1771,432,712,627
valmistama,ette,,,1770,295,481,994
suutma,,,x,1764,381,505,878
võtma,ette,,,1759,466,850,443
märkima,,,,1756,223,427,1106
vabastama,,,,1754,610,714,430
oskama,,,,1745,443,385,917
esitlema,,,,1733,147,290,1296
kaitsema,,,,1730,214,238,1278
pälvima,,,,1721,380,897,444
edastama,,,,1720,447,619,654
keelama,,,,1706,350,873,483
vältima,,,,1685,64,144,1477
suruma,,,,1682,376,786,520
asutama,,,,1671,403,988,280
vahendama,,,,1663,176,314,1173
väärima,,,,1652,88,149,1415
tingima,,,,1646,159,1071,416
soosima,,,,1639,80,93,1466
valima,välja,,,1631,643,581,407
purustama,,,,1611,443,780,388
mainima,,,,1590,151,181,1258
kannatama,,,,1583,187,318,1078
püüdma,,,,1579,266,338,975
tegema,ära,,,1577,562,759,256
tooma,esile,,,1568,398,711,459
tunnustama,,,,1565,114,188,1263
leidma,üles,,,1550,438,687,425
kaaluma,,,,1549,142,271,1136
sulgema,,,,1543,432,766,345
reguleerima,,,,1541,103,225,1213
andma,üle,,,1539,516,705,318
juhatama,,,,1534,286,436,812
sätestama,,,,1531,331,807,393
rahuldama,,,,1528,238,329,961
katkestama,,,,1523,361,829,333
soodustama,,,,1518,49,110,1359
võtma,maha,,,1518,542,632,344
röövima,,,,1506,306,645,555
kajastama,,,,1482,86,175,1221
tõstma,esile,,,1479,250,317,912
varjama,,,,1473,138,220,1115
algatama,,,,1469,244,949,276
käivitama,,,,1466,257,886,323
võtma,kokku,,,1458,488,726,244
eitama,,,,1456,71,107,1278
minema,,,x,1454,203,324,927
nägema,välja,x,,1450,1120,164,166
varastama,,,,1449,252,519,678
väljendama,,,,1440,106,225,1109
kasutama,ära,,,1431,213,441,777
murdma,,,,1430,294,611,525
ennustama,,,,1427,108,167,1152
sooritama,,,,1427,211,643,573
jooma,,,,1414,371,353,690
maksma,kinni,,,1413,468,699,246
vahetama,välja,,,1397,626,578,193
karistama,,,,1396,273,196,927
pistma,,,,1386,300,730,356
seletama,,,,1386,184,212,990
kiitma,heaks,,,1378,333,649,396
laulma,,,,1377,365,372,640
sundima,,,,1376,327,298,751
kuulutama,välja,,,1369,316,818,235
võtma,välja,,,1366,420,637,309
meelitama,,,,1361,245,314,802
kujutama,ette,,,1360,153,136,1071
eristama,,,,1352,129,160,1063
kahjustama,,,,1350,90,136,1124
vallandama,,,,1349,333,746,270
saama,tagasi,,,1346,278,695,373
kehastama,,,,1342,202,142,998
mõtlema,välja,,,1342,322,591,429
eraldama,,,,1340,329,406,605
ohustama,,,,1340,86,137,1117
vihkama,,,,1337,155,140,1042
taastama,,,,1333,241,705,387
täiendama,,,,1317,171,257,889
kaebama,,,,1309,247,805,257
lõikama,,,,1307,461,398,448
saama,kokku,,,1305,211,462,632
suunama,,,,1297,309,489,499
hankima,,,,1286,285,509,492
peegeldama,,,,1284,55,124,1105
tulistama,,,,1283,182,334,767
panema,kokku,,,1282,383,517,382
paigutama,,,,1276,381,520,375
arendama,,,,1275,96,205,974
üllatama,,,,1275,183,272,820
viima,läbi,,,1273,272,498,503
koondama,,,,1270,324,283,663
demonstreerima,,,,1265,46,107,1112
registreerima,,,,1265,268,452,545
taluma,,,,1259,90,102,1067
rakendama,,,,1253,139,264,850
kahtlustama,,,,1245,103,143,999
jätma,maha,,,1243,359,563,321
heitma,,,,1231,242,553,436
organiseerima,,,,1229,189,514,526
järgima,,,,1196,62,162,972
mõõtma,,,,1196,134,269,793
valdama,,,,1182,130,139,913
tajuma,,,,1181,53,131,997
vallutama,,,,1178,357,540,281
panema,kinni,,,1174,417,547,210
muretsema,,,,1173,362,468,343
nähtuma,ette,x,,1172,736,73,363
peitma,,,,1169,196,312,661
pelgama,,,,1153,42,68,1043
teostama,,,,1153,139,356,658
korjama,,,,1152,245,281,626
lahendama,,,,1152,289,388,475
nappima,,x,,1148,3,53,1092
tühistama,,,,1145,275,640,230
aktsepteerima,,,,1139,88,192,859
paljastama,,,,1139,201,494,444
avalikustama,,,,1138,290,452,396
paigaldama,,,,1130,324,407,399
kogema,,,,1123,51,109,963
lükkama,tagasi,,,1123,348,610,165
analüüsima,,,,1122,52,120,950
kutsuma,esile,,,1118,157,507,454
hoiatama,,,,1114,104,171,839
tulema,,x,,1114,143,187,784
vaatlema,,,,1111,44,129,938
peksma,,,,1108,182,306,620
ilmutama,,,,1098,74,188,836
vahistama,,,,1096,328,497,271
ostma,ära,,,1090,384,550,156
vaatama,üle,,,1083,552,327,204
müüma,maha,,,1078,364,488,226
paiskama,,,,1072,245,450,377
tuvastama,,,,1063,174,470,419
seostama,,,,1062,114,213,735
kulutama,,,,1056,169,389,498
ümbritsema,,,,1054,169,138,747
joonistama,,,,1052,245,388,419
eemaldama,,,,1051,415,381,255
kordama,,,,1046,131,142,773
pöörama,,,,1046,258,514,274
tõestama,,,,1046,78,170,798
kustutama,,,,1044,326,408,310
õigustama,,,,1043,43,85,915
toppima,,,,1025,211,351,463
tsiteerima,,,,1025,169,135,721
väljastama,,,,1024,178,454,392
plaanima,,,,1015,63,168,784
valama,,,,1006,287,348,371
loovutama,,,,1003,225,474,304
lükkama,edasi,,,1003,141,524,338
ulatama,,,,995,187,579,229
võtma,üle,,,980,348,442,190
sallima,,,,979,55,53,871
teavitama,,,,972,84,160,728
sööma,ära,,,971,311,424,236
tegema,läbi,,,970,213,524,233
panema,välja,,,969,332,374,263
tõrjuma,,,,967,211,322,434
rebima,,,,957,227,414,316
austama,,,,953,94,80,779
sünnitama,,,,949,131,348,470
veetma,,,,947,311,355,281
puhastama,,,,945,219,243,483
töötama,välja,,,938,166,416,356
palkama,,,,933,269,398,266
äratama,,,,931,229,343,359
planeerima,,,,928,108,257,563
peetuma,,x,,925,239,55,631
sättima,,,,924,230,331,363
määratlema,,,,918,223,351,344
laskma,maha,,,917,277,448,192
katsetama,,,,915,65,101,749
ootama,ees,,x,913,102,97,714
kaunistama,,,,911,142,124,645
tugevdama,,,,911,44,132,735
üritama,,,,902,146,176,580
rõõmustama,,,,897,96,225,576
harrastama,,,,896,50,94,752
loetlema,,,,896,127,57,712
imetlema,,,,894,83,74,737
tunnetama,,,,889,28,89,772
tegema,kaasa,,,888,267,343,278
tooma,ära,,,888,319,392,177
lahutama,,,,887,151,182,554
väitma,,,,886,153,271,462
torkama,,,,885,212,388,285
juhendama,,,,883,119,84,680
osutama,,,,883,140,298,445
neelama,,,,882,148,313,421
vormistama,,,,877,200,442,235
kiskuma,,,,871,251,321,299
vaevama,,,,871,144,95,632
kurtma,,,,868,70,333,465
fikseerima,,,,867,198,418,251
rahastama,,,,867,106,133,628
tooma,tagasi,,,867,260,369,238
sümboliseerima,,,,865,23,73,769
varustama,,,,864,146,173,545
jõudma,,,,857,74,242,541
püstitama,,,,852,158,449,245
ihkama,,,,850,61,93,696
raputama,,,,848,131,152,565
viima,ära,,,848,253,350,245
valvama,,,,845,106,132,607
pruukima,,,,841,153,91,597
käima,,,x,840,96,128,616
süütama,,,,831,215,422,194
garanteerima,,,,830,107,458,265
soetama,,,,826,170,339,317
reklaamima,,,,825,84,100,641
saama,juurde,,,821,64,214,543
jääma,,x,,820,96,229,495
lavastama,,,,820,195,383,242
kergitama,,,,809,118,265,426
laiendama,,,,808,61,178,569
põdema,,,,807,44,102,661
vaidlustama,,,,803,98,384,321
vajutama,,,,799,252,329,218
vahtima,,,,794,127,118,549
kõrvaldama,,,,793,258,293,242
laenama,,,,793,188,279,326
hõivama,,,,790,190,403,197
pikendama,,,,789,86,168,535
vaatama,läbi,,,788,325,279,184
langetama,,,,785,145,317,323
otsima,üles,,,785,375,339,71
hoidma,ära,,,783,140,432,211
võtma,kinni,,,780,257,372,151
tappima,,x,,779,212,370,197
heitma,ette,,,773,36,75,662
andma,edasi,,,770,164,296,310
taunima,,,,761,36,63,662
leiutama,,,,758,120,429,209
täpsustama,,,,753,108,145,500
varjutama,,,,753,137,188,428
reetma,,,,752,111,221,420
tooma,sisse,,,744,180,270,294
viskama,välja,,,740,287,310,143
matma,,,,739,244,260,235
tõotama,,,,739,63,68,608
toitma,,,,735,58,74,603
tarvitama,,,,733,63,96,574
loopima,,,,732,96,112,524
saama,kaasa,,,730,116,420,194
valgustama,,,,728,68,67,593
pühkima,,,,725,226,279,220
lugema,ette,,,723,220,256,247
harjutama,,,,719,36,67,616
levitama,,,,718,46,82,590
viima,välja,,,717,220,303,194
teenindama,,,,715,46,103,566
rikkuma,ära,,,714,187,388,139
salvestama,,,,709,189,272,248
leevendama,,,,707,61,70,576
väärtustama,,,,706,33,83,590
kompenseerima,,,,705,143,226,336
testima,,,,701,56,56,589
abistama,,,,699,86,71,542
ravima,,,,699,99,99,501
propageerima,,,,697,31,53,613
panema,peale,,,693,275,262,156
liitma,,,,685,206,203,276
ilmestama,,,x,683,69,80,534
likvideerima,,,,680,164,319,197
jätma,välja,,,679,275,303,101
kavatsema,,,,679,114,217,348
blokeerima,,,,676,149,281,246
panema,üles,,,676,228,267,181
hoidma,kinni,,,674,131,139,404
süvendama,,,,672,48,65,559
andma,ära,,,671,163,319,189
tarbima,,,,670,63,87,520
liigutama,,,,664,91,99,474
tõlkima,,,,663,202,225,236
lugema,läbi,,,661,262,275,124
maalima,,,,657,102,202,353
tõlgendama,,,,657,27,83,547
kahandama,,,,656,49,94,513
igatsema,,,,654,47,57,550
saama,kätte,,,654,44,578,32
saama,valmis,,,654,113,397,144
kirjutama,alla,,,648,154,362,132
võtma,tagasi,,,648,181,332,135
tõmbama,välja,,,647,155,346,146
pühendama,,,,641,142,336,163
viima,kaasa,,,639,150,258,231
kannatama,välja,,,638,85,175,378
pildistama,,,,638,73,67,498
sõitma,,,,637,70,215,352
kimbutama,,,,635,72,49,514
ärritama,,,,634,66,57,511
kiruma,,,,633,47,51,535
püüdma,kinni,,,633,174,330,129
andma,tagasi,,,630,174,315,141
puhuma,,,,630,158,243,229
tegema,lahti,,,629,190,336,103
nähtuma,,,,628,151,46,431
vastutama,,,,626,111,422,93
kiirendama,,,,624,31,73,520
pesema,,,,624,207,156,261
pidurdama,,,,624,39,107,478
kutsuma,üles,,,621,64,95,462
laduma,,,,620,182,162,276
võõrustama,,,,619,75,88,456
jahtima,,,,618,45,39,534
alandama,,,,613,41,164,408
uuendama,,,,611,71,149,391
allkirjastama,,,,610,128,350,132
mahutama,,,,609,72,142,395
riputama,,,,608,192,237,179
pärssima,,,,607,39,67,501
rentima,,,,606,120,213,273
elama,,,x,605,134,115,356
kohustama,,,,604,89,92,423
unustama,ära,,,600,197,267,136
tegema,valmis,,,594,181,261,152
tõukama,,,,593,130,226,237
panema,sisse,,,592,177,249,166
raskendama,,,,592,39,28,525
eirama,,,,591,10,74,507
finantseerima,,,,591,60,86,445
sõidutama,,,,589,116,191,282
riivama,,,,588,49,75,464
informeerima,,,,585,56,72,457
silmitsema,,,,585,40,55,490
prognoosima,,,,583,22,79,482
vigastama,,,,581,44,104,433
ehtima,,,,580,81,98,401
põletama,,,,580,117,132,331
lülitama,välja,,,579,202,280,97
solvama,,,,576,65,52,459
sihtima,,,,575,36,88,451
õhutama,,,,575,47,51,477
jätma,ära,,,573,181,290,102
ajama,taga,,,568,38,32,498
sõimama,,,,568,113,57,398
leppima,kokku,,,567,148,299,120
haldama,,,,564,61,91,412
jäädvustama,,,,563,97,199,267
otsima,välja,,,563,244,234,85
jaguma,,x,,561,8,35,518
tirima,,,,561,123,208,230
kutsuma,kokku,,,559,231,206,122
kärpima,,,,557,40,95,422
panema,maha,,,557,162,278,117
ehmatama,,,,556,92,104,360
tõendama,,,,556,34,77,445
korjama,kokku,,,555,284,98,173
kätkema,,,,554,16,41,497
karjuma,,,,552,217,165,170
saatma,välja,,,548,159,188,201
jätma,kõrvale,,,547,250,231,66
korrastama,,,,547,78,133,336
tagastama,,,,547,142,251,154
defineerima,,,,543,109,154,280
nõustama,,,,543,55,49,439
laskma,välja,,,541,126,203,212
venitama,,,,538,76,199,263
puistama,,,,536,71,88,377
sõnastama,,,,534,112,284,138
säästma,,,,531,68,84,379
võimendama,,,,531,34,57,440
kohama,,,,530,28,26,476
pärima,,,,530,96,261,173
imema,,,,529,144,139,246
määrima,,,,528,96,118,314
ajama,välja,,,527,179,161,187
ehitama,üles,,,527,97,278,152
veenma,,,,527,47,75,405
läkitama,,,,526,112,202,212
ajendama,,,,525,46,128,351
kahetsema,,,,525,36,35,454
panema,ette,,,525,195,237,93
taguma,,,,522,108,101,313
kandideerima,,x,,521,128,214,179
ostma,kokku,,,521,100,86,335
juhatama,sisse,,,518,139,309,70
kooskõlastama,,,,518,138,194,186
korvama,,,,517,119,164,234
noppima,,,,515,121,171,223
pidama,vastu,,x,515,120,210,185
küsitlema,,,,514,45,46,423
täheldama,,,,510,18,30,462
ytlema,,,,509,272,136,101
ootama,ära,,,505,145,301,59
hülgama,,,,504,131,276,97
ülistama,,,,504,29,45,430
kuulama,ära,,,503,194,238,71
lükkama,ümber,,,502,166,170,166
saama,sisse,,,501,111,214,176
teenima,ära,,,500,83,272,145
ummistama,,,,499,126,139,234
õnnitlema,,,,498,94,43,361
kaotama,ära,,,495,138,278,79
annetama,,,,494,107,204,183
pommitama,,,,494,48,88,358
kaasama,,,,491,103,135,253
viitsima,,,x,487,152,156,179
jaotama,,,,486,158,153,175
hüüdma,,,,484,151,113,220
peletama,,,,483,143,109,231
selgitama,välja,,,483,191,191,101
tassima,,,,483,56,123,304
saama,läbi,,x,482,166,186,130
vabandama,,,,482,98,123,261
laskma,läbi,,,481,121,144,216
võtma,üles,,,481,130,222,129
meisterdama,,,,480,91,172,217
laskma,lahti,,,479,158,222,99
lennutama,,,,478,77,174,227
andma,juurde,,,475,38,64,373
rammima,,,,475,56,110,309
minetama,,,,474,58,296,120
kuuluma,,x,,473,18,89,366
petma,,,,473,82,74,317
asuma,,x,,472,25,92,355
leidma,eest,,,472,102,240,130
saama,täis,,,468,78,93,297
pahandama,,,,467,71,96,300
tooma,juurde,,,467,41,52,374
näitama,üles,,,466,20,19,427
kaaluma,üles,,,465,166,230,69
ahistama,,,,463,43,32,388
julgema,,,x,461,150,104,207
poetama,,,,461,80,182,199
tõstma,üles,,,461,119,253,89
töötama,,,x,461,115,136,210
närima,,,,459,67,68,324
tunduma,,x,,459,107,93,259
vajuma,,x,,459,91,191,177
jätma,rahule,,,458,309,69,80
rabama,,,,458,70,151,237
tantsima,,,,458,118,134,206
võtma,lahti,,,458,187,198,73
arvustama,,,,456,27,44,385
realiseerima,,,,456,107,161,188
tooma,kokku,,,455,116,94,245
värvima,,,,454,130,158,166
valitsema,,,,453,15,35,403
keerutama,,,,452,50,96,306
jälitama,,,,449,55,44,350
ignoreerima,,,,448,23,21,404
illustreerima,,,,448,41,53,354
töötlema,,,,448,48,79,321
dikteerima,,,,447,94,138,215
keelustama,,,,442,124,253,65
deklareerima,,,,441,60,100,281
innustama,,,,440,39,26,375
nihutama,,,,440,69,157,214
lülitama,,,,438,97,209,132
saatma,tagasi,,,437,118,214,105
värbama,,,,437,80,133,224
kukutama,,,,435,110,212,113
panema,püsti,,,435,117,229,89
etendama,,,,434,42,82,310
jutustama,,,,434,104,162,168
konfiskeerima,,,,434,91,124,219
põrutama,,,,433,56,202,175
külvama,,,,431,46,83,302
kohendama,,,,428,36,71,321
katsuma,,,,427,61,59,307
investeerima,,,,426,61,172,193
keelama,ära,,,425,105,267,53
koristama,,,,424,102,109,213
köitma,,,,423,65,69,289
koguma,kokku,,,420,186,100,134
kutsuma,välja,,,419,136,192,91
arvutama,,,,418,87,156,175
hirmutama,,,,417,57,31,329
koordineerima,,,,415,39,40,336
hõlbustama,,,,414,16,27,371
kütma,,,,413,84,119,210
virutama,,,,412,53,214,145
edendama,,,,411,14,48,349
kandma,ette,,,411,116,160,135
projekteerima,,,,410,113,192,105
hüvitama,,,,408,117,151,140
määrama,ära,,,408,113,248,47
tasakaalustama,,,,407,37,75,295
andma,kaasa,,,406,99,194,113
ergutama,,,,406,26,29,351
kummitama,,,,406,41,33,332
lõpetama,ära,,,406,147,222,37
õppima,ära,,,405,99,229,77
suudlema,,,,402,70,69,263
häbenema,,,,399,27,22,350
rahustama,,,,399,35,34,330
saama,lahti,,,397,92,143,162
eksponeerima,,,,395,17,44,334
otsima,taga,,,395,92,24,279
saama,vastu,,,395,89,143,163
koolitama,,,,394,30,21,343
märkima,ära,,,394,118,181,95
soojendama,,,,394,65,54,275
lihtsustama,,,,393,15,30,348
tegema,kokku,,,392,47,112,233
alahindama,,,,391,18,21,352
jätma,pooleli,,,389,80,234,75
trükkima,,,,389,79,116,194
veeretama,,,,389,51,130,208
arreteerima,,,,388,96,181,111
istutama,,,,388,94,136,158
kastma,,,,388,91,68,229
sokutama,,,,388,64,164,160
tooma,kohale,,,388,133,131,124
teadvustama,,,,386,35,86,265
vahetama,ära,,,386,169,174,43
kõigutama,,,,385,23,31,331
panema,tähele,,,382,32,35,315
ärgitama,,,,382,36,51,295
paistma,,,,381,26,38,317
lausuma,,,,380,81,117,182
lahkama,,,,379,28,45,306
põlgama,,,,377,17,45,315
kohtlema,,,,375,18,13,344
süstima,,,,375,36,59,280
seadma,üles,,,374,117,149,108
jumaldama,,,,373,20,25,328
lugema,kokku,,,373,121,42,210
peletama,eemale,,,373,151,66,156
lähetama,,,,372,96,137,139
nurjama,,,,372,96,216,60
kallama,,,,371,73,132,166
kergendama,,,,370,22,23,325
maitsma,,,,370,93,43,234
nõustuma,,x,,370,116,134,120
andma,kokku,,,369,39,188,142
viima,kokku,,,369,149,130,90
kiusama,,,,368,70,25,273
lugema,välja,,,366,58,114,194
vihastama,,,,366,47,71,248
viima,edasi,,,366,72,81,213
lohutama,,,,364,23,22,319
erastama,,,,363,76,187,100
uputama,,,,363,76,125,162
remontima,,,,362,64,103,195
tühjendama,,,,362,78,121,163
aitama,kaasa,,,361,86,163,112
kippuma,,,,361,61,82,218
piinama,,,,361,45,40,276
kopeerima,,,,360,52,75,233
kummutama,,,,360,84,148,128
ütlema,välja,,,360,99,150,111
hämmastama,,,,359,47,46,266
lammutama,,,,359,72,125,162
toonitama,,,,359,21,44,294
neelama,alla,,,357,96,162,99
silmama,,,,357,20,30,307
näppima,,,,356,34,50,272
tegema,välja,,,351,67,161,123
treenima,,,,350,19,24,307
võtma,sisse,,,350,89,139,122
julgustama,,,,349,29,19,301
lihvima,,,,349,37,49,263
lõhkuma,ära,,,349,79,202,68
vaagima,,,,348,13,36,299
hammustama,,,,347,34,74,239
hooldama,,,,347,32,50,265
seljatama,,,,347,95,203,49
tõmbama,maha,,,347,125,151,71
seadma,sisse,,,345,94,183,68
ihaldama,,,,343,26,31,286
elama,üle,,,342,70,64,208
kutsuma,tagasi,,,342,164,104,74
korrigeerima,,,,341,24,50,267
vapustama,,,,341,32,43,266
pakkima,,,,340,89,98,153
jätma,vahele,,,338,87,128,123
serveerima,,,,338,32,92,214
rikastama,,,,334,28,49,257
tasuma,,,,334,38,69,227
kujutlema,,,,333,33,26,274
saama,välja,,,333,67,124,142
ristima,,,,332,89,155,88
õnnistama,,,,331,27,64,240
opereerima,,,,330,62,63,205
pigistama,,,,329,52,74,203
tähtsustama,,,,329,17,31,281
õmblema,,,,328,106,83,139
kandma,üle,,,327,74,130,123
käsitama,,,,326,8,35,283
pilduma,,,,326,27,25,274
saatma,laiali,,,326,100,139,87
kandma,kaasas,,,325,24,38,263
kõlbama,,,,325,90,91,144
lööma,välja,,,325,133,110,82
startima,,,,325,104,116,105
õõnestama,,,,325,15,40,270
inspireerima,,,,324,34,45,245
raiuma,,,,322,57,110,155
viima,tagasi,,,322,98,156,68
otsima,läbi,,,321,104,135,82
sattuma,,x,,321,16,69,236
laadima,,,,320,77,84,159
manitsema,,,,320,16,17,287
viljelema,,,,320,12,32,276
stimuleerima,,,,319,9,27,283
jätma,alles,,,318,115,148,55
kamandama,,,,318,67,58,193
laastama,,,,318,41,69,208
kohaldama,,,,317,14,66,237
korjama,üles,,,316,106,133,77
puutuma,,,,316,7,22,287
sõnama,,,x,315,54,110,151
astuma,,,,314,13,131,170
panema,ära,,,314,110,146,58
tarnima,,,,312,44,85,183
tõdema,,,,312,36,62,214
sisestama,,,,311,96,123,92
eksportima,,,,310,20,66,224
