verb,verb_compound,ei_saa_olla_sihitist,kahtlane,total,freq_nom,freq_gen,freq_par
vedama,sisse,,,102,16,26,60
viibima,,x,,102,12,36,54
devalveerima,,,,101,7,22,72
jahvatama,,,,101,27,17,57
kantseldama,,,,101,8,9,84
komplekteerima,,,,101,20,47,34
lunima,,,,101,7,10,84
reglementeerima,,,,101,16,17,68
seadma,kokku,,,101,29,42,30
talutama,,,,101,15,30,56
tõmbama,peale,,,101,40,46,15
ajama,sisse,,,100,25,32,43
hävitama,ära,,,100,43,36,21
kiskuma,lahti,,,100,28,48,24
laskma,peale,,,100,45,25,30
pantima,,,,100,29,38,33
punuma,,,,100,16,27,57
tõmbama,üles,,,100,31,45,24
tõukama,tagant,,,100,8,13,79
ärandama,,,,100,20,59,21
alavääristama,,,,99,4,1,94
esinema,,,,99,5,17,77
hingama,sisse,,,99,10,20,69
laitma,maha,,,99,21,51,27
lõhnama,,,,99,21,45,33
modelleerima,,,,99,12,28,59
panema,vastu,,,99,23,44,32
pitsitama,,,,99,10,7,82
salgama,maha,,,99,19,45,35
seadma,ette,,,99,29,48,22
tiirutama,,,,99,21,29,49
tõmbama,sisse,,,99,26,35,38
uurima,läbi,,,99,39,35,25
vaevlema,,,,99,20,38,41
võitma,tagasi,,,99,21,46,32
aheldama,,,,98,23,38,37
aimuma,,,,98,0,6,92
hõiskama,,,,98,21,32,45
keerama,ette,,,98,38,43,17
kõmmutama,,,,98,14,31,53
loksutama,,,,98,10,11,77
panema,külge,,,98,48,27,23
patenteerima,,,,98,13,55,30
sõdima,,,,98,18,39,41
sõeluma,välja,,,98,55,19,24
võrgutama,,,,98,16,31,51
ilutsema,,,,97,20,34,43
kajastuma,,,,97,25,25,47
kirjutama,ümber,,,97,31,15,51
lekitama,,,,97,21,30,46
minema,ära,,,97,31,31,35
mängima,kaasa,,,97,22,29,46
poseerima,,,,97,24,44,29
purunema,,,,97,37,27,33
sukelduma,,,,97,11,33,53
sõitma,läbi,,,97,65,14,18
vehkima,,,,97,24,27,46
võitlema,,,,97,13,42,42
aitama,edasi,,,96,7,13,76
eskortima,,,,96,13,32,51
kasvama,,,,96,10,16,70
lahjendama,,,,96,9,13,74
laskma,ligi,,,96,8,16,72
looma,kokku,,,96,27,28,41
lüpsma,,,,96,14,24,58
masseerima,,,,96,10,10,76
niisutama,,,,96,14,8,74
onama,,,,96,49,22,25
ostma,kaasa,,,96,16,26,54
sodima,,,,96,13,25,58
suretama,,,,96,27,22,47
valama,peale,,,96,50,14,32
valguma,,,,96,13,21,62
ahendama,,,,95,7,13,75
emiteerima,,,,95,18,20,57
esietenduma,,,,95,17,56,22
haarama,kinni,,,95,24,49,22
kammima,läbi,,,95,31,28,36
lööma,üles,,,95,31,44,20
mõtestama,lahti,,,95,21,33,41
nihkuma,,,,95,10,38,47
saama,alles,,,95,15,47,33
tiivustama,,,,95,11,7,77
auditeerima,,,,94,11,23,60
hüppama,,,,94,12,34,48
isoleerima,,,,94,28,37,29
käitama,,,,94,8,13,73
lahvatama,,,,94,23,36,35
müütama,,,,94,4,3,87
panema,otsa,,,94,28,38,28
pillama,maha,,,94,18,56,20
sundima,peale,,,94,16,25,53
tampima,,,,94,16,26,52
tõukama,eemale,,,94,27,31,36
uinutama,,,,94,26,18,50
diskrediteerima,,,,93,4,12,77
kangutama,lahti,,,93,24,39,30
keerama,peale,,,93,31,36,26
rebima,ära,,,93,23,55,15
sepitsema,,,,93,5,26,62
solvuma,,,,93,41,37,15
sööma,välja,,,93,32,34,27
laskma,täis,,,92,29,28,35
looma,maha,,,92,27,52,13
mõõtma,ära,,,92,31,54,7
nikkuma,,,,92,24,18,50
saastama,,,,92,15,16,61
simuleerima,,,,92,6,10,76
teretama,,,,92,23,15,54
vestma,,,,92,10,23,59
kantima,,,,91,26,22,43
kükitama,,,,91,26,42,23
kündma,,,,91,12,17,62
mahendama,,,,91,5,6,80
mobiliseerima,,,,91,21,19,51
näksima,,,,91,5,10,76
rahustama,maha,,,91,39,39,13
suruma,kokku,,,91,45,21,25
töötama,läbi,,,91,29,21,41
tümitama,,,,91,9,9,73
usutlema,,,,91,13,3,75
vaatama,kõrvalt,,,91,6,5,80
võitlema,välja,,,91,12,57,22
ässitama,,,,91,19,14,58
ennistama,,,,90,28,42,20
inspekteerima,,,,90,4,11,75
kandma,laiali,,,90,16,23,51
koolitama,välja,,,90,17,26,47
paluma,tagasi,,,90,65,13,12
puhastama,ära,,,90,33,49,8
päästma,lahti,,,90,25,52,13
põlastama,,,,90,5,5,80
tekitama,juurde,,,90,2,7,81
tilgutama,,,,90,5,13,72
tungima,,,,90,3,24,63
idealiseerima,,,,89,5,5,79
kujunema,,,,89,9,19,61
lahendama,ära,,,89,27,38,24
mängima,ära,,,89,26,35,28
riskima,,,,89,17,26,46
smugeldama,,,,89,7,23,59
järjestama,,,,88,41,8,39
keerama,ära,,,88,35,37,16
koputama,,,,88,11,54,23
lendama,,,,88,8,18,62
müksama,,,,88,15,9,64
pesema,maha,,,88,24,29,35
rääkima,välja,,,88,29,29,30
siirdama,,,,88,19,37,32
valutama,,,,88,41,17,30
viima,kohale,,,88,33,31,24
ära,,,,88,0,12,76
õngitsema,välja,,,88,22,48,18
kuulatama,,,,87,8,8,71
kõditama,,,,87,11,8,68
meelitama,ligi,,,87,9,6,72
osatama,,,,87,4,13,70
plaanitsema,,,,87,3,4,80
suruma,välja,,,87,33,36,18
toetama,kokku,,,87,4,10,73
tõstma,maha,,,87,16,46,25
võluma,välja,,,87,11,43,33
hirmutama,ära,,,86,45,28,13
kaklema,,,,86,41,26,19
kandma,ära,,,86,16,38,32
kolima,,,,86,14,28,44
kompromiteerima,,,,86,8,10,68
laostama,,,,86,16,33,37
lipsama,,,,86,14,29,43
magama,,,,86,25,18,43
naeratama,,,,86,19,25,42
paljundama,,,,86,11,17,58
trumpama,üle,,,86,35,26,25
tõrvama,,,,86,19,9,58
viibutama,,,,86,5,9,72
esitama,kokku,,,85,10,24,51
jõustuma,,,,85,11,35,39
korraldama,ümber,,,85,22,29,34
looma,sisse,,,85,20,43,22
marssima,,,,85,9,30,46
naima,,,,85,25,21,39
nuputama,,,,85,9,17,59
paotama,,,,85,11,24,50
pooma,,,,85,26,22,37
revideerima,,,,85,6,11,68
rüvetama,,,,85,7,14,64
siduma,kokku,,,85,34,26,25
võrduma,,,,85,23,33,29
hägustama,,,,84,5,9,70
kujundama,välja,,,84,21,51,12
küürima,,,,84,15,17,52
lapsendama,,,,84,22,53,9
leotama,,,,84,10,9,65
tellima,ära,,,84,33,46,5
triikima,,,,84,23,10,51
vorpima,,,,84,5,6,73
järama,,,,83,8,12,63
kaevama,üles,,,83,29,36,18
kustuma,,,,83,26,25,32
leidma,kokku,,,83,3,14,66
loosima,,,,83,26,28,29
ootama,tagasi,,,83,9,11,63
pidama,ära,,,83,22,47,14
ronima,,,,83,10,29,44
taaselustama,,,,83,21,34,28
vihastama,välja,,,83,42,29,12
haisema,,,,82,32,27,23
heitlema,,,,82,19,47,16
hindama,heaks,,,82,4,13,65
kinkima,ära,,,82,22,39,21
kirjutama,maha,,,82,28,25,29
kordama,üle,,,82,35,28,19
kriipima,,,,82,4,11,67
luurama,,,,82,13,13,56
nüpeldama,,,,82,5,13,64
talitama,,,,82,17,28,37
tuiskama,,,,82,8,32,42
tähendama,üles,,,82,28,21,33
tähtsustama,üle,,,82,5,4,73
üldistama,,,,82,18,15,49
ajama,peale,,,81,28,33,20
figureerima,,,,81,15,23,43
kirjutama,juurde,,,81,20,18,43
kiskuma,alla,,,81,20,24,37
kuulama,pealt,,,81,9,3,69
looma,puruks,,,81,20,50,11
lükkama,ette,,,81,18,47,16
nuputama,välja,,,81,9,37,35
sigitama,,,,81,8,22,51
toppima,sisse,,,81,17,30,34
värisema,,,,81,39,19,23
väärama,,,,81,6,8,67
eksima,,,,80,16,21,43
keerama,üles,,,80,28,31,21
laskma,üle,,,80,36,25,19
looma,lahti,,,80,10,57,13
lugema,ära,,,80,34,29,17
murdma,ära,,,80,33,31,16
naasma,,,,80,4,24,52
nikerdama,,,,80,11,19,50
panema,vahele,,,80,29,21,30
pesema,ära,,,80,41,27,12
pinnima,,,,80,12,10,58
promoma,,,,80,3,6,71
päädima,,,,80,14,41,25
põlistama,,,,80,20,33,27
sikutama,välja,,,80,19,39,22
soojendama,üles,,,80,20,34,26
tegema,üle,,,80,18,32,30
viima,üle,,,80,22,36,22
vurama,,,,80,12,24,44
ajama,täis,,,79,22,19,38
digima,,,,79,34,16,29
elimineerima,,,,79,20,40,19
kosutama,,,,79,9,7,63
laotama,laiali,,,79,31,29,19
lõhkuma,maha,,,79,26,37,16
pihtima,,,,79,20,20,39
pihustama,,,,79,11,16,52
piitsutama,,,,79,6,7,66
rebima,maha,,,79,27,30,22
tooma,üle,,,79,14,39,26
ööbima,,,,79,21,29,29
asetsema,,,,78,13,37,28
julgestama,,,,78,3,7,68
kratsima,,,,78,8,12,58
kvalifitseerima,,,,78,18,28,32
laskma,ära,,,78,21,32,25
lehvima,,,,78,27,25,26
määrima,ära,,,78,19,39,20
mõtisklema,,,,78,6,48,24
nakatuma,,,,78,8,20,50
pistma,sisse,,,78,18,48,12
reformima,,,,78,3,20,55
riietama,,,,78,20,20,38
saatma,ette,,,78,20,38,20
saatma,mööda,,,78,19,35,24
sakutama,,,,78,7,10,61
spondeerima,,,,78,8,8,62
teenima,kokku,,,78,9,21,48
tegema,täis,,,78,15,30,33
utsitama,,,,78,6,3,69
viima,eemale,,,78,27,32,19
võidutsema,,,,78,28,41,9
andma,kätte,,,77,4,72,1
kaebama,edasi,,,77,7,59,11
klassifitseerima,,,,77,26,22,29
paluma,ära,,,77,36,22,19
rullima,,,,77,21,20,36
sponsoreerima,,,,77,3,11,63
tegema,ilma,,,77,25,18,34
tüssama,,,,77,5,6,66
kirjutama,lahti,,,76,30,20,26
loetlema,üles,,,76,46,4,26
lööma,ette,,,76,13,40,23
lükkama,lahti,,,76,17,37,22
morjendama,,,,76,7,3,66
nuruma,,,,76,5,11,60
purskama,,,,76,9,11,56
sakkima,,,,76,35,26,15
skandeerima,,,,76,28,10,38
suunduma,,,,76,5,13,58
sõitma,välja,,,76,12,36,28
trampima,,,,76,21,18,37
varisema,,,,76,13,25,38
eralduma,,,,75,8,10,57
haukama,,,,75,10,12,53
hääletama,maha,,,75,20,44,11
kiskuma,ära,,,75,20,34,21
kloonima,,,,75,14,21,40
masendama,,,,75,7,6,62
mattuma,,,,75,3,39,33
stabiliseerima,,,,75,2,20,53
tegema,alla,,,75,13,31,31
toestama,,,,75,5,11,59
varisema,kokku,,,75,19,28,28
ähmastama,,,,75,7,14,54
hoovama,,,,74,0,5,69
krahmama,,,,74,12,35,27
küsima,tagasi,,,74,22,19,33
meelitama,kokku,,,74,10,17,47
mähkima,,,,74,19,26,29
nurisema,,,,74,10,48,16
näima,pealt,,,74,5,1,68
raiuma,maha,,,74,25,26,23
saama,peksma,,,74,30,24,20
viskama,peale,,,74,26,26,22
õnnistama,sisse,,,74,16,48,10
jälgima,kõrvalt,,,73,5,4,64
kavaldama,üle,,,73,30,27,16
keerama,maha,,,73,26,32,15
komplitseerima,,,,73,2,8,63
litsuma,,,,73,16,24,33
lööma,läbi,,,73,25,28,20
lükkama,kokku,,,73,28,19,26
nussima,,,,73,20,21,32
rentima,välja,,,73,21,23,29
subsideerima,,,,73,1,1,71
sündima,,,,73,6,12,55
troonima,,,,73,13,29,31
tõstma,ümber,,,73,18,22,33
vaatama,ringi,,,73,30,26,17
vedama,edasi,,,73,13,7,53
ülehindama,,,,73,1,6,66
diferentseerima,,,,72,12,10,50
imema,välja,,,72,16,30,26
irvitama,,,,72,22,28,22
ketrama,,,,72,5,12,55
kirjutama,ära,,,72,22,36,14
käristama,,,,72,14,31,27
lõppema,,,,72,8,21,43
mainima,ära,,,72,17,38,17
muserdama,,,,72,6,7,59
mõlgutama,,,,72,5,5,62
potsatama,,,,72,8,26,38
roomama,,,,72,17,24,31
sõimama,läbi,,,72,21,43,8
tankima,,,,72,8,21,43
vedama,laiali,,,72,18,14,40
ühtima,,,,72,21,32,19
ajama,tagasi,,,71,18,14,39
jõustama,,,,71,21,35,15
kutsuma,ära,,,71,32,24,15
käänama,,,,71,18,36,17
küpsema,,,,71,16,27,28
lõhkama,,,,71,8,33,30
osutuma,,,,71,3,15,53
presenteerima,,,,71,0,7,64
projitseerima,,,,71,21,19,31
raputama,maha,,,71,28,26,17
reekima,,,,71,34,14,23
ristama,,,,71,24,19,28
ruttama,,,,71,8,19,44
rääkima,lahti,,,71,19,23,29
selekteerima,välja,,,71,42,10,19
taastootma,,,,71,6,3,62
tegema,heaks,,,71,22,27,22
tiksuma,,,,71,11,22,38
tulvama,,,,71,1,17,53
tõstma,püsti,,,71,24,33,14
varjama,ära,,,71,18,39,14
viivitama,,,,71,9,29,33
võistlema,,,,71,12,24,35
arvutama,kokku,,,70,25,21,24
juhtuma,,,,70,6,9,55
kandma,kokku,,,70,12,15,43
kohustuma,,,,70,24,20,26
komponeerima,,,,70,12,21,37
proovima,läbi,,,70,35,9,26
segama,ära,,,70,25,21,24
tormama,,,,70,4,18,48
vältama,,,,70,14,28,28
haakima,,,,69,15,32,22
järeldama,,,,69,12,11,46
klõbistama,,,,69,8,15,46
kodeerima,,,,69,11,15,43
madaldama,,,,69,4,9,56
pühkima,ära,,,69,20,38,11
sulguma,,,,69,12,27,30
tärkama,,,,69,17,21,31
tõmbama,läbi,,,69,25,31,13
võluma,ära,,,69,24,37,8
ülendama,,,,69,15,21,33
kaaperdama,,,,68,8,40,20
keerama,sisse,,,68,23,33,12
klikkima,,,,68,21,12,35
kraamima,välja,,,68,29,34,5
kupatama,,,,68,18,30,20
laulma,kaasa,,,68,13,14,41
läitma,,,,68,11,42,15
lööma,vastu,,,68,14,22,32
miksima,,,,68,12,14,42
muukima,lahti,,,68,15,36,17
nahutama,,,,68,3,3,62
pöörama,ümber,,,68,20,26,22
raiskama,ära,,,68,17,31,20
seadma,valmis,,,68,23,24,21
timmima,,,,68,9,15,44
tõmbama,üle,,,68,27,30,11
usutama,,,,68,4,2,62
vaikima,maha,,,68,17,36,15
vedama,kokku,,,68,15,11,42
õilistama,,,,68,6,9,53
eestima,,,,67,19,13,35
kosima,,,,67,11,32,24
meisterdama,valmis,,,67,12,32,23
pidama,ülal,,,67,4,4,59
pisendama,,,,67,4,9,54
rookima,,,,67,17,20,30
sanktsioneerima,,,,67,11,33,23
sõrmitsema,,,,67,3,13,51
tohterdama,,,,67,2,3,62
tohtima,,,,67,2,14,51
toimetama,kohale,,,67,27,23,17
tulema,välja,,,67,7,18,42
vajama,juurde,,,67,3,3,61
hindama,ümber,,,66,22,11,33
intensiivistama,,,,66,1,4,61
lagunema,,,,66,16,23,27
laskma,tagasi,,,66,15,24,27
looma,kaasa,,,66,19,17,30
niitma,maha,,,66,26,20,20
pomisema,,,,66,11,16,39
söötma,ette,,,66,16,18,32
teritama,,,,66,5,11,50
väsima,,,,66,17,9,40
võitma,juurde,,,66,2,4,60
õrritama,,,,66,7,5,54
heiskama,,,,65,17,34,14
joonistama,välja,,,65,20,26,19
kujundama,ümber,,,65,13,18,34
kummarduma,,,,65,13,45,7
kõndima,,,,65,10,13,42
lugema,sisse,,,65,19,23,23
murdma,läbi,,,65,13,36,16
mängima,sisse,,,65,22,20,23
omama,ära,,,65,30,25,10
rääkima,läbi,,,65,24,26,15
rühkima,,,,65,10,28,27
siginema,,,,65,6,6,53
togima,,,,65,5,5,55
venitama,välja,,,65,12,32,21
heietama,,,,64,6,5,53
keevitama,,,,64,15,16,33
kompima,,,,64,6,2,56
konstateerima,,,,64,2,18,44
kukutama,läbi,,,64,19,34,11
lepitama,,,,64,20,13,31
lugema,maha,,,64,22,18,24
mõistma,hukka,,,64,11,40,13
müüma,välja,,,64,21,10,33
narrima,,,,64,5,3,56
paisuma,,,,64,15,20,29
patrullima,,,,64,4,19,41
planeerima,ette,,,64,7,14,43
saatma,vastu,,,64,17,27,20
seilama,,,,64,18,15,31
tippima,,,,64,11,21,32
toitma,ära,,,64,15,24,25
venima,,,,64,14,19,31
aimama,ette,,,63,0,2,61
jahuma,,,,63,17,14,32
kiskuma,üles,,,63,18,22,23
kühveldama,,,,63,6,16,41
lahterdama,,,,63,20,11,32
laotuma,,,,63,43,5,15
lobisema,,,,63,18,18,27
loksuma,,,,63,13,17,33
manama,esile,,,63,10,25,28
muljuma,,,,63,4,15,44
nullima,ära,,,63,22,35,6
oksendama,,,,63,12,20,31
panema,lukku,,,63,24,26,13
põikama,,,,63,9,29,25
sedastama,,,,63,10,27,26
soovima,tagasi,,,63,3,9,51
sättima,üles,,,63,17,24,22
sõltuma,,,,63,3,12,48
tsementeerima,,,,63,7,13,43
viitma,,,,63,14,19,30
keerama,ümber,,,62,18,30,14
klõpsima,,,,62,11,12,39
laiuma,,,,62,11,17,34
lükkama,alla,,,62,18,30,14
mahutama,ära,,,62,13,18,31
naerutama,,,,62,4,4,54
näitlikustama,,,,62,2,6,54
orgunnima,,,,62,20,23,19
pakkima,lahti,,,62,17,25,20
parafraseerima,,,,62,11,12,39
pöörama,ära,,,62,21,24,17
raatsima,,,,62,7,9,46
rehkendama,,,,62,8,12,42
tulenema,,,,62,2,13,47
veristama,,,,62,10,12,40
väsitama,ära,,,62,21,24,17
ennustama,ette,,,61,8,4,49
haigutama,,,,61,20,20,21
hääletama,välja,,,61,16,30,15
kasseerima,sisse,,,61,11,23,27
keerutama,üles,,,61,9,14,38
kolkima,,,,61,6,14,41
küüditama,,,,61,13,11,37
levima,,,,61,7,7,47
nosima,,,,61,4,3,54
nõudma,kokku,,,61,3,10,48
pidutsema,,,,61,18,26,17
piserdama,,,,61,4,7,50
pistma,välja,,,61,15,31,15
sasima,,,,61,6,13,42
tonksama,,,,61,3,14,44
tootma,juurde,,,61,1,2,58
vaevuma,,,,61,7,5,49
vibutama,,,,61,4,5,52
viskama,üle,,,61,29,23,9
voorima,,,,61,1,10,50
hautama,,,,60,24,3,33
hilinema,,,,60,5,28,27
mugima,,,,60,0,6,54
munema,,,,60,13,18,29
pillutama,,,,60,4,8,48
purjetama,,,,60,10,35,15
putitama,,,,60,6,9,45
puuduma,,,,60,8,12,40
pügama,,,,60,10,11,39
rääkima,edasi,,,60,15,13,32
taasavastama,,,,60,13,27,20
taastuma,,,,60,14,22,24
teadma,ära,,,60,22,22,16
tikkima,,,,60,17,17,26
tunglema,,,,60,7,14,39
vaatama,edasi,,,60,11,6,43
villima,,,,60,5,12,43
abielluma,,,,59,7,32,20
assisteerima,,,,59,12,9,38
kyssima,,,,59,22,11,26
laulma,sisse,,,59,24,26,9
pakkuma,kokku,,,59,5,7,47
peegeldama,tagasi,,,59,12,20,27
pruunistama,,,,59,34,5,20
resümeerima,,,,59,9,18,32
ruineerima,,,,59,4,17,38
seadistama,,,,59,16,15,28
sugema,,,,59,4,7,48
tapsima,,,,59,8,32,19
teenima,tagasi,,,59,16,20,23
tegema,vastu,,,59,10,24,25
tögama,,,,59,5,2,52
vaatama,sisse,,,59,7,42,10
valama,täis,,,59,12,16,31
võitma,kokku,,,59,5,16,38
võõpama,,,,59,15,13,31
ajama,segi,,,58,18,20,20
karjatama,,,,58,10,9,39
keerama,tagasi,,,58,15,27,16
konkretiseerima,,,,58,8,10,40
kraamima,,,,58,11,19,28
kõrvetama,ära,,,58,20,27,11
lõhkema,,,,58,13,17,28
lükkuma,edasi,,,58,25,20,13
mitmekesistama,,,,58,1,7,50
musitama,,,,58,13,4,41
nottima,maha,,,58,15,16,27
oopima,,,,58,29,9,20
panema,mööda,,,58,23,24,11
printima,välja,,,58,20,26,12
publitseerima,,,,58,8,21,29
saatma,peale,,,58,23,20,15
sujuma,,,,58,15,14,29
talitsema,,,,58,2,4,52
trükkima,välja,,,58,20,25,13
tulistama,alla,,,58,9,26,23
tõmbama,täis,,,58,13,15,30
tõrkuma,,,,58,10,13,35
väristama,,,,58,2,3,53
võtma,täis,,,58,13,19,26
ebaõnnestuma,,,,57,10,21,26
jooma,maha,,,57,18,23,16
kasima,,,,57,14,14,29
keskenduma,,,,57,4,21,32
kestma,,,,57,11,4,42
kiusama,taga,,,57,3,1,53
korjama,välja,,,57,19,12,26
kraapima,kokku,,,57,12,16,29
kriipsutama,alla,,,57,8,7,42
kusema,,,,57,17,17,23
kuulama,läbi,,,57,19,20,18
laduma,välja,,,57,21,17,19
programmeerima,,,,57,13,24,20
pugema,,,,57,7,22,28
saama,ilma,,,57,7,26,24
sisenema,,,,57,1,15,41
taotlema,tagasi,,,57,5,8,44
tavatsema,,,,57,11,10,36
tooma,üles,,,57,18,23,16
tsenseerima,,,,57,5,8,44
tuuseldama,,,,57,4,7,46
tõstma,ette,,,57,10,23,24
vuristama,,,,57,4,17,36
võtma,vahele,,,57,10,23,24
ylema,,,,57,20,14,23
ajama,ümber,,,56,9,22,25
arestima,,,,56,19,19,18
debüteerima,,,,56,27,16,13
faksima,,,,56,14,27,15
hõikama,välja,,,56,15,24,17
kugistama,,,,56,5,8,43
kõlistama,,,,56,2,11,43
nuiama,,,,56,7,14,35
nurjuma,,,,56,11,22,23
nuuskima,,,,56,6,4,46
pühenduma,,,,56,6,27,23
rehabiliteerima,,,,56,17,13,26
röökima,,,,56,13,16,27
saagima,maha,,,56,16,27,13
saatma,järele,,,56,18,25,13
toimetama,välja,,,56,11,27,18
toimima,,,,56,4,9,43
torpedeerima,,,,56,5,11,40
vallanduma,,,,56,13,15,28
välgatama,,,,56,15,10,31
ajama,eemale,,,55,20,11,24
esitama,vastu,,,55,14,34,7
helisema,,,,55,20,17,18
hoiduma,,,,55,3,10,42
hääletama,sisse,,,55,13,28,14
igatsema,tagasi,,,55,2,6,47
kerjama,,,,55,6,4,45
kollektsioneerima,,,,55,0,1,54
konserveerima,,,,55,10,26,19
kritseldama,,,,55,14,15,26
kruvima,üles,,,55,17,13,25
kõrguma,,,,55,12,12,31
leiduma,,,,55,0,2,53
liigendama,,,,55,4,15,36
lööma,tagasi,,,55,20,23,12
lükkuma,,,,55,11,30,14
meelitama,ära,,,55,15,18,22
mõtlema,peale,,,55,11,24,20
reageerima,,,,55,4,21,30
rullima,lahti,,,55,14,30,11
traumeerima,,,,55,2,3,50
tutvuma,,,,55,1,36,18
uhama,,,,55,12,16,27
viskama,mööda,,,55,18,25,12
ütlema,ette,,,55,13,20,22
hõlmama,kokku,,,54,2,2,50
hüüatama,,,,54,13,14,27
ironiseerima,,,,54,7,27,20
jahutama,maha,,,54,8,26,20
kaisutama,,,,54,6,5,43
kehtima,,,,54,5,19,30
klõpsutama,,,,54,5,7,42
kostma,,,,54,4,9,41
kriimustama,,,,54,4,4,46
kumama,läbi,,,54,6,5,43
lükkama,maha,,,54,11,28,15
mahitama,,,,54,1,5,48
moderniseerima,,,,54,5,12,37
mõtsima,,,,54,24,11,19
nokitsema,,,,54,10,17,27
paigutama,ümber,,,54,15,3,36
pakkuma,juurde,,,54,3,5,46
pidama,välja,,,54,8,19,27
pigistama,kinni,,,54,20,21,13
saama,püsti,,,54,5,29,20
salvama,,,,54,16,4,34
suunama,edasi,,,54,18,18,18
sülitama,välja,,,54,14,22,18
torkama,sisse,,,54,12,35,7
tuupima,,,,54,4,12,38
ulatuma,,,,54,6,13,35
ununema,,,,54,23,10,21
virgutama,,,,54,5,5,44
värvima,üle,,,54,21,25,8
yritama,,,,54,22,17,15
agiteerima,,,,53,1,5,47
edutama,,,,53,10,15,28
grillima,,,,53,13,9,31
hajuma,,,,53,11,17,25
harjuma,,,,53,4,4,45
hüpitama,,,,53,3,4,46
keema,,,,53,18,17,18
küünitama,,,,53,9,24,20
mängima,edasi,,,53,8,14,31
müüma,tagasi,,,53,17,19,17
naerma,välja,,,53,16,26,11
noogutama,,,,53,16,24,13
rabelema,,,,53,19,19,15
sexima,,,,53,17,15,21
sirutama,välja,,,53,24,19,10
suruma,sisse,,,53,13,28,12
tahtma,juurde,,,53,4,2,47
teotama,,,,53,7,3,43
torkama,läbi,,,53,15,21,17
tulema,ette,,,53,7,2,44
vaidlema,vastu,,,53,27,13,13
vannutama,,,,53,8,19,26
varieerima,,,,53,3,6,44
vinguma,,,,53,24,14,15
virisema,,,,53,16,17,20
adresseerima,,,,52,19,22,11
ajama,läbi,,,52,15,24,13
armastama,üle,,,52,4,7,41
arvestama,välja,,,52,10,25,17
avastama,kokku,,,52,5,8,39
jätma,katki,,,52,7,38,7
kergitama,üles,,,52,9,25,18
kopima,,,,52,19,19,14
kuhjuma,,,,52,3,14,35
laekuma,,,,52,4,12,36
lülituma,,,,52,4,15,33
nihestama,,,,52,3,15,34
paugutama,,,,52,7,9,36
peegelduma,,,,52,10,23,19
plaadistama,,,,52,7,19,26
puistama,peale,,,52,23,7,22
pumpama,välja,,,52,8,12,32
põhinema,,,,52,8,14,30
saboteerima,,,,52,2,5,45
tassima,välja,,,52,13,12,27
tooma,täis,,,52,16,23,13
tootma,kokku,,,52,5,7,40
vaatama,järele,,,52,23,16,13
vedama,üles,,,52,13,18,21
viskama,tagasi,,,52,15,30,7
ahvima,,,,51,11,5,35
ajakohastama,,,,51,10,11,30
ergastama,,,,51,0,3,48
hukkuma,,,,51,4,9,38
häkkima,,,,51,17,13,21
immitsema,,,,51,2,9,40
jätma,eemale,,,51,21,24,6
kaapima,,,,51,8,10,33
kisama,,,,51,23,9,19
kuldama,,,,51,6,8,37
kuluma,,,,51,5,15,31
külastama,kokku,,,51,0,7,44
külvama,üle,,,51,14,20,17
laduma,täis,,,51,5,18,28
otsustama,ära,,,51,17,22,12
partsima,,,,51,43,3,5
plaksutama,,,,51,10,15,26
poputama,,,,51,4,2,45
puhuma,üles,,,51,7,23,21
päästma,ära,,,51,15,22,14
pööritama,,,,51,3,10,38
rokkima,,,,51,18,12,21
taganema,,,,51,10,20,21
tuduma,,,,51,27,11,13
tuulutama,,,,51,5,6,40
tõstma,tagasi,,,51,14,28,9
võõristama,,,,51,4,2,45
õnnestuma,,,,51,5,10,36
üürima,välja,,,51,11,18,22
elutsema,,,,50,9,7,34
erinema,,,,50,3,10,37
filtreerima,,,,50,6,12,32
helistama,läbi,,,50,37,0,13
higistama,,,,50,10,12,28
hoidma,paigal,,,50,10,12,28
kaaluma,üle,,,50,29,12,9
kandma,tagasi,,,50,12,21,17
kasutama,kokku,,,50,2,6,42
kirjama,,,,50,15,15,20
kuivama,,,,50,15,16,19
kuulutama,ette,,,50,4,11,35
ladustama,,,,50,4,17,29
looma,kinni,,,50,12,30,8
lustima,,,,50,9,5,36
lõdvestama,,,,50,15,4,31
lööma,püsti,,,50,15,29,6
lükkama,ära,,,50,8,28,14
moondama,,,,50,13,13,24
nõelama,,,,50,4,9,37
nügima,,,,50,8,7,35
populariseerima,,,,50,3,4,43
selekteerima,,,,50,12,6,32
söövitama,,,,50,4,13,33
tõmbama,ette,,,50,15,26,9
vajuma,ära,,,50,21,16,13
vedama,kohale,,,50,11,15,24
võõrastama,,,,50,1,4,45
arvestama,maha,,,49,14,16,19
dramatiseerima,,,,49,7,14,28
kirjutama,peale,,,49,19,19,11
kolistama,,,,49,6,17,26
koosnema,,,,49,6,6,37
laskma,ette,,,49,19,15,15
laskma,kokku,,,49,11,15,23
moosima,,,,49,8,6,35
mõõtma,üle,,,49,28,11,10
osundama,,,,49,6,15,28
paiskama,laiali,,,49,16,10,23
parseldama,maha,,,49,12,20,17
pikkima,,,,49,2,8,39
pintseldama,,,,49,15,10,24
pöörama,tagasi,,,49,12,23,14
ragistama,,,,49,7,14,28
rappima,,,,49,15,6,28
sulanduma,,,,49,1,15,33
sõeluma,,,,49,8,7,34
tagurdama,,,,49,8,27,14
teisendama,,,,49,19,14,16
