Collection,Experiment,Model,Source,Split,LAS
edt,am_experiment_1,malt,train,1,94.80%
edt,am_experiment_1,malt,test,1,85.70%
edt,am_experiment_1,malt,train,2,94.90%
edt,am_experiment_1,malt,test,2,84.30%
edt,am_experiment_1,malt,train,3,94.90%
edt,am_experiment_1,malt,test,3,84.60%
edt,am_experiment_1,malt,train,4,94.90%
edt,am_experiment_1,malt,test,4,83.40%
edt,am_experiment_1,malt,train,5,94.90%
edt,am_experiment_1,malt,test,5,84.70%
edt,am_experiment_1,malt,train,6,95.00%
edt,am_experiment_1,malt,test,6,83.80%
edt,am_experiment_1,malt,train,7,94.90%
edt,am_experiment_1,malt,test,7,84.10%
edt,am_experiment_1,malt,train,8,94.90%
edt,am_experiment_1,malt,test,8,83.40%
edt,am_experiment_1,malt,train,9,94.90%
edt,am_experiment_1,malt,test,9,84.20%
est_ud,am_experiment_1,malt,train,0,93.20%
est_ud,am_experiment_1,malt,test,0,79.60%
est_ud,am_experiment_1,malt,train,1,93.20%
est_ud,am_experiment_1,malt,test,1,79.90%
est_ud,am_experiment_1,malt,train,2,93.20%
est_ud,am_experiment_1,malt,test,2,79.90%
est_ud,am_experiment_1,malt,train,3,93.20%
est_ud,am_experiment_1,malt,test,3,79.90%
est_ud,am_experiment_1,malt,train,4,93.20%
est_ud,am_experiment_1,malt,test,4,79.60%
est_ud,am_experiment_1,malt,train,5,93.10%
est_ud,am_experiment_1,malt,test,5,80.30%
est_ud,am_experiment_1,malt,train,6,93.20%
est_ud,am_experiment_1,malt,test,6,79.80%
est_ud,am_experiment_1,malt,train,7,93.20%
est_ud,am_experiment_1,malt,test,7,80.40%
est_ud,am_experiment_1,malt,train,8,93.20%
est_ud,am_experiment_1,malt,test,8,80.00%
est_ud,am_experiment_1,malt,train,9,93.10%
est_ud,am_experiment_1,malt,test,9,80.30%
edt,gm_experiment_2,udpipe,train,0,90.98%
edt,gm_experiment_2,udpipe,test,0,84.14%
edt,gm_experiment_2,udpipe,train,1,90.95%
edt,gm_experiment_2,udpipe,test,1,84.70%
edt,gm_experiment_2,udpipe,train,2,91.21%
edt,gm_experiment_2,udpipe,test,2,84.58%
edt,gm_experiment_2,udpipe,train,3,90.73%
edt,gm_experiment_2,udpipe,test,3,85.28%
edt,gm_experiment_2,udpipe,train,4,91.06%
edt,gm_experiment_2,udpipe,test,4,85.80%
edt,gm_experiment_2,udpipe,train,5,91.29%
edt,gm_experiment_2,udpipe,test,5,85.14%
edt,gm_experiment_2,udpipe,train,6,91.42%
edt,gm_experiment_2,udpipe,test,6,84.45%
edt,gm_experiment_2,udpipe,train,7,91.15%
edt,gm_experiment_2,udpipe,test,7,85.91%
edt,gm_experiment_2,udpipe,train,8,90.99%
edt,gm_experiment_2,udpipe,test,8,83.69%
edt,gm_experiment_2,udpipe,train,9,90.83%
edt,gm_experiment_2,udpipe,test,9,84.87%
est_ud,gm_experiment_2,udpipe,train,0,89.47%
est_ud,gm_experiment_2,udpipe,test,0,83.62%
est_ud,gm_experiment_2,udpipe,train,1,90.66%
est_ud,gm_experiment_2,udpipe,test,1,84.04%
est_ud,gm_experiment_2,udpipe,train,2,90.53%
est_ud,gm_experiment_2,udpipe,test,2,83.90%
est_ud,gm_experiment_2,udpipe,train,3,90.20%
est_ud,gm_experiment_2,udpipe,test,3,83.30%
est_ud,gm_experiment_2,udpipe,train,4,90.51%
est_ud,gm_experiment_2,udpipe,test,4,84.28%
est_ud,gm_experiment_2,udpipe,train,5,90.57%
est_ud,gm_experiment_2,udpipe,test,5,83.86%
est_ud,gm_experiment_2,udpipe,train,6,90.79%
est_ud,gm_experiment_2,udpipe,test,6,84.09%
est_ud,gm_experiment_2,udpipe,train,7,90.47%
est_ud,gm_experiment_2,udpipe,test,7,83.99%
est_ud,gm_experiment_2,udpipe,train,8,90.73%
est_ud,gm_experiment_2,udpipe,test,8,84.32%
est_ud,gm_experiment_2,udpipe,train,9,90.41%
est_ud,gm_experiment_2,udpipe,test,9,84.25%
edt,gm_experiment_2,malt,train,0,93.60%
edt,gm_experiment_2,malt,test,0,85.10%
edt,gm_experiment_2,malt,train,1,93.60%
edt,gm_experiment_2,malt,test,1,84.60%
edt,gm_experiment_2,malt,train,2,93.60%
edt,gm_experiment_2,malt,test,2,84.60%
edt,gm_experiment_2,malt,train,3,93.40%
edt,gm_experiment_2,malt,test,3,85.50%
edt,gm_experiment_2,malt,train,4,93.50%
edt,gm_experiment_2,malt,test,4,85.50%
edt,gm_experiment_2,malt,train,5,93.60%
edt,gm_experiment_2,malt,test,5,84.60%
edt,gm_experiment_2,malt,train,6,93.60%
edt,gm_experiment_2,malt,test,6,84.60%
edt,gm_experiment_2,malt,train,7,93.50%
edt,gm_experiment_2,malt,test,7,85.70%
edt,gm_experiment_2,malt,train,8,93.70%
edt,gm_experiment_2,malt,test,8,83.70%
edt,gm_experiment_2,malt,train,9,93.50%
edt,gm_experiment_2,malt,test,9,85.30%
est_ud,gm_experiment_2,malt,train,0,93.80%
est_ud,gm_experiment_2,malt,test,0,81.80%
est_ud,gm_experiment_2,malt,train,1,93.80%
est_ud,gm_experiment_2,malt,test,1,81.10%
est_ud,gm_experiment_2,malt,train,2,93.80%
est_ud,gm_experiment_2,malt,test,2,81.00%
est_ud,gm_experiment_2,malt,train,3,93.80%
est_ud,gm_experiment_2,malt,test,3,80.80%
est_ud,gm_experiment_2,malt,train,4,93.80%
est_ud,gm_experiment_2,malt,test,4,81.40%
est_ud,gm_experiment_2,malt,train,5,93.80%
est_ud,gm_experiment_2,malt,test,5,81.60%
est_ud,gm_experiment_2,malt,train,6,93.80%
est_ud,gm_experiment_2,malt,test,6,81.60%
est_ud,gm_experiment_2,malt,train,7,93.70%
est_ud,gm_experiment_2,malt,test,7,81.60%
est_ud,gm_experiment_2,malt,train,8,93.80%
est_ud,gm_experiment_2,malt,test,8,81.10%
est_ud,gm_experiment_2,malt,train,9,93.80%
est_ud,gm_experiment_2,malt,test,9,81.20%
edt,am_experiment_2,udpipe,train,0,90.88%
edt,am_experiment_2,udpipe,test,0,84.08%
edt,am_experiment_2,udpipe,train,1,90.52%
edt,am_experiment_2,udpipe,test,1,84.41%
