Collection,Experiment,Model,Source,Split,LA,UAS,LAS
est_ud,gm_experiment_3,udpipe,train,3,-,"91.98%,",90.66%
est_ud,gm_experiment_3,udpipe,test,3,-,"86.40%,",84.20%
est_ud,gm_experiment_3,udpipe,train,4,-,"91.88%,",90.51%
est_ud,gm_experiment_3,udpipe,test,4,-,"86.24%,",83.92%
est_ud,gm_experiment_3,udpipe,train,5,-,"91.26%,",89.86%
est_ud,gm_experiment_3,udpipe,test,5,-,"86.00%,",83.76%
est_ud,gm_experiment_3,udpipe,train,6,-,"92.10%,",90.69%
est_ud,gm_experiment_3,udpipe,test,6,-,"86.20%,",84.01%
est_ud,gm_experiment_3,udpipe,train,7,-,"91.77%,",90.37%
est_ud,gm_experiment_3,udpipe,test,7,-,"85.91%,",83.60%
est_ud,gm_experiment_3,udpipe,train,8,-,"92.27%,",90.92%
est_ud,gm_experiment_3,udpipe,test,8,-,"86.89%,",84.68%
est_ud,gm_experiment_3,udpipe,train,9,-,"91.48%,",90.05%
est_ud,gm_experiment_3,udpipe,test,9,-,"85.91%,",83.74%
est_ud,gm_experiment_3_2,udpipe,train,0,-,"91.43%,",90.01%
est_ud,gm_experiment_3_2,udpipe,test,0,-,"85.67%,",83.43%
est_ud,gm_experiment_3_2,udpipe,train,1,-,"91.89%,",90.49%
est_ud,gm_experiment_3_2,udpipe,test,1,-,"86.41%,",84.18%
est_ud,gm_experiment_3_2,udpipe,train,2,-,"91.76%,",90.34%
est_ud,gm_experiment_3_2,udpipe,test,2,-,"85.60%,",83.40%
est_ud,gm_experiment_3_2,udpipe,train,3,-,"92.00%,",90.60%
est_ud,gm_experiment_3_2,udpipe,test,3,-,"85.90%,",83.61%
est_ud,gm_experiment_3_2,udpipe,train,4,-,"91.58%,",90.17%
est_ud,gm_experiment_3_2,udpipe,test,4,-,"86.02%,",83.76%
est_ud,gm_experiment_3_2,udpipe,train,5,-,"91.85%,",90.49%
est_ud,gm_experiment_3_2,udpipe,test,5,-,"86.32%,",84.17%
est_ud,gm_experiment_3_2,udpipe,train,6,-,"91.17%,",89.76%
est_ud,gm_experiment_3_2,udpipe,test,6,-,"86.23%,",83.92%
est_ud,gm_experiment_3_2,udpipe,train,7,-,"91.80%,",90.42%
est_ud,gm_experiment_3_2,udpipe,test,7,-,"86.06%,",84.03%
est_ud,gm_experiment_3_2,udpipe,train,8,-,"91.92%,",90.55%
est_ud,gm_experiment_3_2,udpipe,test,8,-,"87.02%,",84.92%
est_ud,gm_experiment_3_2,udpipe,train,9,-,"91.00%,",89.53%
est_ud,gm_experiment_3_2,udpipe,test,9,-,"85.86%,",83.55%
est_ud,am_experiment_3_2,udpipe,train,0,-,"90.90%,",88.72%
est_ud,am_experiment_3_2,udpipe,test,0,-,"85.54%,",82.33%
est_ud,am_experiment_3_2,udpipe,train,1,-,"90.86%,",88.67%
est_ud,am_experiment_3_2,udpipe,test,1,-,"84.86%,",81.49%
est_ud,am_experiment_3_2,udpipe,train,2,-,"90.81%,",88.55%
est_ud,am_experiment_3_2,udpipe,test,2,-,"85.27%,",81.78%
est_ud,am_experiment_3_2,udpipe,train,3,-,"90.43%,",88.18%
est_ud,am_experiment_3_2,udpipe,test,3,-,"85.02%,",81.71%
est_ud,am_experiment_3_2,udpipe,train,4,-,"89.72%,",87.61%
est_ud,am_experiment_3_2,udpipe,test,4,-,"84.30%,",80.88%
est_ud,am_experiment_3_2,udpipe,train,5,-,"90.54%,",88.35%
est_ud,am_experiment_3_2,udpipe,test,5,-,"84.75%,",81.50%
est_ud,am_experiment_3_2,udpipe,train,6,-,"91.09%,",88.93%
est_ud,am_experiment_3_2,udpipe,test,6,-,"85.18%,",81.94%
est_ud,am_experiment_3_2,udpipe,train,7,-,"90.10%,",87.92%
est_ud,am_experiment_3_2,udpipe,test,7,-,"84.90%,",81.50%
est_ud,am_experiment_3_2,udpipe,train,8,-,"91.15%,",88.97%
est_ud,am_experiment_3_2,udpipe,test,8,-,"85.31%,",81.88%
est_ud,am_experiment_3_2,udpipe,train,9,-,"90.81%,",88.66%
est_ud,am_experiment_3_2,udpipe,test,9,-,"84.94%,",81.75%
est_ud,gm_experiment_4,udpipe,train,0,-,"91.52%,",90.15%
est_ud,gm_experiment_4,udpipe,test,0,-,"85.87%,",83.68%
est_ud,gm_experiment_4,udpipe,train,1,-,"92.07%,",90.68%
est_ud,gm_experiment_4,udpipe,test,1,-,"86.28%,",84.06%
est_ud,gm_experiment_4,udpipe,train,2,-,"91.95%,",90.58%
est_ud,gm_experiment_4,udpipe,test,2,-,"86.28%,",84.01%
est_ud,gm_experiment_4,udpipe,train,3,-,"91.94%,",90.55%
est_ud,gm_experiment_4,udpipe,test,3,-,"86.76%,",84.60%
est_ud,gm_experiment_4,udpipe,train,4,-,"90.67%,",89.25%
est_ud,gm_experiment_4,udpipe,test,4,-,"85.12%,",82.91%
est_ud,gm_experiment_4,udpipe,train,5,-,"91.82%,",90.43%
est_ud,gm_experiment_4,udpipe,test,5,-,"86.08%,",83.82%
est_ud,gm_experiment_4,udpipe,train,6,-,"91.44%,",90.03%
est_ud,gm_experiment_4,udpipe,test,6,-,"86.03%,",83.96%
est_ud,gm_experiment_4,udpipe,train,7,-,"92.16%,",90.80%
est_ud,gm_experiment_4,udpipe,test,7,-,"86.64%,",84.39%
est_ud,gm_experiment_4,udpipe,train,8,-,"92.12%,",90.74%
est_ud,gm_experiment_4,udpipe,test,8,-,"86.65%,",84.45%
est_ud,gm_experiment_4,udpipe,train,9,-,"91.79%,",90.40%
est_ud,gm_experiment_4,udpipe,test,9,-,"86.31%,",84.08%
est_ud,am_experiment_4,udpipe,train,0,-,"90.31%,",88.11%
est_ud,am_experiment_4,udpipe,test,0,-,"84.94%,",81.58%
est_ud,am_experiment_4,udpipe,train,1,-,"90.66%,",88.47%
est_ud,am_experiment_4,udpipe,test,1,-,"85.53%,",82.19%
est_ud,am_experiment_4,udpipe,train,2,-,"90.78%,",88.65%
est_ud,am_experiment_4,udpipe,test,2,-,"85.63%,",82.37%
est_ud,am_experiment_4,udpipe,train,3,-,"90.19%,",88.00%
est_ud,am_experiment_4,udpipe,test,3,-,"84.64%,",81.27%
est_ud,am_experiment_4,udpipe,train,4,-,"90.65%,",88.47%
est_ud,am_experiment_4,udpipe,test,4,-,"85.28%,",82.05%
est_ud,am_experiment_4,udpipe,train,5,-,"91.16%,",89.03%
est_ud,am_experiment_4,udpipe,test,5,-,"84.68%,",81.35%
est_ud,am_experiment_4,udpipe,train,6,-,"90.67%,",88.49%
est_ud,am_experiment_4,udpipe,test,6,-,"85.25%,",81.97%
est_ud,am_experiment_4,udpipe,train,7,-,"90.22%,",88.01%
est_ud,am_experiment_4,udpipe,test,7,-,"84.96%,",81.61%
est_ud,am_experiment_4,udpipe,train,8,-,"90.99%,",88.83%
est_ud,am_experiment_4,udpipe,test,8,-,"85.67%,",82.40%
est_ud,am_experiment_4,udpipe,train,9,-,"90.54%,",88.29%
est_ud,am_experiment_4,udpipe,test,9,-,"84.97%,",81.64%
est_ud,gm_experiment_4_2,udpipe,train,0,-,"91.72%,",90.28%
est_ud,gm_experiment_4_2,udpipe,test,0,-,"86.09%,",84.00%
est_ud,gm_experiment_4_2,udpipe,train,1,-,"91.32%,",89.88%
est_ud,gm_experiment_4_2,udpipe,test,1,-,"85.76%,",83.49%
