root_word,root_cnt,elus_cnt,mitte_elus_cnt,elus,mitte_elus
EL,2355,124,612,0.052653927813163484,0.25987261146496815
ETV,2128,163,944,0.07659774436090226,0.44360902255639095
Iisrael,1793,91,760,0.05075292805354155,0.42387060791968767
Maa,1276,66,507,0.05172413793103448,0.39733542319749215
Postimees,7104,3872,1013,0.545045045045045,0.14259572072072071
Postimehe,7108,3827,1032,0.5384074282498593,0.14518851997749016
Sõnumilehe,1816,904,241,0.4977973568281938,0.1327092511013216
Sõnumileht,1691,825,230,0.4878769958604376,0.1360141927853341
Venemaa,16370,1003,5625,0.06127061698228467,0.3436163714111179
agentuur,1145,477,99,0.4165938864628821,0.08646288209606987
ajakiri,2904,426,1421,0.14669421487603307,0.4893250688705234
ajakirjandus,6310,571,3706,0.09049128367670364,0.5873217115689382
allikas,1627,99,353,0.06084818684695759,0.2169637369391518
autojuht,1389,286,71,0.2059035277177826,0.051115910727141826
baas,1825,112,1029,0.06136986301369863,0.5638356164383561
eeskuju,1823,97,953,0.053208996160175534,0.5227646736149204
enamik,1955,152,769,0.07774936061381074,0.39335038363171354
enamus,1146,71,474,0.06195462478184991,0.41361256544502617
ettevõte,7425,537,2427,0.07232323232323232,0.32686868686868686
hindamine,1723,125,467,0.07254788160185723,0.2710388856645386
hinnang,27877,2439,14690,0.08749148043189726,0.5269577070703447
hobune,1589,83,317,0.05223410950283197,0.19949653870358716
juhatus,4227,223,2167,0.05275609179086823,0.5126567305417554
juht,57045,6668,24987,0.11689017442370059,0.43802261372600576
keegi,10954,2608,672,0.23808654372831842,0.06134745298521088
keskerakond,1135,69,405,0.06079295154185022,0.3568281938325991
kinnitus,13138,692,7127,0.05267163951895266,0.5424722179936063
koalitsioon,1518,84,419,0.05533596837944664,0.27602108036890644
kohaldamine,1503,112,589,0.07451763140385895,0.39188290086493677
kongress,2149,118,1104,0.05490926012098651,0.5137273150302466
kutse,2242,132,1021,0.058876003568242644,0.4553969669937556
lähiaasta,1657,113,899,0.06819553409776705,0.5425467712733857
lähiaeg,4896,316,3014,0.06454248366013073,0.6156045751633987
meedia,2764,185,1445,0.06693198263386396,0.5227930535455861
menetlemine,1104,59,269,0.05344202898550725,0.24365942028985507
ministeerium,2444,233,823,0.0953355155482815,0.3367430441898527
määramine,1716,123,528,0.07167832167832168,0.3076923076923077
nõukogu,4232,355,1406,0.08388468809073724,0.33223062381852553
oksjon,1496,76,670,0.05080213903743316,0.44786096256684493
opositsioon,1468,138,418,0.09400544959128065,0.2847411444141689
palju,4723,499,1938,0.10565318653398263,0.4103324158373915
pank,8606,549,2720,0.06379270276551244,0.31605856379270275
parlament,4668,242,2425,0.05184233076263925,0.5194944301628106
puhk,1355,87,520,0.06420664206642067,0.3837638376383764
põhjus,12530,636,5701,0.05075818036711891,0.4549880287310455
põlvkond,1322,77,236,0.058245083207261725,0.17851739788199697
riigikogu,7752,503,3332,0.06488648090815273,0.4298245614035088
riigikohus,1048,79,437,0.07538167938931298,0.4169847328244275
riik,39783,2708,14037,0.06806927582133072,0.35283915240177965
ringkonnakohus,1280,101,735,0.07890625,0.57421875
soovija,1034,170,54,0.1644100580270793,0.05222437137330754
sõna,160602,11184,93507,0.06963798707363544,0.5822281167108754
süü,1516,112,594,0.07387862796833773,0.391820580474934
tagajärg,8786,801,5085,0.09116776690188937,0.5787616662872752
tarbija,2192,331,110,0.15100364963503649,0.05018248175182482
tasand,3616,191,1734,0.05282079646017699,0.4795353982300885
teataja,1772,244,1306,0.13769751693002258,0.7370203160270881
teine,24253,1570,5123,0.06473425967921494,0.21123160021440646
televisioon,1906,228,837,0.11962224554039874,0.4391395592864638
tuttav,2339,361,118,0.15433946130825138,0.05044890979050876
uudis,2299,121,584,0.05263157894736842,0.25402348847324924
välisministeerium,1315,85,509,0.06463878326996197,0.3870722433460076
väljaanne,1165,63,514,0.05407725321888412,0.4412017167381974
võistkond,1252,75,307,0.05990415335463259,0.2452076677316294
üks,8891,469,3551,0.0527499718816781,0.39939264424699134
üldjuht,3357,182,2071,0.05421507298182902,0.6169198689305928
