pat_id;isik;koht;muu;deprel;phrase_case;pattern;verb_word;verb_compound;phrase_nr;adp;inf_verb
35;mitte kunagi;alati;vaieldav märgendus;obl;abl;tõusma kellelt/millelt;tõusma;;1;;
36;mitte kunagi;mitte kunagi;muu;obl;abl;käima kellelt/millelt;käima;;1;;
37;alati;mitte kunagi;mitte kunagi;obl;abl;taotlema kellelt/millelt;taotlema;;1;;
38;mitte kunagi;alati;muu;obl;abl;nägema kellelt/millelt;nägema;;1;;
39;mitte kunagi;alati;vaieldav märgendus;obl;abl;alustama kellelt/millelt;alustama;;1;;
40;mitte kunagi;alati;mitte kunagi;obl;abl;sõitma kellelt/millelt;sõitma;;1;;
41;mitte kunagi;alati;muu;obl;abl;algama kellelt/millelt;algama;;1;;
42;mitte kunagi;alati;vaieldav märgendus;obl;abl;vaatama kellelt/millelt;vaatama;;1;;
43;alati;mitte kunagi;mitte kunagi;obl;abl;eeldama kellelt/millelt;eeldama;;1;;
44;mitte kunagi;mitte kunagi;muu;obl;abl;andma kellelt/millelt;andma;;1;;
45;alati;mitte kunagi;mitte kunagi;obl;abl;koguma kellelt/millelt;koguma;;1;;
46;mitte kunagi;alati;vaieldav märgendus;obl;abl;langema kellelt/millelt;langema;;1;;
47;mitte kunagi;alati;mitte kunagi;obl;abl;puuduma kellelt/millelt;puuduma;;1;;
48;mitte kunagi;vahel;muu;obl;abl;lugema kellelt/millelt;lugema;;1;;
49;vahel;vahel;vaieldav märgendus;obl;abl;laenama kellelt/millelt;laenama;;1;;
50;mitte kunagi;alati;muu;obl;abl;pääsema kellelt/millelt;pääsema;;1;;
51;alati;mitte kunagi;mitte kunagi;obl;abl;mõistma välja kellelt/millelt;mõistma;välja;1;;
52;alati;mitte kunagi;muu;obl;abl;õppima kellelt/millelt;õppima;;1;;
53;alati;mitte kunagi;muu;obl;abl;ilmuma kellelt/millelt;ilmuma;;1;;
54;mitte kunagi;alati;vaieldav märgendus;obl;abl;maksma kellelt/millelt;maksma;;1;;
55;mitte kunagi;alati;muu;obl;abl;liikuma kellelt/millelt;liikuma;;1;;
56;mitte kunagi;alati;mitte kunagi;obl;abl;avastama kellelt/millelt;avastama;;1;;
57;vahel;vahel;mitte kunagi;obl;abl;varastama kellelt/millelt;varastama;;1;;
58;mitte kunagi;mitte kunagi;muu;obl;abl;jääma alla kellelt/millelt;jääma;alla;1;;
59;mitte kunagi;mitte kunagi;muu;obl;abl;kuuluma kellelt/millelt;kuuluma;;1;;
60;mitte kunagi;mitte kunagi;muu;obl;abl;teadma kellelt/millelt;teadma;;1;;
61;mitte kunagi;alati;muu;obl;abl;kukkuma kellelt/millelt;kukkuma;;1;;
62;mitte kunagi;alati;mitte kunagi;obl;abl;saatma kellelt/millelt;saatma;;1;;
63;mitte kunagi;alati;mitte kunagi;obl;abl;tõstma kellelt/millelt;tõstma;;1;;
64;mitte kunagi;alati;vaieldav märgendus;obl;abl;tabama kellelt/millelt;tabama;;1;;
65;mitte kunagi;alati;vaieldav märgendus;obl;abl;kasvama kellelt/millelt;kasvama;;1;;
66;mitte kunagi;alati;vaieldav märgendus;obl;abl;meenutama kellelt/millelt;meenutama;;1;;
67;alati;mitte kunagi;mitte kunagi;obl;abl;võtma üle kellelt/millelt;võtma;üle;1;;
68;mitte kunagi;vahel;muu;obl;abl;ütlema kellelt/millelt;ütlema;;1;;
69;vahel;vahel;muu;obl;abl;võitma kellelt/millelt;võitma;;1;;
70;mitte kunagi;mitte kunagi;muu;obl;abl;pidama kellelt/millelt;pidama;;1;;
71;mitte kunagi;alati;mitte kunagi;obl;abl;eemaldama kellelt/millelt;eemaldama;;1;;
72;vahel;vahel;mitte kunagi;obl;abl;võtma vastu kellelt/millelt;võtma;vastu;1;;
73;mitte kunagi;mitte kunagi;muu;obl;abl;ületama kellelt/millelt;ületama;;1;;
74;mitte kunagi;mitte kunagi;pole kindel;obl;abl;asuma kellelt/millelt;asuma;;1;;
75;alati;mitte kunagi;mitte kunagi;obl;abl;pälvima kellelt/millelt;pälvima;;1;;
76;mitte kunagi;mitte kunagi;muu;obl;abl;õnnestuma kellelt/millelt;õnnestuma;;1;;
77;mitte kunagi;vahel;muu;obl;abl;toimuma kellelt/millelt;toimuma;;1;;
78;mitte kunagi;mitte kunagi;muu;obl;abl;vajama kellelt/millelt;vajama;;1;;
79;mitte kunagi;alati;mitte kunagi;obl;abl;paistma kellelt/millelt;paistma;;1;;
80;vahel;vahel;pole kindel;obl;abl;kõlama kellelt/millelt;kõlama;;1;;
81;mitte kunagi;alati;mitte kunagi;obl;abl;tulema tagasi kellelt/millelt;tulema;tagasi;1;;
82;mitte kunagi;mitte kunagi;muu;obl;abl;panema kellelt/millelt;panema;;1;;
83;vahel;vahel;mitte kunagi;obl;abl;kostma kellelt/millelt;kostma;;1;;
84;vahel;vahel;mitte kunagi;obl;abl;võtma maha kellelt/millelt;võtma;maha;1;;
85;mitte kunagi;alati;muu;obl;abl;lendama kellelt/millelt;lendama;;1;;
86;vahel;vahel;mitte kunagi;obl;abl;tõmbama kellelt/millelt;tõmbama;;1;;
87;mitte kunagi;alati;mitte kunagi;obl;abl;korjama kellelt/millelt;korjama;;1;;
88;mitte kunagi;alati;muu;obl;abl;olema vaja kellelt/millelt;olema;vaja;1;;
89;vahel;vahel;mitte kunagi;obl;abl;rentima kellelt/millelt;rentima;;1;;
90;mitte kunagi;mitte kunagi;muu;obl;abl;erinema kellelt/millelt;erinema;;1;;
91;mitte kunagi;mitte kunagi;muu;obl;abl;vähenema kellelt/millelt;vähenema;;1;;
92;mitte kunagi;mitte kunagi;muu;obl;abl;järgnema kellelt/millelt;järgnema;;1;;
93;mitte kunagi;alati;mitte kunagi;obl;abl;vaatama vastu kellelt/millelt;vaatama;vastu;1;;
94;mitte kunagi;mitte kunagi;muu;obl;abl;vastama kellelt/millelt;vastama;;1;;
95;mitte kunagi;mitte kunagi;muu;obl;abl;tähendama kellelt/millelt;tähendama;;1;;
96;vahel;vahel;mitte kunagi;obl;abl;haarama kellelt/millelt;haarama;;1;;
97;mitte kunagi;mitte kunagi;muu;obl;abl;muutuma kellelt/millelt;muutuma;;1;;
98;alati;mitte kunagi;mitte kunagi;obl;abl;pressima välja kellelt/millelt;pressima;välja;1;;
99;mitte kunagi;alati;mitte kunagi;obl;abl;hüppama kellelt/millelt;hüppama;;1;;
100;mitte kunagi;mitte kunagi;muu;obl;abl;sobima kellelt/millelt;sobima;;1;;
101;mitte kunagi;alati;mitte kunagi;obl;abl;jõudma tagasi kellelt/millelt;jõudma;tagasi;1;;
102;vahel;vahel;mitte kunagi;obl;abl;püüdma kellelt/millelt;püüdma;;1;;
103;mitte kunagi;vahel;muu;obl;abl;rääkima kellelt/millelt;rääkima;;1;;
104;vahel;vahel;pole kindel;obl;abl;saama tagasi kellelt/millelt;saama;tagasi;1;;
105;vahel;vahel;pole kindel;obl;abl;tasuma kellelt/millelt;tasuma;;1;;
106;vahel;vahel;pole kindel;obl;abl;lubama kellelt/millelt;lubama;;1;;
107;mitte kunagi;mitte kunagi;muu;obl;abl;jätma kellelt/millelt;jätma;;1;;
108;vahel;vahel;pole kindel;obl;abl;näitama kellelt/millelt;näitama;;1;;
109;alati;mitte kunagi;mitte kunagi;obl;abl;omandama kellelt/millelt;omandama;;1;;
110;mitte kunagi;alati;mitte kunagi;obl;abl;pühkima kellelt/millelt;pühkima;;1;;
111;mitte kunagi;vahel;muu;obl;abl;suutma kellelt/millelt;suutma;;1;;
112;mitte kunagi;alati;muu;obl;abl;startima kellelt/millelt;startima;;1;;
113;mitte kunagi;alati;vaieldav märgendus;obl;abl;suurenema kellelt/millelt;suurenema;;1;;
114;vahel;vahel;mitte kunagi;obl;abl;rebima kellelt/millelt;rebima;;1;;
115;alati;mitte kunagi;mitte kunagi;obl;abl;petma välja kellelt/millelt;petma;välja;1;;
116;mitte kunagi;mitte kunagi;muu;obl;abl;kaotama kellelt/millelt;kaotama;;1;;
117;mitte kunagi;alati;vaieldav märgendus;obl;abl;sarnanema kellelt/millelt;sarnanema;;1;;
118;vahel;vahel;muu;obl;abl;tekkima kellelt/millelt;tekkima;;1;;
119;mitte kunagi;alati;muu;obl;abl;jälgima kellelt/millelt;jälgima;;1;;
120;mitte kunagi;alati;muu;obl;abl;kolima kellelt/millelt;kolima;;1;;
121;alati;mitte kunagi;muu;obl;abl;mõistma kellelt/millelt;mõistma;;1;;
122;mitte kunagi;alati;muu;obl;abl;pakkuma kellelt/millelt;pakkuma;;1;;
123;mitte kunagi;mitte kunagi;muu;obl;abl;tundma kellelt/millelt;tundma;;1;;
124;mitte kunagi;alati;muu;obl;abl;jooksma kellelt/millelt;jooksma;;1;;
125;alati;mitte kunagi;mitte kunagi;obl;abl;ostma ära kellelt/millelt;ostma;ära;1;;
126;vahel;vahel;muu;obl;abl;lööma kellelt/millelt;lööma;;1;;
127;vahel;vahel;muu;obl;abl;laskma kellelt/millelt;laskma;;1;;
128;mitte kunagi;vahel;muu;obl;abl;esitama kellelt/millelt;esitama;;1;;
129;mitte kunagi;alati;mitte kunagi;obl;abl;avanema kellelt/millelt;avanema;;1;;
130;mitte kunagi;alati;mitte kunagi;obl;abl;põgenema kellelt/millelt;põgenema;;1;;
131;mitte kunagi;alati;muu;obl;abl;sattuma kellelt/millelt;sattuma;;1;;
132;mitte kunagi;alati;mitte kunagi;obl;abl;väljuma kellelt/millelt;väljuma;;1;;
133;mitte kunagi;alati;muu;obl;abl;astuma kellelt/millelt;astuma;;1;;
134;alati;mitte kunagi;mitte kunagi;obl;abl;nõudma tagasi kellelt/millelt;nõudma;tagasi;1;;
135;mitte kunagi;alati;mitte kunagi;obl;abl;tooma kaasa kellelt/millelt;tooma;kaasa;1;;
136;mitte kunagi;mitte kunagi;muu;obl;abl;kasutama kellelt/millelt;kasutama;;1;;
137;mitte kunagi;alati;muu;obl;abl;käima läbi kellelt/millelt;käima;läbi;1;;
138;vahel;vahel;mitte kunagi;obl;abl;lähtuma kellelt/millelt;lähtuma;;1;;
139;mitte kunagi;mitte kunagi;muu;obl;abl;üritama kellelt/millelt;üritama;;1;;
140;mitte kunagi;alati;muu;obl;abl;kulgema kellelt/millelt;kulgema;;1;;
141;vahel;vahel;mitte kunagi;obl;abl;lisanduma kellelt/millelt;lisanduma;;1;;
142;vahel;vahel;mitte kunagi;obl;abl;hankima kellelt/millelt;hankima;;1;;
143;mitte kunagi;alati;vaieldav märgendus;obl;abl;kerkima kellelt/millelt;kerkima;;1;;
144;alati;mitte kunagi;mitte kunagi;obl;abl;kuulduma kellelt/millelt;kuulduma;;1;;
145;mitte kunagi;mitte kunagi;muu;obl;abl;lõpetama kellelt/millelt;lõpetama;;1;;
146;vahel;vahel;muu;obl;abl;noppima kellelt/millelt;noppima;;1;;
147;mitte kunagi;mitte kunagi;muu;obl;abl;oskama kellelt/millelt;oskama;;1;;
148;mitte kunagi;alati;muu;obl;abl;jätkama kellelt/millelt;jätkama;;1;;
149;mitte kunagi;alati;vaieldav märgendus;obl;abl;jääma maha kellelt/millelt;jääma;maha;1;;
150;mitte kunagi;mitte kunagi;muu;obl;abl;kirjutama kellelt/millelt;kirjutama;;1;;
151;mitte kunagi;alati;muu;obl;abl;mängima kellelt/millelt;mängima;;1;;
152;mitte kunagi;alati;pole kindel;obl;abl;mäletama kellelt/millelt;mäletama;;1;;
153;alati;mitte kunagi;mitte kunagi;obl;abl;kasseerima kellelt/millelt;kasseerima;;1;;
154;alati;mitte kunagi;mitte kunagi;obl;abl;nõudma välja kellelt/millelt;nõudma;välja;1;;
155;mitte kunagi;mitte kunagi;muu;obl;abl;usaldama kellelt/millelt;usaldama;;1;;
156;mitte kunagi;alati;mitte kunagi;obl;abl;sirguma kellelt/millelt;sirguma;;1;;
157;mitte kunagi;alati;vaieldav märgendus;obl;abl;kärpima kellelt/millelt;kärpima;;1;;
158;mitte kunagi;alati;muu;obl;abl;tungima kellelt/millelt;tungima;;1;;
159;mitte kunagi;mitte kunagi;muu;obl;abl;puutuma kellelt/millelt;puutuma;;1;;
160;mitte kunagi;alati;pole kindel;obl;abl;tundma ära kellelt/millelt;tundma;ära;1;;
161;mitte kunagi;alati;pole kindel;obl;abl;muutma kellelt/millelt;muutma;;1;;
162;mitte kunagi;mitte kunagi;muu;obl;abl;puudutama kellelt/millelt;puudutama;;1;;
163;mitte kunagi;mitte kunagi;muu;obl;abl;tunduma kellelt/millelt;tunduma;;1;;
164;mitte kunagi;alati;mitte kunagi;obl;abl;siirduma kellelt/millelt;siirduma;;1;;
165;mitte kunagi;mitte kunagi;muu;obl;abl;käsitlema kellelt/millelt;käsitlema;;1;;
166;mitte kunagi;alati;muu;obl;abl;kõndima kellelt/millelt;kõndima;;1;;
167;mitte kunagi;mitte kunagi;muu;obl;abl;külastama kellelt/millelt;külastama;;1;;
168;mitte kunagi;alati;muu;obl;abl;tulema sisse kellelt/millelt;tulema;sisse;1;;
169;mitte kunagi;alati;vaieldav märgendus;obl;abl;murdma kellelt/millelt;murdma;;1;;
170;mitte kunagi;mitte kunagi;muu;obl;abl;muigama kellelt/millelt;muigama;;1;;
171;vahel;vahel;mitte kunagi;obl;abl;tarnima kellelt/millelt;tarnima;;1;;
172;mitte kunagi;alati;mitte kunagi;obl;abl;tulema maha kellelt/millelt;tulema;maha;1;;
173;mitte kunagi;alati;muu;obl;abl;tulema peale kellelt/millelt;tulema;peale;1;;
174;mitte kunagi;alati;muu;obl;abl;kõnelema kellelt/millelt;kõnelema;;1;;
175;vahel;vahel;mitte kunagi;obl;abl;tulema üle kellelt/millelt;tulema;üle;1;;
176;mitte kunagi;vahel;muu;obl;abl;tuletama kellelt/millelt;tuletama;;1;;
177;vahel;vahel;muu;obl;abl;tulenema kellelt/millelt;tulenema;;1;;
178;mitte kunagi;alati;mitte kunagi;obl;abl;murduma kellelt/millelt;murduma;;1;;
179;mitte kunagi;mitte kunagi;muu;obl;abl;tulema vastu kellelt/millelt;tulema;vastu;1;;
180;vahel;vahel;muu;obl;abl;kõrvaldama kellelt/millelt;kõrvaldama;;1;;
181;vahel;vahel;muu;obl;abl;muretsema kellelt/millelt;muretsema;;1;;
182;mitte kunagi;alati;vaieldav märgendus;obl;abl;kõlbama kellelt/millelt;kõlbama;;1;;
183;vahel;vahel;mitte kunagi;obl;abl;laiendama kellelt/millelt;laiendama;;1;;
184;mitte kunagi;alati;vaieldav märgendus;obl;abl;langema alla kellelt/millelt;langema;alla;1;;
185;alati;mitte kunagi;pole kindel;obl;abl;tuginema kellelt/millelt;tuginema;;1;;
186;mitte kunagi;mitte kunagi;muu;obl;abl;tugevnema kellelt/millelt;tugevnema;;1;;
187;mitte kunagi;mitte kunagi;muu;obl;abl;soovitama kellelt/millelt;soovitama;;1;;
188;mitte kunagi;mitte kunagi;vaieldav märgendus;obl;abl;langema kokku kellelt/millelt;langema;kokku;1;;
189;mitte kunagi;alati;vaieldav märgendus;obl;abl;langetama kellelt/millelt;langetama;;1;;
190;vahel;vahel;mitte kunagi;obl;abl;langema ära kellelt/millelt;langema;ära;1;;
191;mitte kunagi;alati;mitte kunagi;obl;abl;minema ära kellelt/millelt;minema;ära;1;;
192;mitte kunagi;alati;muu;obl;abl;tsiteerima kellelt/millelt;tsiteerima;;1;;
193;vahel;vahel;muu;obl;abl;minema üle kellelt/millelt;minema;üle;1;;
194;mitte kunagi;alati;mitte kunagi;obl;abl;langema välja kellelt/millelt;langema;välja;1;;
195;alati;mitte kunagi;mitte kunagi;obl;abl;pumpama välja kellelt/millelt;pumpama;välja;1;;
196;mitte kunagi;alati;mitte kunagi;obl;abl;tuiskama kellelt/millelt;tuiskama;;1;;
197;mitte kunagi;alati;muu;obl;abl;kõmmutama kellelt/millelt;kõmmutama;;1;;
198;mitte kunagi;mitte kunagi;muu;obl;abl;moodustama kellelt/millelt;moodustama;;1;;
199;mitte kunagi;alati;mitte kunagi;obl;abl;lajatama kellelt/millelt;lajatama;;1;;
200;alati;mitte kunagi;mitte kunagi;obl;abl;pinnima välja kellelt/millelt;pinnima;välja;1;;
201;vahel;vahel;muu;obl;abl;pumpama kellelt/millelt;pumpama;;1;;
202;vahel;vahel;muu;obl;abl;laienema kellelt/millelt;laienema;;1;;
203;mitte kunagi;alati;vaieldav märgendus;obl;abl;kõikuma kellelt/millelt;kõikuma;;1;;
204;mitte kunagi;alati;muu;obl;abl;tulistama kellelt/millelt;tulistama;;1;;
205;mitte kunagi;mitte kunagi;muu;obl;abl;purunema kellelt/millelt;purunema;;1;;
206;mitte kunagi;mitte kunagi;muu;obl;abl;tarbima kellelt/millelt;tarbima;;1;;
207;mitte kunagi;alati;mitte kunagi;obl;abl;tulema ära kellelt/millelt;tulema;ära;1;;
208;mitte kunagi;alati;mitte kunagi;obl;abl;paiskuma kellelt/millelt;paiskuma;;1;;
209;mitte kunagi;vahel;muu;obl;abl;hääletama kellelt/millelt;hääletama;;1;;
210;mitte kunagi;mitte kunagi;muu;obl;abl;suunama kellelt/millelt;suunama;;1;;
211;alati;mitte kunagi;muu;obl;abl;andma välja kellelt/millelt;andma;välja;1;;
212;vahel;vahel;muu;obl;abl;sadama kellelt/millelt;sadama;;1;;
213;mitte kunagi;alati;mitte kunagi;obl;abl;välistama kellelt/millelt;välistama;;1;;
214;mitte kunagi;alati;mitte kunagi;obl;abl;saama ära kellelt/millelt;saama;ära;1;;
215;vahel;vahel;mitte kunagi;obl;abl;võtma tagasi kellelt/millelt;võtma;tagasi;1;;
216;alati;mitte kunagi;mitte kunagi;obl;abl;ostma kokku kellelt/millelt;ostma;kokku;1;;
217;mitte kunagi;alati;muu;obl;abl;hüppama alla kellelt/millelt;hüppama;alla;1;;
218;alati;mitte kunagi;muu;obl;abl;ostma juurde kellelt/millelt;ostma;juurde;1;;
219;mitte kunagi;mitte kunagi;muu;obl;abl;sätestama kellelt/millelt;sätestama;;1;;
220;mitte kunagi;alati;muu;obl;abl;avama kellelt/millelt;avama;;1;;
221;mitte kunagi;alati;mitte kunagi;obl;abl;hakkama pihta kellelt/millelt;hakkama;pihta;1;;
222;mitte kunagi;alati;mitte kunagi;obl;abl;hajuma kellelt/millelt;hajuma;;1;;
223;vahel;vahel;pole kindel;obl;abl;saama üle kellelt/millelt;saama;üle;1;;
224;mitte kunagi;alati;mitte kunagi;obl;abl;hüppama maha kellelt/millelt;hüppama;maha;1;;
225;mitte kunagi;vahel;pole kindel;obl;abl;väljendama kellelt/millelt;väljendama;;1;;
226;mitte kunagi;alati;muu;obl;abl;ühendama kellelt/millelt;ühendama;;1;;
227;mitte kunagi;vahel;muu;obl;abl;peatuma kellelt/millelt;peatuma;;1;;
228;mitte kunagi;alati;mitte kunagi;obl;abl;sõitma kohale kellelt/millelt;sõitma;kohale;1;;
229;mitte kunagi;mitte kunagi;muu;obl;abl;peetuma kinni kellelt/millelt;peetuma;kinni;1;;
230;mitte kunagi;mitte kunagi;muu;obl;abl;hävima kellelt/millelt;hävima;;1;;
231;mitte kunagi;alati;mitte kunagi;obl;abl;tulema välja kellelt/millelt;tulema;välja;1;;
232;mitte kunagi;alati;mitte kunagi;obl;abl;paiskuma välja kellelt/millelt;paiskuma;välja;1;;
233;mitte kunagi;alati;mitte kunagi;obl;abl;hõikama kellelt/millelt;hõikama;;1;;
234;mitte kunagi;alati;mitte kunagi;obl;abl;sõitma ette kellelt/millelt;sõitma;ette;1;;
235;mitte kunagi;mitte kunagi;muu;obl;abl;harjutama kellelt/millelt;harjutama;;1;;
236;mitte kunagi;vahel;muu;obl;abl;harjuma kellelt/millelt;harjuma;;1;;
237;alati;mitte kunagi;vaieldav märgendus;obl;abl;andma edasi kellelt/millelt;andma;edasi;1;;
238;alati;mitte kunagi;muu;obl;abl;õppima ära kellelt/millelt;õppima;ära;1;;
239;alati;mitte kunagi;mitte kunagi;obl;abl;saama vastu kellelt/millelt;saama;vastu;1;;
240;alati;mitte kunagi;mitte kunagi;obl;abl;võõrandama kellelt/millelt;võõrandama;;1;;
241;mitte kunagi;alati;muu;obl;abl;viskama mööda kellelt/millelt;viskama;mööda;1;;
242;alati;mitte kunagi;muu;obl;abl;hõivama kellelt/millelt;hõivama;;1;;
243;mitte kunagi;alati;vaieldav märgendus;obl;abl;vähendama kellelt/millelt;vähendama;;1;;
244;mitte kunagi;alati;mitte kunagi;obl;abl;viskama alla kellelt/millelt;viskama;alla;1;;
245;mitte kunagi;alati;muu;obl;abl;viskama kellelt/millelt;viskama;;1;;
246;mitte kunagi;vahel;vaieldav märgendus;obl;abl;andma ette kellelt/millelt;andma;ette;1;;
247;mitte kunagi;alati;muu;obl;abl;hävitama kellelt/millelt;hävitama;;1;;
248;mitte kunagi;alati;muu;obl;abl;paistma välja kellelt/millelt;paistma;välja;1;;
249;mitte kunagi;alati;muu;obl;abl;õpetama kellelt/millelt;õpetama;;1;;
250;mitte kunagi;alati;muu;obl;abl;osalema kellelt/millelt;osalema;;1;;
251;mitte kunagi;alati;mitte kunagi;obl;abl;tulema kohale kellelt/millelt;tulema;kohale;1;;
252;mitte kunagi;alati;mitte kunagi;obl;abl;saama maha kellelt/millelt;saama;maha;1;;
253;alati;mitte kunagi;mitte kunagi;obl;abl;tulema juurde kellelt/millelt;tulema;juurde;1;;
254;mitte kunagi;mitte kunagi;muu;obl;abl;tähistama kellelt/millelt;tähistama;;1;;
255;mitte kunagi;vahel;muu;obl;abl;kurtma kellelt/millelt;kurtma;;1;;
256;mitte kunagi;alati;mitte kunagi;obl;abl;kustuma kellelt/millelt;kustuma;;1;;
257;mitte kunagi;alati;mitte kunagi;obl;abl;pääsema edasi kellelt/millelt;pääsema;edasi;1;;
258;mitte kunagi;mitte kunagi;muu;obl;abl;tantsima kellelt/millelt;tantsima;;1;;
259;mitte kunagi;alati;muu;obl;abl;käima ära kellelt/millelt;käima;ära;1;;
260;mitte kunagi;mitte kunagi;muu;obl;abl;käituma kellelt/millelt;käituma;;1;;
261;mitte kunagi;alati;vaieldav märgendus;obl;abl;käima üle kellelt/millelt;käima;üle;1;;
262;mitte kunagi;alati;muu;obl;abl;sihtima kellelt/millelt;sihtima;;1;;
263;mitte kunagi;mitte kunagi;muu;obl;abl;tunnistama kellelt/millelt;tunnistama;;1;;
264;mitte kunagi;mitte kunagi;muu;obl;abl;kuulutama kellelt/millelt;kuulutama;;1;;
265;mitte kunagi;mitte kunagi;muu;obl;abl;tutvustama kellelt/millelt;tutvustama;;1;;
266;mitte kunagi;alati;muu;obl;abl;pildistama kellelt/millelt;pildistama;;1;;
267;mitte kunagi;mitte kunagi;muu;obl;abl;kyssima kellelt/millelt;kyssima;;1;;
268;mitte kunagi;mitte kunagi;muu;obl;abl;kysima kellelt/millelt;kysima;;1;;
269;mitte kunagi;alati;vaieldav märgendus;obl;abl;tõmbama kõrvale kellelt/millelt;tõmbama;kõrvale;1;;
270;mitte kunagi;mitte kunagi;muu;obl;abl;kuivama kellelt/millelt;kuivama;;1;;
271;mitte kunagi;alati;mitte kunagi;obl;abl;pääsema välja kellelt/millelt;pääsema;välja;1;;
272;mitte kunagi;alati;mitte kunagi;obl;abl;kruvima maha kellelt/millelt;kruvima;maha;1;;
273;mitte kunagi;alati;mitte kunagi;obl;abl;tahtma ära kellelt/millelt;tahtma;ära;1;;
274;mitte kunagi;alati;vaieldav märgendus;obl;abl;kustutama kellelt/millelt;kustutama;;1;;
275;alati;mitte kunagi;mitte kunagi;obl;abl;kutsuma esile kellelt/millelt;kutsuma;esile;1;;
276;mitte kunagi;mitte kunagi;muu;obl;abl;tingima kellelt/millelt;tingima;;1;;
277;mitte kunagi;alati;muu;obl;abl;lugema ette kellelt/millelt;lugema;ette;1;;
278;mitte kunagi;alati;muu;obl;abl;lugema maha kellelt/millelt;lugema;maha;1;;
279;mitte kunagi;alati;mitte kunagi;obl;abl;marssima kellelt/millelt;marssima;;1;;
280;alati;mitte kunagi;mitte kunagi;obl;abl;manguma kellelt/millelt;manguma;;1;;
281;mitte kunagi;mitte kunagi;muu;obl;abl;läbima kellelt/millelt;läbima;;1;;
282;vahel;vahel;mitte kunagi;obl;abl;lunastama kellelt/millelt;lunastama;;1;;
283;mitte kunagi;alati;mitte kunagi;obl;abl;tilkuma kellelt/millelt;tilkuma;;1;;
284;alati;mitte kunagi;mitte kunagi;obl;abl;lunima kellelt/millelt;lunima;;1;;
285;mitte kunagi;alati;mitte kunagi;obl;abl;kutsuma ära kellelt/millelt;kutsuma;ära;1;;
