pat_id;isik;koht;muu;deprel;phrase_case;pattern;verb_word;verb_compound;phrase_nr;adp;inf_verb
1;vahel;vahel;mitte kunagi;obl;abl;saama kellelt/millelt;saama;;1;;
2;vahel;vahel;mitte kunagi;obl;abl;tulema kellelt/millelt;tulema;;1;;
3;alati;mitte kunagi;mitte kunagi;obl;abl;küsima kellelt/millelt;küsima;;1;;
4;alati;mitte kunagi;mitte kunagi;obl;abl;nõudma kellelt/millelt;nõudma;;1;;
5;vahel;vahel;mitte kunagi;obl;abl;võtma kellelt/millelt;võtma;;1;;
6;alati;mitte kunagi;mitte kunagi;obl;abl;ootama kellelt/millelt;ootama;;1;;
7;vahel;vahel;mitte kunagi;obl;abl;leidma kellelt/millelt;leidma;;1;;
8;alati;mitte kunagi;mitte kunagi;obl;abl;ostma kellelt/millelt;ostma;;1;;
9;vahel;vahel;mitte kunagi;obl;abl;pärinema kellelt/millelt;pärinema;;1;;
10;alati;mitte kunagi;mitte kunagi;obl;abl;paluma kellelt/millelt;paluma;;1;;
11;mitte kunagi;mitte kunagi;pole kindel;obl;abl;minema kellelt/millelt;minema;;1;;
12;alati;mitte kunagi;muu;obl;abl;kuulma kellelt/millelt;kuulma;;1;;
13;alati;mitte kunagi;mitte kunagi;obl;abl;tellima kellelt/millelt;tellima;;1;;
14;mitte kunagi;mitte kunagi;muu;obl;abl;jääma kellelt/millelt;jääma;;1;;
15;alati;mitte kunagi;muu;obl;abl;võtma ära kellelt/millelt;võtma;ära;1;;
16;mitte kunagi;alati;mitte kunagi;obl;abl;lahkuma kellelt/millelt;lahkuma;;1;;
17;vahel;vahel;muu;obl;abl;jõudma kellelt/millelt;jõudma;;1;;
18;mitte kunagi;alati;mitte kunagi;obl;abl;saabuma kellelt/millelt;saabuma;;1;;
19;alati;mitte kunagi;muu;obl;abl;tahtma kellelt/millelt;tahtma;;1;;
20;mitte kunagi;vahel;muu;obl;abl;olema kellelt/millelt;olema;;1;;
21;mitte kunagi;alati;mitte kunagi;obl;abl;kaduma kellelt/millelt;kaduma;;1;;
22;mitte kunagi;mitte kunagi;pole kindel;obl;abl;hakkama kellelt/millelt;hakkama;;1;;
23;vahel;vahel;vaieldav märgendus;obl;abl;teenima kellelt/millelt;teenima;;1;;
24;mitte kunagi;alati;mitte kunagi;obl;abl;naasma kellelt/millelt;naasma;;1;;
25;mitte kunagi;mitte kunagi;muu;obl;abl;tegema kellelt/millelt;tegema;;1;;
26;alati;mitte kunagi;vaieldav märgendus;obl;abl;laekuma kellelt/millelt;laekuma;;1;;
27;mitte kunagi;alati;mitte kunagi;obl;abl;tooma kellelt/millelt;tooma;;1;;
28;vahel;vahel;mitte kunagi;obl;abl;viima kellelt/millelt;viima;;1;;
29;vahel;vahel;mitte kunagi;obl;abl;otsima kellelt/millelt;otsima;;1;;
30;alati;mitte kunagi;mitte kunagi;obl;abl;röövima kellelt/millelt;röövima;;1;;
31;alati;mitte kunagi;mitte kunagi;obl;abl;pärima kellelt/millelt;pärima;;1;;
32;vahel;mitte kunagi;muu;obl;abl;lootma kellelt/millelt;lootma;;1;;
33;vahel;vahel;vaieldav märgendus;obl;abl;soovima kellelt/millelt;soovima;;1;;
34;alati;mitte kunagi;mitte kunagi;obl;abl;uurima kellelt/millelt;uurima;;1;;
