verbobl;verb;case;isikumäärus;aja-kohamäärus;muu;deprel
saama - abl (kellelt/millelt);saama;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
tulema - abl (kellelt/millelt);tulema;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
küsima - abl (kellelt/millelt);küsima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
nõudma - abl (kellelt/millelt);nõudma;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
võtma - abl (kellelt/millelt);võtma;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
ootama - abl (kellelt/millelt);ootama;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
leidma - abl (kellelt/millelt);leidma;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
ostma - abl (kellelt/millelt);ostma;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
pärinema - abl (kellelt/millelt);pärinema;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
paluma - abl (kellelt/millelt);paluma;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
minema - abl (kellelt/millelt);minema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;pole kindel;obl
kuulma - abl (kellelt/millelt);kuulma;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
tellima - abl (kellelt/millelt);tellima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
jääma - abl (kellelt/millelt);jääma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
võtma ära - abl (kellelt/millelt);võtma ära;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
lahkuma - abl (kellelt/millelt);lahkuma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
jõudma - abl (kellelt/millelt);jõudma;abl (kellelt/millelt);vahel;vahel;muu;obl
saabuma - abl (kellelt/millelt);saabuma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
tahtma - abl (kellelt/millelt);tahtma;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
olema - abl (kellelt/millelt);olema;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
kaduma - abl (kellelt/millelt);kaduma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
hakkama - abl (kellelt/millelt);hakkama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;pole kindel;obl
teenima - abl (kellelt/millelt);teenima;abl (kellelt/millelt);vahel;vahel;vaieldav märgendus;obl
naasma - abl (kellelt/millelt);naasma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
tegema - abl (kellelt/millelt);tegema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
laekuma - abl (kellelt/millelt);laekuma;abl (kellelt/millelt);alati;mitte kunagi;vaieldav märgendus;obl
tooma - abl (kellelt/millelt);tooma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
viima - abl (kellelt/millelt);viima;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
otsima - abl (kellelt/millelt);otsima;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
röövima - abl (kellelt/millelt);röövima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
pärima - abl (kellelt/millelt);pärima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
lootma - abl (kellelt/millelt);lootma;abl (kellelt/millelt);vahel;mitte kunagi;muu;obl
soovima - abl (kellelt/millelt);soovima;abl (kellelt/millelt);vahel;vahel;vaieldav märgendus;obl
uurima - abl (kellelt/millelt);uurima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
tõusma - abl (kellelt/millelt);tõusma;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
käima - abl (kellelt/millelt);käima;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
taotlema - abl (kellelt/millelt);taotlema;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
nägema - abl (kellelt/millelt);nägema;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
