verb,verb_compound,advmod_count,verb_count,relative_diff,absolute_diff
helistama,läbi,32,124,74.19354838709677,92
siduma,,3288,12742,74.19557369329776,9454
karjuma,,1643,6371,74.21126981635537,4728
kostitama,,186,723,74.27385892116183,537
eirama,,479,1864,74.30257510729615,1385
kohandama,,448,1744,74.31192660550458,1296
haletsema,,38,148,74.32432432432432,110
kaevuma,,76,296,74.32432432432432,220
kangestuma,,49,191,74.3455497382199,142
olema,võlgu,678,2646,74.37641723356009,1968
edestama,,1437,5612,74.39415538132573,4175
rikkuma,,3181,12423,74.3942686951622,9242
elatuma,,207,809,74.41285537700865,602
vältima,,973,3803,74.41493557717591,2830
ehitama,,2690,10524,74.43937666286583,7834
noomima,,137,536,74.44029850746269,399
lasuma,,731,2860,74.44055944055944,2129
filmima,,220,861,74.44831591173055,641
soostuma,,1015,3973,74.45255474452554,2958
ulatuma,,13968,54690,74.45968184311575,40722
juhtuma,peale,12,47,74.46808510638297,35
kubisema,,269,1054,74.47817836812143,785
ihkama,,2116,8294,74.48758138413311,6178
toetama,,49108,192568,74.49835902122886,143460
riskima,,908,3566,74.53729669097028,2658
kirjutama,alla,2410,9473,74.5592737253246,7063
suutma,,32006,126430,74.68480582140315,94424
innustama,,932,3682,74.68766974470397,2750
päästma,välja,21,83,74.69879518072288,62
vigastama,,836,3315,74.78129713423832,2479
vabandama,välja,33,131,74.80916030534351,98
hindama,,12892,51228,74.8340751151714,38336
kaasama,,436,1734,74.8558246828143,1298
leidma,eest,191,760,74.86842105263159,569
heitma,välja,60,239,74.89539748953975,179
omama,,2910,11606,74.92676201964501,8696
väljuma,,1953,7799,74.95832799076805,5846
asuma,,77356,308956,74.96213052991364,231600
haakima,lahti,6,24,75,18
kannustama,,144,576,75,432
kihutama,üles,11,44,75,33
relvastuma,,20,80,75,60
sidustama,,1,4,75,3
sõbrutsema,,1,4,75,3
tükkima,ligi,2,8,75,6
osutuma,,5523,22121,75.03277428687673,16598
läbima,,3479,13938,75.03946046778591,10459
võtma,kokku,1221,4893,75.04598405885959,3672
aitama,,46656,187140,75.06893235011222,140484
viima,,25680,103010,75.07038151635763,77330
kasvama,välja,517,2074,75.07232401157185,1557
puudutama,,8181,32839,75.08754834191053,24658
saatma,,11383,45738,75.11259783987056,34355
tundma,kaasa,318,1279,75.13682564503519,961
talitsema,,30,121,75.20661157024794,91
kohalduma,,23,93,75.26881720430107,70
täima,,22,89,75.28089887640449,67
kutsuma,,37070,150165,75.31382146305731,113095
peitma,,774,3138,75.33460803059273,2364
raporteerima,,129,523,75.33460803059273,394
laekuma,,4481,18193,75.369647666685,13712
takistama,,5710,23192,75.37944118661606,17482
tooma,,33878,137668,75.39152163175174,103790
laenutama,,148,602,75.41528239202658,454
andma,,110298,448696,75.41810045108492,338398
mustendama,,12,49,75.51020408163265,37
ärgitama,,662,2704,75.51775147928994,2042
tellima,,2419,9884,75.52610279239175,7465
meelitama,välja,58,237,75.52742616033755,179
mattuma,,364,1488,75.53763440860214,1124
sõidutama,,698,2854,75.54309740714787,2156
kõlistama,,66,270,75.55555555555556,204
sisestama,,165,675,75.55555555555556,510
kogema,,2096,8576,75.55970149253731,6480
sallima,,689,2820,75.56737588652483,2131
taltsutama,,53,217,75.57603686635944,164
keskendama,,28,115,75.65217391304347,87
katkestama,,3290,13514,75.65487642444873,10224
hüppama,alla,137,563,75.66607460035524,426
hoidma,kõrvale,220,906,75.71743929359823,686
eristama,,1376,5678,75.7661148291652,4302
austama,,765,3160,75.79113924050634,2395
osundama,,120,496,75.80645161290323,376
rääkima,vahele,7,29,75.86206896551724,22
jutlustama,,194,804,75.87064676616916,610
valvama,,2268,9402,75.87747287811104,7134
kaasuma,,40,166,75.90361445783132,126
ergutama,,570,2366,75.90870667793745,1796
tühistama,,989,4109,75.93088342662449,3120
koonerdama,,50,208,75.96153846153845,158
üritama,,9412,39162,75.96649813594811,29750
laimama,,85,354,75.98870056497175,269
kiskuma,lahti,48,200,76,152
pidama,paljuks,6,25,76,19
pakkuma,,16130,67218,76.00345145645512,51088
vahetama,välja,612,2553,76.02820211515863,1941
kuuluma,,71928,300081,76.03047177262138,228153
kamandama,,238,996,76.10441767068274,758
puhastama,,569,2383,76.1225346202266,1814
tervitama,,1426,5975,76.13389121338912,4549
toimetama,,1326,5558,76.14249730118748,4232
lahutama,,855,3584,76.14397321428571,2729
ennetama,,114,478,76.15062761506276,364
varjama,,1494,6268,76.16464582003829,4774
käsutama,,203,852,76.17370892018779,649
ohkama,,1355,5701,76.23223995790212,4346
keelitama,,190,800,76.25,610
seonduma,,569,2397,76.26199415936587,1828
nõustuma,,8178,34464,76.27089136490251,26286
tõrjuma,,1034,4363,76.30071052028421,3329
kooskõlastama,,560,2370,76.37130801687763,1810
väitma,vastu,43,182,76.37362637362637,139
võlgnema,,450,1905,76.37795275590551,1455
toetuma,,1842,7798,76.37855860477045,5956
mustama,,119,504,76.38888888888889,385
põiklema,kõrvale,34,144,76.38888888888889,110
rõõmustama,,4498,19052,76.3909300860802,14554
orjama,,25,106,76.41509433962264,81
mürgitama,,80,340,76.47058823529412,260
pühkima,,1096,4658,76.47058823529412,3562
veenma,,1773,7554,76.52899126290707,5781
opereerima,,296,1262,76.54516640253566,966
jätma,ilma,163,696,76.58045977011494,533
kaasnema,,2237,9566,76.61509512858039,7329
kiitlema,,236,1010,76.63366336633663,774
tavatsema,,253,1084,76.66051660516605,831
jootma,sisse,14,60,76.66666666666667,46
kuulutama,,8856,38040,76.71924290220821,29184
katma,,2308,9956,76.81799919646444,7648
eeldama,,3509,15153,76.84286939879892,11644
kujundama,,1174,5084,76.90794649881983,3910
näima,,9513,41203,76.91187534888236,31690
nõudma,,28020,121370,76.91357007497734,93350
hüüdma,,2490,10794,76.93162868260146,8304
kõnelema,,5074,22072,77.01159840521929,16998
võitma,,18075,78783,77.05723315943796,60708
varastama,,1073,4677,77.05794312593542,3604
asendama,,3124,13626,77.0732423308381,10502
hoiduma,kõrvale,60,262,77.09923664122137,202
tooma,välja,1435,6267,77.10228179352163,4832
uudistama,,95,415,77.10843373493977,320
lähtuma,,5290,23112,77.11145725164417,17822
päästma,,5754,25140,77.11217183770883,19386
avaldama,,9133,39908,77.11486418763155,30775
kaeblema,,35,153,77.12418300653596,118
hüvitama,,1134,4959,77.13248638838476,3825
otsima,taga,222,971,77.13697219361482,749
koguma,,5081,22266,77.18045450462589,17185
vabandama,,5280,23175,77.2168284789644,17895
käendama,,23,101,77.22772277227723,78
remontima,,221,972,77.2633744855967,751
keelduma,,8942,39332,77.26533102817045,30390
ebaõnnestuma,,1139,5010,77.26546906187625,3871
uskuma,,34916,153916,77.31489903583773,119000
sugereerima,,34,150,77.33333333333333,116
simuleerima,,29,128,77.34375,99
hullutama,,81,359,77.43732590529248,278
reguleerima,,1200,5350,77.57009345794393,4150
kutsuma,üles,794,3541,77.57695566224231,2747
viitama,,4497,20065,77.58783952155494,15568
näitama,,42798,191486,77.64954095860794,148688
naerma,,7062,31634,77.67591831573624,24572
korrastama,,234,1050,77.71428571428571,816
kujutama,,2915,13096,77.74129505192425,10181
juhinduma,,198,890,77.75280898876404,692
sügama,,113,508,77.75590551181102,395
kutsuma,esile,583,2622,77.76506483600305,2039
hõõgama,,2,9,77.77777777777779,7
kiitma,takka,26,117,77.77777777777779,91
konverteerima,,28,126,77.77777777777779,98
sõitlema,,14,63,77.77777777777779,49
valguma,täis,14,63,77.77777777777779,49
ümmardama,,6,27,77.77777777777779,21
kindlustama,,4476,20181,77.82072246172143,15705
aitama,üle,29,131,77.86259541984732,102
teotama,,25,113,77.87610619469027,88
külvama,üle,21,95,77.89473684210526,74
vallandama,,734,3326,77.93144918821407,2592
kõrvaldama,,355,1609,77.93660658794282,1254
esitama,,29484,133812,77.96610169491525,104328
apelleerima,,116,528,78.03030303030303,412
imiteerima,,92,419,78.04295942720763,327
eraldama,,4233,19305,78.07303807303808,15072
vabastama,,2910,13296,78.11371841155234,10386
lohutama,,531,2433,78.1750924784217,1902
lükkama,tagant,12,55,78.18181818181819,43
eemaldama,,454,2083,78.20451272203553,1629
joobuma,,15,69,78.26086956521739,54
siduma,lahti,10,46,78.26086956521739,36
hõivama,,587,2701,78.26730840429471,2114
nakatuma,,1042,4808,78.32778702163061,3766
astuma,üles,944,4356,78.32874196510559,3412
iseloomustama,,2684,12386,78.3303730017762,9702
soodustama,,1082,4994,78.33400080096115,3912
õhutama,,792,3660,78.36065573770492,2868
lõpetama,,9930,46006,78.41585880102595,36076
pahandama,,2436,11289,78.42147222960403,8853
määrama,,9448,43792,78.42528315674096,34344
rändama,sisse,22,102,78.43137254901961,80
soovitama,,8581,39902,78.49481229011077,31321
soovima,,38680,180282,78.54472437625498,141602
olema,kõrini,12,56,78.57142857142857,44
sarnastama,,6,28,78.57142857142857,22
võrdsustama,,164,770,78.70129870129871,606
garanteerima,,516,2429,78.75668999588308,1913
uhkeldama,,76,358,78.77094972067039,282
dekoreerima,,7,33,78.78787878787878,26
õpetama,,5232,24680,78.80064829821718,19448
püüdma,,27262,128640,78.8075248756219,101378
tunnustama,,1088,5134,78.80794701986756,4046
vedama,kihla,50,236,78.8135593220339,186
akrediteerima,,11,52,78.84615384615384,41
kätlema,,66,312,78.84615384615384,246
rõhutama,,4825,22812,78.8488514816763,17987
patroneerima,,4,19,78.94736842105263,15
seondama,,4,19,78.94736842105263,15
siirma,,4,19,78.94736842105263,15
lõhkuma,,3033,14415,78.95941727367327,11382
tunnistama,,41328,197178,79.04025804095791,155850
taotlema,,8607,41067,79.0415662210534,32460
trahvima,,310,1482,79.08232118758434,1172
baseeruma,,366,1750,79.08571428571427,1384
pühendama,,1132,5416,79.09896602658789,4284
sõitma,kaasa,96,460,79.13043478260869,364
jumaldama,,135,647,79.13446676970634,512
hangeldama,,10,48,79.16666666666666,38
kviteerima,,10,48,79.16666666666666,38
sisenema,,961,4615,79.1765980498375,3654
sorima,,112,538,79.182156133829,426
tagastama,,354,1702,79.20094007050528,1348
käitlema,,16,77,79.22077922077922,61
osalema,,18452,88932,79.25156299194892,70480
ilustama,,46,223,79.37219730941703,177
arvama,,27838,135056,79.38780950124394,107218
ulatama,,2324,11300,79.43362831858407,8976
uppuma,,938,4561,79.43433457575094,3623
hooldama,,186,905,79.4475138121547,719
ennistama,,96,468,79.48717948717949,372
edendama,,169,824,79.49029126213593,655
kaebama,,5425,26485,79.51670757032282,21060
jooksma,järele,70,342,79.53216374269006,272
küllastuma,,84,411,79.56204379562044,327
tuginema,,1534,7514,79.58477508650519,5980
hoiatama,,4778,23410,79.58991883810339,18632
plaanima,,2155,10633,79.73290698767987,8478
normaliseerima,,16,79,79.74683544303798,63
hööritama,,18,89,79.7752808988764,71
esindama,,3058,15129,79.78716372529578,12071
rajama,,863,4287,79.86937252157686,3424
ühtlustama,,128,636,79.87421383647799,508
võõrandama,,268,1332,79.87987987987988,1064
lootma,,38946,194235,79.9490308131902,155289
ähvardama,,10206,50904,79.95049504950495,40698
läänistama,,2,10,80,8
manööverdama,mööda,1,5,80,4
pakatama,,112,561,80.03565062388593,449
rääkima,,81318,407500,80.04466257668712,326182
põgenema,,3376,16944,80.07554296506137,13568
seletama,,7240,36356,80.08581802178458,29116
tungima,kallale,232,1169,80.15397775876818,937
osutama,,3954,20024,80.25369556532162,16070
nimetama,,7419,37617,80.27753409362788,30198
omistama,,137,697,80.34433285509326,560
pidama,kinni,1784,9091,80.37619623803762,7307
immutama,,10,51,80.3921568627451,41
tsiteerima,,746,3810,80.41994750656168,3064
rahustama,,367,1875,80.42666666666666,1508
kinkima,,3050,15636,80.49373241238168,12586
ehtima,,1288,6624,80.55555555555556,5336
juhtima,,8413,43307,80.57357932897685,34894
süüdistama,,5532,28526,80.60716539297484,22994
vedama,üle,6,31,80.64516129032258,25
tunduma,,13653,70749,80.70220073781962,57096
nõustama,,514,2672,80.76347305389223,2158
rahastama,,538,2799,80.77884958913899,2261
pärinema,,4434,23110,80.81350064906967,18676
rajanema,,440,2296,80.8362369337979,1856
kavatsema,,9424,49595,80.99808448432302,40171
tülpima,,29,153,81.04575163398692,124
juhatama,,987,5222,81.09919571045576,4235
teatama,,50960,270190,81.13919834190754,219230
täiendama,,1229,6529,81.17629039669168,5300
aasima,,66,352,81.25,286
helistama,välja,9,48,81.25,39
sünkroonima,,45,240,81.25,195
ümbritsema,,580,3100,81.29032258064515,2520
peksma,,1386,7426,81.33584702396983,6040
kurtma,,4712,25266,81.35043140979973,20554
