verb,verb_compound,advmod_count,verb_count,relative_diff,absolute_diff
klapitama,,4,38,89.47368421052632,34
eelnema,,547,5241,89.56306048464033,4694
raevuma,,32,311,89.71061093247589,279
joovastuma,,6,59,89.83050847457628,53
põlvnema,,32,322,90.06211180124224,290
tõrvama,,93,1082,91.40480591497227,989
lisama,,8885,103504,91.41579069407946,94619
põhjendama,,3414,40378,91.54490068849374,36964
fokusseerima,,1,13,92.3076923076923,12
märkima,,10600,140000,92.42857142857143,129400
selgitama,,3753,60573,93.80417017483038,56820
vahendama,,1468,30778,95.23035934758593,29310
kaitsesüstima,,1,22,95.45454545454545,21
pidama,,142616,3268096,95.63611350462166,3125480
tänama,,6411,219897,97.08454412747787,213486
tohtima,,626,78795,99.2055333460245,78169
võima,,2205,722168,99.69466938440917,719963
