verb,compound1,compound2,obl,obl_form
tutvuma,,,ülikool,sg in
esinema,,,Tallinn,sg in
pidama,,,meel,sg in
süüdistama,,,riisumine,sg in
rahulolematus,,,roll,sg in
korraldama,,,korter,sg in
saama,,,kontor,sg in
esindama,,,ehitamine,sg in
omanik,,,London,sg in
omanik,,,Eesti,sg in
käima,,,muusikakool,sg in
käima,,,laulustuudio,sg in
jääma,,,kaklus,sg in
meenuma,,,murrak,sg in
jääma,,,Helsingi,sg in
mängima,,,film,sg in
leidnud,,,kodu,sg in
filmimaailm,,,film,sg in
kogunema,,,London,sg in
kogunema,,,tänav,sg in
võtma,,,film,sg in
kavatsema,,,tulevik,sg in
tulema,,,elu,sg in
aktivist,,,süda,sg in
tahtma,,,kodu,sg in
tahtma,,,rahu,sg in
puuduma,,,Eesti,sg in
seisnema,,,see,sg in
saama,,,treeninglaager,sg in
komme,,,Hispaania,sg in
sisustama,,,kino,sg in
oht,,,raamat,sg in
lubama,,,firma,sg in
viibima,,,paik,pl in
viibima,,,romaan,sg in
levima,,,kultuuriringkond,pl in
ütlema,,,hotell,pl in
käima,ringi,,majapidamine,sg in
käima,ringi,,kõik,sg in
arvama,,,haud,sg in
vanduma,,,kõne,sg in
alustama,,,saal,sg in
meenutama,,,Päevalehe,sg in
hindama,ümber,,elu,sg in
tunduma,,,maailm,sg in
ilutsema,,,vaas,sg in
väljendama,,,karate,sg in
tulema,,,õigusinstituut,sg in
võtma,,,muusika,sg in
olema,,,meel,sg in
surve,,,olukord,sg in
pidama,,,elu,sg in
tulema,,,matemaatika,sg in
õppima,,,ülikool,sg in
õppima,,,saatkond,sg in
mina,,,geen,pl in
väärtustama,,,ühiskond,sg in
ootama,,,film,sg in
tekkima,,,valgus,sg in
jääma,,,ehituskolledž,sg in
jääma,,,teater,sg in
uskuma,,,noorpõlv,sg in
iseloomustama,,,spordiklass,sg in
iseloomustama,,,spordikeel,sg in
iseloomustama,,,pallimäng,pl in
jääma,,,varietee,sg in
otsustama,,,lõpp,sg in
minema,,,elu,sg in
ütlema,,,USA,sg in
ütlema,,,baar,sg in
vilksatama,,,ajakirjandus,sg in
püüdma,,,tele,sg in
pärit,,,London,sg in
ühesugune,,,Jaapan,sg in
saama,kaasa,,sünd,pl in
elama,,,ühikas,sg in
õppima,,,Ülikool,sg in
elama,valmis,,maailm,sg in
pistma,,,rahavahetuspunkt,sg in
talletama,,,poos,pl in
London,,,mõte,sg in
London,,,Cincinnati,sg in
elama,,,London,sg in
teadma,,,Salzburg,sg in
libastuma,,,Tartu,sg in
libastuma,,,haigla,sg in
viskama,,,restoran,sg in
mäletama,,,Rootsi,sg in
võtma,,,ühiskond,sg in
käima,,,juuli,sg in
tunnistama,,,tükk,sg in
täitma,,,tulevik,sg in
käinud,,,Tallinn,sg in
nautima,,,loss,sg in
kujutanud,ette,,asi,pl in
kuluma,,,aasta,sg in
üllatav,,,kodu,sg in
õmblema,,,ots,sg in
saama,,,vanalinn,sg in
seisma,,,vesi,sg in
aasima,,,mets,sg in
nägema,,,seltskond,pl in
piisavalt,,,Priidu,sg in
käima,,,koht,sg in
Fellini,,,Itaalia,sg in
piirama,,,kõrvaltänav,sg in
teadma,,,Eesti,sg in
istuma,,,heinakuhi,sg in
kaubaartikkel,,,elulugu,pl in
andma,,,tulevik,sg in
imbuma,läbi,,detsember,sg in
saabuma,,,haigla,sg in
tahtma,,,tulevik,sg in
käima,,,Eesti,sg in
kepslema,ringi,,stuudio,sg in
aasta,,,kodu,sg in
mõte,,,pea,sg in
tuhnima,,,arhiivitolm,sg in
saama,,,Ameerika,sg in
puutuma,kokku,,Kohila,sg in
natuur,,,Eesti,sg in
natuur,,,Tallinn,sg in
tegema,,,kodu,sg in
mõtlema,,,Eesti,sg in
teadma,,,silm,pl in
Robinson,,,laager,sg in
tähistama,,,klubi,sg in
puudutama,,,jutt,sg in
veenduma,,,isadus,sg in
tegema,,,suu,sg in
reisima,,,ookeanisügavus,pl in
kirjutanud,,,Vahemeri,sg in
liigutatud,,,hotell,sg in
õpilane,,,mõte,sg in
panema,,,kuu,sg in
nimetama,,,meedia,sg in
käima,,,trenn,sg in
käima,,,spordisaal,sg in
õppima,,,vangla,sg in
jõudma,,,kord,sg in
oskama,,,lillepood,sg in
olema,,,põhi,sg in
sattuma,,,õnnetus,sg in
rääkima,,,saade,sg in
olema,,,mõte,sg in
nägema,välja,,jaanuar,sg in
käima,,,diskoteek,sg in
hõivama,,,tabel,sg in
hõivama,,,toon,pl in
põgenema,,,algus,sg in
püüdma,,,mastaap,sg in
innustama,,,kudumisõpik,sg in
kommenteerima,,,lugu,sg in
Cathyl,,,Rootsi,sg in
Cathyl,,,Rootsi,sg in
mõte,,,London,sg in
jõudma,,,kunstihoone,sg in
arvama,,,suund,sg in
minema,,,kodu,sg in
minema,,,kool,sg in
minema,,,kabiin,sg in
mõistma,,,pärand,sg in
kasvama,,,Eesti,sg in
peatuma,,,Tallinn,sg in
peatuma,,,kalamaja,sg in
peatuma,,,üürikorter,sg in
käima,,,juuni,sg in
käima,,,Itaalia,sg in
koha,,,väärtushinnang,pl in
rääkima,,,tingimus,pl in
hoolitsema,,,aeroobika,sg in
hoolitsema,,,solaarium,sg in
tegema,,,kompartei,sg in
teenima,välja,,grupp,sg in
olema,,,mõte,sg in
olema,,,vastuolu,sg in
kuluma,,,kuu,sg in
andma,,,kiri,sg in
mõistma,,,Lääne,sg in
näitama,,,aprill,sg in
selline,,,Rootsi,sg in
kujundama,,,stiil,sg in
nägema,,,metsandus,sg in
saama,,,rand,sg in
olema,vaja,,tema,sg in
käsi,,,klooster,sg in
nägema,,,uni,sg in
koostama,,,tasku,sg in
ründama,,,aprill,sg in
langema,,,Eesti,sg in
tulema,,,kaenal,sg in
kasutama,,,propagandasõda,sg in
lonkama,,,klass,pl in
tegema,,,klass,sg in
maabuma,,,Tallinn,sg in
vastama,,,looming,sg in
jätkama,,,Lõuna-Tshiili,sg in
alustama,,,Lõuna-Ameerika,sg in
käima,,,saun,sg in
taipama,,,voodi,sg in
taipama,,,jalg,sg in
kuuluma,,,firma,sg in
käinud,,,Moskva,sg in
ootama,,,olukord,sg in
domineerima,,,riik,sg in
võtma,,,Pentagon,sg in
andnud,,,seisund,sg in
andnud,,,nägemus,sg in
käsi,,,majanduspolitsei,sg in
püüdma,,,troonikõne,sg in
panema,,,mõistus,sg in
deistvii,,,mõte,sg in
sundima,,,lähitulevik,sg in
tulema,,,silm,sg in
langema,,,Krimm,sg in
langema,,,kirik,pl in
kujunema,,,poisiiga,sg in
kujunema,,,vaim,sg in
elama,edasi,,riik,pl in
valitsema,,,Ukraina,sg in
agiteerima,,,keskpaik,sg in
mees,,,valitsusringkond,pl in
rahandusminister,,,eesots,sg in
pidama,,,silm,sg in
istuma,,,ruum,sg in
kümmekond,,,Eesti,sg in
suurem,,,inimgrupp,sg in
olema,,,Eesti,sg in
oblige,,,seis,sg in
jääma,,,silm,pl in
jääma,,,kool,sg in
langema,,,lahing,pl in
hauaasjatundja,,,lennuk,pl in
kaevama,lahti,,mets,sg in
otsustama,,,Misso,sg in
arvestama,,,vald,sg in
arvama,,,vanusegrupp,sg in
tundma,,,kõrgharidussüsteem,sg in
ütlema,,,kirik,sg in
kinnitama,,,algus,sg in
võrdlema,,,Cleveland,sg in
täheldama,,,maa,pl in
märkama,,,suhtumine,sg in
muutuma,,,ots,sg in
tähendama,,,keel,sg in
käima,,,detsember,sg in
käima,,,sõjavägi,sg in
kiskuma,tagasi,,Minnesota,sg in
mõistma,,,Audru,sg in
süüdi,,,viljatus,sg in
veeretama,,,Sürgavere,sg in
suutma,,,kodu,sg in
kuuluma,,,ministeerium,sg in
miski,,,mastaap,sg in
uurima,,,WIDER,sg in
saama,,,aasta,sg in
seostama,,,sotsiaalmaks,sg in
liikvel,,,väikelinn,sg in
väitma,,,N. Liit,sg in
varjama,,,Eesti,sg in
toimima,,,ühiskond,sg in
toimima,,,meeskonnatöö,sg in
lubama,,,Hongkong,sg in
enam,,,suhe,pl in
poliitiline,,,Hongkong,sg in
otstarbekas,,,lõpp,sg in
pöörama,,,täisvidevik,sg in
rääkima,,,noorus,sg in
lubama,,,oktoober,sg in
istuma,,,vilu,sg in
tegema,,,paik,sg in
ettepanek,,,juhatus,sg in
oskama,,,tollideklaratsioon,sg in
käima,,,Eesti,sg in
arvama,,,maapõu,sg in
esindama,,,Eesti,sg in
olema,,,müük,sg in
lähtuma,,,kunst,sg in
lihtne,,,filmikunst,sg in
suurendama,,,kino,pl in
suurendama,,,märts,sg in
tähendama,,,miski,sg in
võtma,,,lääneriik,pl in
hakkama,,,elu,sg in
töötama,,,algus,sg in
töötama,,,koosseis,sg in
meenutama,,,Tartu,sg in
meenutama,,,algus,sg in
see,,,riik,sg in
uurima,,,lõpp,sg in
kool,,,juubelikogumik,sg in
kerkiv,,,ring,sg in
mõjuvõimas,,,Eesti,sg in
suurendama,,,Põhja-Korea,sg in
avama,,,Poola,sg in
avama,,,ematehas,sg in
tooma,kaasa,,järjelugu,sg in
uskuma,,,see,sg in
andma,,,kohtusaal,sg in
nentima,,,kool,sg in
kehtima,,,KGB,sg in
esindatud,,,ERO,sg in
Tallinn,,,linn,sg in
elama,,,perekond,sg in
elama,,,uni,sg in
pidama,,,vann,sg in
mina,,,elu,sg in
laskma,,,koolipõlv,sg in
loomastuma,,,mõte,sg in
ülem,,,keskus,sg in
märkima,ära,,järelhüüe,sg in
minema,,,kadu,sg in
lõpetama,,,soov,pl in
jäänud,,,Eesti,sg in
asutama,,,Moskva,sg in
suutma,,,intervjuu,pl in
järgnema,,,seltskond,sg in
kaduma,,,august,sg in
elama,,,Tartu,sg in
elama,,,Haapsalu,sg in
elama,,,Rootsi,sg in
tegema,,,Norra,sg in
puuduma,,,paleepööre,pl in
sirgjoon,,,torm,sg in
mälestusteraamat,,,mis,sg in
vaatama,,,Tallinn,sg in
tõdema,,,hinnang,sg in
hukkuma,,,torm,sg in
kuulutama,,,tsiviilrõivas,pl in
näidanud,,,impeerium,sg in
arusaadav,,,eesots,sg in
särama,,,taevas,sg in
tundma,ära,,tema,sg in
veendunud,,,olemasolu,sg in
vastama,,,huvi,pl in
tõusma,,,lasketingimus,pl in
tõmbama,külge,,Viljandi,sg in
nägema,,,lõpp,sg in
ütlema,,,kiri,sg in
ütlema,,,valdus,sg in
valitsema,,,ühiskond,sg in
valitsema,,,elu,sg in
jääma,,,reiting,sg in
raske,,,Soome,sg in
olema,,,maailm,sg in
tootma,,,ööpäev,sg in
muutuma,,,palju,sg in
kukkuma,läbi,,parlament,sg in
vähenema,,,sektor,pl in
poolriiuliäri,,,fuajee,sg in
jagama,ära,,suund,sg in
tooma,,,maailm,sg in
tõstma,,,programmkõne,sg in
jätkuv,,,pangandus,sg in
mängima,,,investeerimispangandus,sg in
mängima,,,liiga,sg in
mängima,,,ligimeelitamine,sg in
esinema,,,vorm,pl in
tähendama,,,perekond,sg in
funktsioneerima,,,see,pl in
suur,,,Lilli,sg in
