verb,compound1,compound2,obl,obl_form
soostuma,,,juunis-juuli,sg in
soostuma,,,eksperiment,pl in
ilmnema,,,valdkond,pl in
meistrimehed-tööline,,,ettevõte,sg in
armuma,,,tudengipõlv,sg in
avaldama,,,saal,sg in
raudne,,,üks,sg in
kaevama,välja,,puukast,pl in
jätkuma,,,veebruar,sg in
jääma,,,lääneosa,sg in
hülgama,,,perekond,sg in
üritama,,,algus,sg in
üritama,,,Euroopa,sg in
arvama,,,Tallinn,sg in
arvama,,,Narva,sg in
prognoosima,,,Eesti,sg in
eeldama,,,tulevik,sg in
peituma,,,monograafia,sg in
suurenema,,,maailm,sg in
selguma,,,stiil,sg in
toimuma,,,Soome,sg in
toimuma,,,juuni,sg in
tee,ära,,köök,sg in
lubama,,,pere,sg in
juhatama,sisse,,Soome,sg in
SRÜ,,,Euroopa,sg in
kasvama,,,Eesti,sg in
saadud,,,laboratoorium,sg in
lülituma,sisse,,nina,sg in
arvestama,,,aasta,sg in
kasvama,,,Soome,sg in
nihe,,,riik,pl in
palju,,,stiil,sg in
kujutama,ette,,Eesti,sg in
kujutama,ette,,maailm,sg in
huvitav,,,tegevusjuht,sg in
panema,,,Euroopa,sg in
tunduma,,,tingimus,sg in
viima,,,voodi,sg in
kaugel,,,kokkuvõte,sg in
olema,vaja,,etanooliaur,pl in
kirjutama,,,kaassõna,sg in
kirjutama,,,ajakirjandus,sg in
kirjutama,,,Eesti,sg in
rahuldama,,,märts,sg in
vahetama,ümber,,Orsend,sg in
olema,,,Hiina,sg in
mäletama,,,keskkool,sg in
olema,,,see,sg in
pakkuma,,,aristokraadipere,sg in
osalema,,,jaanuar,sg in
ütlema,,,Tshubai,sg in
tähtis,,,riik,sg in
soodne,,,algus,sg in
langetama,,,ring,sg in
katseseade,,,Austraalia,sg in
katseseade,,,faas,sg in
laibabakter,,,elusorganism,sg in
püüdma,,,töö,pl in
nägema,,,tuba,sg in
andma,,,Eesti,sg in
selge,,,riik,sg in
selge,,,konkurents,sg in
paratamatu,,,Eesti,sg in
kurtma,,,stiil,sg in
kurtma,,,tuba,sg in
pere,,,Shveits,sg in
lihtne,,,Eesti,sg in
käima,,,ajastu,sg in
teatama,,,detsember,sg in
jõudma,,,USA,sg in
jõudma,,,märts,sg in
võimeline,,,nina,sg in
hea,,,seadus,sg in
võrdlema,,,mõte,sg in
ütlema,,,näidend,sg in
ütlema,,,üks,sg in
saanud,,,korter,sg in
lihtne,,,suund,sg in
panema,,,protsess,sg in
kumuleeruma,,,pank,pl in
dollarimiljonär,,,parlament,sg in
kasvama,,,maailm,sg in
lihtne,,,arvutikomplekt,pl in
vältimatu,,,arvuti,sg in
olema,,,MicroBlaze-assembler,sg in
andma,,,praktika,sg in
kasutus,,,protsessor,pl in
tulema,,,vastuvõtja,sg in
rahvustoit,,,kaste,sg in
määrama,,,sekund,sg in
esitama,,,järgnev,sg in
parem,,,mis,sg in
avama,,,kontaktinfopaan,sg in
tingima,,,telekommunikatsioonivõrk,pl in
kirjutatud,,,keel,sg in
kirjutatud,,,Windows-masin,sg in
rohkem,,,server,pl in
süvateadlane,,,areng,sg in
alustama,,,maa,sg in
alustama,,,september,sg in
võimalus,,,Excel,sg in
raskem,,,internet,sg in
samm,,,suund,sg in
töötama,,,Eesti,sg in
pöörama,,,koalitsioonileping,sg in
tekkima,,,hange,pl in
põhjus,,,Eesti,sg in
kehtestamine,,,valitsus,sg in
jõudma,,,õigusakt,pl in
loodud,,,informaatikakeskus,sg in
lisand,,,kohus,sg in
olema,,,arengufaas,sg in
ütlema,,,osa,sg in
ütlema,,,maakond,sg in
väitma,,,kokkuvõte,sg in
pidama,,,Eesti,sg in
tehtud,,,osa,sg in
andmed,,,register,sg in
püüdma,,,artikkel,sg in
vaatlema,,,artikkel,sg in
käsitlema,,,artikkel,sg in
koosnema,,,redaktsioon,sg in
kippuma,,,elu,sg in
mõtlema,,,Soome,sg in
tegema,,,ettevõte,sg in
olema,välja,,tulevik,sg in
lisanduma,,,kogus,sg in
tarkvaraarendus,,,valdkond,sg in
pank,,,ettevõte,sg in
tulema,välja,,juuni,sg in
vastama,,,maailm,sg in
töötama,välja,,haigekassa,sg in
kordama,,,töö,sg in
fikseerima,,,süsteem,sg in
kasutama,,,Server,pl in
kasutama,,,ühispank,sg in
tulema,,,valikuprotsess,sg in
ilmuma,,,sekund,sg in
saatma,,,andmevahetus,sg in
kiri,,,varundustellimus,sg in
asuma,,,asukoht,pl in
saama,,,koostöö,sg in
valmima,,,ulatus,sg in
õppejõud,,,failiformaat,pl in
väärtustama,,,didaktika,sg in
juurduma,,,koostöö,sg in
kõrvutama,,,sulg,pl in
ennustatav,,,tulevik,sg in
selline,,,kontekst,sg in
kuulama,,,internet,sg in
tarkvarafirma,,,USA,sg in
osutama,,,liit,sg in
baseeruma,,,perspektiiv,sg in
tekkima,,,kvantsüsteem,pl in
esitama,,,loogikalülitus,sg in
viibima,,,kvantolek,sg in
kasutama,,,eksperiment,pl in
kasutama,,,kvantarvuti,sg in
kasutama,,,arvuti,pl in
sooritama,,,ülikool,sg in
sooritama,,,ülikool,sg in
toimuma,,,vedelikkeskkond,sg in
kasvama,,,virtuaalruum,sg in
tarkvaratoode,,,maailm,sg in
tulema,,,juuni,sg in
tähendama,,,riik,pl in
tõsine,,,riik,pl in
asuma,,,piirkond,sg in
antud,,,artikkel,sg in
sisaldama,,,ise,sg in
kasutatav,,,operatsioon,pl in
piisama,,,kokkuvõte,sg in
piisama,,,programmimälu,sg in
lisanduma,,,oskus,sg in
lisanduma,,,kategooria,pl in
muretu,,,algus,sg in
tulemus,,,veerg,pl in
käivituma,,,kaugõpe,sg in
selge,,,tabel,sg in
mudel,,,Eesti,sg in
osalema,,,projekt,sg in
püüdma,,,ulatus,sg in
püüdma,,,firma,sg in
andma,,,praktika,sg in
nähtuma,,,asutus,pl in
näitama,,,uuring,sg in
avalduma,,,valdkond,pl in
võimeline,,,keel,sg in
võimeline,,,raamatukogu,sg in
asuma,,,ülikool,sg in
sõlmima,,,suurtükiasjandus,sg in
alustama,,,kool,sg in
viima,läbi,,arvuti,sg in
"3,15",,,aed,sg in
olema,,,keel,pl in
järgmine,,,tema,pl in
osalema,,,piiblitõlge,pl in
jätma,välja,,printsiip,sg in
nõutav,,,poeetika,sg in
tõlge,,,kirikukirjandus,sg in
kiitma,,,tõlge,sg in
näide,,,EV,sg in
näide,,,grammatika,sg in
näide,,,EV,sg in
näitama,,,EV,sg in
näitama,,,EV,sg in
mugavam,,,see,pl in
viitama,,,grammatika,pl in
imestama,,,raamat,sg in
avaldama,,,valgus,sg in
avaldama,,,töö,sg in
tooma,,,uurimus,sg in
rõhutama,,,eessõna,sg in
ilmuma,,,lisaleht,sg in
ilmuma,,,lisa,sg in
ilmuma,,,meelejahutaja,sg in
mina,,,saadetis,sg in
esitatud,,,registriköide,sg in
esitatud,,,register,sg in
esindatud,,,aine,sg in
üldhulk,,,raamat,sg in
esinema,,,vahekord,sg in
leiduv,,,esipeatükk,sg in
esitama,,,printsiip,sg in
minema,,,lõppversioon,sg in
esitama,,,idu,sg in
toodud,,,EV,sg in
näima,,,FFC-sari,sg in
vallanduma,,,üksindus,sg in
osutuma,,,mõte,sg in
harrastama,,,aine,sg in
kordama,üle,,statistika,sg in
vahetama,,,mõte,sg in
vahetama,,,lõige,sg in
kujutama,,,lõige,sg in
taanduma,,,Eesti,sg in
viitama,,,esisilp,sg in
mõõdetu,,,töö,sg in
seisnema,,,see,sg in
sama,,,osa,sg in
oluline,,,silm,sg in
määratlema,,,ulatus,sg in
määratlema,,,praktika,sg in
kasutama,,,seos,sg in
omandama,,,igapäevaelu,sg in
omandama,,,vestlus,sg in
takistama,,,täiskasvanuiga,sg in
varieeruma,,,ulatus,sg in
ilmnema,,,EEG,sg in
jääknäht,,,täiskasvanuiga,sg in
vähetõenäoline,,,praktika,sg in
algama,,,lapseiga,sg in
avalduma,,,pilt,sg in
avalduma,,,rubriik,pl in
pärssima,,,uni,sg in
näitama,,,Eesti,sg in
täheldama,,,ühiskond,sg in
lubama,,,see,pl in
lubama,,,maailm,sg in
küsima,,,intervjuu,pl in
kultuuriprotsess,,,ühiskond,sg in
näitama,,,Eesti,sg in
nurgakivi,,,tulevik,sg in
arendanud,välja,,ühiskond,sg in
alus,,,ligipääs,sg in
alus,,,haridussüsteem,sg in
maksma,kokku,,Rootsi,sg in
tooma,välja,,valitsus,sg in
tulenema,,,maailm,sg in
kirjeldama,,,Ameerika,sg in
pool,,,idee,sg in
olema,,,statistikapakett,pl in
võimaldama,,,mudel,sg in
koolitamine,,,sotsiaaltöö,sg in
vaatlema,,,amet,pl in
vaatlema,,,mis,sg in
oluline,,,silm,pl in
konkureerima,,,ühiskond,sg in
toimuma,,,kõrgkool,sg in
põhiväide,,,lapsepõlvekodu,sg in
kujunema,,,kommunikatsiooniprotsess,sg in
näitama,,,alalõik,sg in
tulema,,,osa,sg in
muutuma,,,jutustus,sg in
igapäevane,,,rood,sg in
juhtuma,,,seos,pl in
teenima,välja,,silm,pl in
eristama,,,kool,sg in
leidma,,,uurimus,pl in
leidma,,,ettepanek,pl in
tajuma,,,sfäär,sg in
seadma,,,kodu,sg in
õigustama,,,Tartu,sg in
õigustama,,,piirkond,pl in
hool,,,Tartu,sg in
hool,,,linn,sg in
hool,,,Tartu,sg in
ilmnema,,,olukord,sg in
tekitama,,,saaja,sg in
raiskamine,,,mõte,sg in
võtma,,,praktika,sg in
tooma,välja,,uuring,sg in
viitama,,,kinkimismajandus,sg in
osutuma,,,analüüs,pl in
küsitlema,,,uurimine,sg in
küsitlema,,,järjekord,sg in
mõõtma,,,hind,pl in
püüdma,,,arvutus,pl in
avalduma,,,perspektiiv,sg in
töötama,,,Instituut,sg in
tagama,,,regioon,sg in
jääma,,,Valgevene,sg in
populaarne,,,Eesti,sg in
kõrgem,,,grupp,sg in
viima,,,ettevõte,pl in
süvendama,,,piirkond,sg in
asuma,,,vabariik,sg in
looduskeskkond,,,teooria,sg in
leiduma,,,uurimus,pl in
vähem,,,lemmikpaik,pl in
arvama,,,apteek,pl in
seal,,,auto,sg in
kummastunud,,,algus,sg in
tema,,,lennujaam,sg in
tema,,,kodu,sg in
võrdlema,,,tegelikkus,sg in
arenema,,,suund,pl in
arenema,,,paik,pl in
pigmenteeruma,,,nahk,sg in
haarama,,,lähitulevik,sg in
kiirendama,,,ioonmootor,sg in
konstateerima,,,jutuvestmine,sg in
väljenduma,,,käitumine,sg in
aktsepteerima,,,vald,sg in
pidama,,,maailm,sg in
tekitama,,,labor,sg in
toimuma,,,jaanikuu,sg in
mõõnaperiood,,,lõpp,sg in
mõõnaperiood,,,tegevus,sg in
viis,,,käima-ühend,pl in
arendama,välja,,šaraškas,sg in
mainima,,,ajakirjandus,sg in
liider,,,grupp,sg in
leidma,,,trükikalender,sg in
rinnan,,,saal,sg in
kuuluma,,,esitus,sg in
jõudma,,,kokkuvõte,sg in
võtma,,,EKSS,sg in
nda-verb,,,EKSS,sg in
tutvustama,,,alune,pl in
tutvustama,,,keel,sg in
kaar,,,maailm,sg in
seisnema,,,see,sg in
tuginema,,,uuring,pl in
elama,,,olevik,sg in
elama,,,vaimusilm,sg in
elama,,,aeg,sg in
tähendama,,,aeg,sg in
võtnud,,,artikkel,sg in
olema,,,suund,sg in
vastama,,,tekst,sg in
kasutama,,,kõrvallause,pl in
kasutama,,,funktsioon,pl in
kasutama,,,kontekst,sg in
vähe,,,katekismus,pl in
vähe,,,vorm,sg in
vähe,,,konstruktsioon,pl in
tähendama,,,originaalkeel,sg in
saama,mööda,,klass,sg in
väärastuma,,,annus,pl in
leiduma,,,Kirjandus,sg in
esitama,,,artikkel,sg in
kasutama,,,piro,sg in
tekkima,,,kirjutamine,sg in
tekkima,,,Cleveland,sg in
jätkama,,,piro,sg in
vaatlema,,,piro,sg in
kirjeldama,,,nimeandmiskatse,sg in
kinnitama,,,mõte,sg in
vastus,,,Horisont,sg in
rõhutanud,,,kirjutis,pl in
rõhutanud,,,igapäevakeel,sg in
paistma,,,üldjoon,pl in
võimalik,,,vorm,sg in
vaatama,,,sõnastusvorm,pl in
tehtud,,,maailm,sg in
kasutama,ära,,videoklipp,sg in
kasutama,ära,,ekspositsioon,sg in
mäletama,,,kino,sg in
tundma,,,silm,pl in
kirjutama,,,raamat,sg in
eristama,,,artikkel,sg in
esinema,,,tõlkevaste,pl in
niisugune,,,koht,pl in
saama,,,Lunt,sg in
meeldima,,,Eesti,sg in
teenima,,,pank,sg in
jätkuma,,,vanasadam,sg in
lamama,,,haigla,sg in
oluline,,,Euroopa,sg in
katsetanud,,,piir,pl in
toon,,,lõpp,sg in
mängima,,,kino,sg in
tooma,,,olu,pl in
jääma,,,kodu,sg in
algus,,,kõne,sg in
aitama,,,järjekord,sg in
esinema,,,vanus,sg in
esitatud,,,tabel,sg in
pakkuma,,,lugu,sg in
tegelema,,,Tallinn,sg in
jälgitav,,,evolutsioon,sg in
koht,,,perekonnanimistu,sg in
haruldane,,,perekonnanimi,pl in
kujunema,,,õhustik,sg in
kõnelema,,,perekonnanimistu,sg in
esindama,,,Eesti,sg in
domineeriv,,,perekonnanimistu,sg in
korjama,,,kelder,sg in
kuulma,,,hoog,sg in
leidma,peale,,Tartu,sg in
leiduma,,,rajoon,sg in
rohkem,,,piirkond,sg in
asuma,,,alev,pl in
teisiti,,,antroponüümika,sg in
osutama,,,kommentaar,sg in
nägema,,,EKSS,sg in
tooma,välja,,kirjandus,sg in
kurtma,,,sõnaraamat,sg in
vedelik,,,vedelik,sg in
pääsema,,,algus,sg in
jääma,,,osariik,sg in
tervitama,,,Suurbritannia,sg in
ruum,,,õhk,sg in
ruum,,,õhk,sg in
ruum,,,õhk,sg in
ruum,,,õhk,sg in
märkima,,,taevas,sg in
märkima,,,õhk,sg in
jätma,,,Soome,sg in
saama,kaasa,,asi,sg in
alustama,,,kuld,sg in
teatanud,,,koht,pl in
lõppenud,,,punkt,sg in
näitama,,,järjestus,sg in
lahendus,,,murdekeel,sg in
madrus,,,laev,sg in
olulisim,,,toimetis,pl in
puuduma,,,lavanatuur,sg in
käsitlema,,,ülevaade,sg in
kaitsma,,,murre,pl in
kaitsma,,,kaastöö,sg in
moodustama,,,seadusandlus,sg in
paeluma,,,meeter,sg in
hukkuma,,,metaaniplahvatus,sg in
hukkuma,,,kaevandus,sg in
pakkuma,,,nädal,sg in
pakkuma,,,number,sg in
mängima,läbi,,Jeruusalemm,sg in
mängima,läbi,,ulatus,sg in
toimuv,,,Riigikogu,sg in
korraldama,,,koostöö,sg in
korraldama,,,kool,sg in
kaitsma,,,maht,sg in
märkima,,,süvaesitus,sg in
märkima,,,pindesitus,sg in
kasutama,,,mõte,sg in
jääma,,,keel,sg in
võimalik,,,mäestikulaager,sg in
seisma,ees,,kett,sg in
põrkama,kokku,,Tallinn,sg in
põrkama,kokku,,õnnetus,sg in
põrkama,kokku,,troll,sg in
söandama,,,ajakiri,sg in
söandama,,,artikkel,sg in
jäänud,ilma,,valitsus,sg in
keerama,ringi,,haigla,sg in
tooma,kaasa,,majandus,sg in
palju,,,Eesti,sg in
tulema,,,Eesti,sg in
tutvustama,,,osa,sg in
äratama,,,meel,sg in
tähendama,,,kõik,sg in
märkima,,,pühakiri,sg in
leiduma,,,kiri,sg in
väljendama,,,käsk,sg in
väljendama,,,see,pl in
määrama,,,teism,sg in
kajastama,,,kõnepruuk,sg in
kandja,,,riik,pl in
materialism,,,mõte,sg in
domineerinud,,,ühiskond,sg in
viima,,,mõni,pl in
puutuma,,,universum,sg in
hingetõmme,,,aed,sg in
äkiline,,,antud,sg in
äkiline,,,aeg,sg in
eeldama,,,mõte,sg in
eeldama,,,kooskõla,sg in
eeldama,,,universum,sg in
kinnitama,,,mõistujutt,sg in
kinnitama,,,universum,sg in
leidma,,,viis,sg in
kehtestama,,,lääs,sg in
lihtne,,,lääs,sg in
piirduma,,,Lääne,sg in
leiduma,,,sõna,pl in
tsiteerima,,,ulatus,sg in
tsiteerima,,,tekst,sg in
kirjutama,,,valdkond,sg in
keskenduma,,,lõpp,sg in
väljendama,,,ulatus,sg in
ilmnema,,,mõõde,sg in
ilmnema,,,universum,sg in
kõnelema,,,kirjeldus,sg in
jumaldama,,,ümbrus,sg in
jälgima,edasi,,teos,sg in
naturalistlik,,,sisemus,sg in
saama,,,lõpp,sg in
jooksma,,,Rotterdam,sg in
nägema,,,Agresso,sg in
nägema,,,Eesti,sg in
jääma,,,haigla,sg in
kuulma,,,kommentaar,pl in
ütlema,,,raadiojaam,sg in
tekkima,,,lõppfaas,sg in
esinema,,,silp,sg in
vaatlema,,,artikkel,sg in
tundma,,,tähendus,sg in
nimetama,,,Ameerika,sg in
tõusma,,,ümbruskond,sg in
milj,147,,periheel,sg in
levima,,,keskkond,pl in
leidma,,,seismoloogiajaam,sg in
tähtsus,,,ajaskaala,sg in
minema,kokku,,põhiosa,sg in
teadma,,,algus,sg in
teadma,,,maakoor,sg in
magma,,,see,sg in
määrama,,,tema,sg in
tekitama,,,plaan,sg in
erinema,,,tema,sg in
toimuma,,,kiht,sg in
tähendama,,,jõgi,sg in
tegema,kaasa,,algstaadium,sg in
vähem,,,Aafrika,sg in
kasvama,,,vesi,sg in
kasvama,,,vesi,sg in
koha,,,Eesti,sg in
otsamoreen,,,mõte,sg in
sadestunud,,,jääjärv,pl in
leiduma,,,merepõhi,sg in
looma,,,uusaegkond,sg in
päritolu,,,suund,pl in
kõikuma,,,piir,pl in
minema,kaasa,,vesi,sg in
tulema,,,loodus,sg in
tekkimine,,,olukord,sg in
toimuma,,,pinnakiht,sg in
avanema,,,Eesti,sg in
suurim,,,neogeen,sg in
selekteerima,välja,,vahemik,sg in
tähistama,,,mis,sg in
omadus,,,struktuur,sg in
jagama,,,mõte,sg in
eksisteerima,,,põhjasete,pl in
kasvama,,,kiht,sg in
kahanema,,,kiht,sg in
neelduma,,,koostis,sg in
nimetama,,,serv,sg in
põhjustama,,,ülaosa,sg in
tekkima,,,õhuvool,sg in
küündima,,,rumalaühik,sg in
mängima,,,pilv,pl in
kasvama,,,kihtpilv,pl in
kasvama,,,õhukiht,pl in
soodustama,,,kiht,pl in
toimuma,,,õhk,sg in
kujundama,,,mis,sg in
kujundama,,,loht,sg in
muutumatu,,,vesi,sg in
olema,,,süsteem,sg in
olema,,,kasutus,sg in
mõõtma,,,kiloelektronvolt,pl in
lahustunud,,,vesi,sg in
lööma,,,ulatus,sg in
näitama,,,nurkkiir,sg in
osutuma,,,tsoon,sg in
ühine,,,küla,sg in
minema,,,rahu,sg in
peegelduma,,,see,sg in
esinema,,,ürik,pl in
motiiv,,,jutt,pl in
esitama,,,raamat,sg in
mõtlema,,,Exeteri,sg in
istuma,,,rida,sg in
kuiv,,,tehnika,sg in
tulema,,,kontekst,sg in
tegema,,,uurimus,sg in
silmapaistev,,,traditsioon,sg in
suutma,,,eelnenu,sg in
käsitletud,,,ülevaateartikkel,sg in
pakkuma,,,looming,sg in
vihjama,,,romaan,sg in
luuleline,,,käsitus,sg in
tunduma,,,teater,sg in
tähendama,,,tõlkekeel,sg in
toimuma,,,koolilinn,sg in
ütlema,,,saatesõna,sg in
ütlema,,,Norra,sg in
tutvustama,,,sõnastus,sg in
oletama,,,eestindus,sg in
esinema,,,selts,sg in
oletama,,,suund,sg in
avaldatud,,,eestindus,sg in
käsitlenud,,,monograafia,sg in
lähtuma,,,kirjandustraditsioon,sg in
tulema,,,kirjandus,sg in
vaevama,,,mõiste,sg in
saatma,,,konn,sg in
avastama,,,kokkupõrge,sg in
avastama,,,tema,sg in
nägema,,,võitlus,sg in
vaenlane,,,tõlgendus,sg in
rist,,,hauatäht,pl in
valima,,,vastavus,sg in
erandlik,,,aeg,sg in
erandlik,,,pulm,sg in
lisanduma,,,argielu,sg in
kätkema,,,ise,sg in
kandma,,,ise,sg in
sündima,,,Taani,sg in
sündima,,,kodulinn,sg in
sündima,,,Kalundborgi,sg in
andma,,,vorm,sg in
kajastuma,,,Jenny,sg in
kujund,,,osa,sg in
altruist,,,surm,sg in
altruist,,,noorus,sg in
komplitseerima,,,London,sg in
seisnema,,,see,sg in
leidma,,,kirik,sg in
olme,,,mõtestatus,sg in
pühendama,,,ajakiri,sg in
mäletama,,,kalender,sg in
mäletama,,,teadaolev,pl in
säilitama,,,muuseum,sg in
säilitama,,,raamatukogu,sg in
pidanud,,,see,sg in
saama,,,Kalundborg,sg in
saama,,,Taani,sg in
saama,,,haigla,sg in
vaatlema,,,roll,pl in
tõlkima,,,ajakiri,sg in
ilmuma,,,ajaleht,sg in
ilmuma,,,perioodika,sg in
ühesugune,,,mõlema,sg in
ilmuma,,,Eesti,sg in
tervitama,,,Lääne,sg in
leidma,,,kool,sg in
lahkuma,,,elu,sg in
ilmuma,,,sari,sg in
liituma,,,eetika,sg in
lugema,,,raadio,sg in
tooma,,,Pärnu,sg in
kuritegu,,,silm,pl in
nägema,,,vanaperenaine,sg in
nägema,,,kes,sg in
puhang,,,pea,sg in
rippuma,,,tuba,sg in
tunnustama,,,usk,sg in
aadlik,,,mõis,pl in
õige,,,vaatus,sg in
tuttav,,,hinge,sg in
reklaamima,,,ajaleheintervjuu,sg in
väitma,,,naine,pl in
töötama,,,huvi,pl in
andma,,,mõte,sg in
pakkuma,,,draama,sg in
pakkuma,,,müüdilooming,sg in
ilmuma,,,tõlge,sg in
ilmuma,,,keel,sg in
lugema,,,keel,sg in
Maja-Lisa,,,Eesti,sg in
tutvustama,,,sari,pl in
minema,,,keel,sg in
käsitletud,,,vald,sg in
käsitlema,,,valgus,sg in
tehtud,,,Taani,sg in
nägema,,,naispeategelane,sg in
purustama,,,käsitus,sg in
tõstma,esile,,mõisaomanik,sg in
avaldama,,,sari,sg in
lõpetama,,,Eesti,sg in
õigustanud,,,silm,sg in
ilmuma,,,trükikoda,sg in
näitama,,,kirjakeel,sg in
seostuma,,,käitumine,sg in
seostuma,,,suhtlussituatsioon,pl in
lootma,,,Eesti,sg in
käsitlema,,,rubriik,sg in
mõistetav,,,kontekst,sg in
levima,,,maailm,sg in
eristama,,,organism,sg in
orienteeruma,,,raamatutulv,sg in
sisenema,,,tagaosa,sg in
tõdema,,,uurimus,sg in
argumenteerima,,,põhjaosa,sg in
valima,,,Isidi,sg in
sisemine,,,maailm,sg in
laskma,,,eduseis,sg in
hellitama,,,lahing,pl in
kuuluma,,,sadam,pl in
näitama,,,raamatukogu,sg in
jääma,,,Bosnia,sg in
olema,,,Ingushshia,sg in
jääma,,,nimekiri,sg in
hoiatama,,,tsivilisatsioon,sg in
jõukohane,,,küsimus,sg in
minema,,,elu,sg in
hakkama,,,mäng,sg in
jõudma,,,soovitu,sg in
sõitma,otsa,,Tallinn,sg in
leidma,,,põhjaosa,sg in
leidma,,,Saariselkä,sg in
boikoteerima,,,juuli,sg in
boikoteerima,,,Soome,sg in
suurem,,,detsember,sg in
tekkima,,,kodu,sg in
hinnatav,,,peatükk,pl in
pidama,,,Granada,sg in
kohtuma,,,kodu,sg in
kaotama,,,mäng,sg in
domineerima,,,koondis,sg in
muutma,,,erandkord,sg in
tekkima,,,maa,sg in
ennustama,,,Eesti,sg in
ennustama,,,tulevik,sg in
liitma,,,ehitusmalev,sg in
nõudma,,,september,sg in
libastuma,,,park,sg in
libastuma,,,süda,sg in
libastuma,,,lahas,sg in
tulema,,,kuu,sg in
tahtma,,,sisim,sg in
esinema,,,august,sg in
osalema,,,linnahall,sg in
osalema,,,suurlavastus,sg in
tooma,välja,,Draamateater,sg in
saama,,,emakeel,sg in
öeldud,,,Ülikool,sg in
nimetama,,,punkt,sg in
eeldama,,,Edaspidine,sg in
lõik,,,ruum,sg in
vastavalt,,,suund,sg in
piiritlema,,,mõte,sg in
piiritlema,,,mõte,sg in
esitatav,,,katse,pl in
ostma,,,kohvik,sg in
tõestama,,,monograafia,sg in
püstituma,,,ruum,pl in
vektorruum,,,tema,sg in
vaatlema,,,ruum,sg in
täitma,,,Eesti,sg in
kontroll,,,omavalitsusüksus,pl in
kontroll,,,osa,sg in
tulema,,,silm,sg in
väiksem,,,põhjapiirkond,pl in
otsima,,,ühendamine,sg in
variant,,,magistritöö,sg in
haridus,,,töö,sg in
PK3,,,meel,sg in
kirjeldama,,,kolhoosikeskus,sg in
arvama,,,mõte,sg in
jalakäija,,,liiklus,sg in
teostama,,,maailm,sg in
võetud,,,teedeinstituut,sg in
suurem,,,Tallinn,sg in
registreerima,,,Tallinn,sg in
markeeritud,,,Tallinn,sg in
märkama,,,välireklaam,sg in
esitama,,,telekanal,pl in
aitama,kaasa,,pime,sg in
sisaldama,,,ise,sg in
koosnema,,,maailm,sg in
koosnema,,,Mehhiko,sg in
kasutus,,,Vana-Kreeka,sg in
üksmeel,,,osa,sg in
andma,,,ajaküllus,sg in
kirjutama,peale,,Cordoba,sg in
kirjutama,peale,,Egiptus,sg in
suruma,,,ühiskond,sg in
toimuma,,,lõppkokkuvõte,sg in
toimuma,,,maailm,sg in
valik,,,lõppkokkuvõte,sg in
tähendama,,,suund,sg in
tekkinud,,,USA,sg in
jalavägi,,,lahing,sg in
väljend,,,seos,pl in
sümbol,,,ristiusk,sg in
säilima,,,allikas,pl in
kasutus,,,sõjavägi,sg in
nägema,,,Valga,sg in
huvitav,,,mõte,sg in
looma,,,kool,sg in
leiduma,,,klass,pl in
andma,,,test,sg in
tooma,ära,,evangeelium,sg in
lisama,,,originaal,sg in
pakkuma,,,olu,pl in
veoloom,,,Kesk-Euroobas,sg in
veoloom,,,neoliitikum,sg in
samasugune,,,Rootsi,sg in
leid,,,Aafrika,sg in
ülesanne,,,kabinet,pl in
jääma,,,kompleks,sg in
põhjustama,,,organism,sg in
osalema,,,Tartu,sg in
osalema,,,sõda,sg in
teadma,,,elusrakk,sg in
nõudma,,,mis,sg in
sooritama,,,sõrmus,sg in
lisama,,,vesi,sg in
tähistama,,,osa,sg in
võimalik,,,november,sg in
tulema,,,riik,pl in
kõigeohtlikum,,,kesklinn,sg in
komplekteerimata,kokku,,jaoskond,sg in
tegema,,,USA,sg in
tahtma,,,meeskond,sg in
jääma,alles,,veerandfinaal,sg in
kohtuma,,,veerandfinaal,sg in
algatama,,,aprill,sg in
algatama,,,märtsis-aprill,sg in
esitama,,,kultuurimaja,sg in
karistama,,,seadustik,sg in
suhtuma,,,Eesti,sg in
mittesuitsetaja,,,keskkond,sg in
otsustama,,,Suurbritannia,sg in
teatama,,,algus,sg in
valmistama,,,rütm,sg in
valmistama,,,kontserdisaal,sg in
valima,,,august,sg in
teatama,,,võtmine,sg in
tabama,,,lennujaam,sg in
eestlane,,,maailm,sg in
eestlane,,,riik,sg in
kõnelema,,,Eesti,sg in
hullem,,,asi,sg in
istuma,,,suusahooldeboks,sg in
tutvustama,,,jaanuar,sg in
tutvustama,,,tootmine,sg in
väsitav,,,linnaliiklus,sg in
Eesti,,,august,sg in
ajama,läbi,,viievõistlus,sg in
hiilgama,,,võti,sg in
sõitma,,,Verona,sg in
võtma,,,tulevik,sg in
astuma,,,voodi,sg in
jätkama,,,Tshetsheenia,sg in
jätkama,,,rünnak,pl in
muutma,,,rahvuspark,sg in
esinema,,,teler,sg in
pöörduma,,,Moskva,sg in
käima,,,Tshetsheenia,sg in
selguma,,,valimiskogu,sg in
nõudma,,,linn,sg in
tahtma,,,Tallinn,sg in
andma,,,november,sg in
istuma,,,Tallinn,sg in
istuma,,,Mare,sg in
teadma,,,maja,sg in
81.000,,,kvartal,sg in
registreerima,,,tööhõivetalitus,pl in
jääma,,,kaubandusettevõte,pl in
jõutud,,,sotsiaalküsimus,pl in
tunduma,,,hierarhia,sg in
vajalik,,,see,sg in
toimuma,,,maja,sg in
tutvuma,,,galerii,sg in
