entity_root,count
Kagu-Afganistan,2
paneelelamu,2
reportaazh,2
Põhja-Aafrika,2
mürsurünnak,2
meelelahutus,2
rehetuba,2
Wisconsin,2
muusikatööstus,2
mõisakool,2
gaasiplahvatus,2
ainetund,2
telefoniraamat,2
spikerdamine,2
kultuurikontekst,2
kultuurileht,2
Krasnojarsk,2
Vasknarva,2
rekord,2
otsesuund,2
hõim,2
linnaplaneerimisamet,2
viga,2
NSVL,2
Oostende,2
dekreet,2
muuseum-kontserdisaal,2
lastesõim,2
Chaplin,2
Darfur,2
protestikiri,2
Sunderland,2
Mehikoorma,2
ühiskodu,2
infopunkt,2
kirjatöö,2
teatenelik,2
asetamine,2
maaküsimus,2
Hellenurme,2
jõuetus,2
administratsioon,2
Neevalinn,2
käibedeklaratsioon,2
kongressikeskus,2
lennuplaan,2
jalats,2
saarerahvas,2
kunstiteater,2
Vantaa,2
Kesk-Eesti,2
Beitostølen,2
Perthi,2
Benidorm,2
Togliatti,2
haigevoodi,2
kinnisvaraarendus,2
maneež,2
vahistus,2
linnusehoov,2
süüdistamine,2
rahvakalender,2
sooroll,2
kirik-kammersaal,2
Östersunt,2
hommikuvalgus,2
lõunaprovints,2
statistikaamet,2
onkoloogiahaigla,2
mitmekesisus,2
messihall,2
gootika,2
tuntu,2
aatom,2
Rwanda,2
maarajoon,2
Viienda,2
Ramadi,2
tagaajamisvõistlus,2
spekter,2
erastamisvoor,2
kaasaeg,2
keefirimarinaad,2
leprosoorium,2
medal,2
pürgimus,2
Florasport,2
valgerand,2
oja,2
Sundsvall,2
vaatetorn,2
riigiteenistus,2
juhis,2
Flandria,2
peakonsulaat,2
sulgpall,2
Lloyd,2
taluliit,2
külalistemaja,2
variatsioon,2
suurliiga,2
impressum,2
laevaehitus,2
MK-finaal,2
arenduskeskus,2
Ahtme,2
säreveri,2
rallisport,2
Ruhpolding,2
vormelisõit,2
dokk,2
käekiri,2
võtmeküsimus,2
linnasaun,2
aatrium,2
meestesumm,2
parkuur,2
siiditrükk,2
sissetoomine,2
Põhja-Afganistani,2
humoresk,2
8-finaal,2
medalitabel,2
esinemissagedus,2
reitingutabel,2
rahvakunst,2
piletilevi,2
tonn,2
Hansapank,2
tähelepanu,2
liikumiskiir,2
Ida-Aasia,2
ilmaruum,2
pommitamine,2
Araabiamaa,2
roog,2
jäävang,2
Acapulco,2
vallakeskus,2
protest,2
ootejärjekord,2
kesk-osa,2
võistlustingimus,2
energiavarustus,2
männitukk,2
Toila,2
juurutamine,2
autorong,2
Vihula,2
majandussüsteem,2
repressioon,2
uisutamine,2
Kiel,2
Lilleküla,2
kalakogu,2
majandusvöönd,2
tegutsemine,2
Gent,2
valija,2
väljamõtlemine,2
kirjanduskeskus,2
maagümnaasium,2
tuletõrjedepoo,2
vanem,2
hapnikupuudus,2
Saatse,2
vibusport,2
kooriühing,2
laevahukk,2
heeringas,2
vaatluspunkt,2
kokkumäng,2
seitsmes,2
Stavropol,2
lähivald,2
monitor,2
protestiaktsioon,2
kahjutuli,2
kehakeel,2
jaotamine,2
finaalsaade,2
pärnakas,2
sünnitushaigla,2
orjakaubandus,2
rahvusmeeskond,2
fritüür,2
Mordva,2
hoki,2
esindusvõistkond,2
Izhevsk,2
loop,2
Ruanda,2
reedene,2
Macau,2
võistlemine,2
vabatehnikasprint,2
maailmaruum,2
Estonija,2
eitamine,2
kohtulugu,2
emaüsk,2
lennufaas,2
reklaamifirma,2
saavutamine,2
Guangzhou,2
raadiosaatja,2
sa,2
filmitööstus,2
nähtus,2
patuoinas,2
tegumood,2
seesamiseeme,2
Colombia,2
lell,2
Perugia,2
Heidenheim,2
silmakirjalikkus,2
põlluserv,2
ekstreemolu,2
mööblitööstus,2
statsionaar,2
Lõuna-India,2
raamistus,2
tertsett,2
rentsel,2
investeering,2
tsiviilkoodeks,2
olümpialiikumine,2
erakanal,2
kultuuriprogramm,2
tippkorvpall,2
meeskonnaarvestus,2
antiigiäri,2
KEK,2
vilk,2
City,2
Kolga-Jaani,2
luu,2
kõrvaldamine,2
ummikseis,2
sörk,2
udusuli,2
ajaleheäri,2
kvaliteetleht,2
Kauppaleht,2
moetööstus,2
suvituspiirkond,2
taevaskoda,2
panus,2
valvekeskus,2
väikeauto,2
kultuuritehas,2
advokaadifirma,2
spordileht,2
kohv,2
politseisüsteem,2
Nissan,2
tootmisüksus,2
koridorinurk,2
Murcia,2
õllebaar,2
kunstmuusika,2
igapäevakasutus,2
Middlesexi,2
Idakonverents,2
laekumine,2
Gazprom,2
Linnahall,2
tiibhoone,2
laevatehas,2
suhtekorraldus,2
sõnavara,2
sotsialiseerumisprotsess,2
valitsushoone,2
puri,2
lõvipuur,2
umbusaldusavaldus,2
korvpallielu,2
ebakompetentsus,2
Vaili,2
lavastamine,2
masstootmine,2
mulje,2
telekõne,2
talvepäike,2
vormel-1,2
hink,2
Nybit,2
hobune,2
piiriületuspunkt,2
hokiliiga,2
kettamaailm,2
erandolukord,2
jahisadam,2
valimik,2
äratundmine,2
originaalsus,2
presidendikandidaat,2
kujutluspilt,2
seekordne,2
Petlemma,2
lõõsk,2
suur,2
ebalojaalsus,2
rokiklubi,2
tehnikateaduskond,2
tegevuskulu,2
Pretoria,2
Shell,2
Taupomas,2
relvastumine,2
fakt,2
Aivi,2
kummiülikond,2
WTC,2
pihuarvuti,2
kergejõustikutrenn,2
teotamine,2
eriprogramm,2
Ratingen,2
puus,2
koba,2
keelekeskus,2
supersuurslaalom,2
mudaravila,2
Taškent,2
pealetung,2
mälupilt,2
Anton,2
kiiktool,2
patrullauto,2
istmerida,2
ärikolledž,2
mõisakompleks,2
Harkov,2
klõps,2
vaesusrisk,2
niide,2
Ludwigshafeni,2
kohustus,2
võimalik,2
keskmäestik,2
autoparkla,2
Brunei,2
küljetuul,2
rannikulinn,2
Sapporo,2
eriüksus,2
teeninduspiirkond,2
jaotumine,2
balletitrupp,2
liigaheitlus,2
abipalve,2
roosikasvatus,2
rõdukast,2
tiitlivõitlus,2
WRC,2
läänekonverents,2
Highgrove,2
motoringkond,2
teatriajalugu,2
Ilmatsalu,2
hang,2
plussring,2
vabaõhuteater,2
siinkoht,2
vahend,2
uduvine,2
juhikabiin,2
propageerimine,2
maksuseadus,2
vabamaadlus,2
tapatöö,2
Ida-Afganistan,2
vaimuelu,2
isiksus,2
homne,2
lavatükk,2
kõrvalroll,2
Kaagvere,2
sünnikodu,2
lennuväebaas,2
võiduusk,2
lollus,2
viies-kuub,2
varu,2
Grazi,2
koopia,2
eraäri,2
Kroonika,2
närvikliinik,2
tagaajamine,2
aastakokkuvõte,2
erutus,2
monopol,2
üleminekuriik,2
MTV,2
lisavalikmäng,2
autotehas,2
kannatus,2
Lõuna-Iraag,2
valitsuskomisjon,2
joonistamine,2
Kirde-Euroobas,2
meistermeeskond,2
väiketalu,2
Cybernetica,2
filee,2
toiduainetetööstus,2
valiktsükkel,2
riskimine,2
teadusvaldkond,2
raegalerii,2
võimsus,2
tagaaed,2
online,2
värvitrükk,2
raadiousutlus,2
Nigula,2
doos,2
trammipark,2
ajavöönd,2
Ambla,2
loomakaitseseadus,2
Linnaarhiiv,2
rahvapartei,2
Pentagoni,2
Crawfort,2
Götzis,2
Kuperjanov,2
ööhämarus,2
pensionifond,2
mahtuniversaal,2
reguleerimine,2
tööjaotus,2
temposõit,2
korrigeerimine,2
HI-viirg,2
kottpime,2
arstiteadus,2
toimumispaik,2
väljaõpetamine,2
rate.ee,2
käivitamine,2
Baltdefcol,2
süütus,2
kultuuripiirkond,2
kokkuost,2
maailmapoliitika,2
teatrielu,2
kaablikanal,2
mülgas,2
keemiatund,2
tagaots,2
normaalkaal,2
EBS,2
keemiahoone,2
SRÜ,2
jätkumine,2
Pokljukas,2
sorteerimine,2
deposiit,2
suusaringkond,2
sopaauk,2
elukeskkond,2
Tallink,2
Malaysia,2
filmikool,2
saatetekst,2
kasvukiird,2
küsimine,2
raamaturiiul,2
tugevdamine,2
linnaduuma,2
südamepõhi,2
kaitselahing,2
õiguspraktika,2
Vaida,2
lähenemine,2
väitekiri,2
lõpuvoor,2
sõjaväeringkond,2
algusosa,2
teenindussaal,2
kultuurilugu,2
teleülekanne,2
algrivistus,2
Võnnu,2
Amigo,2
kirikuraamat,2
murdeiga,2
suusakoondis,2
saamahimu,2
hõlst,2
Voronež,2
allserv,2
reisijuht,2
metroovagun,2
koond,2
Wannsee,2
Würzburg,2
föderaalkohus,2
Indiana,2
kodanik,2
kommivabrik,2
Vologda,2
lõualuu,2
Venetsueela,2
pensionitõu,2
hääletuskabiin,2
maanteesõit,2
ehitusvaldkond,2
väike,2
alkoholikogu,2
meremuuseum,2
kart,2
ajaleheputka,2
koolivorm,2
maakonnakool,2
erinevus,2
rajoonikeskus,2
tsiviilelu,2
ühiskonnakiht,2
lõviosa,2
kae,2
ei-kampaania,2
ülakiht,2
olümpiakomitee,2
vaheraport,2
teatrirahvas,2
Alžiir,2
täi,2
halduskeskus,2
põhipunkt,2
Urvaste,2
Focu,2
varn,2
rahaühik,2
alandamine,2
Goe,2
kaitsmine,2
stardirüsin,2
piirilõik,2
õpilasmalev,2
hoiatus,2
Caracas,2
pogri,2
kuulsusesära,2
Žalgiris,2
ingel,2
surmalaager,2
ananass,2
päikesekiir,2
siseosa,2
eliitsari,2
andmestik,2
klassikaraadio,2
vanusekategooria,2
suvituskoht,2
naftamaailm,2
meediaruum,2
õigeusk,2
kaubavedu,2
baaslaager,2
elulõik,2
vutlar,2
panoraam,2
Ghana,2
kuulutamine,2
kemmerg,2
piletimaailm,2
kurjus,2
laulusaade,2
sisustus,2
sihtkaitsevöönd,2
what,2
paremustabel,2
mikromaailm,2
mustand,2
kukutamine,2
minimalism,2
Asiago,2
doonorlus,2
naabrivalve,2
vandenõuteooria,2
janu,2
Canne,2
kohtutoimik,2
talvetingimus,2
avaosa,2
perifeeria,2
duo,2
tugevaim,2
salatsemine,2
maailmapank,2
kõnekeskus,2
suvilapiirkond,2
Altai,2
sõnasõda,2
ajastatu,2
sekretariaat,2
kivisöekaevandus,2
mahalaskmine,2
toimetulekuraskus,2
finaalsõit,2
esinduspood,2
valmimisjärk,2
Aserbaidžaan,2
kahurimürin,2
suvekuumus,2
põllumajandussektor,2
kinnistusraamat,2
pappkast,2
tuhalaas,2
kasvuraskus,2
suhtarv,2
elektritootmine,2
utoopia,2
spionaaž,2
maailmaorganisatsioon,2
kuumalaine,2
Obinitsa,2
järelevalve,2
Baghdadi,2
Bamberg,2
sõjatsoon,2
kobar,2
valitsusprogramm,2
koduriik,2
koolikeskkond,2
humaanmeditsiin,2
soetamine,2
bursa,2
kaevand,2
lehmalaut,2
deliktiõigus,2
osalause,2
kirjeldatu,2
viisirida,2
sidumine,2
lingvistika,2
katsevariant,2
Sierra-Leone,2
seemendusjaam,2
sidekulu,2
milligramm,2
punu,2
tööinspektsioon,2
Tarzani-film,2
mantel,2
sahtlipõhi,2
kutseõppekeskus,2
Sõnn,2
puhkeküla,2
kaardipakk,2
maksukuritegu,2
trammipeatus,2
Uue-Antsla,2
profitiim,2
koorküla,2
konstaablijaoskond,2
mäetipp,2
passiivsus,2
aianurk,2
parlamendikomisjon,2
tervishoiumuuseum,2
kartser,2
veeklaas,2
tuik,2
VGIK,2
teleprogramm,2
rahvasumm,2
erakas,2
mälestusraamat,2
latv,2
piirivalvepiirkond,2
kahi,2
sõjaväeluure,2
pampa,2
B-osa,2
tööpaik,2
hoonestu,2
süüdistuskokkuvõte,2
magamisvagun,2
üürileping,2
telefonitoru,2
Tšehhoslovakkia,2
rõivastus,2
lukskorter,2
siseheitlus,2
TV-ülekanne,2
erisaade,2
ülestõus,2
tööelu,2
eeskoda,2
Hau,2
rajalõik,2
Moddu,2
hulk,2
külvikord,2
katselaut,2
express,2
Graubünden,2
ajalookirjandus,2
Königsberg,2
vaatlus,2
elutegevus,2
ajalookirjutus,2
tiitel,2
egoist,2
mõjuväli,2
pohmelus,2
keskkonnaõigus,2
üksikküsimus,2
urgas,2
videoteek,2
tass,2
juur,2
prostitutsioon,2
vikerkaarevärv,2
päikesevalgus,2
Pikasilla,2
rullsuusatamine,2
postmodernism,2
laulmine,2
ühiskindlustus,2
jaanuaritorm,2
kunstipilt,2
aiake,2
ava,2
kultuurihierarhia,2
trobikond,2
nädalalõpp,2
kolp,2
lõunaregioon,2
sort,2
maardla,2
dilemma,2
allüksus,2
ühikatuba,2
ootesaal,2
sõjasündmus,2
filmiprojekt,2
kriminaaljälitus,2
vaktsiin,2
toimumine,2
võlakiri,2
vahipataljon,2
jalus,2
habe,2
armuelu,2
Aleksandria,2
kuku-klubi,2
tormamine,2
olümpiaajalugu,2
Antwerpen,2
nüüdis-Eesti,2
poolkaar,2
mõttekus,2
lauavestlus,2
ukaas,2
maaelu,2
lõpptulemus,2
ujumistrenn,2
apellatsioonikohus,2
teatriringkond,2
sõim,2
eliitliiga,2
reporter,2
meloodia,2
ma,2
finaaljooks,2
konkurentsivõime,2
ellerhein,2
tööaruanne,2
popp,2
sekund-sekund,2
julgestusteenistus,2
Porvoo,2
vastassein,2
hoolekandeasutus,2
ülesehitamine,2
kunstimaja,2
kribukiri,2
rekorditeraamat,2
sõber,2
Tsheljabinsk,2
olemasolev,2
parteiringkond,2
dissertatsioon,2
kasvatustöö,2
arhiivraamatukogu,2
seadusesäte,2
karistusõigusteadus,2
ülemeremaa,2
viha,2
ajaharu,2
kinondus,2
tänavatolm,2
traktaat,2
kabuur,2
suguselts,2
peide,2
lukuputk,2
äär,2
rahvajutt,2
kavalus,2
kultuurisaade,2
uustulnuk,2
lõunakaar,2
Lüübek,2
müür,2
korrus,2
kass,2
elutempo,2
erakiri,2
spordisaade,2
E-köök,2
börsiindeks,2
puhastustuli,2
linnavalitu,2
sõlm,2
tööandja,2
erapoolikus,2
salastatud,2
tähistamine,2
kasvukohatüüp,2
viilakas,2
G-grupp,2
tahtmine,2
pealtnägija,2
sadamapiirkond,2
tugikeskus,2
RAF,2
tolk,2
lään,2
RMK,2
köögiosa,2
veesüsteem,2
lindistamine,2
näitleja,2
kõrgkultuur,2
purskkaev,2
alapealkiri,2
lepik,2
kõrgmägi,2
kinovaldkond,2
meeskoor,2
sõnnik,2
reklaamklipp,2
album,2
lõppvaatus,2
suurenemine,2
risttuli,2
hingehäda,2
laienemisprotsess,2
gripp,2
LE,2
veinipood,2
ajahetk,2
jutlus,2
õppematerjal,2
klikk,2
tootmisistandus,2
õigusteooria,2
kunstiteos,2
Brighton,2
Lavassaare,2
varustamine,2
issi,2
piiskopkond,2
humanitaarteadus,2
hulgiladu,2
sülelus,2
hommikukaste,2
kaitsevöönd,2
ühiskonnateadus,2
massiteave,2
valimismanifest,2
tõukamine,2
moepilt,2
sularahaautomaat,2
pidurdustehnika,2
klaaskast,2
valvekord,2
tõsidus,2
teismeiga,2
troika,2
tädirand,2
nurgatagune,2
reisiplaan,2
niiskus,2
säilitamine,2
mõõn,2
initsiatiiv,2
autobaas,2
lähe,2
erastamisväärtpaber,2
munitsipaalomandus,2
erastamisagentuur,2
algkeel,2
istungitesaal,2
rahvausund,2
urg,2
pärnaorg,2
gild,2
livree,2
ülevus,2
naftatehas,2
teeperv,2
kanjon,2
kuldliiga,2
spordiajakirjandus,2
soojus,2
üldplaan,2
Larnaca,2
laegas,2
säälsam,2
KMÜ,2
allmaailm,2
amatöörklubi,2
valimisdebatt,2
meheleminekuiga,2
jalgrattasport,2
turuhoone,2
arreteerimine,2
kalendripäev,2
päästekompanii,2
oodatuim,2
läänepiirkond,2
kaitsekolledzh,2
Hall,2
üldpingerida,2
rööbas,2
Kiviteri,2
käpp,2
ainesektsioon,2
helikopter,2
Ihaste,2
suurtööstus,2
lõpukõne,2
toitlustusettevõte,2
ehitustegevus,2
välisõhk,2
personaliosakond,2
Kunstimaja,2
Ämari,2
moemaja,2
luulekogu,2
müügiprotsess,2
naisterahvas,2
Siiam,2
sotsiaalsfäär,2
univorm,2
ärielu,2
meelelahutusprogramm,2
Kouvola,2
dendropark,2
pühakoda,2
NCAA,2
konserv,2
ott,2
meeleavaldus,2
Passage,2
Münster,2
kirjanduspilt,2
meespaarismäng,2
tuuletõmbus,2
lõunataevas,2
üksildus,2
kirikuaed,2
Sotheby,2
Tjumen,2
alakõht,2
poliitikateadus,2
Chamonix,2
spordipood,2
üliõpilaspõlv,2
avaldamine,2
objektiivsus,2
konkursiprogramm,2
sukk,2
ruumikitsikus,2
kontrollasutus,2
lemmikloomakauplus,2
saeveski,2
turustamine,2
barokkorkester,2
rusikavõitlus,2
psühhoneuroloogiahaigla,2
teedeehitus,2
Halle,2
teatripilt,2
massistseen,2
vereloik,2
valitsusresidents,2
NBC,2
rahamaailm,2
isikuandmed,2
vutikool,2
õpetajakoolitus,2
kodutöö,2
rituaal,2
piirijaam,2
maapood,2
eufooriahoog,2
Angoola,2
avasõnavõtt,2
riigiaparaat,2
suusaklubi,2
dokumentatsioon,2
raadiokõne,2
tootmistsehh,2
käibekeel,2
suvemaja,2
raud,2
toim,2
ühistegevus,2
kodukirik,2
maailmaajalugu,2
ERM,2
määramine,2
partnerlussuhe,2
kevadring,2
arvutisüsteem,2
acqui,2
eesrida,2
salv,2
poksitrenn,2
lahingupiirkond,2
süüdistuskõne,2
uskumus,2
tervisekaitsetalitus,2
Reola,2
ajurakk,2
ampluaa,2
Mõniste,2
Baier,2
riigikaitseakadeemia,2
kontsertettekanne,2
lisavarustus,2
saekaater,2
lahvandus,2
frakk,2
kuivati,2
PAL-süsteem,2
kaubitsemine,2
reisikiri,2
torpeedo,2
kaaskond,2
subtiiter,2
puulatv,2
sahkerdamine,2
hädavajalikkkus,2
festivalipaik,2
surivoodi,2
arusaamine,2
artiklikogu,2
E-vahegrupp,2
teooriatund,2
lapitehnika,2
raadiokanal,2
õmblustöökoda,2
ilmaolu,2
slumm,2
esikohamatš,2
haiglapalat,2
Panevezyse,2
kinnisvaraäri,2
piirivalveamet,2
haiglahoone,2
siseujula,2
16-finaal,2
lennukolledž,2
Zaragoza,2
kasvukoht,2
Pittsburgh,2
kosmeetikavahend,2
templikompleks,2
Maebashi,2
piirang,2
turutingimus,2
mänguklass,2
kopsukliinik,2
Kernu,2
fotograafia,2
kaitsekõne,2
esitosin,2
delfinaarium,2
keskkonnapoliitika,2
lima,2
kultuuriinstituut,2
toetajaskond,2
fondiemissioon,2
südamepiirkond,2
kajakas,2
kaasamine,2
heaolu,2
raamprogramm,2
suhtekorraldusfirma,2
Hazewinkeli,2
budism,2
sulam,2
maakonnalinn,2
manustamine,2
rahvameditsiin,2
loks,2
tõmma,2
tänapäev,2
Jambol,2
kokkuhoid,2
kaaslane,2
arveldus,2
luks,2
Tõrvandi,2
seksiklubi,2
vabastamine,2
Uusikaupunk,2
Brussoni,2
garaazhinurk,2
elukorraldus,2
spordialaliit,2
EW,2
hävituspataljon,2
väljaõpe,2
selgus,2
direktor,2
kõrvalhoone,2
Supilinn,2
emakeeletund,2
Annelii,2
juunioriiga,2
ühisliiga,2
kannakõõl,2
käsitöö,2
sekspood,2
tegevusprogramm,2
piiratus,2
Vana-Ahtme,2
Buffalo,2
surnukskägistamine,2
kunstisaal,2
ballaad,2
taust,2
ootamatu,2
Väimela,2
kahendsüsteem,2
tennisekeskus,2
kõver,2
kalatööstus,2
meestekonkurents,2
populism,2
pedofiilia,2
sõnamäng,2
politseistruktuur,2
eratelekanal,2
festivaliklubi,2
klient,2
tummfilm,2
koolikirjand,2
ennetuskeskus,2
MM-tsükkel,2
orienteeritu,2
Bundestagi,2
käär,2
laevaõnnetus,2
koolikoor,2
vahekäik,2
Fredrikstad,2
rinnapiim,2
Torpedo,2
kasutusjuhend,2
koi,2
maailmaasi,2
venekeelne,2
soojapidavus,2
finišispurt,2
portree,2
merevärav,2
tantsukool,2
aabits,2
Gallia,2
paremus,2
MTV3,2
teateujumine,2
kevade,2
siseasi,2
Teisipäevase,2
tipptiim,2
lausvihm,2
ehitusfirma,2
vihmasabin,2
võimlemistund,2
A-divisjon,2
Žiguli,2
alguspunkt,2
superstaarisaade,2
lummus,2
kahjusumma,2
arvukus,2
rahaliit,2
tabelitipp,2
hardus,2
Kaalep,2
murdvara,2
eliitkool,2
õhtukleit,2
meisterklubi,2
ajaühik,2
interpreteering,2
viide,2
saadikuseim,2
lõppraport,2
suveõu,2
kullaheitlus,2
tihemets,2
tantsutund,2
lavakunstikateeder,2
joovastus,2
intensiivravipalat,2
surnukspeksmine,2
homoseksuaalsus,2
Euroliiga,2
rahaedetabel,2
EM-valikgrupp,2
eurolaul,2
bussikoondis,2
EVP-kroon,2
sakslane,2
islamiriik,2
põuetasku,2
AEK,2
mängutuhin,2
maailmatabel,2
rohuküla,2
Philippouss,2
hittlugu,2
ameeriklane,2
moslemiriik,2
põhiviisik,2
liiklusavarii,2
kabe,2
väravanurk,2
LA,2
ÕL,2
epeekoond,2
sekundivõitlus,2
rahvusvärv,2
muusikataevas,2
Auckland,2
operatsioonisaal,2
inimühiskond,2
laulmistund,2
moemaailm,2
kassatükk,2
Dinamo,2
reality-show,2
Peugeot,2
ostukorv,2
Guatemala,2
kreem,2
üleminek,2
õllelaud,2
Photoshopi,2
Kuusamo,2
väärik,2
taskuformaat,2
ringküsitlus,2
lääneserv,2
linnasüsteem,2
tulevikuplaan,2
lehesaba,2
korterivargus,2
suurpere,2
virtuaal,2
poolvari,2
reaal,2
tantsusaade,2
ME,2
jutumärk,2
kardisõit,2
vedu,2
telemäng,2
uisustiil,2
turismipiirkond,2
vahe,2
kaubanduskoda,2
professionaalsus,2
maailmakaubandus,2
Suproliiga,2
vaipkate,2
kihlveokontor,2
vahekohus,2
Linux,2
Marciulion,2
Häädemeeste,2
instruktsioon,2
BICO,2
rakendusotsus,2
kõrvalehoidmine,2
koolkodu,2
varamu,2
kokkuostupunkt,2
garaažiboks,2
hümn,2
patakas,2
Duma,2
aga,2
emafirma,2
õnnejoovastus,2
õukonnaleht,2
sõpruskond,2
muumimaja,2
kolmetärnihotell,2
ora,2
tagalaud,2
kõhuvalu,2
Kalevipoeg,2
metallifirma,2
kohvrike,2
Telindud,2
küpsetuskott,2
külgvaade,2
pidupäevakõne,2
moodul,2
Bogota,2
B-nelik,2
Karl,2
millenniumihullus,2
GP-sari,2
takistussõit,2
paigutamine,2
TVMK,2
paarissprint,2
sinimägi,2
naistevahetus,2
koomiks,2
õllesaal,2
serveerimine,2
Adelaide,2
polo,2
kaugas,2
Hazewinkel,2
rahvusrestoran,2
hävimine,2
järjefilm,2
sisaldus,2
bürooruum,2
maratonijooks,2
jalgpalliklubi,2
kohtupaber,2
männimets,2
reformikava,2
intervalltreening,2
lavakas,2
esinelik,2
pimetest,2
Alba,2
allfilm,2
Constanta,2
vutt,2
Wikipeedia,2
sügavkülmik,2
pagaritööstus,2
rattasõit,2
limaskest,2
solidaarsus,2
Karlstadi,2
Tagasitulek,2
must,2
peaväravatorn,2
Parila,2
klaasanum,2
üliõpilasmaja,2
vormeliilm,2
põhjaserv,2
mängudeseeria,2
parukas,2
lähteliikmesriik,2
mäeküla,2
suuõõs,2
rattasport,2
lipuvarras,2
vapper,2
lasteooper,2
erieeskiri,2
haudejaam,2
resto,2
tugevusgrupp,2
akropol,2
maika,2
meede,2
osalisriik,2
katsetus,2
raviradioloogia,2
edenemine,2
kütusesektor,2
väiksus,2
Davi,2
kaelalüli,2
järelevalvetsoon,2
tüüptingimus,2
ideedepuudus,2
inimtervishoid,2
personalieeskiri,2
tõelevastavus,2
ökotalu,2
vastuvõtukeskus,2
Intercontinentali,2
vaakumpakend,2
järelehüüe,2
ülesõidukoht,2
taastusravila,2
sihtliikmesriik,2
tarneleping,2
eraomand,2
enesetunne,2
bowling,2
omavääring,2
tarnekorraldus,2
kysimus,2
kommentaarium,2
Kingissepa,2
väikeettevõtlus,2
horisontaalsuund,2
metanool,2
töötamiskoht,2
lepituskomitee,2
EU,2
Veikkausliiga,2
seadeldis,2
märgistus,2
valitsemisleping,2
Propertie,2
print,2
subjekt,2
l6peta,2
kõlar,2
tevalo,2
tehnik,2
filter,2
elektroonika,2
vastuväide,2
kutsetegevus,2
leiutiskirjeldus,2
tütarettevõtja,2
kapital,2
passiva,2
jumal,2
Lomé,2
kontrollimine,2
biosaadavus,2
farmaatsiatööstus,2
lisatasutaotlus,2
windows,2
tagumik,2
eelarvestus,2
sooritamine,2
õigusnorm,2
GATT,2
algversioon,2
WoW,2
mudamaadlus,2
intriig,2
meenutamine,2
komm,2
bioloogia,2
loogika,2
mötte,2
kristlus,2
komment,2
pump,2
illusioon,2
kunstilaager,2
Erkki,2
VB,2
photoshop,2
html,2
pascali,2
komisioni,2
esildis,2
rannaäär,2
KA,2
sellesmõte,2
kusi,2
teatmeteos,2
Raikküla,2
urm,2
saks,2
naistekas,2
parem,2
optikapood,2
Tänavune,2
maapuudus,2
teatmik,2
Ridala,2
Haeska,2
piiskopilind,2
volitus,2
jahikantsel,2
mõõtekolb,2
pallpakend,2
mahepõllumajandus,2
m6tte,2
standart,2
Ülemaailmne,2
konkurentsiseadus,2
laternaseadmestik,2
bootide,2
sõjadraama,2
konsulaat,2
digikas,2
Läänemeremaa,2
konsool,2
notepad,2
root-kataloog,2
photoshopi,2
signatuur,2
midaigane,2
zone,2
manuaal,2
taotlemine,2
N . Liit,2
kaubamärk,2
kaasrahastamisleping,2
algustiiter,2
aktsiakapital,2
erastamisseadus,2
tegevusplaan,2
rafa,2
msni,2
läpaka,2
kaltsukas,2
mullakk,2
LAN,2
kvoot,2
ekstensiivistamisprogramm,2
itaalia,2
maaelukomisjon,2
kolleegium,2
põhiettekanne,2
standardvarustus,2
assotsiatsiooninõukogu,2
algtekst,2
ravila,2
hüljatu,2
mall,2
lapsendamine,2
netikeskkond,2
käibemaksuseadus,2
kahekordne,2
naaberküla,2
Koguva,2
kõnekoda,2
igtahe,2
kasutajaliides,2
pohmell,2
oop,2
manageri,2
keldripood,2
andre,2
avaldis,2
whoi,2
järelevalvemenetlus,2
autosõit,2
terevisioon,2
HV,2
venekeel,2
alammäär,2
ühismajand,2
sotsiaalmaksuseadus,2
metsapoliitika,2
riigihange,2
tootmisetapp,2
hõlmatud,2
pingevahemik,2
rahaasutus,2
london,2
huulerõngas,2
riigiomand,2
sessuhe,2
2k,2
siseehitus,2
tootjaliikmesriik,2
äridokument,2
üldkoosolek,2
maailmariik,2
ühinemisleping,2
vahiteenistus,2
olme,2
põllumajandusmaastik,2
lühimängufilm,2
mõjusfäär,2
menetlusfaas,2
püstkoda,2
hääletamiskord,2
patogenees,2
praksis,2
kontrollakt,2
lõppakt,2
enamsoodustuskord,2
üldnumeratsioon,2
munitsipaalomand,2
keeleseadus,2
newsgrupp,2
jõulutaevas,2
pensioniseadus,2
imdb,2
vanglateenistus,2
põllumajandusküsimus,2
päevaõpe,2
vaatlusrida,2
nominaalaeg,2
beeta-laktamaa,2
kriminaalprotsess,2
h6beka,2
jame,2
kodo,2
põlva,2
rkv,2
rahwa,2
kesigane,2
jannukk,2
plea,2
c4u,2
jkirve,2
muinasjutumets,2
kiviõli,2
pässa,2
kaur,1
Diana,1
ostubuum,1
TOP-raadio,1
külaühiskond,1
soolokarjäär,1
söögipaik,1
kõrgelamu,1
Suurlinn,1
meelelahutusäri,1
naaberaed,1
laulustuudio,1
ehituskolledž,1
spordiklass,1
spordikeel,1
rahavahetuspunkt,1
Priidu,1
arhiivitolm,1
isadus,1
ookeanisügavus,1
kudumisõpik,1
propagandasõda,1
Lõuna-Tshiili,1
troonikõne,1
poisiiga,1
inimgrupp,1
kõrgharidussüsteem,1
viljatus,1
Sürgavere,1
WIDER,1
sotsiaalmaks,1
täisvidevik,1
juubelikogumik,1
ematehas,1
järjelugu,1
ERO,1
