verb,compound1,compound2,obl,obl_form
tulvil,,,nahk,sg el
see,,,kes,sg g
see,,,mina,sg ad
hakkama,,,nõu,sg all
arvama,,,unetus,sg el
aitama,,,eraülikool,sg in
aitama,,,Henrik,sg ad
aitama,,,lava,sg g
meeldima,,,mina,sg all
meeldima,,,ütelu,sg in
õppima,,,magistrantuur,sg in
õppima,,,tütar,sg all
ostma,,,linn,sg p
usaldanud,,,hoole,adt
suur,,,keha,sg kom
lihvima,,,isamaaliitlane,sg g
lihvima,,,avalikkus,sg g
teadma,,,see,sg kom
võluv,,,haigus,sg all
mäng,,,loomine,sg in
jätkama,,,lahkuminek,sg g
jätkama,,,aeg,sg ad
jätkama,,,aasta,sg p
tegema,,,päev,sg n
tegema,,,fotograaf,pl ab
suutma,,,tema,sg g
informeerima,,,visiit,sg el
võtma,,,Diana,sg in
lugema,,,huvi,sg kom
lugema,,,ajalugu,sg in
lugema,,,mina,sg g
vabandama,,,see,pl g
vabandama,,,müüginumber,pl all
vabandama,,,ostubuum,sg in
vabandama,,,väljaanne,sg el
kõik,,,mina,pl kom
teadma,,,inimene,sg es
teadma,,,näitemäng,sg p
oskama,,,kompliment,pl all
suurepärane,,,keegi,sg all
heitma,ette,,sina,sg all
heitma,ette,,kompliment,pl all
heitma,ette,,maa,pl el
oskama,,,tema,pl all
mina,,,ise,sg all
peastarvutaja,,,kooliaeg,sg ad
vabastama,,,vastutus,sg el
musternäide,,,maikuu,sg ter
jätma,,,juunikuu,sg in
jätma,,,äripäev,sg in
jätma,,,maht,sg in
lukk,,,päev,pl ad
kuulma,,,suu,sg el
Argentina,,,väike,sg el
naasma,,,aasta,sg ad
naasma,,,ooperilava,pl all
vapustus,,,mina,sg g
vapustus,,,kunst,sg el
ütlema,,,osa,sg in
saama,üle,,see,sg el
olema,kinni,,hammas,pl kom
olema,kinni,,seljatugi,sg g
suutma,,,Ülle,sg ad
suutma,,,võlu,pl in
suutma,,,mina,sg all
suutma,,,mina,sg ad
normaalne,,,kord,sg p
kogu,,,aasta,sg p
kogu,,,kaitseliit,sg p
saabuma,,,nina,sg kom
oskama,,,mina,sg abl
kahju,,,vend,sg all
asuma,,,jäähall,sg g
käima,,,karjäär,sg g
kasvama,,,Oscarile,sg g
kasvama,,,eraelu,sg g
tõsi,,,telk,sg in
tõsi,,,õhtu,sg g
meeldima,,,tema,sg all
võrdlema,,,Valgre-asi,sg kom
olema,nõus,,pesu,sg in
erinev,,,oma,sg el
tegema,,,aeg,sg ad
mäletama,,,jõud,sg all
mina,,,mina,sg all
lendama,,,liisimine,sg g
lendama,,,palk,sg ad
sõitma,,,Saaremaa,sg all
sihtima,,,Poola,sg in
jääma,,,kopsupõletik,sg g
minema,maha,,tootmine,sg el
minema,maha,,see,pl p
minema,maha,,laohind,sg kom
tooma,,,Tallinn,sg ill
tooma,,,tee,sg ad
tooma,,,sadam,sg el
mis,,,mina,sg ad
mis,,,käsi,adt
olema,nõus,,kirjutamine,sg tr
jagama,,,teatriroll,sg kom
jagama,,,töögraafik,sg all
teadma,,,kes,sg kom
teadma,,,saal,sg el
teadma,,,Eesti,sg all
teadma,,,laul,sg all
tõsi,,,minek,sg tr
inimene,,,ise,sg g
inimene,,,teine,pl g
ulatuma,,,aasta,sg g
maksma,,,mina,sg all
maksma,,,teine,sg all
kandma,,,aeg,sg p
arvama,,,süüdistus,sg el
arvama,,,narkootikum,pl kom
olema,,,õnn,sg tr
olema,,,pea,sg g
sukelduma,,,muusika,sg ill
sukelduma,,,vöö,sg g
pidu,,,öö,sg ter
pidu,,,narkootikum,pl el
elama,,,keskkond,sg in
häirima,,,tema,sg el
tunnistama,,,Hutchence,sg el
hoidma,kinni,,tema,sg el
teatama,,,ajakirjandus,sg all
teatama,,,perekond,sg in
rõhutama,,,Sõõrumaad,pl n
rõhutama,,,ise,sg all
rõhutama,,,pea,adt
organiseerima,,,distsiplinaarkaristus,sg g
võimeline,,,hetk,sg ad
võimeline,,,hetk,sg ad
häda,,,kätepesemine,sg kom
üritama,,,kord,sg p
vastane,,,meistrivõistlus,pl ad
vastane,,,Ilmaris,sg in
ehitama,,,sajand,sg ad
õnnelik,,,lisa,sg tr
õnnelik,,,eraelu,sg in
inimene,,,aeg,sg n
inimene,,,töötajäämine,sg el
olema,,,mina,sg ad
olema,,,aasta,sg p
olema,,,see,sg g
andnud,juurde,,sina,sg all
nautima,,,pere,sg g
töötama,,,tegelikkus,sg in
töötama,,,kullavõit,sg g
töötama,,,aeg,sg el
töötama,,,klass,sg in
töötama,,,Pärnu,sg el
töötama,,,Otepää,sg all
töötama,,,suusa-klass,adt
tegema,ära,,aasta,sg ad
tegema,ära,,olu,pl in
see,,,ema,sg n
see,,,karjäär,sg p
see,,,ajaleht,pl in
see,,,võistlus,pl all
see,,,kõik,pl ad
ütlema,,,veerpalu,sg g
