verb,compound1,compound2,obl,obl_form
suurettevõtja,,,aasta,sg ad
suurettevõtja,,,kasutus,sg all
suurettevõtja,,,tema,sg g
suurettevõtja,,,personaalarvuti,pl all
avanema,,,prisma,sg g
avanema,,,tema,sg all
avanema,,,ajalugu,sg el
väljenduma,,,lõhe,pl in
olema,,,hinnang,sg ad
komistuskivi,,,ameeriklane,sg g
pruukima,,,välk,sg el
saama,,,Maroko,sg g
registreeritud,,,aadress,sg all
registreeritud,,,puiestee,sg g
registreeritud,,,puhk,pl p
registreeritud,,,hoone,sg in
saadud,,,järelepärimine,sg all
saadud,,,Iirimaa,sg abl
saadud,,,kuu,sg g
tulema,,,kabinet,adt
esitama,,,vald,sg all
esitama,,,paluma,o
esitama,,,kohus,sg all
naine,,,müük,sg el
naine,,,käsi,adt
saama,,,kord,sg p
saama,,,maja,adt
jääma,järele,,lehm,sg el
jääma,järele,,lehmatapatalgu,sg g
jääma,järele,,piim,sg kom
saama,,,piim,sg g
saama,,,see,sg el
lõhkuma,,,Leedu,sg all
lõhkuma,,,mina,pl ad
lõhkuma,,,süli,sg in
lõhkuma,,,Emajõgi,sg g
lubama,,,töö,sg all
põhjendama,,,kes,sg kom
põhjendama,,,korraldus,pl g
põhjendama,,,vahelejäänud,pl all
põhjendama,,,ulatus,sg in
trahvima,,,tema,pl ad
trahvima,,,päev,pl ad
trahvima,,,Tartu,sg in
loopima,,,kabriolett,pl ill
helistama,,,puhkus,sg all
helistama,,,hääl,sg kom
helistama,,,õhk,sg kom
helistama,,,kontor,sg ill
taanduma,,,tagamaa,pl g
taanduma,,,vabandus,pl all
kirjutama,,,asi,pl el
kirjutama,,,mis,sg el
minema,,,riik,sg all
tulema,,,riik,sg el
tulema,,,piir,sg ad
kandideerima,,,riigipea,sg g
valima,,,valimine,pl ad
valima,,,ülejärgmine,pl ad
minema,läbi,,Norra,sg in
minema,läbi,,mis,sg kom
minema,läbi,,tõenäosus,sg kom
jaatav,,,Eesti,sg in
panema,,,katsetus,pl all
elama,,,eestlane,pl g
elama,,,eestlane,pl all
ilmuma,,,organisatsioon,sg el
pidama,,,pori,sg kom
näitama,,,piirivalvur,sg all
näitama,,,ema,sg g
madal,,,valimine,pl ad
süda,,,reisija,sg kom
klient,,,agu,sg ad
ootama,ees,,Eesti,sg in
katkestama,,,täiustamine,sg kom
ühendus,,,välisvõrk,sg kom
ühendus,,,EENet,sg el
pöörduma,,,takistus,pl all
pöörduma,,,Riia,sg g
vabanema,,,eelarve,sg el
vabanema,,,mis,sg kom
leiduma,,,püüdmine,sg tr
leiduma,,,kodu,pl in
leiduma,,,aeg,sg el
ilmnema,,,lisa,sg tr
ilmnema,,,tegevus,sg in
algama,,,aasta,pl g
algama,,,teooria,sg g
kinnitama,,,saavutamine,sg tr
kinnitama,,,tund,sg p
kinnitama,,,ülekandmine,sg tr
kinnitama,,,soojuskiirgus,sg g
kinnitama,,,ekstrasenss,sg abl
kinnitama,,,patsient,sg all
kinnitama,,,raam,pl ill
saanud,,,soojuskiirgus,sg kom
jagunemine,,,see,sg all
pärinema,,,Tallinn,sg el
pärinema,,,tänav,sg ad
pärinema,,,politseimaja,sg g
siis,,,mood,sg ad
siis,,,koer,sg g
pärinema,,,Prantsusmaa,sg abl
juhtuma,,,haigla,sg in
peni,,,peremees,sg ab
nägema,ette,,lisa,sg tr
nägema,ette,,eelarve,sg in
nägema,ette,,kommunaalamet,sg all
tulema,,,see,sg el
tulema,,,ettekirjutus,sg el
tulema,,,koht,sg in
minema,,,sünnipäev,sg all
minema,,,jõud,sg all
kasvama,,,andmed,pl ad
kasvama,,,mastaap,sg in
sundima,,,kohus,sg tr
sundima,,,õpetus,adt
sundima,,,see,sg in
sundima,,,tema,pl g
jehoovatunnistaja,,,näpp,sg g
jehoovatunnistaja,,,uks,sg g
jehoovatunnistaja,,,tänav,sg ad
aasta,,,sõjavägi,adt
puutuma,kokku,,sünnitaja,pl kom
puutuma,kokku,,haiglatöö,sg in
toimuma,,,see,pl all
toimuma,,,alune,sg ad
toimuma,,,uurimine,sg g
vabanema,,,jõud,sg ad
vabanema,,,haare,sg el
soovima,,,Kreeka,sg ill
teatanud,,,päev,sg p
teatanud,,,kohtumine,sg p
teatanud,,,ise,sg all
teatanud,,,mägi,pl ill
teatanud,,,mees,pl kom
teatanud,,,hetk,sg n
teatanud,,,territoorium,sg ad
teatama,,,rünnak,pl g
hoiatama,,,maa,sg in
hoiatama,,,kohtumine,sg ad
pilgutama,,,dudajevlas,pl all
vabanema,,,nädal,sg g
eliitkool,,,olemine,sg kom
eliitkool,,,õppealajuhataja,sg g
eliitkool,,,õpetaja,sg es
eliitkool,,,sõda,sg p
õppima,,,aasta,sg g
ütlema,,,Atshhoi,sg n
ütlema,,,kes,sg kom
ütlema,,,lennuk,sg in
ütlema,,,tee,sg ad
ütlema,,,Groznõi,sg ill
ütlema,,,kuu,sg g
ütlema,,,kord,sg p
siduma,,,huvi,pl kom
raske,,,aeg,sg ter
raske,,,vabariik,sg in
raske,,,lahendamine,sg all
kindel,,,vägi,pl kom
kindel,,,Tshetsheenia,sg el
kiri,,,lepe,sg in
kiri,,,territoorium,sg all
kiri,,,föderaalvägi,pl g
osutuma,,,püstihäda,sg in
osutuma,,,leidmine,sg kom
tulema,,,mõistus,sg all
raske,,,mees,sg all
raske,,,kes,sg all
raske,,,repressiivorgan,pl in
sulitemp,,,mis,sg in
sulitemp,,,rahvas,sg g
sulitemp,,,pukk,adt
panema,välja,,tänav,pl all
panema,välja,,silm,adt
panema,välja,,kontroll,sg g
ujutama,,,puhastusvedelik,sg el
teatama,,,kell,sg p
teatama,,,tänav,sg ad
teatama,,,juhtimiskeskus,adt
teatama,,,tänav,sg abl
vurama,,,kirik,sg g
vurama,,,vanus,sg in
vurama,,,kantsel,sg in
vurama,,,trepp,pl ad
vurama,,,altar,sg g
arvama,,,Eesti,sg in
pidama,,,paik,adt
säilima,,,saavutamine,sg ad
osa,,,Eesti,sg all
huligaan,,,sõna,pl ad
väljendama,,,poliitika,sg kom
hindama,,,Venemaa,sg all
suurune,,,andmed,pl ad
suurune,,,maailm,sg in
suurune,,,dollar,sg g
tulema,,,Eesti,sg in
tulema,,,hulgimüük,sg g
tulema,,,arveldusraha,sg kom
tulema,,,Liviko,sg all
tulema,,,ulatus,sg in
tulema,,,riik,sg all
trump,,,väliskonkurents,sg all
teenima,,,tulu,pl el
teenima,,,käsutus,sg in
teenima,,,väärtpaber,pl ill
moodustama,,,tulu,pl el
moodustama,,,aasta,sg ad
püüdma,,,aeg,sg p
püüdma,,,omahind,sg el
väljastama,,,algus,sg tr
massiline,,,mõte,sg in
tungima,,,aasta,pl p
tungima,,,elamus,adt
viima,,,mis,sg ter
andma,ära,,kord,sg p
kinnitama,,,relv,sg el
märkima,,,sajand,sg ad
märkima,,,maailm,sg in
märkima,,,vöö,sg ad
märkima,,,koht,pl in
õige,,,kord,sg p
lähenema,,,USA,sg in
lähenema,,,relv,pl g
lähenema,,,aeg,sg ad
lähenema,,,Euroopa,sg all
hoidma,,,paragarahv,sg g
hoidma,,,elukoht,sg in
valitsema,,,Riigis,sg n
alanud,,,aasta,sg ad
alanud,,,aasta,sg p
alanud,,,Mosambiik,sg in
õnn,,,sõda,sg ab
seisnema,,,see,sg in
seisnema,,,Dole,sg ad
seisnema,,,valimiskampaania,sg g
ootuspärane,,,Wajda,sg g
ootuspärane,,,käsi,adt
paeluma,,,sõna,pl ad
paeluma,,,filmibuum,sg p
jätkama,,,film,sg in
jätkama,,,viimistlus,sg in
jätkama,,,sügis,sg ad
jätkama,,,ETV,sg in
nõrgem,,,stsenaarium,sg abl
nõrgem,,,Pükstest,sg n
nõrgem,,,lõppkokkuvõte,sg in
juhtunud,,,kunst,sg in
juhtunud,,,valdkond,pl g
juhtunud,,,ideoloogia,pl kom
juhtunud,,,mis,sg el
olema,,,televisioon,sg g
teadma,,,käsi,adt
teadma,,,köis,sg in
teadma,,,teine,pl all
tõmbama,,,kool,sg el
tõmbama,,,pidu,pl g
ütlema,,,narkotarvitamine,sg all
ütlema,,,vanaema,sg kom
rahulik,,,kodu,sg el
jäänud,,,aeg,sg p
jäänud,,,seminar,sg abl
jäänud,,,Tartu,sg in
jäänud,,,noorsoopolitsei,sg all
jäänud,,,suhtumine,sg el
jäänud,,,probleem,adt
esitama,,,haigla,sg ill
esitama,,,arst,pl all
alustama,,,töö,sg el
alustama,,,iseenese,sg kom
vajalik,,,sõna,pl ad
vajalik,,,arst,sg g
vajalik,,,narkootikum,sg el
vajalik,,,ravikuur,sg ab
puudulik,,,vastuvõtmine,sg el
puudulik,,,käivitamine,sg kom
puudulik,,,narkomaania,sg kom
puudulik,,,aasta,sg ad
puudulik,,,mina,pl ad
puudulik,,,vähenemine,sg in
tegutsema,,,mood,sg p
tegutsema,,,politsei,sg ill
tegutsema,,,sõber,pl kom
olema,välja,,põrand,sg g
olema,välja,,laskmine,sg g
ütlema,,,ajakiri,sg all
ütlema,,,usutlus,sg in
ütlema,,,pilet,sg all
jätma,,,Florida,sg in
jätma,,,põhiline,sg all
tõttama,,,raha,sg kom
minema,,,start,adt
tõusma,,,Hetk,sg kom
tõusma,,,haud,sg el
tõusma,,,piir,sg all
mure,,,ägenemine,sg all
mure,,,senine,sg el
teenindama,,,günekoloogia,sg in
saama,,,sünnituspuhkus,sg all
saama,,,kroon,sg p
jääma,,,Vastuseta,sg n
jääma,,,alus,sg ad
tulema,,,tema,sg ad
tulema,,,see,sg g
nimetama,,,tõstmine,sg tr
nimetama,,,tavakodanik,sg all
nimetama,,,silm,pl g
nimetama,,,tegelemine,sg p
nimetama,,,parameeter,pl all
nimetama,,,käsi,sg kom
nägema,,,uks,sg g
nägema,,,põrand,sg ad
tülitatud,,,pakkumine,pl kom
avastama,,,Suhhanovile,sg g
avastama,,,kadumine,sg kom
avastama,,,aeg,sg ad
avastama,,,poodu,sg es
asuma,,,välismaa,sg ad
tegema,,,kuu,sg g
huvitav,,,piim,sg all
saabuma,,,maa,sg ad
saabuma,,,Pennsylvania,sg in
saabuma,,,akadeemia,sg ill
saabuma,,,andmed,pl ad
saabuma,,,piiskop,sg kom
kirjeldamatu,,,konsistents,sg kom
järgmine,,,asi,pl g
järgmine,,,see,sg el
järgmine,,,ohvitser,sg all
nägema,,,päev,sg n
nägema,,,pood,sg in
nägema,,,Hongkong,sg g
kuulutama,,,kell,sg p
kuulutama,,,maailm,sg g
kuulutama,,,ajaleht,pl all
idee,,,lõpp,sg el
mängima,,,juht,sg ad
60,,,mäng,sg p
liikuma,,,rahvasuu,sg in
liikuma,,,kultuuriinimene,pl g
olema,,,melu,sg n
olema,,,politsei,sg in
olema,,,see,sg g
olema,,,keegi,sg ad
olema,,,raamatulett,pl all
haripunkt,,,a,?
tekkima,,,november,sg g
tekkima,,,Tallinn,sg in
tekkima,,,maja,sg g
selguma,,,Lahangul,sg n
selguma,,,teravik,sg kom
selguma,,,kael,sg g
väitma,,,saamine,sg tr
tunnistama,,,trükitäht,pl kom
tunnistama,,,veebruar,sg ad
tunnistama,,,Kopli,sg in
ütlema,,,süü,sg ab
vajama,,,maailm,sg in
kaugel,,,tõde,sg el
kaugel,,,ise,sg n
kaugel,,,mure,sg kom
tunduma,,,see,sg g
tunduma,,,absurdne,sg es
töötama,,,huvi,pl in
loodud,,,see,sg tr
vähemtähtsam,,,füüsiline,sg el
ootama,,,aasta,sg p
ootama,,,sügistalv,sg ad
ootama,,,kodu,sg el
puudutama,,,kirstutoorik,sg in
puudutama,,,kuu,sg p
matma,,,sõna,pl ad
matma,,,aasta,sg ad
matma,,,liiv,sg all
matma,,,tundmatu,sg es
andma,,,tundmatu,sg es
andma,,,matmine,sg tr
andma,,,kroon,sg p
nii,,,kes,pl ad
vaatama,ringi,,korter,sg in
vaatama,ringi,,silm,pl kom
vaatama,ringi,,märk,sg g
vaatama,ringi,,kalmistu,sg all
pakkuma,,,Tallinn,sg g
pakkuma,,,2000,sg el
omane,,,peitmine,sg ad
omane,,,riigiasutus,pl all
ostma,välja,,aasta,sg g
ostma,välja,,ise,sg all
ostma,välja,,automajand,sg all
arvestama,,,kontrolljoon,sg all
väitma,,,oma,sg abl
väitma,,,kõne,sg g
väitma,,,dokument,sg es
näitama,,,põhimõte,sg ad
kasutama,,,vahetus,sg ad
kasutama,,,tarve,sg tr
toodud,,,nr,?
üritama,,,mõte,sg in
üritama,,,arve,sg all
kena,,,tehing,sg el
kena,,,ise,sg all
kena,,,valuuta,sg es
kena,,,autor,pl g
tulema,,,Russitsh,sg g
süüdistama,,,seaduserikkumine,sg in
süüdistama,,,vaidleja,pl ad
süüdistama,,,kodu,adt
teadma,,,märtsikuu,sg in
püüdma,,,see,sg tr
ostma,,,suvi,sg ad
pidama,,,Eesti,sg el
pidama,,,kuju,sg ad
tekkinud,,,Indoneesia,sg in
tekkinud,,,ala,sg ad
teinud,,,puudumine,sg ad
teinud,,,pakkumine,pl tr
keskpank,,,majandus,sg g
andma,,,esilekerkimine,sg tr
sulgema,,,klubitasand,sg abl
käima,,,hommik,sg ad
käima,,,laut,sg in
kustuma,,,kolle,sg g
laekuma,,,veebruar,sg tr
laekuma,,,komitee,pl all
eesmärk,,,Eesti,sg g
taipama,,,silm,sg in
tihe,,,koolitus,sg ad
paluma,,,lugu,sg kom
paluma,,,mina,sg all
paluma,,,ise,sg all
kordama,,,kere,sg el
kordama,,,ähvardus,pl kom
tulema,,,London,sg ill
ütlema,,,mina,sg all
ütlema,,,taust,sg ad
ütlema,,,tema,sg all
ütlema,,,inimene,sg es
lugema,,,kiri,sg el
lugema,,,a,?
lugema,,,täitmine,sg g
lugema,,,jõud,sg kom
vähe,,,see,sg el
vähe,,,seadusandja,sg ad
kannatama,,,mittemaksja,pl g
kannatama,,,kahjum,pl p
olema,kohal,,hetk,sg ad
käivitama,,,valitsus,sg all
nõrisema,tagasi,,see,sg el
nõrisema,tagasi,,toru,pl g
suurenema,,,a,?
suurenema,,,kord,sg p
kirjutanud,alla,,artikkel,sg all
väärima,,,valitsusaeg,sg el
väärima,,,oktoober,sg n
saama,,,valimine,pl ad
teatama,,,poliitika,sg el
teatama,,,aasta,sg p
teatama,,,poliitika,sg el
langema,,,voor,sg in
esinema,,,valimine,pl ad
esinema,,,oktoober,sg ad
esinema,,,võtmelinn,sg in
esinema,,,Tallinn,sg in
esinema,,,volikogu,sg in
piisama,,,hirmumõte,pl el
piisama,,,peit,adt
kasulikum,,,väikefirma,pl all
kasulikum,,,kes,sg g
kasulikum,,,ülesanne,sg ad
kasulikum,,,aasta,sg p
kasulikum,,,järv,sg g
saama,,,käsi,adt
saama,,,augustis-september,sg in
saama,,,63,?
leidma,,,lähedus,sg in
tasuma,ära,,kord,sg g
tasuma,ära,,kuu,sg in
määratlema,,,kalapüügiseadus,sg in
Keskne,,,see,pl el
juhtuma,,,Liit,adt
juhtuma,,,kvoot,pl ab
juhtuma,,,rannarahvas,sg g
raske,,,päev,sg n
raske,,,reis,sg p
kujunenda,,,konkurent,sg g
kujunenda,,,november,sg n
kujunenda,,,päev,sg tr
kujunenda,,,Eesti-Taan,sg g
tunduma,,,aeg,sg ad
tunduma,,,otsus,sg es
tunduma,,,lennundus,sg in
katse,,,tase,sg ad
tõdema,,,algus,sg in
iseloomustama,,,revolutsioon,sg g
iseloomustama,,,aeg,sg ad
iseloomustama,,,rüpp,sg in
tabama,,,suund,sg el
andma,,,hullumeelsus,sg es
andma,,,ühiskond,sg in
andma,,,asend,sg ill
relvastuma,,,maailmasõda,sg g
relvastuma,,,silm,pl g
määrima,,,tema,pl all
määrima,,,kael,adt
tekkima,,,paus,sg p
tekkima,,,tühik,sg ill
tekkima,,,ise,sg in
tabama,ära,,Moskva,sg kom
sammuma,,,vahekäik,sg p
sammuma,,,lava,sg g
sammuma,,,ääris,pl kom
algama,,,renessansiaeg,sg ad
algama,,,lõpp,sg all
algama,,,valgustusajastu,sg ad
tähistama,,,lõpp,sg in
tähistama,,,Euroopa,sg in
tähistama,,,tasand,sg ad
muutuma,,,inimtegevus,sg kom
muutuma,,,see,sg el
muutuma,,,eestlane,sg all
tõusma,,,insenerimõte,sg g
tõusma,,,mina,pl ad
tõusma,,,aasta,pl ad
tõusma,,,kindlus,sg kom
tõusma,,,aasta,pl g
tegema,,,staadionitribüün,pl ad
võimalik,,,mina,pl ad
võimalik,,,abi,sg all
võimalik,,,spetsialist,pl kom
saama,,,vanem,pl el
saama,,,koolilaps,pl el
saama,,,poolaasta,sg ad
näitama,,,kroon,sg g
madalam,,,oma,sg kom
madalam,,,pool,sg g
rääkima,,,kasutuselevõtmine,sg g
rääkima,,,tsükkel,sg el
rääkima,,,jõudmine,sg g
rääkima,,,tehnoloogia,sg kom
rääkima,,,meel,adt
tundma,,,aeg,sg tr
tundma,,,eluaasta,pl ter
tundma,,,majandus,adt
kirjutama,,,meedia,sg in
kirjutama,,,Päevalehe,sg in
idu,,,venelane,pl ad
idu,,,eestlane,sg kom
idu,,,asi,sg g
palju,,,Eesti,sg in
palju,,,Soome,sg in
minema,kaasa,,hüsteeria,sg kom
rõhutama,,,üleskutse,sg in
rõhutama,,,vältimine,sg tr
shokeerima,,,prügimägi,pl ad
vaatlema,,,arv,sg g
vaatlema,,,server,pl g
vaatlema,,,mis,sg g
vaatlema,,,võrk,sg in
rääkima,kokku,,lauatelefon,pl abl
rääkima,kokku,,kodanik,pl kom
rääkima,kokku,,minut,sg g
välistama,,,see,sg kom
välistama,,,klassiühiskond,sg el
välistama,,,kirjakeel,sg all
erinevus,,,tsivilisatsioon,sg ad
erinevus,,,määr,sg ad
erinevus,,,see,sg g
saanud,,,Euroopa,sg el
näitama,,,kord,sg ad
piisama,,,enamik,sg g
piisama,,,hind,pl el
piisama,,,mis,sg g
piisama,,,auto,pl el
piisama,,,korstnasuits,sg g
müüma,,,parras,sg ad
müüma,,,kiri,sg kom
otsustama,,,see,sg kom
otsustama,,,tema,sg all
otsustama,,,sisseelamine,sg tr
harjunud,,,tehing,sg el
harjunud,,,tema,pl all
otsima,,,sõber,pl kom
otsima,,,elu,sg in
kosmopoliit,,,hinnang,sg ad
kosmopoliit,,,meelelaad,sg abl
tähtsustama,,,noor,pl el
akadeemik,,,demokraatia,sg in
nõunik,,,labor,sg in
nõunik,,,mees,sg es
pakkuma,,,Eesti,sg all
püsima,,,lootus,pl g
püsima,,,meedia,sg in
püsima,,,vorm,sg in
küsima,,,turismireis,sg g
15000,,,aasta,sg g
tundma,,,tasand,sg ad
nõudma,,,sadamalinn,sg in
kasutama,ära,,ajalugu,sg g
ummiktee,,,see,sg p
ummiktee,,,linn,adt
megaprojekt,,,Eesti,sg all
panema,,,Hiina,sg g
panema,,,kuu,sg tr
panema,,,pogri,adt
minema,,,dollar,sg p
minema,,,aeg,sg ad
minema,,,India,sg ill
ilmuma,,,karussell,sg in
mõlema,,,riik,sg g
ulatuma,,,astumine,sg p
ulatuma,,,elanik,sg g
ulatuma,,,dollar,sg g
saama,,,kodumaa,sg ad
elama,,,koht,sg in
kristlane,,,Egiptus,sg in
paranenud,,,aasta,sg kom
lööma,,,vits,sg kom
kõrgem,,,maa,pl in
kõrgem,,,riik,sg in
kõrgem,,,protsendipunkt,sg g
pöörama,,,osalemine,sg all
jäänud,,,vari,adt
jäänud,,,staarindus,sg kom
jäänud,,,üksindustunne,sg g
kahtlema,,,toodang,sg all
kahtlema,,,maailm,sg all
piirduma,,,kõrgkool,sg kom
saama,sisse,,ülikool,pl ill
saama,sisse,,kool,pl el
see,,,aasta,pl ad
matma,maha,,sõna,pl in
matma,maha,,haridus,sg in
pereväärtus,,,vähenemine,sg all
minema,,,valimine,pl ad
minema,,,ilooja,pl all
soovitama,,,peatänav,sg g
soovitama,,,maja,sg g
uurima,,,ettevõte,sg el
kahanema,,,ühiskond,sg in
kummutama,,,aasta,sg p
kummutama,,,demokraatia,sg in
käima,,,kohustus,sg es
trügima,kõrvale,,parras,sg all
küsimus,,,võimalus,pl g
huvitama,,,see,sg p
huvitama,,,rõhumine,sg g
tegema,,,kaitsmine,sg el
tegema,,,president,sg es
tegema,,,Jugoslaavia,sg kom
elanud,ära,,1945,?
väitma,,,Kosovo,sg in
väitma,,,Kirde-Eest,sg in
väitma,,,vaen,sg g
minema,,,tee,sg p
seadma,,,aasta,sg g
möönma,,,aasta,sg p
möönma,,,nõukogu,sg in
möönma,,,areng,sg g
möönma,,,punkt,sg el
suutma,,,suvi,sg ad
suutma,,,töö,sg all
suutma,,,pank,sg in
uskuma,,,teine,sg es
saavutus,,,konverents,sg ad
saavutus,,,otsus,pl el
võlgnema,,,ehitus,sg all
probleem,,,hüübimine,sg el
probleem,,,kunstsüda,sg kom
suutma,,,tiitel,sg all
ummistama,,,Peking,sg in
ummistama,,,võimalus,sg g
hoiatama,,,vältimine,sg tr
hoiatama,,,jäneseaasta,sg ad
lihtne,,,tablett,pl g
andma,,,suvi,sg ad
andma,,,fiesta,sg ad
kõlama,kaasa,,halluseaasta,pl p
kõlama,kaasa,,inimene,pl all
kõlama,kaasa,,õhk,adt
kütkestav,,,suurõnnestumine,pl kom
probleem,,,ühinemine,sg g
märkama,,,töö,pl in
vaatama,,,õu,sg in
määrama,,,rada,sg p
viskama,,,koht,sg in
viskama,,,vesi,adt
aitama,edasi,,kõik,pl ad
kohama,,,aeg,sg ad
kohama,,,keegi,sg all
pidama,,,maailm,sg g
see,,,saavutamine,sg tr
meeldima,,,Koertele,sg n
laskma,,,kategooria,sg in
alibi,,,vajadus,sg ad
uskuma,,,kohtumine,sg el
võimalik,,,Tšuklova,sg g
võimalik,,,kes,sg kom
võimalik,,,Savekin,sg n
võimalik,,,Eesti,sg el
astumine,,,Neivikomi,sg g
astumine,,,töö,sg all
Savekin,,,kõrv,pl g
kuuluma,,,maatriks,sg g
kuuluma,,,telg,sg ad
kuuluma,,,klass,sg g
peegeldama,,,väide,sg ad
peegeldama,,,see,sg in
kuluma,,,mark,sg g
kuluma,,,elamine,sg tr
võimalik,,,litsentseerimine,sg ad
tähendama,,,aeg,sg ad
tähendama,,,mina,pl ad
tähendama,,,valdkond,pl in
tähendama,,,mina,pl all
lõppenud,,,Gruusia,sg kom
lõppenud,,,liikmelisus,sg all
tegutsema,kokku,,egiid,sg g
tegutsema,kokku,,areng,sg all
tegutsema,kokku,,kord,sg p
soovitama,,,detsember,sg el
tegutsema,,,mõte,sg g
tulema,,,see,sg tr
tulema,,,abi,adt
kuumutama,,,metalljuhe,pl g
kuumutama,,,käsk,pl all
kuumutama,,,arvuti,sg el
vaatama,,,ilmumine,sg p
otsustama,,,mees,sg es
otsustama,,,keskkool,sg g
olema,vaja,,sina,sg kom
õmblema,,,töökoda,sg in
Kristini,,,mis,sg kom
Kristini,,,välismaa,sg ad
Kristini,,,surnu,pl ad
maksma,,,riie,sg kom
maksma,,,kroon,sg g
lahtine,,,Eesti,sg ill
lahtine,,,kroon,sg g
kasseerima,sisse,,mure,sg el
kasseerima,sisse,,matusebüroo,sg in
kasseerima,sisse,,arve,sg all
saama,,,osapool,sg all
saabuma,,,Tallinn,sg ill
saabuma,,,osariik,sg in
saabuma,,,USA,sg in
saabuma,,,soov,sg g
saabuma,,,kirst,sg kom
käima,,,inimene,sg all
käima,,,elu,sg g
kaevama,valmis,,aeg,sg ad
kaevama,valmis,,kord,sg p
kaevama,valmis,,tund,sg kom
häda,,,pruut,pl kom
häda,,,aeg,sg ad
häda,,,koht,adt
pakkuma,,,volüüm,sg all
valima,,,idee,sg kom
valima,,,ise,sg all
valima,,,mina,sg all
olema,vaja,,mina,sg ad
tulema,,,esteetika,sg g
tulema,,,tegelemine,sg el
tulema,,,see,sg el
tulema,,,märts,sg in
avastama,,,põrn,adt
saama,,,John,sg n
poisike,,,arvutitarkvara,sg g
sõltuma,,,geen,pl el
olema,tarvis,,meetod,sg ad
pruukima,,,ravimifirma,pl all
panema,,,1901,?
panema,,,paik,adt
kuluma,,,jõudmine,sg tr
tipp,,,see,sg all
tipp,,,tehnoloogia,sg in
tipp,,,mastaap,sg in
saama,juurde,,suhtarv,sg kom
jääma,,,võim,sg g
kindlustama,,,puudumine,sg ad
kindlustama,,,tema,pl all
kindlustama,,,see,sg tr
kindlustama,,,õppeasutus,pl in
kindlustama,,,uuring,pl g
peituma,,,tarbimine,sg in
kasvupeetus,,,tulevik,sg in
kasvupeetus,,,tema,pl ad
defektne,,,geenipaar,sg in
piisav,,,Soomlaste,pl g
piisav,,,aasta,sg p
piisav,,,seadusandlus,sg in
ütlema,,,kiri,pl in
ütlema,,,boikott,sg g
tulema,,,ametiühing,sg abl
remontima,,,talv,sg ad
remontima,,,põhi,sg in
remontima,,,aprill,sg ad
remontima,,,firma,sg kom
vormistama,,,päev,sg p
tahtma,,,riik,sg kom
pidama,,,Eesti,sg el
pidama,,,nõue,pl el
riik,,,NATO,sg kom
teenima,,,noorpõlv,sg in
teenima,,,asfaldijoonistus,pl kom
teenima,,,aasta,sg p
liikuma,,,Frankfurt,sg in
valima,,,aasta,sg p
valima,,,kord,sg p
tasandama,,,valimiskampaania,sg in
inimene,,,tema,sg g
olema,,,juht,sg ad
olema,,,see,pl g
alt,,,surve,sg all
sündima,,,see,pl g
leiduma,,,piirdeaed,sg g
leiduma,,,elu,sg tr
leiduma,,,lasteaed,sg ter
paiknema,,,suurlinn,pl g
paiknema,,,mikrolaine,sg ad
tõestama,,,tingimus,pl ad
tõestama,,,NSA,sg all
lindistama,,,juht,pl all
päästma,,,halvem,sg el
seisma,vastu,,maailm,sg all
tulema,,,majanduskeskkond,sg g
tulema,,,eelis,pl es
tõstma,,,eesmärk,pl el
tahtma,,,erakond,pl abl
spetsiifiline,,,see,sg tr
meel,,,lugeja,pl ad
kuuluma,,,maikuu,sg el
kuuluma,,,lõpp,sg all
kuuluma,,,sõjavägi,adt
armee,,,lõpp,sg ad
armee,,,mai,sg in
tulema,üle,,maa,sg in
tulema,üle,,mees,sg kom
tulema,üle,,Eesti,sg g
püüdma,,,missugune,sg n
püüdma,,,tulevik,sg in
kuuluma,,,maja,sg in
kuuluma,,,autoärimees,sg el
kuuluma,,,isa,sg all
jääma,,,Tartu,sg in
jääma,,,maja,sg in
käima,,,koer,sg kom
käima,,,päev,sg n
käima,,,mina,pl ad
tunduma,,,mina,sg all
tunduma,,,kes,sg ad
tunduma,,,mood,sg ad
kasvama,kokku,,lõpptulemus,sg es
kasvama,kokku,,arst,sg g
jääma,,,haigus,sg g
käima,,,nädal,sg p
käima,,,poolaasta,sg in
käima,,,kool,sg in
käima,,,kihelkond,sg ad
pruukima,,,Juula,sg ad
pruukima,,,jõudmine,sg tr
pruukima,,,magamistuba,sg el
pruukima,,,köök,adt
jälgima,,,diivan,sg ad
vaatama,,,kodukool,sg in
vaatama,,,kihelkond,sg ad
vaatama,,,kiirus,sg g
laabuma,,,kihelkond,sg ad
käima,,,talv,sg ad
käima,,,plank,pl g
jääma,maha,,Ida-Preisimaa,sg ad
võtma,,,kodukoht,sg in
pidanud,,,juht,sg ad
seedima,,,kes,sg kom
seedima,,,seltskond,sg in
kohtama,,,aeg,sg ad
kohtama,,,ministrihärra,sg abl
vehkima,,,vastus,sg in
vehkima,,,paragrahv,sg el
vehkima,,,vabadus,sg all
vehkima,,,kord,sg p
ootama,,,piir,sg g
ootama,,,järjekord,sg in
ostma,,,raha,sg kom
ostma,,,päev,sg n
ostma,,,jõgi,sg g
eelnema,,,see,sg all
osutuma,,,meelitamine,sg in
osutuma,,,aasta,sg ad
korruptsioon,,,see,sg el
arvama,,,äri,sg in
võimaldama,,,uurimine,sg g
võimaldama,,,vastutus,sg el
kõik,,,sõna,sg kom
kõik,,,kindral,sg n
Nagibi,,,asüülitaotleja,pl el
