sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
3058141,4907186,26,sõltuma,,el,aines,ainesest,""" Igal institutsioonil on vaja töörahu , kus muuhulgas kõik dokumendid pole avalikkusele ligipääsetavad , "" ütles Kallas , täpsustades , et "" kõik sõltub ainesest "" .",,,,no,,no,no,no,no,no,UNK
2101376,3353927,11,juhinduma,,el,sisekord,sisekordadest,"Nendes küsimustes langetavad otsuse meie piirkonnad , kes juhinduvad meie sisekordadest ja eetikakoodeksist .",,,,no,,no,no,no,no,no,UNK
553550,874459,12,tundma,,el,eelisõigus,eelisõigusest,"Häbenesin seda kangesti , kuigi salamisi tundsin kergendust raamatu- ja vorstiostu eelisõigusest .",,,,no,,no,no,no,no,no,UNK
6398117,10284635,14,jääma,kõrvale,el,teadmine,teadmistest,Selle tagajärjel islam isoleeris end ja jäi sajanditeks kõrvale nii maailmas levivatest uutest teadmistest kui ka majanduslikust ning tehnoloogilisest arengust .,,state,,no,,no,no,no,no,no,UNK
523282,824591,7,tulenema,,el,ettepanek,ettepanekust,"Vajadus seaduste täiendamise järele tulenes õiguskantsleri ettepanekust , millega tehti ettepanek parkimisseaduse ja haldusõiguserikkumiste seadustiku põhiseadusega kooskõlla viimiseks .",,,,no,,no,no,no,no,no,UNK
17758394,27113813,4,saama,üle,el,pask,pasast,Saage sellest poliitilisest pasast üle ja hakake ka elu väärtustele mõtlema .,,,,no,,no,no,no,no,no,UNK
15182446,23724200,7,kasutama,,el,lõige,lõigetest,"Kui üks lepinguosalistest kasutab käesoleva artikli lõigetest 2-5 tulenevat õigust nõuda materjali või seadmete tagastamist , kompenseerib ta enne nende äraviimist teise lepinguosalise territooriumilt või kontrolli alt teisele lepinguosalisele viivitamata nende õiglase turuväärtuse ja sellise äraviimisega tekitatud kulud .",,,,no,,no,no,no,no,no,UNK
7184774,11557020,2,johtuma,,el,jal,jalist,"Mater jalist ja tehnikast johtuvad probleemid on neis töödes taandunud ole muslikkust väljendava idee ees , vaimukuse ja vai mu rikkuse ees .",,,,no,,no,no,no,no,no,UNK
6571477,10573629,9,väsima,,el,jõulumöll,jõulumöllust,""" Tahame kutsuda inimesi , kes on väsinud jõulumöllust või kes tahaksid midagi teha , kui on vaba päev ja kuhugi loodusesse pole võimalik minna , "" rääkis Siibak .",,,,no,,no,no,no,no,no,UNK
9909311,15895777,1,nimetama,,el,pult,Puldist,"Puldist nimetas ta vaid seda , et kolmikliidu valitsusel on tulnud teha ebapopulaarseid otsuseid , sealhulgas koondada politseinikke .",,location,,no,,no,no,no,no,no,UNK
487691,766391,10,lükkama,tagasi,el,bensiinimaks,bensiinimaksust,"Ja nii lükkaski eile Riigiduuma esimesel lugemisel seadus-eelnõu täiendavast bensiinimaksust tagasi , hoolimata Stepashini kaudsetest ähvardustest ebakonstruktiivne duuma laiali saata .",,,,no,,no,no,no,no,no,UNK
9158574,14723249,7,tõstatama,,el,juhtimine,juhtimisest,"“ Tehing tõstatab ka küsimuse panga juhtimisest , ” ütles Mouskides .",,,,no,,no,no,no,no,no,UNK
