pat_id,pattern,verb_word,verb_compound,phrase_nr,phrase_case,deprel,adp,inf_verb
112,"sündima_1 Arg1 (see, mis/kes sünnib)",sündima,,1,,nsubj,,
112,sündima_1 Arg2 (kus? ka kuhu? (sündis siia maailma),sündima,,2,ad,obl,,
112,sündima_1 Arg2 (kus? ka kuhu? (sündis siia maailma),sündima,,2,in,obl,,
112,sündima_1 Arg2 (kus? ka kuhu? (sündis siia maailma),sündima,,2,gen,obl,vahel,
112,sündima_1 Arg4 (lähe (hea kunst sünnib meeleheitest; kellest tal sündis tütar Marju),sündima,,3,el,obl,,
113,"kuluma_1 Arg1 (see, mis kulub)",kuluma,,1,,nsubj,,
113,kuluma_1 Arg2 (kellel kulub: omaja/kogeja?),kuluma,,2,ad,obl,,
114,"jätkuma_1 Arg1 (see, mis jätkub)",jätkuma,,1,,nsubj,,
114,jätkuma_1 Arg2 (kellel jätkub omaja/kogeja?),jätkuma,,2,ad,obl,,
115,"osutuma_1 Arg1 (see, mis osutub)",osutuma,,1,,nsubj,,
115,"osutuma_1 Arg1 (see, mis osutub)",osutuma,,1,,csubj,,
