pat_id,pattern,verb_word,verb_compound,phrase_nr,phrase_case,deprel,adp,inf_verb
10,kinnitama_1 Arg1 (et/mida),kinnitama,,2,,ccomp,,
10,kinnitama_1 Arg1 (et/mida),kinnitama,,2,,obj,,
10,kinnitama_1 Arg2 (adressaat: kellele),kinnitama,,3,all,obl,,
11,kinnitama_2 Arg0 (kinnitaja),kinnitama,,1,,nsubj,,
11,kinnitama_2 Arg1 (sihitis),kinnitama,,2,,obj,,
11,kinnitama_2 Arg2 (koht),kinnitama,,3,,obl,,
11,kinnitama_2 Arg2 (koht),kinnitama,,3,,advmod,,
11,kinnitama_2 Arg_xarg,kinnitama,,4,,xcomp,,
12,kirjutama_1 Arg0 (kirjutaja),kirjutama,,1,,nsubj,,
12,kirjutama_1 Arg1 (et/mida/kuidas),kirjutama,,2,,ccomp,,
12,kirjutama_1 Arg1 (et/mida/kuidas),kirjutama,,2,,obj,,
12,kirjutama_1 Arg2 (kellele),kirjutama,,3,all,obl,,
12,kirjutama_1 Arg3 (millest),kirjutama,,4,el,obl,,
13,kostma_1 Arg1 (kostev),kostma,,1,,nsubj,,
13,kostma_1 Arg2 (kellelt),kostma,,2,el,obl,,
14,kostma_2 Arg0 (kostja),kostma,,1,,nsubj,,
14,kostma_2 Arg1 (mida/et),kostma,,2,,obj,,
14,kostma_2 Arg1 (mida/et),kostma,,2,,ccomp,,
14,kostma_2 Arg2 (kellele/millele),kostma,,3,all,obl,,
15,kuulutama_1 Arg0 (kuulutaja),kuulutama,,1,,nsubj,,
15,kuulutama_1 Arg1 (teema),kuulutama,,2,,obj,,
15,kuulutama_1 Arg1 (teema),kuulutama,,2,,ccomp,,
16,kuulutama_2 Arg0 (kuulutaja),kuulutama,,1,,nsubj,,
16,kuulutama_2 Arg1 (teema),kuulutama,,2,,obj,,
17,kõnelema_1 Arg0 (kõneleja),kõnelema,,1,,nsubj,,
17,kõnelema_1 Arg1 (et/mida: teema),kõnelema,,2,,obj,,
17,kõnelema_1 Arg1 (et/mida: teema),kõnelema,,2,,ccomp,,
17,kõnelema_1 Arg2 (adressaat: kellele),kõnelema,,3,all,obl,,
17,"kõnelema_1 Arg3 (millest, mille kohta)",kõnelema,,4,el,obl,,
17,"kõnelema_1 Arg3 (millest, mille kohta)",kõnelema,,4,gen,obl,kohta,
18,lausuma_1 Arg0 (lausuja),lausuma,,1,,nsubj,,
18,lausuma_1 Arg1 (et/mida: teema),lausuma,,2,,obj,,
18,lausuma_1 Arg1 (et/mida: teema),lausuma,,2,,ccomp,,
18,lausuma_1 Arg2 (adressaat: kellele),lausuma,,3,all,obl,,
19,väitma_1 Arg0,väitma,,1,,nsubj,,
19,väitma_1 Arg1,väitma,,2,,obj,,
19,väitma_1 Arg1,väitma,,2,,ccomp,,
19,väitma_1 Arg2,väitma,,3,all,obl,,
20,meenutama_1 Arg0,meenutama,,1,,nsubj,,
21,meenutama_2 Arg0,meenutama,,1,,nsubj,,
22,mõtlema_1 Arg0 (mõtleja),mõtlema,,1,,nsubj,,
22,mõtlema_1 Arg1 (teema: mida/millele/millest/mida teha/mille üle),mõtlema,,2,,obj,,
22,mõtlema_1 Arg1 (teema: mida/millele/millest/mida teha/mille üle),mõtlema,,2,all,obl,,
22,mõtlema_1 Arg1 (teema: mida/millele/millest/mida teha/mille üle),mõtlema,,2,el,obj,,
22,mõtlema_1 Arg1 (teema: mida/millele/millest/mida teha/mille üle),mõtlema,,2,,xcomp,,
22,mõtlema_1 Arg1 (teema: mida/millele/millest/mida teha/mille üle),mõtlema,,2,gen,obl,üle,
22,mõtlema_1 Arg2 (millega/mille all mõeldakse midagi),mõtlema,,3,kom,obl,,
22,mõtlema_1 Arg2 (millega/mille all mõeldakse midagi),mõtlema,,3,gen,obl,all,
22,mõtlema_1 Arg_xarg,mõtlema,,4,,xcomp,,
23,mõtlema_2 Arg1 (teema),mõtlema,,1,,obj,,
23,mõtlema_2 Arg2 (adressaat),mõtlema,,2,all,obl,,
23,mõtlema_2 Arg3 (eesmärk),mõtlema,,3,tr,obl,,
24,märkima_1 Arg0 (märkija),märkima,,1,,nsubj,,
24,märkima_1 Arg1 (teema),märkima,,2,,ccomp,,
24,märkima_1 Arg1 (teema),märkima,,2,,obj,,
25,märkima_2 Arg0 (märkija),märkima,,1,,nsubj,,
25,märkima_2 Arg1 (patsient),märkima,,2,,obj,,
