deprel,ext_case,total,occurences
obj,ill,1,18
acl:relcl,in,1,18
nsubj,,3,18
det,all,1,17
obl,,4,17
compound:prt,el,1,17
flat,part,1,16
appos,part,1,16
obl,part,4,15
acl,ill,1,14
advcl,gen,2,14
fixed,,1,14
advcl,ill,2,13
ccomp,gen,2,13
case,,5,13
obj,ad,1,13
orphan,,1,13
obl,ad,5,13
flat,kom,1,13
flat,in,1,12
nummod,all,1,11
csubj,adit,1,11
compound:prt,in,1,11
case,abl,1,11
nummod,ad,1,10
nsubj,nom,5,10
flat:foreign,nom,2,10
nsubj,gen,3,10
nsubj,adit,2,10
flat,gen,2,10
aux,el,1,10
obj,kom,1,10
xcomp,,3,9
acl:relcl,ill,1,9
obj,abes,1,9
amod,in,2,9
advcl,kom,2,9
advmod,es,1,9
advmod,abes,1,9
compound,ill,1,9
csubj,es,1,9
acl:relcl,tr,1,8
nsubj,term,1,8
acl,kom,1,8
obl,es,3,8
compound:prt,abes,1,8
amod,tr,2,7
det,nom,2,7
flat,adit,1,7
nummod,adit,1,7
nsubj,abl,1,7
obl,in,5,7
advcl,nom,3,7
flat,nom,3,6
nsubj,tr,1,6
nmod,in,2,6
obl,gen,5,6
ccomp,nom,3,6
obj,tr,1,6
obl,all,4,6
acl:relcl,part,1,6
nsubj:cop,adit,1,6
obj,,4,6
aux,,5,6
flat,ad,1,6
obj,gen,4,5
aux,tr,1,5
det,kom,1,5
flat,,3,5
obl,el,4,5
det,ill,1,5
advmod,abl,2,5
obl,nom,4,5
csubj,term,1,5
advmod,tr,2,5
flat:foreign,nom,3,5
csubj,part,2,5
ccomp,tr,2,5
ccomp,kom,2,5
amod,,2,4
obj,part,4,4
amod,es,1,4
compound:prt,,4,4
amod,kom,1,4
acl,abl,1,4
flat,nom,4,4
acl,nom,2,4
nummod,term,1,4
amod,nom,3,4
advmod,,7,4
appos,all,1,3
advcl,abes,3,3
amod,abes,1,3
advcl,,5,3
advmod,kom,1,3
advmod,all,1,3
xcomp,term,1,3
advmod,adit,1,3
flat,nom,6,3
det,part,2,3
flat,all,1,3
case,term,1,3
orphan,gen,1,3
nmod,all,2,3
root,,1,3
nmod,gen,3,3
root,nom,1,3
acl:relcl,kom,1,3
flat,el,1,3
obl,kom,4,3
flat:foreign,in,1,3
acl:relcl,el,1,3
obj,term,1,3
flat,term,1,3
acl,part,2,3
advcl,el,2,3
acl:relcl,gen,1,2
obl,,6,2
obl,ad,6,2
obl,,5,2
root,el,1,2
obl,abl,4,2
root,gen,1,2
advcl,all,2,2
root,,6,2
acl:relcl,,2,2
orphan,nom,1,2
aux,ill,2,2
flat,,4,2
appos,in,1,2
flat,,5,2
nsubj,ill,1,2
nsubj:cop,nom,3,2
nummod,abl,1,2
csubj,ill,2,2
nmod,tr,2,2
aux,,6,2
nummod,nom,2,2
csubj:cop,ad,1,2
case,,7,2
appos,nom,2,2
aux,all,1,2
appos,el,1,2
appos,adit,1,2
obj,nom,4,2
csubj:cop,nom,1,2
amod,part,3,2
amod,abl,1,2
det,adit,1,2
root,nom,6,1
flat:foreign,,2,1
csubj,kom,2,1
csubj,in,2,1
root,ill,1,1
root,in,1,1
root,,3,1
csubj,gen,2,1
root,,2,1
root,nom,2,1
root,part,1,1
root,gen,2,1
root,tr,1,1
csubj,tr,2,1
advmod,abl,3,1
flat:foreign,kom,1,1
flat:foreign,el,1,1
xcomp,in,3,1
xcomp,ill,3,1
csubj:cop,,2,1
csubj:cop,ill,1,1
det,gen,2,1
acl,abes,1,1
flat,abes,1,1
acl,es,1,1
flat,abl,1,1
csubj,nom,3,1
flat,gen,3,1
compound:prt,ad,2,1
flat,gen,4,1
flat,nom,5,1
flat,,8,1
csubj,ad,2,1
nmod,kom,2,1
root,ad,1,1
obj,abl,1,1
nsubj:cop,part,2,1
case,kom,1,1
obl,term,3,1
aux,,68,1
aux,,9,1
aux,,7,1
nummod,,3,1
appos,kom,1,1
root,abl,1,1
appos,ad,1,1
appos,abes,1,1
amod,tr,3,1
amod,el,2,1
amod,term,1,1
advmod,term,1,1
advmod,,8,1
case,ad,2,1
nsubj:cop,kom,1,1
acl:relcl,term,1,1
obl,ill,4,1
nmod,ad,2,1
orphan,tr,1,1
orphan,part,1,1
nmod,el,2,1
orphan,ill,1,1
advmod,nom,3,1
orphan,all,1,1
nmod,,3,1
nmod,,4,1
compound,tr,1,1
compound,el,1,1
compound,ad,1,1
ccomp,ill,3,1
nsubj,,8,1
case,,6,1
det,abl,1,1
