verb,verb_compound,morph_case,ex_count,loc_count,actor_count,time_count,event_count,unk_count,label_count,labels,loc_percent,actor_percent,time_percent,event_percent,unk_percent
esietenduma,,in,17,16,0,0,0,1,2,"('UNK', 'loc')",94.11764705882352,0.0,0.0,0.0,5.88235294117647
esinema,,el,24,11,5,2,0,6,4,"('UNK', 'actor', 'loc', 'time')",45.83333333333333,20.833333333333336,8.333333333333332,0.0,25.0
esitama,,all,23,20,3,0,0,0,2,"('actor', 'loc')",86.95652173913044,13.043478260869565,0.0,0.0,0.0
esitama,,in,30,25,1,1,1,2,5,"('UNK', 'actor', 'event', 'loc', 'time')",83.33333333333334,3.3333333333333335,3.3333333333333335,3.3333333333333335,6.666666666666667
etendama,,in,16,14,0,0,0,2,2,"('UNK', 'loc')",87.5,0.0,0.0,0.0,12.5
haarama,,el,36,27,2,0,0,7,3,"('UNK', 'actor', 'loc')",75.0,5.555555555555555,0.0,0.0,19.444444444444446
haarama,,in,32,27,1,0,0,4,3,"('UNK', 'actor', 'loc')",84.375,3.125,0.0,0.0,12.5
hakkama,,abl,31,20,4,1,0,6,4,"('UNK', 'actor', 'loc', 'time')",64.51612903225806,12.903225806451612,3.225806451612903,0.0,19.35483870967742
hakkama,vastu,in,4,3,0,1,0,0,2,"('loc', 'time')",75.0,0.0,25.0,0.0,0.0
hankima,,abl,6,3,3,0,0,0,2,"('actor', 'loc')",50.0,50.0,0.0,0.0,0.0
harjuma,,ad,15,8,1,2,0,4,4,"('UNK', 'actor', 'loc', 'time')",53.333333333333336,6.666666666666667,13.333333333333334,0.0,26.666666666666668
harjutama,,ad,22,17,0,3,0,2,3,"('UNK', 'loc', 'time')",77.27272727272727,0.0,13.636363636363635,0.0,9.090909090909092
harrastama,,ad,7,4,0,1,0,2,3,"('UNK', 'loc', 'time')",57.14285714285714,0.0,14.285714285714285,0.0,28.57142857142857
heitlema,,in,10,10,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
