item	total	percentage
af,aux,imper,pl,pres,ps,ps1	322	0.0029842521385363987
af,imper,mod,pl,pres,ps,ps1	312	0.0028915735006936534
imper,mod,neg,pl,pres,ps,ps1	284	0.0026320733147339663
imper,main,neg,pl,pres,ps,ps1	282	0.0026135375871654174
af,imper,main,pl,pres,ps,ps1	281	0.002604269723381143
af,cond,mod,past,ps,ps1,sg	228	0.002113072942814593
af,cond,main,past,ps,ps1,sg	224	0.002076001487677495
af,aux,cond,past,ps,ps1,sg	202	0.0018721084844234548
af,cond,mod,past,pl,ps,ps1	186	0.0017238226638750626
af,cond,main,past,pl,ps,ps1	185	0.001714554800090788
af,aux,cond,past,pl,ps,ps1	175	0.0016218761622480429
af,aux,cond,past,ps,ps2,sg	124	0.0011492151092500416
af,aux,cond,past,pl,ps,ps3	120	0.0011121436541129436
af,cond,main,past,pl,ps,ps3	119	0.001102875790328669
af,cond,mod,past,pl,ps,ps3	114	0.0010565364714072965
af,cond,main,past,ps,ps2,sg	105	0.0009731256973488256
af,cond,mod,past,ps,ps2,sg	95	0.0008804470595060803
aux,partic,pres,ps	31	0.0002873037773125104
main,partic,pres,ps	30	0.0002780359135282359
mod,partic,pres,ps	29	0.00026876804974396135
aux,neg,past,ps,quot	7	6.487504648992171e-05
af,aux,cond,past,pl,ps,ps2	5	4.6339318921372646e-05
mod,neg,past,ps,quot	4	3.707145513709812e-05
main,neg,past,ps,quot	4	3.707145513709812e-05
af,cond,mod,past,pl,ps,ps2	4	3.707145513709812e-05
af,cond,main,past,pl,ps,ps2	3	2.7803591352823593e-05
af,aux,past,ps,quot	3	2.7803591352823593e-05
af,main,past,ps,quot	2	1.853572756854906e-05
af,mod,past,ps,quot	1	9.26786378427453e-06
