sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag
1215649,1933167,12,mõtlema,,ad,väljak,väljakul,""" Teadsime , et ühtki vastast ei tohi alahinnata , aga väljakul mõtled tahes-tahtmata teisiti , "" tunnistas Müürsepp .",,location,
2954768,4738637,2,lugema,,ad,puhk,puhkudel,Kõigil puhkudel luges ungarlane olematu torke itaallase kasuks .,,,
8438301,13524465,7,kohtuma,,ad,aasta,aastal,"Me kohtusime ... ” “ 52. aastal Zlatoustis , ” ütleb ette Pavel .",,,
8627775,13842130,2,seonduma,,ad,kinnitus,kinnitusel,"Varuli kinnitusel seonduvad juriidilised abinõud eelkõige sellega , et kriminaalseadustikus on sätestatud kuritegudena prostitutsiooni vahendamine , salaurgaste pidamine .",,,
8041569,12907070,4,kahtlema,,in,Prioraat,Prioraadis,"Ja kui keegi Prioraadis kahtleski Maria Magdalenas sõnumis ja tähenduses , siis kas ei peaks see neid veenma .",,,LOC
15159876,23703985,7,väsima,,el,katse,katsetest,"Bangladeshi elanik , kes oli väsinud katsetest leida maailma ühes tihedama asustusega riigis pisut rahu ja vaikust , leidis probleemile täiusliku lahenduse .",,,
1278798,2032455,8,valama,,ad,hinnang,hinnangul,Eesti vene õigeusu kiriku pressiesindaja Leonti Morozkini hinnangul valas Bartholomeos oma avaldusega vaid õli tulle .,,,
15891561,24722786,11,kasutama,,el,koguressurss,koguressursist,"võin kihla vedada , et üks arvuti kasutab light'i pakutavast koguressursist kuus heal juhul 10% .",,,
2791471,4476383,1,määrama,,ad,dirigent,Dirigendil,"Dirigendil määrab läbilöögi identiteet , lauljal loeb rohkem kool ja hõivatus .",,,
2749718,4410229,14,tegema,lahti,ad,inimene,inimestel,Ka enne Kristjanit ja Grethet esinenud meie teine paar sõitis hästi ja tegi inimestel silmad lahti .,,alive,
16379405,25320111,6,muutuma,,all,kauboi,kauboidele,Juba 1880 . aastatel muutusid saapad kauboidele jõukuse sümboliks .,,alive,
11575902,18536612,1,tulema,,ad,Bagatš,Bagatšil,Bagatšil tuleb Rahvusvahelisele Kergejõustikuliidule ( IAAF ) tagasi anda kuldmedal ja auhinnaraha 60 000 dollarit .,,,
2725351,4371566,7,keelduma,,el,kriminaalasi,kriminaalasjast,"Savisaar ütles , et kaitsepolitsei keeldus kriminaalasjast , põhjendades seda kuriteo koosseisu puudumisega .",,,
12965190,20742116,6,rajanema,,ad,võit,võidul,Kaasaegne Euroopa rajaneb Teise maailmasõja võidul .,,,
6205118,9965288,12,tegema,välja,el,looduskatastroof,looduskatastroofidest,"Teiselt poolt ei tee me siin Eestis ju palju välja sellistest looduskatastroofidest nagu põuad , liivatormid , rohutirtsud ja mis veel kõik - ning mille tagajärjeks on nälg .",,event,
1017974,1620500,10,määrama,,all,jalgpallur,jalgpallurile,Bermuda Jalgpalliliit määras riigi meistrivõistluste mängus kohtunikule kallale tunginud jalgpallurile 12 aasta pikkuse mängukeelu .,,alive,
7242750,11648441,1,juhtima,,ad,Taheva,Taheval,Taheval juhib valimisnimekirja praegune vallavanem Monika Rogenbaum ja Tõllistes vallavolikogu liige Veiko Ardel .,,location,LOC
5444212,8728012,7,meelitama,,ad,MM,MM-il,Laupäevane meeste tagaajamisvõistlus meelitas esmakordselt sel MM-il suusastaadionile täismaja .,,event,
1874528,2985626,1,vaevlema,,in,jalavalu,Jalavalus,"Jalavalus ja krampides vaevelnud Khannouchi kahetses , et ei suutnud keenialase põgenemiskatsele vastata .",,,
353438,546746,13,kuluma,ära,ad,mängimine,mängimisel,"Toometi kinnitusel jäävadki enamasti alles tüdrukute mänguasjad , sest poiste omad on mängimisel ära kulunud .",,,
