"word","koht","aeg","seisund","sündmus","other_types"
jõetagune,✓,,,,omadus_koht
jõukatsumine,,,,✓,tegevus_tegu
jõukus,,,✓,,ese_raha
jõul,,✓,,,ADV_viis
jõulinnak,✓,,,,ese_instru
jõuluehe,,,✓,,ese
jõulukuu,,✓,,,esitus
jõululaat,✓,,,✓,
jõuproov,,,,✓,tegevus_tegu
jõutreening,,,,✓,tegevus
jõutrenn,,,,✓,tegevus
jõuväli,,,✓,,nähtus_psühh
järelevalveorgan,✓,,,,inimene
järelromantism,,✓,,,abstr/konkr
järgselt,,✓,,,abstr/konkr
järjestus,,,✓,,tegevus
järk,,,✓,,abstr/konkr
järv,✓,,,,esitus
järvestik,✓,,,,objekt_loodus
järvetagune,✓,,,,omadus_koht
järvistu,✓,,,,objekt_loodus
jätab soovida,,,✓,,omadus_kval
jätkliide,✓,,,,ese_instru
jätkseotis,✓,,,,ese_instru
jääknäht,,,✓,,nähtus
jääliustik,✓,,,,nähtus_loodus
jäämurdja,✓,,,,ese_instru
jääpuder,,,✓,,materjal/aine
jäärajasõit,,,,✓,tegevus
jäärenn,✓,,,,ese_instru
jääsein,✓,,,,nähtus_psühh
jäätee,✓,,,,toit_jook
jürikuu,,✓,,,esitus
jüripäev,,✓,,✓,
jüüt,✓,,,,in_rahvas
kaablisoon,✓,,,,ese_instru
kaadriarmee,✓,,,,in_roll
kaasus,,,,✓,esitus_keel
kaasvastutus,,,✓,,abstr
kaasüüriline,✓,,,,in_roll
kaasüürnik,✓,,,,in_roll
kab,✓,,,,esitus
kabel,✓,,,,ese_instru
kadalipp,,,,✓,tegevus_tegu
kadri,,✓,,,in_roll
Kadriorg,✓,,,,in_elukutse
kadriõhtu,,✓,,✓,
kae,,,✓,,esitus_keel_suhtlus
kaebus,,,✓,,tegevus_kõnetegu
kaenal,✓,,,,taim
kaenlas,,,✓,,ADV_seisund
kaevamised,,,,✓,tegevus
kaevandus,✓,,,,ese_instru
kaevandusplahvatus,,,,✓,nähtus_füüs
kaeve,✓,,,,tegevus_kõnetegu
kaevikusõda,,,✓,,tegevus
kaevis,✓,,,,materjal/aine
kagu,✓,,,,esitus
kahekõne,,,,✓,tegevus
kahevõitlus,,,,✓,tegevus
kahjutus,,,✓,,omadus_füüs
kahune,,,✓,,omadus_kval
kahus,,,✓,,omadus_kval
kainus,,,✓,,nähtus_psühh
kaisus,,,✓,,ADV_seisund
kaisutus,,,✓,,tegevus_tegu
kaitsejõud,✓,,,,in_roll
kaitsekäik,✓,,,,tegevus_mäng
kaitselahing,,,,✓,tegevus_tegu
kaitseliin,✓,,,,in_roll
kaitsemets,✓,,,,taim
kaitsepositsioon,✓,,,,abstr/konkr
kaitserõuged,✓,,,,tegevus
kaitsevall,✓,,,,abstr/konkr
kaitseväeteenistus,,,✓,,tegevus
kaitsevägi,✓,,,,inimene
kajakõne,,,✓,,tegevus_kõnetegu
kakelung,,,,✓,tegevus_tegu
kaklus,,,,✓,tegevus_tegu
kaksikmõrv,,,,✓,tegevus_tegu
kaks kärbest ühe hoobiga,,,✓,,omadus_kval
kaks ühes,,,✓,,omadus_kval
kalatööstus,✓,,,,tegevus
kaldaalune,✓,,,,omadus_koht
kaldapealne,✓,,,,omadus_koht
kaldaäärne,✓,,,,omadus_koht
kaljurahn,✓,,,,objekt_loodus
kaljuränk,✓,,,,objekt_loodus
kaljurüngas,✓,,,,objekt_loodus
kalkvel,,,✓,,ADV_seisund
kalkvele,,,✓,,ADV_seisund
kallakus,,,✓,,omadus_füüs
kallaletung,,,,✓,tegevus
kallaletungimine,,,,✓,tegevus
kambas,,,✓,,ADV_seisund
kamber,✓,,,,kehaosa_loom
kampas,,,✓,,ADV_seisund
kamuflett,✓,,,✓,
kanaihu,,,✓,,abstr/konkr
kanalisatsioonikaev,✓,,,,ese_instru
kanapimedus,,,✓,,nähtus_psühh
kanarbik,✓,,,,taim
kanarind,,,✓,,toit
kandesein,✓,,,,ese_instru
kandmine,,,✓,,tegevus
kanepine,,,✓,,omadus
kangialune,✓,,,,omadus_koht
kangur,✓,,,,in_elukutse
kannatus,,,✓,,omadus_psühh
kannatustee,✓,,,✓,
kannistik,✓,,,,taim
kants,✓,,,,nähtus_psühh
kaos,,,✓,,in_müt
kaotsiminek,,,,✓,nähtus
kapillaar,✓,,,,kehaosa
kapitaalsein,✓,,,,ese_instru
kapitagune,✓,,,,omadus_koht
kapitalism,,,✓,,abstr/konkr
kapitalismus,,,✓,,abstr/konkr
kapo,✓,,,,in_elukutse
karantiin,✓,,✓,,
karastus,,,✓,,nähtus
karbon,,✓,,,materjal/aine
kardia,✓,,,,kehaosa
karikamäng,,,,✓,tegevus_tegu
karistusekspeditsioon,,,,✓,tegevus
karjaaed,✓,,,,ese_instru
karjaimmuunsus,,,✓,,nähtus
karjatara,✓,,,,ese_instru
karplava,✓,,,,ese_instru
karvane käsi,,,✓,,tegevus
kasemets,✓,,,,taim
kassiahastus,,,✓,,nähtus_psühh
kastehein,✓,,,,taim
kasvaja,,,✓,,omadus
kasvulava,✓,,,,abstr/konkr_omadus
kasvupiir,✓,,,,abstr
katarakt,✓,,✓,,
kateeder,✓,,,,ese_instru
katk,,,✓,,nähtus
katkelisus,,,✓,,omadus_abstr
katkiminek,,,,✓,nähtus
katusealune,✓,,,,omadus_koht
kaubareis,,,,✓,tegevus
kaubaretk,,,,✓,tegevus
kaubatootja,✓,,,,in_tegija
kauem,,✓,,,omadus_aeg
kaunistama,,,✓,,VERB_tegevus
kauplus,✓,,,,esitus
kausaalsus,,,✓,,omadus_kval
kavern,,,✓,,objekt_loodus
keelekohvik,,,,✓,abstr/konkr
keelenõu,✓,,,,tegevus_kõnetegu
keelenõuanne,✓,,,,tegevus_kõnetegu
keeleoskustase,,,✓,,esitus_mõõt
keelereis,,,,✓,tegevus
keeletase,,,✓,,esitus_mõõt
keeletus,,,✓,,nähtus
keem,,,✓,,tegevus
keemiline puhastus,✓,,,,tegevus
keerak,✓,,,,tegevus_tegu
keerdkäik,✓,,,,abstr
keermesliide,✓,,,,ese_instru
keevis,✓,,,,materjal/aine
keeviskonstruktsioon,✓,,,,ese_instru
keevisliide,✓,,,,ese_instru
keevistarind,✓,,,,ese_instru
kehand,✓,,,,inimene
keharaskus,✓,,,,omadus_füüs
keilut,✓,,,,ese_instru
keisrikoda,✓,,,,in_roll
kenadus,,,✓,,kehaosa
keska,✓,,,,esitus
keskaparaat,✓,,,,abstr/konkr
keskerakond,✓,,,,in_roll
keskjaam,✓,,,,ese_instru
keskkoht,✓,,,,kehaosa
keskkomitee,✓,,,,in_roll
keskkonnarisk,,,✓,,konkr
keskkool,✓,,,,esitus
keskliit,✓,,,,in_roll
kesknädal,,✓,,,esitus
keskpaik,✓,✓,,,
keskpunkt,✓,,,,objekt
kesksuvi,,✓,,,osa
kesktee,✓,,,,abstr
keskus,✓,,,,kehaosa
keskväli,,,✓,,in_roll
keskõhtu,✓,✓,,,
kessoon,✓,,,,ese_instru
kestus,,✓,,,omadus_aeg
kestvussõit,,,,✓,tegevus
kevadkünd,✓,,,,tegevus
kibekiire,,✓,,,omadus_füüs
kibitka,✓,,,,ese_instru
kidu,,,✓,,nähtus_loodus
kihelus,,,✓,,nähtus_füüs
kihistis,✓,,,,materjal/aine
kihlad,,,,✓,ese
kiird,✓,,,,kehaosa
kiirreageerimisüksus,✓,,,,in_elukutse
kiirrünnak,,,,✓,tegevus_tegu
kiiver,✓,,,,ese_instru
kimm,✓,,,,materjal/aine
kindlus,✓,,,,omadus
kindlustusriisiko,,,,✓,nähtus
kindlustusrisk,,,,✓,nähtus
kink,✓,,,,ese
kinnisasi,✓,,,,konkr
kinnisidee,,,✓,,nähtus_psühh
kinnismõte,,,✓,,nähtus_psühh
kinnisus,,,✓,,nähtus_psühh
kinnisvaramull,,,✓,,abstr
kinnisvaraomanik,✓,,,,in_omadus
kinokassa,✓,,,,ese_raha
kirikukogu,✓,,,,in_roll
kirikuteenistus,,,✓,✓,
kirjanurk,✓,,,,ese_semio
kirjaoskamatus,,,✓,,tegevus
kirjasaladus,,,✓,,abstr/konkr
kirjastaja,✓,,,,in_elukutse
kirsmaa,✓,,,,objekt_loodus
kiviaeg,,✓,,,omadus_aeg
kivijalg,✓,,,,osa
kivilaev,✓,,,,ese_instru
kiviräga,✓,,,,objekt_loodus
kivirägu,✓,,,,objekt_loodus
kivisillutis,✓,,,,materjal/aine
klaaskapp,✓,,,,ese
klaaskatus,✓,,,,ese_instru
klamüüdia,,,✓,,organism
klaperjaht,,,,✓,tegevus
klapirike,,,✓,,nähtus_füüs
klassipositsioon,,,✓,,abstr
klaverikontsert,,,,✓,ese_kunst
klienditeenindus,✓,,,,tegevus
kliima,,,✓,,nähtus_loodus
kliiniline surm,,,✓,,nähtus_loodus
klikeaegne,,✓,,,omadus
klikiaegne,,✓,,,omadus
kloaak,✓,,,,kehaosa_loom
kodukolle,✓,,,,ese_instru
kodukool,✓,,,,tegevus
kodumets,✓,,,,taim
kodumuru,✓,,,,taim
kodusõda,,,,✓,tegevus
kodutarbija,✓,,,,in_roll
kodutee,✓,,,,tegevus
koeksistents,,,✓,,nähtus
koerakool,✓,,,,taim
koeraomanik,✓,,,,in_omadus
koguaeg,,✓,,,ADV_aeg
kogukond,✓,,,,inimene
kogukondlus,,,✓,,nähtus
kogunemine,,,,✓,tegevus
kohalik võim,✓,,,,abstr
kohevil,,,✓,,ADV_seisund
kohort,✓,,,,inimene
kohr,✓,,,,toit
koht,✓,,,,abstr
kohtuasutus,✓,,,,in_roll
kohtujärg,✓,,,,ese_instru
kohtukõne,,,,✓,tegevus_kõnetegu
kohtulugu,,,,✓,tegevus
kohtuorgan,✓,,,,in_roll
kohtupidamine,,,,✓,tegevus
kohtutee,,,,✓,tegevus
kohtuveskid jahvatavad,,,✓,,tegevus
kohuslane,✓,,,,in_roll
kohustuslane,✓,,,,in_roll
koit,,✓,,,nähtus_loodus
koivaht,,✓,,,inimene
kojusõit,,,,✓,tegevus
kojutulek,,,,✓,tegevus
kokainism,,,✓,,tegevus_tegu
kokkuleppemäng,,,,✓,tegevus_mäng
kokkuost,✓,,,,tegevus
kokkuostja,✓,,,,inimene
kokkupuutekoht,✓,,,,abstr
kokkusaamine,,,,✓,tegevus_tegu
koldeesine,✓,,,,omadus_koht
koldküps,,,✓,,omadus
kolgata,,,✓,✓,
Kolgata tee,,,✓,✓,
kolgatatee,,,✓,✓,
kollakus,,,✓,,omadus_füüs_värv
kolle,✓,,,,ese_instru
kollektiivne immuunsus,,,✓,,nähtus
kollimatsioon,,,✓,,VERB_tegevus
kollokvium,,,,✓,tegevus_kõnetegu
kolmapäev,,✓,,,esitus
kolmekõne,,,,✓,tegevus
kolmikjaotus,,,✓,,nähtus
kolmikmõrv,,,,✓,tegevus_tegu
kolmkuu,,✓,,,esitus
kombetalitus,,,,✓,tegevus_tegu
kombits,,,✓,,kehaosa_loom
kombluspolitsei,✓,,,,in_roll
komblusvalve,✓,,,,tegevus
komblusvalvur,✓,,,,in_roll
komfort,,,✓,,nähtus_psühh
komisjon,✓,,,,inimene
komistuskivi,,,✓,,abstr/konkr
komitee,✓,,,,inimene
kompanii,✓,,,,inimene
komsomol,✓,,,,in_roll
komsomolikomitee,✓,,,,in_roll
komsomoliorganisatsioon,✓,,,,inimene
komu,,,✓,,in_roll
kondomiinium,✓,,,,abstr/konkr_omadus
konflikt,,,✓,✓,
konformism,,,✓,,nähtus_psühh
konfrontatsioon,,,✓,,abstr
konföderatsioon,✓,,,,abstr/konkr
kong,✓,,,,ese_instru
kongregatsioon,✓,,,,inimene
konkrement,,,✓,,nähtus_loodus
konnasilm,,,✓,,nähtus
konservimine,,,✓,,tegevus
konsistoorium,✓,,,,in_roll
konsool,✓,,,,ese_instru
konsulaat,✓,✓,,,
konsultatsioon,,,,✓,tegevus_tegu
kontrahent,✓,,,,in_roll
kontrollaeg,,✓,,,esitus_mõõt
kontrollkäik,,,,✓,tegevus_tegu
kontrollorgan,✓,,,,inimene
kontrollpost,✓,,,,in_roll
kontrollreid,,,,✓,tegevus_tegu
kontserdilava,✓,,,,ese_instru
kontserdireis,,,,✓,tegevus
kontserditurnee,,,,✓,tegevus
kontserdituur,,,,✓,tegevus
kontsertettekanne,,,,✓,tegevus_tegu
kontsertreis,,,,✓,tegevus
kontsertturnee,,,,✓,tegevus
kontserttuur,,,,✓,tegevus
kontsessionäär,✓,,,,in_elukutse
kontsiil,✓,,,,in_roll
koobas,✓,,,,kehaosa
koold,✓,,,,kehaosa
koolieksam,,,,✓,tegevus
koolitee,✓,,,,tegevus
koolitus,,,,✓,tegevus
koolituspäev,,✓,,✓,
koolitusreis,,,,✓,tegevus
kooljakuu,,✓,,,esitus
kooljaluu,,,✓,,ese
kooma,,,✓,,nähtus_füüs
koomika,,,✓,,nähtus_psühh
koondelisus,,,✓,,nähtus_loodus
koone,,,✓,,nähtus_loodus
koordineeritus,,,✓,,nähtus
koorealune,✓,,,,omadus_koht
kooriharjutus,,,,✓,tegevus_tegu
koorilõpmik,✓,,,,ese_kunst
kooriproov,,,,✓,tegevus_tegu
kooseksisteerimine,,,✓,,nähtus
kooseksistents,,,✓,,nähtus
kooskõlastatus,,,✓,,nähtus
koosolek,,,,✓,inimene
koostööpartner,✓,,,,inimene
kopitus,,,✓,,nähtus
kopliaed,✓,,,,ese_instru
koprolaalia,,,✓,,tegevus_kõnetegu
kopsuklamüüdia,,,✓,,organism
kopti kirik,✓,,,,in_omadus
kordon,✓,,,,taim_omadus
koridor,✓,,,,in_roll
koronts,,,✓,,objekt_loodus
koroonane,,,✓,,omadus
korp!,✓,,,,grupp
korporatsioon,✓,,,,grupp
korral,,✓,,✓,
korraldaja,✓,,,,in_roll
korratu,,,✓,,omadus_kval
korratus,,,✓,,tegevus_tegu
korso,✓,,,✓,
korsten,✓,,,,ese
korteriomanik,✓,,,,in_omadus
korteriühistu,✓,,,,esitus
kortsneer,,,✓,,kehaosa
korvialune,✓,,,,omadus_koht
korvpalliklubi,✓,,,,in_tegija
korvpallimäng,,,,✓,tegevus_mäng
korvpallitreening,,,,✓,tegevus
korvpallitrenn,,,,✓,tegevus
kosilane,✓,,,,in_roll
kosk,✓,,,,esitus_mõõt
kosmos,✓,,,,taim
kosmosereis,,,,✓,tegevus
kostil,,,✓,,ADV_viis
kostile,,,✓,,ADV_viis
kostitus,,,✓,,tegevus
kottpime,,,✓,,omadus_füüs
kovisioon,,,,✓,abstr
kpl,✓,,,,esitus
kraal,✓,,,,ese_instru
kraav,✓,,,,esitus
krae vahel,✓,,✓,,
krae vahele,✓,,✓,,
krambis,,,✓,,ADV_seisund
krampi,,,✓,,ADV_seisund
krampis,,,✓,,ADV_seisund
kreeditor,✓,,,,in_omadus
kreeps,,,✓,,nähtus_psühh
Kreml,✓,,,,in_roll
kriimustus,,,✓,,esitus_kujutis
kriis,,,✓,✓,
krill,,,✓,,loom
kriminaaljälitus,✓,,,,tegevus
kriminaalpolitsei,✓,,,,in_elukutse
kringel,,,✓,,toit
kripeldus,,,✓,,VERB_seisund
kripo,✓,,,,in_elukutse
kriteerium,,,,✓,abstr/konkr
kroonimets,✓,,,,abstr
kroonupüha,,✓,,✓,
kroonuteenistus,,,✓,,tegevus
krossing,✓,,,,tegevus
krousis,,,✓,,omadus_füüs
krs,✓,,,,esitus
krt,✓,,,,esitus_keel_suhtlus
kruiis,,,,✓,tegevus
krunt,✓,,,,materjal/aine
krupoosne,,,✓,,omadus
krõbedus,,,✓,,tegevus_kõnetegu
kräu,,,,✓,omadus_füüs
kuhelik,✓,,,,konkr
kuhik,✓,,,,konkr
kuhikpeenar,✓,,,,abstr/konkr
kuivatuskamber,✓,,,,ese_instru
kukekannus,,,✓,,taim
kukil,,,✓,,abstr_asend/suund
kukile,,,✓,,abstr_asend/suund
kukilt,,,✓,,abstr_asend/suund
kukutamine,,,,✓,tegevus
kuldpulm,,✓,,✓,
kuldsponsor,✓,,,,in_roll
kuliss,✓,,,,ese
kullalootus,,,✓,,in_omadus
kullaturg,✓,,,,abstr/konkr
kulmuluu,✓,,,,kehaosa
kultuurala,✓,,,,abstr/konkr
kultuuriala,✓,,,,abstr/konkr
kultuuriareaal,✓,,,,abstr/konkr
kultuurikandja,✓,,,,in_roll
kultuurimälestis,✓,,,,ese
kultuuripiirkond,✓,,,,abstr/konkr
kultuuripäev,,✓,,✓,
kultuurireis,,,,✓,tegevus
kultuurirevolutsioon,,,,✓,tegevus
kultuurkond,✓,,,,abstr/konkr
kultuurmets,✓,,,,taim
kulumus,,,✓,,nähtus
kumulatsioon,,,✓,,nähtus
kund,✓,,,,abstr/konkr
kuningakoda,✓,,,,in_roll
kunstiklass,✓,,,,abstr
kuplistik,✓,,,,ese
kuppelkiiver,✓,,,,osa
kurbloolisus,,,✓,,nähtus_psühh
kurbloolus,,,✓,,nähtus_psühh
kurenokajälg,,,✓,,nähtus_loodus
kurvameelsus,,,✓,,nähtus_psühh
kustutus,✓,,,,tegevus
kutseliit,✓,,,,inimene
kutseorganisatsioon,✓,,,,inimene
kutseühing,✓,,,,inimene
kutu,,,✓,,ADV_seisund
kutupiilu,,,✓,,ADV_seisund
kuulamine,,,,✓,tegevus
kuulmiskeskus,✓,,,,kehaosa
kuur,✓,,,,abstr/konkr
kuusemets,✓,,,,taim
kuusik,✓,,,,taim
kuut,✓,,,,ese_instru
kv,,✓,,,esitus
kvalifikatsioonimäng,,,,✓,tegevus_mäng
kõhupool,✓,,,,kehaosa
kõhutühi,,,✓,,nähtus_psühh
kõhutühjus,,,✓,,nähtus_psühh
kõlaekraan,✓,,,,konkr
kõlakoda,✓,,,,abstr
kõnd,✓,,,,tegevus
kõnekeskus,✓,,,,kehaosa
kõnepunkt,✓,,,,ese_semio
kõnetund,,✓,,✓,
kõrgaltar,✓,,,,ese_instru
kõrgend,✓,,,,ese_instru
kõrghaljastus,✓,,,,tegevus
kõrgmets,✓,,,,taim
kõrgmuru,✓,,,,objekt_loodus
kõrgpeenar,✓,,,,abstr/konkr
kõrgraudtee,✓,,,,ese_instru
kõrgsuvi,,✓,,,osa
kõrgusehirm,,,✓,,nähtus_psühh
kõrgusekartus,,,✓,,nähtus_psühh
kõrkjapadrik,✓,,,,taim
kõrkjatihnik,✓,,,,taim
kõrrestik,✓,,,,taim
kõrtsiesine,✓,,,,omadus_koht
kõrvaauk,✓,,,,kehaosa
kõrvalkäik,✓,,,,tegevus_tegu
kõrvaltee,✓,,,,abstr
kõrvatagused on märjad,,,✓,,omadus_vanus
kägar,,,✓,,omadus_füüs
kähmlus,,,,✓,tegevus
käima peal olema,,,✓,,VERB_seisund
käitaja,✓,,,,in_elukutse
kännustik,✓,,,,taim
kärssus,,,✓,,ADV_seisund
käsikeskjaam,✓,,,,ese_instru
käsikähmlus,,,,✓,tegevus
käsipuu,✓,,,,ese
käsutus,,,✓,,abstr/konkr
kättesaadavus,,,✓,,omadus_kval
kättevõitmine,,,,✓,tegevus
käänak,✓,,,,tegevus
käänd,✓,,,,tegevus
käär,✓,,,,toit
köbruke,,,✓,,kehaosa
köbrukene,,,✓,,kehaosa
köha,,,✓,,tegevus_tegu
köiskond,,,✓,,inimene
köögipool,✓,,,,abstr
köögitrepp,✓,,,,ese_instru
köök,✓,,,,vald
KÜ,✓,,,,esitus
külaarhitektuur,✓,,,,abstr/konkr
külalisesinemine,,,,✓,tegevus
külalisetendus,,,,✓,tegevus
külaselts,✓,,,,inimene
külgsein,✓,,,,ese
külgõõtsumine,,,✓,,nähtus_füüs
küljejoon,✓,,,,kehaosa_loom
külla,✓,,,,ADV_koht
küllakutsuja,✓,,,,in_omadus
küllastusvajak,,,✓,,esitus_mõõt
küllus,,,✓,,abstr/konkr
külmavari,✓,,,,ese_instru
külmetus,,,✓,,tegevus_tegu
külvirida,✓,,,,esitus_kujutis
kümnend,,✓,,,omadus_kval
künd,✓,,,,tegevus
küngas,✓,,,,nähtus_loodus
kürb,✓,,,,kehaosa
küsimärgi all,,,✓,,omadus_kval
küsimärgi alla,,,✓,,omadus_kval
küsitletav,,,✓,,in_roll
küttepind,✓,,,,materjal/aine
küttimisretk,,,,✓,tegevus
küvett,✓,,,,ese_anum
küünealune,✓,,,,omadus_koht
küünistus,,,✓,,esitus_kujutis
küünlakuu,,✓,,,esitus
küünlavalgusõhtu,,✓,,✓,
küünte vahele,,,✓,,ADV_seisund
küüsi,,,✓,,ADV_seisund
laadimisjaam,✓,,,,ese_instru
laagerdumine,,,✓,,tegevus
laagerdus,,,✓,,tegevus
laagrikoht,✓,,,,abstr
laanemets,✓,,,,taim
laat,,,,✓,tegevus_kõnetegu
labasus,,,✓,,tegevus_kõnetegu
laealune,✓,,,,omadus_füüs
laegas,,,✓,,ese_instru
laenuandja,✓,,,,in_omadus
laenuhai,✓,,,,in_roll
laenutus,✓,,,,VERB_tegevus
laevaehitaja,✓,,,,in_elukutse
laevasild,✓,,,,ese_instru
laevastik,✓,,,,ese_instru
laevatrapp,✓,,,,ese_instru
laevatrepp,✓,,,,ese_instru
laevaühing,✓,,,,in_roll
laevkond,✓,,,,inimene
lahing,,,,✓,tegevus
lahingukord,,,✓,,abstr/konkr
lahk,✓,,,,esitus_kujutis
lahkuminek,,,✓,✓,
lahkumiskõne,,,,✓,tegevus_kõnetegu
lahtihüpe,,,,✓,tegevus_tegu
lahtine,,,✓,,omadus_psühh
lainel,,,✓,,ADV_seisund
lainemurdja,✓,,,,ese_instru
laiuskraad,✓,,,,esitus_mõõt
lamav politseinik,✓,,,,ese_instru
langatus,✓,,,,tegevus_tegu
langusmeeleolu,,,✓,,omadus_kval
lantsettaken,✓,,,,osa
lantš,,,,✓,toit
lapsehoolduspuhkus,,✓,✓,,
lapseootele,,,✓,,ADV_seisund
lapsepuhkus,,✓,✓,,
lapsepõlvetrauma,,,,✓,nähtus_psühh
laskeharjutus,,,,✓,tegevus
laskeulatus,✓,,,,esitus_mõõt
lastehaigus,,,✓,,abstr
lastekari,,,✓,,in_omadus
lastemaja,✓,,,,ese_instru
lastija,✓,,,,in_elukutse
last ootama,,,✓,,VERB_seisund
lauaalune,✓,,,,omadus_füüs
laualõikus,✓,,,,vald
lauapealne,✓,,,,omadus
laudaesine,✓,,,,omadus_koht
laudatagune,✓,,,,omadus
laudi,✓,,,,ese_instru
laudis,✓,,,,konkr_omadus
laulev revolutsioon,,✓,,✓,
lauluklass,✓,,,,abstr/konkr
laulukool,✓,,,,abstr
lauluproov,,,,✓,tegevus_tegu
laupäev,,✓,,,esitus
lausik,✓,,,,omadus_füüs
lauspilvitus,,,✓,,nähtus_loodus
lavakas,✓,,,,in_roll
lavanärv,,,✓,,omadus_psühh
lavaproov,,,,✓,tegevus
lavastuslik,,,✓,,omadus
lavatagune,✓,,,,omadus_koht
leede,✓,,,,materjal/aine
leeripäev,,✓,,✓,
lehter,✓,,,,ese_instru
lehtmets,✓,,,,taim
lehtpuumets,✓,,,,taim
leigus,,,✓,,omadus_füüs
leinamissa,,,,✓,ese_kunst
lekk,✓,,,,ese_raha
lektoorium,✓,,,✓,
lemb,,,✓,,in_omadus
lemme,,,✓,,taim
lendlus,,✓,,,nähtus_loodus
lennuaeg,,✓,,,nähtus_loodus
lennukorraldaja,✓,,,,in_elukutse
lennureis,,,,✓,tegevus
lennusalk,✓,,,,in_elukutse
lennutee,✓,,,,tegevus
lennutund,,✓,,,esitus_mõõt
lepamets,✓,,,,taim
lepik,✓,,,,taim
lepinglane,✓,,,,in_roll
lepingupool,✓,,,,in_roll
lepitusmenetlus,,,,✓,tegevus_tegu
lesepõli,,✓,✓,,
lesepõlv,,✓,✓,,
libedus,,,✓,,omadus_psühh
ligidus,✓,,✓,,
ligilähedus,✓,,✓,,
lihapott,,,✓,,ese_instru
lihatööstus,✓,,,,vald
liidus,✓,,,,kehaosa
liigirikkus,,,✓,,omadus_kval
liigjahtumine,,,✓,,nähtus
liigliha,,,✓,,abstr
liigtundlikkus,,,✓,,omadus_psühh
liikluspolitsei,✓,,,,in_elukutse
liikmesorganisatsioon,✓,,,,inimene
liikumisruum,✓,,,,abstr/konkr
liisinguvõtja,✓,,,,inimene
liitriik,✓,,,,abstr/konkr
liivakalju,✓,,,,nähtus_loodus
liivamaa,✓,,,,materjal/aine
liivatee,✓,,,,taim
linaligu,✓,,,,materjal/aine
linn,✓,,,,inimene
linnaarhitektuur,✓,,,,abstr/konkr
linnaloodus,✓,,,,organism
linnanõukogu,✓,,,,in_roll
linnaosavalitsus,✓,,,,esitus
linnasaras,✓,,,,abstr/konkr
linnavalitsus,✓,,,,inimene
linnumaja,✓,,,,ese
litsentsiaar,✓,,,,in_roll
litsentsiandja,✓,,,,in_roll
litsentsisaaja,✓,,,,in_roll
liturgia,,,,✓,abstr/konkr
liumägi,✓,,,,ese_instru
liustik,✓,,,,nähtus_loodus
liutee,✓,,,,ese_instru
LK,,,✓,,esitus
LKA,✓,,,,esitus
lobudik,✓,,,,ese
lodu,✓,,,,ese_riie
lodumets,✓,,,,taim
lodupealne,✓,,,,omadus_füüs
loendus,,,,✓,tegevus
logusk,✓,,,,ese_instru
loha,✓,,,,ADV_seisund
loid,,,✓,,omadus_kval
loik,✓,,,,materjal/aine
lokatsioon,✓,,,,tegevus
loksper,✓,,,✓,
looduskaitseala,✓,,,,esitus
looduskaitse all,,,✓,,esitus
loogus,,,✓,,ADV_seisund
looja karja,,,✓,,omadus_aeg
loojakarja,,,✓,,omadus_aeg
looja karjas,,,✓,,omadus_aeg
loojakarjas,,,✓,,omadus_aeg
loomeliit,✓,,,,in_omadus
loomets,✓,,,,taim
loomulikud vajadused,,,✓,,tegevus_tegu
loomusund,,,✓,,nähtus_psühh
loopealne,✓,,,,omadus_koht
loosimine,,,,✓,tegevus
loož,✓,,,,in_roll
LOV,✓,,,,esitus
lubjastus,,,✓,,tegevus_muutus
ludin,,,✓,,ese
lugemisjärg,✓,,✓,,
lugemisproov,,,,✓,tegevus
lugupidamine,,,✓,,nähtus_psühh
luitemännik,✓,,,,taim
lumerajasõit,,,,✓,tegevus_tegu
lumm,,,✓,,nähtus_psühh
lustipidu,,,,✓,tegevus
lustisõit,,,,✓,tegevus
lustratsioon,,,,✓,tegevus
lutikapesa,✓,,,,objekt_loodus
luukamber,✓,,,✓,
luuleklubi,✓,,,,in_roll
luuliidus,✓,,✓,,
luureretk,,,,✓,tegevus
lõbureis,,,,✓,tegevus
lõbusõit,,,,✓,tegevus
lõhnatundetus,,,✓,,nähtus_loodus
lõikejoon,✓,,,,esitus_kujutis
lõikelaud,✓,,,,ese_instru
lõikuskuu,,✓,,,esitus
lõimetusaeg,,✓,✓,,
lõpmik,✓,,,,ese_kunst
lõppjaam,✓,,,,abstr
lõppsiht,✓,,,,abstr
lõpptarbija,✓,,,,in_roll
lõppvõistlus,,,,✓,tegevus_mäng
lõpupool,✓,✓,,,
lõpusirge,✓,,✓,,
lõsn,✓,,,,ese_instru
lõugas,✓,,,,ese_instru
lõunaeine,,,,✓,toit
lõunaida,✓,,,,esitus
lõunalaius,✓,,,,esitus_mõõt
lõunalääs,✓,,,,esitus_tähis
lõunanaaber,✓,,,,in_rahvas
lõunaoode,,,,✓,toit
lõunapoolus,✓,,,,esitus
lõunapuhkus,,✓,,,tegevus_tegu
lõunatund,,✓,,✓,
lõvikoobas,✓,,✓,,
lõõsk,,,✓,,nähtus_füüs
läbielamus,,,,✓,nähtus_psühh
läbimurd,✓,,,,tegevus_tegu
läbimäng,,,,✓,tegevus_tegu
läbiotsimine,,,,✓,tegevus_tegu
läbirääkimine,,,,✓,tegevus_kõnetegu
läbisõiduhoov,✓,,,,abstr
lähedus,✓,,✓,,
lähiajalugu,,✓,,✓,
lähikond,✓,,,,in_roll
lähtekoht,✓,,,,abstr
