"word","koht","aeg","seisund","sündmus","other_types"
alates,,✓,,,esitus
algidu,,,✓,,abstr/konkr
algorganisatsioon,✓,,,,inimene
algseis,,,✓,,tegevus
algstaadium,,✓,,,abstr
algus,✓,✓,,,
allaandmine,,,✓,,tegevus
allajäämine,,,✓,✓,
allakäigu spiraal,,,✓,,nähtus
allakäiguspiraal,,,✓,,nähtus
allapoole,✓,,,,abstr
allasurumine,,,✓,,tegevus
allavandumine,,,✓,,tegevus
allergia,,,✓,,omadus_psühh
allilm,✓,,,,in_omadus
allmaailm,✓,,,,in_omadus
allokatsioon,,,✓,,VERB_tegevus
allood,✓,,,,abstr/konkr
allorganisatsioon,✓,,,,inimene
allrentnik,✓,,,,in_roll
alluvus,,,✓,,abstr
allüüriline,✓,,,,in_roll
allüürnik,✓,,,,in_roll
alopeetsia,,,✓,,nähtus_loodus
alpiaas,✓,,,,objekt_loodus
alpiniit,✓,,,,objekt_loodus
altminek,,,✓,✓,
altpoolt,✓,,,,abstr
alusmüür,✓,,,,abstr
aluspõrand,✓,,,,ese
ambulants,✓,,,,ese_instru
ametikõrgendus,,,,✓,tegevus_tegu
ametiliit,✓,,,,abstr/konkr
ametireis,,,,✓,tegevus
ametiseisund,,,✓,,abstr
ametisolek,,,,✓,tegevus
ametisõit,,,,✓,tegevus
ametiühing,✓,,,,abstr/konkr
ametkond,✓,,,,abstr
amneesia,,,✓,,nähtus_psühh
anesteesia,,,✓,,tegevus_tegu
ankurrentnik,✓,,,,in_roll
anosmia,,,✓,,nähtus_loodus
Anschluss,,,,✓,tegevus
anšluss,,,,✓,tegevus
antikliimaks,,,,✓,abstr
antrakt,,✓,,✓,
antree,✓,,,,toit
apartment,✓,,,,osa
apell,,,,✓,tegevus_kõnetegu
apelsinikoorenahk,,,✓,,kehaosa
apelsininahk,,,✓,,kehaosa
apoteoos,,,,✓,tegevus_tegu
apr,,✓,,,esitus
aprillikuu,,✓,,,esitus
aps,,,✓,,tegevus_tegu
apteek,✓,,,,materjal/aine
arapp,,,,✓,tegevus_tegu
arendaja,✓,,,,in_elukutse
arest,,,✓,,abstr/konkr
argipäev,,✓,✓,,
argipäevasus,,,✓,,omadus_kval
argisus,,,✓,,omadus_kval
argus,,,✓,,omadus_psühh
arheoloogiamälestis,✓,,,,objekt
arhiiv,✓,,,,ese_semio
armastusväärsus,,,✓,,tegevus_kõnetegu
armeekorpus,✓,,,,in_elukutse
armurinne,,,✓,,tegevus
arsenal,✓,,,,abstr/konkr
arupidamine,,,,✓,tegevus
arust,,,✓,,abstr
arvamuskorje,,,,✓,tegevus
