"word","semantic_types"
kilpvulkaan,KOHT
kiltmaa,KOHT
Kiltsi,KOHT
Kimalasõ,KOHT
kimarlehisus,SEISUND
kimbatus,SEISUND
kimmkatus,KOHT
kimppiilar,KOHT
Kimrõ,KOHT
kindlusehitis,KOHT
kindlusekraav,KOHT
kindlusemüür,KOHT
kindluskirik,KOHT
kindlusloss,KOHT
kindlustamatus,SEISUND
kindlustatus,SEISUND
kindlustis,KOHT
kindlustusasutus,KOHT
kindlustusfirma,KOHT
kindlustusjuhtum,sündmus
kindlustusselts,KOHT
kindlusvangla,KOHT
kindralkomissariaat,KOHT
kindralkubermang,KOHT
kindralstaap,KOHT
kinetoos,SEISUND
kingaparandus,KOHT
kingapood,KOHT
Kingissepa,KOHT
Kingissepp,KOHT
Kingli,KOHT
king pigistab,SEISUND
kingsepatöökoda,KOHT
Kingston,KOHT
Kingston upon Hull,KOHT
Kingston upon Thames,KOHT
Kingstown,KOHT
Kingu,KOHT
kingustik,KOHT
Kinksi,KOHT
Kinnereti järv,KOHT
kinniistumine,SEISUND
kinnikülmutamine,SEISUND
kinnimaja,KOHT
kinnine vangla,KOHT
kinnipidamisasutus,KOHT
kinnipidamiskoht,KOHT
kinnisperiood,AEG
kinnisvarabuum,AEG
kinnisvarabüroo,KOHT
kinnisvarafirma,KOHT
kinnituskoht,KOHT
kinobuss,KOHT
kinoetendus,sündmus
kinosaal,KOHT
kinoseanss,sündmus
kinoteater,KOHT
kinovõrk,KOHT
Kinshasa,KOHT
Kinshasa Kongo,KOHT
Kioto,KOHT
Kipastu,KOHT
Kipi,KOHT
Kiraste,KOHT
Kiratsi,KOHT
Kirbla,KOHT
Kirbu,KOHT
kirbukas,KOHT
kirbuturg,KOHT
Kirdalu,KOHT
Kirde-Eesti,KOHT
Kirde-Hiina,KOHT
kirdekaar,KOHT
Kirdemaa,KOHT
kirdenurk,KOHT
Kirderanna,KOHT
kirderannik,KOHT
Kirdeväil,KOHT
kirehoog,SEISUND
kiremöll,SEISUND
Kirepi,KOHT
kirepuhang,SEISUND
Kirgiisi,KOHT
Kirgiisia,KOHT
Kiribati,KOHT
kirikaed,KOHT
Kirikla,KOHT
kirikla,KOHT
kirikuaasta,AEG
kirikuaed,KOHT
kirikukatsumine,sündmus
kirikukihelkond,KOHT
kirikukogudus,KOHT
kirikukohv,sündmus
kirikukontsert,sündmus
kirikukool,KOHT
Kirikuküla,KOHT
kirikuküla,KOHT
kirikulõhe,sündmus
kirikumaa,KOHT
kirikumõis,KOHT
Kirikumõisa,KOHT
Kirikumäe,KOHT
kirikupüha,AEG
Kirikuriik,KOHT
kirikutalitus,sündmus
Kirikuvalla,KOHT
kirikuvanne,SEISUND
kirikuvisitatsioon,sündmus
Kirila,KOHT
Kirimäe,KOHT
Kirisaare,KOHT
Kiritimati,KOHT
Kiritu,KOHT
Kirivalla,KOHT
Kirivere,KOHT
kirjandivõistlus,sündmus
kirjanduslik kohus,sündmus
kirjandusmuuseum,KOHT
kirjandustund,sündmus
kirjandusvõistlus,sündmus
kirjandusõhtu,sündmus
kirjas,SEISUND
kirjutamislaager,sündmus
kirjutamispagu,sündmus
kirjutuskramp,SEISUND
kirjutustuba,KOHT
Kirkenes,KOHT
Kirkūk,KOHT
kirmas,sündmus
kirmask,sündmus
kirmes,sündmus
Kirmsi,KOHT
Kirna,KOHT
Kirov,KOHT
Kirove,KOHT
Kirovo,KOHT
Kirovograd,KOHT
Kirovsk,KOHT
kirre,KOHT
kirsiks tordil,SEISUND
kirss tordil,SEISUND
kirstupanek,sündmus
Kirtsi,KOHT
Kiruma,KOHT
Kirumpää,KOHT
Kiruna,KOHT
kirurgiahaigla,KOHT
kirurgiakliinik,KOHT
Kiruvere,KOHT
kirvendus,SEISUND
Kiska,KOHT
Kislovodsk,KOHT
Kissa,KOHT
Kisuvere,KOHT
Kišinjov,KOHT
kišlakk,KOHT
Kitakyūshū,KOHT
Kitsa,KOHT
kitse aasta,AEG
kitseaasta,AEG
kitsejaht,sündmus
Kitseküla,KOHT
Kitsemetsa,KOHT
kitsend,KOHT
kitsenemus,SEISUND
kitserada,KOHT
kitsikus,SEISUND
kitsus,KOHT
kitsustik,KOHT
Kitsõ,KOHT
Kiuma,KOHT
Kiuruvesi,KOHT
Kiušiu,KOHT
Kiva,KOHT
Kivatšu,KOHT
kiviehitis,KOHT
kivihaue,SEISUND
kivihoone,KOHT
Kivijärv,KOHT
Kivijärve,KOHT
kivik,KOHT
kivikalme,KOHT
kivikangur,KOHT
kivikari,KOHT
kivikatus,KOHT
kivikirstkalme,KOHT
kivikoloss,KOHT
kiviktaimla,KOHT
kivikuhjatis,KOHT
kivikõrb,KOHT
Kiviküla,KOHT
kivikülv,KOHT
kivilinn,KOHT
Kiviloo,KOHT
Kivilõppe,KOHT
kivilööv,KOHT
kivimaja,KOHT
kivimurd,KOHT
Kivimäe,KOHT
kivimüür,KOHT
Kivine Tunguska,KOHT
Kivinõmme,KOHT
Kiviora,KOHT
kiviraun,KOHT
kiviring,KOHT
kivisild,KOHT
kivisöeajastu,AEG
Kivitammi,KOHT
kivitee,KOHT
kivitoestus,KOHT
kivitõbi,SEISUND
kivitäke,KOHT
kivivare,KOHT
Kivi-Vigala,KOHT
kivivooder,KOHT
kiviväli,KOHT
Kiviõli,KOHT
Kivu järv,KOHT
klaashoone,KOHT
klaasikoda,KOHT
klaasimistöökoda,KOHT
klaasitöökoda,KOHT
klaasivabrik,KOHT
klaaskasvuhoone,KOHT
klaasmaja,KOHT
klaasveranda,KOHT
Kladno,KOHT
Klagenfurt,KOHT
Klaipėda,KOHT
Klaipėda piirkond,KOHT
klamüdioos,SEISUND
klarnetiklass,KOHT
klassijuhatajatund,sündmus
klassikarada,KOHT
klassikoosolek,sündmus
klassiruum,KOHT
klassituba,KOHT
klassitund,sündmus
klassiõhtu,sündmus
klaustrofoobia,SEISUND
klausuur,KOHT
klaveriklass,KOHT
klaveritund,sündmus
klaverivabrik,KOHT
klaveriõhtu,sündmus
Kleemu,KOHT
kleptomaania,SEISUND
kleristoorium,KOHT
klh,KOHT
klibukõrb,KOHT
klibulood,KOHT
klibuvall,KOHT
klienditugi,KOHT
kliiketendustõbi,SEISUND
Kliima,KOHT
kliimakamber,KOHT
kliimakatastroof,sündmus
kliimakriis,SEISUND
kliimaministeerium,KOHT
kliimaperiood,AEG
kliimastaadium,AEG
kliimavööde,KOHT
kliimavöönd,KOHT
kliinik,KOHT
kliinikum,KOHT
kliistripühad,AEG
klikeaeg,AEG
klikiaeg,AEG
klimakteerium,AEG
klimp kurgus,SEISUND
Klin,KOHT
klindiastang,KOHT
klint,KOHT
Klistina,KOHT
Kljutševskaja sopka,KOHT
kloasm,SEISUND
klomp kurgus,SEISUND
Klondike,KOHT
Kloodi,KOHT
Klooga,KOHT
Kloogaranna,KOHT
kloonus,SEISUND
klooster,KOHT
Kloostri,KOHT
kloostriaed,KOHT
kloostrikirik,KOHT
kloostrikool,KOHT
Kloostrimetsa,KOHT
Kloostri-Rannu,KOHT
klorofüllivaegus,SEISUND
kloroos,SEISUND
klosett,KOHT
Klottorp,KOHT
klubihoone,KOHT
klubiruum,KOHT
klubiõhtu,sündmus
Kluhhori,KOHT
klump,KOHT
klunker,sündmus
kn,KOHT
Knesset,KOHT
Knossos,KOHT
koalitsioonikõnelused,sündmus
kobarkino,KOHT
kobarkriis,SEISUND
kobarkäkk,sündmus
kobarmess,sündmus
kobarpeavalu,SEISUND
Kōbe,KOHT
Kobela,KOHT
Kobilu,KOHT
Koblenz,KOHT
Kobra,KOHT
Kobratu,KOHT
Kobru,KOHT
Kobruvere,KOHT
Kochi,KOHT
kodakirik,KOHT
kodakondsusetus,SEISUND
kodanikupäev,AEG
Kodasema,KOHT
Kodasoo,KOHT
Kodavere,KOHT
Kodesmaa,KOHT
Kodeste,KOHT
Kodila,KOHT
Kodila-Metsküla,KOHT
Kodismaa,KOHT
kodu,KOHT
koduaed,KOHT
koduarest,SEISUND
kodukahjustus,SEISUND
kodukanandus,SEISUND
kodukant,KOHT
kodukatus,KOHT
kodukeskjaam,KOHT
kodukoht,KOHT
kodukohvik,KOHT
kodukontor,KOHT
kodukotus,KOHT
koduküla,KOHT
kodulinn,KOHT
koduloomuuseum,KOHT
kodumaa,KOHT
kodumail,KOHT
kodumaile,KOHT
kodumailt,KOHT
kodumajand,KOHT
kodumajanduskool,KOHT
kodumeri,KOHT
kodunt,KOHT
kodunurk,KOHT
kodupaik,KOHT
kodupind,KOHT
koduplats,KOHT
kodupood,KOHT
kodurahu,SEISUND
koduresto,KOHT
kodurestoran,KOHT
koduriik,KOHT
kodusaal,KOHT
kodusadam,KOHT
kodutanum,KOHT
kodutus,SEISUND
kodutänav,KOHT
koduväljak,KOHT
Koela,KOHT
koelmu,KOHT
Koemetsa,KOHT
koera aasta,AEG
koera-aasta,AEG
koeraaedik,KOHT
koeraelu,SEISUND
koerahotell,KOHT
koerakaelanurk,KOHT
koerakatk,SEISUND
koerakuut,KOHT
koeralaut,KOHT
koeranael,SEISUND
koeraputka,KOHT
koerapõli,SEISUND
Koeravere,KOHT
Koeri,KOHT
koertehotell,KOHT
koertekool,KOHT
koertenäitus,sündmus
Koeru,KOHT
Kogalõm,KOHT
Køge,KOHT
kogelus,SEISUND
kogretiik,KOHT
Kogri,KOHT
Kogrõ,KOHT
koguduse koosolek,sündmus
kogujadreen,KOHT
kogujakraav,KOHT
kogukonnaaed,KOHT
kogukonnakohus,KOHT
kogukonnakool,KOHT
kogukonnamaa,KOHT
kogukus,SEISUND
Kogula,KOHT
kogumiskaev,KOHT
kogumiskoht,KOHT
kogumiskraav,KOHT
kogumispunkt,KOHT
kogunemisaeg,AEG
kogunemiskoht,KOHT
kogunemispaik,KOHT
Koguva,KOHT
koguöine jumalateenistus,sündmus
kohakataloog,KOHT
kohake,KOHT
kohakene,KOHT
Kohala,KOHT
Kohala-Eesküla,KOHT
kohalik aeg,AEG
kohalolek,SEISUND
kohalolu,SEISUND
kohal viibima,SEISUND
kohamuuseum,KOHT
kohanematus,SEISUND
kohanemus,SEISUND
Kohatu,KOHT
kohatäide,SEISUND
Koheri,KOHT
Kohila,KOHT
Kohima,KOHT
kohkumus,SEISUND
kohtamine,sündmus
kohting,sündmus
"koht, kus keiser jala käib",KOHT
Kohtla,KOHT
Kohtla-Järve,KOHT
Kohtla-Nõmme,KOHT
Kohtru,KOHT
kohtualluvus,SEISUND
kohtuhoone,KOHT
kohtuhärrus,SEISUND
kohtuistung,sündmus
kohtujärelevalve,SEISUND
kohtukoda,KOHT
kohtukolleegium,KOHT
kohtulaud,KOHT
kohtumaja,KOHT
kohtumine,sündmus
kohtuministeerium,KOHT
kohtumispaik,KOHT
kohtumisõhtu,sündmus
kohtupalat,KOHT
kohtupäev,AEG
kohtusaaga,sündmus
kohtusaal,KOHT
kohtvisiit,sündmus
kohustatus,SEISUND
kohutus,SEISUND
kohve,KOHT
kohviistandus,KOHT
kohvik,KOHT
kohvikklubi,KOHT
kohvik-pood,KOHT
kohvikpood,KOHT
kohviksöökla,KOHT
kohvikuõhtu,sündmus
kohvimaa,KOHT
kohvimaja,KOHT
kohvinurk,KOHT
kohvipaus,AEG
kohvipeatus,sündmus
kohviplantaaž,KOHT
kohvipood,KOHT
kohviröstla,KOHT
kohvituba,KOHT
kohviõhtu,sündmus
koiauk,KOHT
Koidanov,KOHT
koidik,AEG
Koidma,KOHT
Koidu,KOHT
koiduaeg,AEG
Koidu-Ellavere,KOHT
Koiduküla,KOHT
Koidula,KOHT
koidutund,AEG
Koiduvälja,KOHT
Koigera,KOHT
Koigi,KOHT
Koigi-Väljaküla,KOHT
Koigu,KOHT
Koikküla,KOHT
Koikla,KOHT
Koikse,KOHT
Koila,KOHT
Koimla,KOHT
Koimula,KOHT
Koipsi,KOHT
Koitjärve,KOHT
Koiva,KOHT
Koiva jõgi,KOHT
Koivaliina,KOHT
Koivisto,KOHT
kojamaa,KOHT
Kojastu,KOHT
Kojdanava,KOHT
koju,KOHT
KOK,SEISUND
kokakursus,sündmus
Kokand,KOHT
kokanduskursus,sündmus
Kokanurga,KOHT
Kokaviidika,KOHT
Koke,KOHT
Kokemäki,KOHT
Koki,KOHT
Kokkola,KOHT
kokkujooks,SEISUND
kokkukuuluvus,SEISUND
kokkulangevus,SEISUND
kokkuostupunkt,KOHT
kokkupuuteala,KOHT
kokkupuutepind,KOHT
kokkutulek,sündmus
kokkuveotee,KOHT
Koknese,KOHT
Kokora,KOHT
Kokre,KOHT
koksartroos,SEISUND
Koksi,KOHT
koksiit,SEISUND
Koksvere,KOHT
kokteilibaar,KOHT
kokteiliõhtu,sündmus
koktsidioos,SEISUND
Koktšetav,KOHT
Kokuta,KOHT
Kokõ,KOHT
Kokõjüri,KOHT
Kokõmäe,KOHT
kolahoov,KOHT
Koldamäe,KOHT
koldekumm,KOHT
koldküpsus,SEISUND
kolemaja,KOHT
Kolepi,KOHT
koletsüstiit,SEISUND
Kolga,KOHT
Kolga-Aabla,KOHT
Kolga-Jaani,KOHT
Kolgaküla,KOHT
Kolga laht,KOHT
kolgas,KOHT
Kolgata,KOHT
Kolgata mägi,KOHT
Kolgu,KOHT
Kolgujev,KOHT
kolh,KOHT
kolienteriit,SEISUND
koliit,SEISUND
kolikamber,KOHT
kolikambris,SEISUND
Kolila,KOHT
Koljaku,KOHT
Koljala,KOHT
koljumurd,SEISUND
koljutrauma,SEISUND
Kolka,KOHT
kolkaküla,KOHT
kolkalinn,KOHT
Kolkata,KOHT
Kolkja,KOHT
kollanaast,SEISUND
Kollane jõgi,KOHT
Kollane meri,KOHT
kollanägemine,SEISUND
kollapalavik,SEISUND
kollatõbi,SEISUND
kolledž,KOHT
kollektiivliige,KOHT
kollektiivpuhkus,SEISUND
kollektor,KOHT
kollenakkus,SEISUND
kolletamispäev,AEG
Kolli,KOHT
Kollino,KOHT
kollisioon,sündmus
kolloidolek,SEISUND
kolmandad riigid,KOHT
kolmandikaeg,AEG
Kolmas Maailm,KOHT
Kolmas Reich,KOHT
Kolmas Riik,KOHT
kolmekuningapäev,AEG
kolmekümnendad,AEG
kolmepäevakoht,KOHT
kolmepäevapalavik,SEISUND
kolmesuvine,AEG
kolmiknegatiivne rinnavähk,SEISUND
kolmikvõit,sündmus
kolmnurkviil,KOHT
kolmveerandtund,AEG
Kolo,KOHT
Kolodavitsa,KOHT
Kolomna,KOHT
kolonaat,SEISUND
koloniaalaeg,AEG
koloniaalajastu,AEG
koloniaalimpeerium,KOHT
koloniaalkauplus,KOHT
koloniaalmaa,KOHT
koloniaalriik,KOHT
koloniaalsõda,sündmus
koloniaalvaldus,KOHT
kolonnaad,KOHT
Koloreinu,KOHT
kolorektaalvähk,SEISUND
Kolossova,KOHT
kolpiit,SEISUND
Kolpin,KOHT
koltushaigus,SEISUND
Kolu,KOHT
kolumbaarium,KOHT
Kolumbia,KOHT
Koluta,KOHT
Koluvere,KOHT
Kolõma,KOHT
komandanditund,AEG
komandantuur,KOHT
komando all,SEISUND
komandopunkt,KOHT
Komandorisaared,KOHT
komandosild,KOHT
Komarovka,KOHT
Komarovo,KOHT
kombainilaava,KOHT
kombijaam,KOHT
kombinaat,KOHT
kombinaatteater,KOHT
komedoon,SEISUND
Komi,KOHT
komiits,sündmus
Komimaa,KOHT
Komi-Permi autonoomne ringkond,KOHT
komisjonipood,KOHT
komitaat,KOHT
kommerss,sündmus
kommertsgümnaasium,KOHT
kommertskohus,KOHT
kommertskool,KOHT
kommertspank,KOHT
kommertsraadio,KOHT
kommipood,KOHT
kommivabrik,KOHT
kommunaalamet,KOHT
kommunaalettevõte,KOHT
kommunaalkorter,KOHT
kommunaalmaja,KOHT
kommuun,KOHT
Komoori,KOHT
Komoorid,KOHT
Komoori saared,KOHT
Komorra,KOHT
Kompassi,KOHT
kompetentsikeskus,KOHT
kompjalg,SEISUND
kompjalgsus,SEISUND
kompkabi,SEISUND
kompleksvõistlus,sündmus
komplitseeritus,SEISUND
kompositsiooniklass,KOHT
komppöid,SEISUND
kompulsiivne söömishäire,SEISUND
Komsi,KOHT
komsomolikoosolek,sündmus
Komsomolsk Amuuri ääres,KOHT
komtuurkond,KOHT
komöödiateater,KOHT
kondiitriäri,KOHT
kondinõrkus,SEISUND
konditsioon,SEISUND
kondivalu,SEISUND
Kondopoga,KOHT
kondroom,SEISUND
Konduši,KOHT
kondüloom,SEISUND
Konevets,KOHT
Konevitsa,KOHT
konfliktitus,SEISUND
konfliktsituatsioon,SEISUND
kongestioon,SEISUND
Kongo,KOHT
Kongo-Brazzaville,KOHT
Kongo DV,KOHT
Kongo-Kinshasa,KOHT
Konguta,KOHT
konjakimaja,KOHT
Konju,KOHT
konjunktiviit,SEISUND
konjunktuur,SEISUND
konkista,AEG
konku,KOHT
konkubinaat,SEISUND
konkurentsiamet,KOHT
konnaoja,KOHT
Konnapere,KOHT
konnaränne,sündmus
konnatalgud,sündmus
konservatoorium,KOHT
konservitsehh,KOHT
konspiratiivkorter,KOHT
konstaablijaoskond,KOHT
konstaablipunkt,KOHT
Konstanz,KOHT
Konstantinoopol,KOHT
konstitutsioonikohus,KOHT
konstitutsioonipäev,AEG
konstrueerimisbüroo,KOHT
Konsu,KOHT
Konsu järv,KOHT
konsulaaresindus,KOHT
konsulaarkriis,SEISUND
konsultatiivkohtumine,sündmus
konsultatsioonifirma,KOHT
kontaktkoosolek,sündmus
kontaktpind,KOHT
kontakttund,sündmus
konteinerhotell,KOHT
konteineriterminal,KOHT
konteinermaja,KOHT
konteinerterminal,KOHT
kontinent,KOHT
kontor,KOHT
kontorihoone,KOHT
kontraforss,KOHT
kontraktuur,SEISUND
kontreskarp,KOHT
kontrolletendus,sündmus
kontrolli all,SEISUND
kontrolli alla,SEISUND
kontrolli alt,SEISUND
kontrollikoda,KOHT
kontrollkaev,KOHT
kontrollpunkt,KOHT
kontrollvõistlus,sündmus
kontrollõppus,sündmus
kontsentratsioonilaager,KOHT
kontserdihall,KOHT
kontserdihoone,KOHT
kontserdimaja,KOHT
kontserdiosa,sündmus
kontserdisaal,KOHT
kontsertaktus,sündmus
kontsertetendus,sündmus
kontsertjumalateenistus,sündmus
kontsertosa,sündmus
kontsertsaal,KOHT
Kontupohja,KOHT
kontusioon,SEISUND
konurbatsioon,KOHT
Konuvere,KOHT
konvendihoone,KOHT
konverents,sündmus
konverentsikeskus,KOHT
konverentsipäev,AEG
konverentsisaal,KOHT
konverentskõne,sündmus
Konya,KOHT
koobaselamu,KOHT
koobaskelder,KOHT
koobaskäik,KOHT
koobaslinn,KOHT
Koobassaare,KOHT
koobassaun,KOHT
koobastik,KOHT
Koogi,KOHT
Koogimäe,KOHT
Koogiste,KOHT
Koogu,KOHT
Kookla,KOHT
Kookossaared,KOHT
Koola,KOHT
Koola poolsaar,KOHT
kooldumus,SEISUND
koole,KOHT
koolera,SEISUND
kooleraepideemia,SEISUND
koolerataud,SEISUND
Kooli,KOHT
kooliaasta,AEG
kooliaed,KOHT
kooliaeg,AEG
koolialgus,AEG
koolihoone,KOHT
kooliiga,AEG
koolikud,SEISUND
kooliküpsus,SEISUND
koolilaat,sündmus
koolilava,KOHT
koolilõpp,sündmus
koolimaa,KOHT
koolimaja,KOHT
koolimetskond,KOHT
kooliminek,sündmus
Koolimäe,KOHT
Koolina nulk,KOHT
kooliolud,SEISUND
koolipidaja,KOHT
koolipidu,sündmus
koolipõli,AEG
koolipõlv,AEG
koolipäev,AEG
kooliraadio,KOHT
kooliruum,KOHT
koolisöökla,KOHT
koolitalv,AEG
kooliteater,KOHT
koolituba,KOHT
koolitulistamine,sündmus
koolitund,sündmus
koolitusfirma,KOHT
koolituskeskus,KOHT
koolitusseminar,sündmus
koolivaheaeg,AEG
koolivalmidus,SEISUND
koolivõrk,KOHT
koolkodu,KOHT
Koolma,KOHT
Koolmajärve,KOHT
koolmekoht,KOHT
koomaseisund,SEISUND
koomits,KOHT
koondamislaine,sündmus
koondumiskoht,KOHT
koondumispaik,KOHT
koondumus,SEISUND
koondus,sündmus
koonduslaager,KOHT
Koonga,KOHT
Koonu,KOHT
koopajää,KOHT
koopasuu,KOHT
kooperatiiv,KOHT
kooperatiivelamu,KOHT
kooperatiivkorter,KOHT
kooperatiivmaja,KOHT
koopiamaja,KOHT
Koopsi,KOHT
Kooraste,KOHT
Koordi,KOHT
koordinatsioonibüroo,KOHT
koordinatsioonikeskus,KOHT
koordineerimiskeskus,KOHT
koordineerimisnõupidamine,sündmus
koorejaam,KOHT
koorelõhe,SEISUND
koorepragu,SEISUND
koorepõletik,SEISUND
koorerebend,KOHT
kooripealne,KOHT
kooriruum,KOHT
kooris,SEISUND
Koorküla,KOHT
Koorla,KOHT
koormusastma,SEISUND
koormusnorm,SEISUND
Koorvere,KOHT
Koosa,KOHT
koosa,SEISUND
Koosalaane,KOHT
kooselu,SEISUND
koosistumine,sündmus
kooskõlastamatus,SEISUND
kooskäimine,sündmus
kooskäimiskoht,KOHT
koosloomepäevak,sündmus
koosolemine,sündmus
koosoleng,sündmus
koostetehas,KOHT
koostootmisjaam,KOHT
koostöövalmidus,SEISUND
koosviibimine,sündmus
Kootsi,KOHT
Koovi,KOHT
Koovälja,KOHT
Kopa,KOHT
Kopenhaagen,KOHT
Kopetdag,KOHT
Kopli,KOHT
Kopli laht,KOHT
Kopli liinid,KOHT
Kopli poolsaar,KOHT
Koplitaguse,KOHT
koppel,KOHT
Koppelmaa,KOHT
kopp on ees,SEISUND
kopratamm,KOHT
kopsuabstsess,SEISUND
kopsuastma,SEISUND
kopsuemboolia,SEISUND
kopsuemfüseem,SEISUND
kopsugangreen,SEISUND
kopsuhaigus,SEISUND
kopsukasvaja,SEISUND
kopsukatarr,SEISUND
kopsukatk,SEISUND
kopsukavern,SEISUND
kopsukelmepõletik,SEISUND
kopsuklamüdioos,SEISUND
kopsukollaps,SEISUND
kopsukorditus,SEISUND
kopsumädanik,SEISUND
kopsupuhitus,SEISUND
kopsupõletik,SEISUND
kopsutiisikus,SEISUND
kopsutolmumus,SEISUND
kopsutuberkuloos,SEISUND
kopsuturse,SEISUND
kopsutühik,SEISUND
kopsuverejooks,SEISUND
kopsuvähk,SEISUND
kopsuödeem,SEISUND
kopteriplats,KOHT
kopteriväljak,KOHT
koraanikool,KOHT
Korallimeri,KOHT
korallisaar,KOHT
korallsaar,KOHT
Korba,KOHT
kordamistund,sündmus
Kordiljeerid,KOHT
korditus,SEISUND
kordodroom,KOHT
Kordofan,KOHT
kord-paar,AEG
korduskontsert,sündmus
korduskoosolek,sündmus
kordusvalimised,sündmus
kordusõppus,sündmus
Korea,KOHT
korea,SEISUND
Korea poolsaar,KOHT
Korea väin,KOHT
Korela,KOHT
Korfu,KOHT
korgas,KOHT
Korgõmõisa,KOHT
Korgõssaarõ,KOHT
Korijärve,KOHT
Kórinthos,KOHT
Korintos,KOHT
koristusaeg,AEG
koristuskaeveõõs,KOHT
korjamisaeg,AEG
korjandus,sündmus
korjeaeg,AEG
korjemaa,KOHT
Korju,KOHT
Korjuse,KOHT
korjusepäev,AEG
Korkuna,KOHT
Kornitsa,KOHT
Koroljov,KOHT
koronaarhaigus,SEISUND
koroona-aasta,AEG
koroonaaeg,AEG
koroonaepideemia,SEISUND
koroonahaigus,SEISUND
koroonajuhtum,sündmus
koroonakolle,KOHT
koroonakriis,SEISUND
koroonanakkus,SEISUND
koroonapandeemia,SEISUND
koroonaviirushaigus,SEISUND
Koror,KOHT
korplööve,SEISUND
korpustaru,KOHT
korrakaitsepunkt,KOHT
korralagedus,SEISUND
korraldamatus,SEISUND
korris,KOHT
korruselamu,KOHT
korrusmaja,KOHT
korrusparkla,KOHT
Korsika,KOHT
Korski,KOHT
korstnalõõr,KOHT
korstnapits,KOHT
korter,KOHT
korterelamu,KOHT
korterikitsikus,SEISUND
korteriolud,SEISUND
korteritingimused,SEISUND
kortermaja,KOHT
kortermuuseum,KOHT
Koruste,KOHT
korvpalliplats,KOHT
korvpalliväljak,KOHT
Kose,KOHT
Kose-Uuemõisa,KOHT
Koseveski,KOHT
kosjakontor,KOHT
kosmodroom,KOHT
kosmoseagentuur,KOHT
kosmoseajastu,AEG
kosmoseavarus,KOHT
kosmosekeskus,KOHT
kosmoselabor,KOHT
kosmosesajand,AEG
Kosova,KOHT
Kosovo,KOHT
Kossa,KOHT
kossutrenn,sündmus
Kosta,KOHT
Kostamus,KOHT
Kostanaj,KOHT
Kostiranna,KOHT
Kostivere,KOHT
Kostkova,KOHT
Kostomukša,KOHT
Kostroma,KOHT
kostüümiladu,KOHT
kostüümipidu,sündmus
Kosu,KOHT
Košice,KOHT
Kozhikode,KOHT
kotedž,KOHT
Kotelnika,KOHT
Kotelniki,KOHT
Kotinuka,KOHT
Kotka,KOHT
Kotkasaar,KOHT
Kotlandi,KOHT
Kotlas,KOHT
Kotlin,KOHT
Kotlõ,KOHT
Kotsma,KOHT
Kotšinhiina,KOHT
Kotte,KOHT
kotthaue,SEISUND
kotti,SEISUND
kottis,SEISUND
kottpimedus,SEISUND
kott-tõbi,SEISUND
kottu,KOHT
kotus,KOHT
Kouvola,KOHT
Kovaši,KOHT
Kovel,KOHT
Kovrov,KOHT
Koväslova,KOHT
kraabe,KOHT
Kraasna,KOHT
kraater,KOHT
kraaton,KOHT
kraatrijärv,KOHT
Kraavi,KOHT
kraaviperv,KOHT
kraavitrass,KOHT
kraaviäär,KOHT
Krabi,KOHT
Krabilova,KOHT
kraes,SEISUND
kraesse,SEISUND
kraevahe,KOHT
krahvkond,KOHT
Krakatau,KOHT
Krakolje,KOHT
Krakov,KOHT
Kraków,KOHT
Kralendijk,KOHT
Kramatorsk,KOHT
krambihoog,SEISUND
kramptõbi,SEISUND
kraniosünostoos,SEISUND
Kranjska,KOHT
Krantsova,KOHT
Krāslava,KOHT
Krasnaja Poljana,KOHT
Krasnodar,KOHT
Krasnodon,KOHT
Krasnogorodskoje,KOHT
Krasnojarsk,KOHT
Krasnokokšaisk,KOHT
Krasnovodsk,KOHT
Krasnõi,KOHT
krediidiasutus,KOHT
krediidipank,KOHT
krediidiühistu,KOHT
krediitpank,KOHT
kreeditorriik,KOHT
Kreeka,KOHT
Kreekaküla,KOHT
kreen,SEISUND
Kreenholm,KOHT
Kreenholmi,KOHT
Kreeta,KOHT
Krei,KOHT
kreis,KOHT
kreisikohus,KOHT
kreisilinn,KOHT
kreisivaba linn,KOHT
kreiskool,KOHT
krematoorium,KOHT
Krementšug,KOHT
Krementšuk,KOHT
Kremessova,KOHT
kreml,KOHT
kreperii,KOHT
krepitatsioon,SEISUND
Kretinga,KOHT
kretinism,SEISUND
Kriguli,KOHT
kriidiajastu,AEG
kriidikalju,KOHT
kriik,KOHT
Kriilevälja,KOHT
Kriimani,KOHT
kriimunäoline,SEISUND
kriisiistung,SEISUND
kriisikolle,KOHT
kriisikoosolek,sündmus
kriisinõupidamine,sündmus
kriisiolukord,SEISUND
kriisipiirkond,KOHT
kriisisituatsioon,SEISUND
kriisivalmidus,SEISUND
kriisivalmisolek,SEISUND
kriitiline punkt,SEISUND
Kriiva,KOHT
kriminaalkohus,KOHT
kriminaalne joove,SEISUND
kriminaaltalitus,KOHT
Krimm,KOHT
Krimmi poolsaar,KOHT
kristalliöö,sündmus
Kristianstad,KOHT
Kristiinankaupunki,KOHT
Kristiine,KOHT
Krivoi Rog,KOHT
Kroaatia,KOHT
krohvlagi,KOHT
krokodillifarm,KOHT
kromlehh,KOHT
kromosfäär,KOHT
kromosoomhaigus,SEISUND
kromosoomihaigus,SEISUND
Kronoberg,KOHT
krookes,SEISUND
krookesse,SEISUND
kroonimurd,SEISUND
Kroonlinn,KOHT
kroonrooste,SEISUND
kroonuasutus,KOHT
kroonugümnaasium,KOHT
