"word","semantic_types"
Aidaku,KOHT
aidamade,KOHT
aidasalv,KOHT
AIDS,SEISUND
aids,SEISUND
aidsikabinet,KOHT
Aidu,KOHT
Aidu-Liiva,KOHT
Aidu-Nõmme,KOHT
Aidu-Sooküla,KOHT
Aila,KOHT
aimakk,KOHT
Aimla,KOHT
Ainaži,KOHT
Aindu,KOHT
Aine,KOHT
ainekabinet,KOHT
aineklass,KOHT
aineolümpiaad,sündmus
ainetund,sündmus
ainevahetushaigus,SEISUND
ainevahetushäire,SEISUND
Ainja,KOHT
ainuabielu,SEISUND
Aizawl,KOHT
Aizkraukle,KOHT
ait,KOHT
aitkuivati,KOHT
Aitoolia,KOHT
Aitsaare,KOHT
Aitsra,KOHT
Aiviekste,KOHT
ajaaken,AEG
Ajaccio,KOHT
ajahetk,AEG
ajahõlm,AEG
ajajaotus,AEG
ajajärk,AEG
ajakonstant,AEG
ajakulu,AEG
ajal,AEG
ajalehekiosk,KOHT
ajaleheputka,KOHT
ajalooline aeg,AEG
ajaloomuuseum,KOHT
ajaloomälestis,KOHT
ajalooratas,AEG
ajaloosündmus,sündmus
ajalootund,sündmus
ajalõik,AEG
ajameri,AEG
ajanappus,SEISUND
ajanorm,AEG
ajapomm,SEISUND
ajapuudus,SEISUND
ajaraam,AEG
ajaratas,AEG
ajast aega,AEG
ajastik,AEG
ajastu,AEG
ajavahe,AEG
ajavahemik,AEG
ajavahestress,SEISUND
ajavaru,AEG
ajavälp,AEG
ajuabstsess,SEISUND
ajuatroofia,SEISUND
ajudefekt,SEISUND
ajuhaigus,SEISUND
ajuinfarkt,SEISUND
ajuinsult,SEISUND
ajujaht,sündmus
ajukahjustus,SEISUND
ajukasvaja,SEISUND
ajukelmepõletik,SEISUND
ajukestapõletik,SEISUND
ajukõhetus,SEISUND
ajumädanik,SEISUND
ajupehmumus,SEISUND
ajupõletik,SEISUND
ajupõrutus,SEISUND
ajurabandus,SEISUND
ajusong,SEISUND
