"word","koht","aeg","seisund","sündmus","other_types"
"0-korrus",koht,,,,
"24/7",,aeg,,,
"3D-kino",koht,,,sündmus,tegevus
"9/11",,aeg,,sündmus,
a,,aeg,,,"esitus, esitus_keel_suhtlus, esitus_keel_täht, esitus_mõõt, esitus_tähis"
Aa,koht,,,,
Aabla,koht,,,,
Aabra,koht,,,,
Aachen,koht,,,,
aadamaülikond,,,seisund,,
aadamaülikonnas,,,seisund,,
Aadami,koht,,,,
aadel,,,seisund,,"esitus_tiitel, in_omadus"
aadlikonvent,koht,,,,
aadlimõis,koht,,,,
aadliseisus,,,seisund,,
aadlisugu,,,seisund,,"esitus_tiitel, in_omadus"
Aadma,koht,,,,
aadressbüroo,koht,,,,
aadresslaud,koht,,,,
Aadria,koht,,,,
Aadria meri,koht,,,,
Aadumäe,koht,,,,
Aafrika,koht,,,,
Aafrika hobusekatk,,,seisund,,
Aafrika Sarv,koht,,,,
Aafrika seakatk,,,seisund,,
Aafrika suured järved,koht,,,,
Aakaru,koht,,,,
Aakre,koht,,,,
Aalborg,koht,,,,
Aamse,koht,,,,
Aandu,koht,,,,
Aardla,koht,,,,
Aardlapalu,koht,,,,
Aarhus,koht,,,,
Aarla,koht,,,,
Aarna,koht,,,,
aas,koht,,,,"ese_instru, ese_riie"
Aasa,koht,,,,
aasaheinamaa,koht,,,,
Aasia,koht,,,,
Aasia mängud,,,,sündmus,
Aasov,koht,,,,
Aasovi meri,koht,,,,
Aaspere,koht,,,,
aasristmik,koht,,,,
aasta,,aeg,,,"omadus, omadus_kval"
aastaaeg,,aeg,,,
aastajagu,,aeg,,,
aasta-kaks,,aeg,,,
aastake,,aeg,,,
aastakene,,aeg,,,
aastakiht,koht,,,,
aastakonverents,,,,sündmus,
aastakoosolek,,,,sündmus,
aastakäik,,aeg,,,ese_semio
aastakümme,,aeg,,,
aastalaat,,,,sündmus,
aastalõpp,,aeg,,,
aastamiljon,,aeg,,,
aastanäitus,,,,sündmus,
aasta-paar,,aeg,,,
aastapäev,,aeg,,,
aastapäevaaktus,,,,sündmus,
aastapäevakontsert,,,,sündmus,
aastaring,,aeg,,,esitus_kujutis
aastasada,,aeg,,,
aastatagune,,aeg,,,omadus_aeg
aastatuhat,,aeg,,,esitus
aastavahetus,,aeg,,,
Aasu,koht,,,,
Aasukalda,koht,,,,
Aasumetsa,koht,,,,
Aasuvälja,koht,,,,
aašram,koht,,,,
aatomiajastu,,aeg,,,
aatomielektrijaam,koht,,,,esitus
aatomisajand,,aeg,,,
aatomisõda,,,,sündmus,
aatrium,koht,,,,
Aavere,koht,,,,
Aavidu,koht,,,,
Aaviku,koht,,,,
Abaja,koht,,,,
abajas,koht,,,,
Abakan,koht,,,,
Abbay,koht,,,,
Aberdeen,koht,,,,
Abertawe,koht,,,,
Abessiinia,koht,,,,
Abhaasia,koht,,,,
abiaeg,,aeg,,,
Abidjan,koht,,,,
abiehitis,koht,,,,
abiellumine,,,,sündmus,
abiellumisealine,,aeg,,,omadus
abiellumisiga,,aeg,,,
abiellumisvanus,,aeg,,,
abielu,,,seisund,,
abieluaasta,,aeg,,,
abieluike,,,seisund,,
abielukolmnurk,,,seisund,,
abielukütked,,,seisund,,
abieluline,,,seisund,,
abielus,,,seisund,,
abielusadam,,,seisund,,
abielusidemed,,,seisund,,
abieluvõrdsus,,,seisund,,
abifond,koht,,,,
abihoone,koht,,,,
abikirik,koht,,,,
abiklass,koht,,,,
abiklooster,koht,,,,
abikomitee,koht,,,,
abikool,koht,,,,
Abikülä,koht,,,,
abilennuväli,koht,,,,
abilöök,,,,sündmus,tegevus
abimajand,koht,,,,
abimõis,koht,,,,
abiruum,koht,,,,
Abissaare,koht,,,,
abistamisfond,koht,,,,abstr/konkr
abistamiskassa,koht,,,,
abistatud enesetapp,,,,sündmus,
abiteenistus,koht,,,,
abitelefon,koht,,,,abstr/konkr
abitsehh,koht,,,,
abitus,,,seisund,,
abitusseisund,,,seisund,,
Abja,koht,,,,
Abjaku,koht,,,,
Abja-Paluoja,koht,,,,
Abja-Vanamõisa,koht,,,,
abjekt,,,seisund,,abstr/konkr_omadus
abjektsioon,,,seisund,,abstr/konkr_omadus
abjektsus,,,seisund,,abstr/konkr_omadus
ablatsioon,,,seisund,,nähtus_loodus
aborditegija,koht,,,,in_tegija
abort,,,seisund,,tegevus_tegu
Abramihhina,koht,,,,
Abramihhino,koht,,,,
Abruka,koht,,,,
Abşeroni poolsaar,koht,,,,
absoluutne vaesus,,,seisund,,
abstinentsinäht,,,seisund,,nähtus
abstsess,,,seisund,,
abtkond,koht,,,,
Abu Dhabi,koht,,,,
Abuja,koht,,,,
Abula,koht,,,,
Aburi,koht,,,,
abuulia,,,seisund,,
abüssaal,koht,,,,
Accra,koht,,,,
Aceh,koht,,,,
Aconcagua,koht,,,,
A Coruña,koht,,,,
AD,,aeg,,,
a. D.,,aeg,,,
Adaka,koht,,,,
Adamstown,koht,,,,
Adavere,koht,,,,
Addis Abeba,koht,,,,
Addisoni tõbi,,,seisund,,
Adelaide,koht,,,,
Aden,koht,,,,
adeniit,,,seisund,,
adenoid,,,seisund,,
adenoom,,,seisund,,
adhesiivne kapsuliit,,,seisund,,
ad hoc-komitee,koht,,,,"grupp, inimene"
Adila,koht,,,,
adipoosne,,,seisund,,
adipoossus,,,seisund,,
Adiste,koht,,,,
administratiivhoone,koht,,,,
administratiivüksus,koht,,,,abstr/konkr
Admiraliteedisaared,koht,,,,
admiraliteet,koht,,,,in_tegija
adneksiit,,,seisund,,
Adra,koht,,,,
Adraku,koht,,,,
adressaat,koht,,,,in_omadus
adressant,koht,,,,in_omadus
Adrianoopol,koht,,,,
Adžaaria,koht,,,,
advendiaeg,,aeg,,,
advendipühapäev,,aeg,,,
advent,,aeg,,,
advokaadibüroo,koht,,,,
Adõgee,koht,,,,
aed,koht,,,,ese_instru
aedik,koht,,,,
aedkool,koht,,,,
aedlinn,koht,,,,
aeg,,aeg,,,"esitus_keel, esitus_mõõt, nähtus_füüs"
aegade hämarus,,aeg,,,
aegkond,,aeg,,,
Aegna,koht,,,,
aegpomm,,,seisund,,
aegumine,,,seisund,,
aegumistähtaeg,,aeg,,,
aegumus,,,seisund,,
aegus,,aeg,,,
Aegviidu,koht,,,,
Aela,koht,,,,
aerodroom,koht,,,,
aeroobika,,,,sündmus,vald
aeroobikasaal,koht,,,,
aeroobikatreening,,,,sündmus,
aeroobikatrenn,,,,sündmus,
aerutõmme,koht,,,,tegevus_tegu
Aesma,koht,,,,
Aesoo,koht,,,,
Aespa,koht,,,,
aevastus,,,seisund,,tegevus_tegu
afaasia,,,seisund,,
Afar,koht,,,,
afeel,koht,,,,
afektiseisund,,,seisund,,
Afgaani,koht,,,,
Afganistan,koht,,,,
afoonia,,,seisund,,nähtus
AFP,koht,,,,
aft,,,seisund,,
aftekas,,,,sündmus,
after-party,,,,sündmus,
afäär,,,,sündmus,"tegevus, tegevus_tegu"
Aga,koht,,,,
Aga Burjaatia,koht,,,,
Agali,koht,,,,
Agaña,koht,,,,
aganik,koht,,,,
Agartala,koht,,,,
Agasilla,koht,,,,
Agban,koht,,,,
agentuur,koht,,,,in_elukutse
Ageri,koht,,,,
Aginskoje,koht,,,,
agitatsioonipunkt,koht,,,,
agitpunkt,koht,,,,
aglomeraat,koht,,,,materjal/aine
aglomeratsioon,koht,,,,
agoraa,koht,,,sündmus,
agorafoobia,,,seisund,,
Agra,koht,,,,
agraarmaa,koht,,,,
agranulotsütoos,,,seisund,,
agressiivsus,,,seisund,,tegevus
agressioon,,,,sündmus,
agressioonisõda,,,,sündmus,
agrofirma,koht,,,,
agrofoon,,,seisund,,
agrotööstuskoondis,koht,,,,
agu,,aeg,,,nähtus_loodus
aguaegkond,,aeg,,,
agueoon,,aeg,,,
agul,koht,,,,
agulitänav,koht,,,,
Agusalu,koht,,,,
Ahaste,koht,,,,
Ahekõnnu,koht,,,,
Ahelaid,koht,,,,
ahelavarii,,,,sündmus,
aheldatus,,,seisund,,
aheldus,,,seisund,,
ahelik,koht,,,,abstr/konkr
