"word","code"
abielurahvas,in_omadus
abieluranda sõudma,VERB_muutus
abielurikkuja,in_omadus
abielurikkumine,tegevus_tegu
abieluseadusandlus,abstr/konkr
abielusuhe,abstr
abielusuhted,abstr
abielusõrmus,ese
abielutruudus,nähtus
abielutunnistus,abstr/konkr
abielutus,nähtus
abielutõend,ese_semio
abieluvaraleping,abstr/konkr
abieluvoodi,ese_instru
abieluväline,omadus
abieluõnn,abstr
abiheli,nähtus_füüs
abijoon,esitus_kujutis
abijõud,in_roll
abikaas,in_sugulane
abikaasa,in_sugulane
abikeel,esitus_keel
abikoer,loom_omadus
abikohtunik,in_elukutse
abiks ikka,esitus_keel_suhtlus
abiks olema,VERB_abstr
abikõlblik,omadus_kval
abikäsi,tegevus_tegu
abikätt ulatama,VERB_abstr
abil,ADV_viis
abilaev,ese_instru
abilangevari,ese_instru
abileht,taim
abilinnapea,in_elukutse
abimaavanem,in_elukutse
abimootor,ese_instru
abimälu,ese_instru
abimäärsõna,esitus_keel
abinoot,nähtus_füüs
abiogenees,tegevus_muutus
abiootiline,omadus
abiosutus,tegevus_tegu
abiotsija,in_omadus
abiotsiv,omadus_psühh
abipakett,abstr/konkr
abipakk,ese
abipaluja,in_tegija
abipaluv,omadus_psühh
abipalve,tegevus_kõnetegu
abipersonal,in_elukutse
abipolitseinik,in_elukutse
abiprofessor,in_elukutse
abiprogramm,abstr/konkr
abiprokurör,in_elukutse
abiraha,ese_raha
abiratas,ese_instru
abisaaja,in_roll
abistaja,in_tegija
abistamine,tegevus_tegu
abistamisleping,abstr/konkr
abisõna,esitus_keel
abiteadus,vald
abiteenistuja,in_elukutse
abitegu,tegevus
abitegusõna,esitus_keel
abiteoline,in_roll
abiteoreem,abstr
abitreener,in_elukutse
abitu,omadus
abiturient,in_roll
abitustunne,nähtus_psühh
abitöö,tegevus
abitööjõud,in_roll
abitööline,in_elukutse
abivallavanem,in_elukutse
abivalmidus,abstr
abivalmis,omadus_kval
abiverb,esitus_keel
abivägi,in_roll
abiõpetaja,in_elukutse
abiõppejõud,in_elukutse
abiööbik,loom_lind
abjektne,omadus_kval
abl,esitus_keel
ablakteerima,VERB_tegevus
ablastuma,VERB_psühh
ablatiiv,esitus_keel
ablaut,esitus_keel
abnormsus,omadus_kval
abolitsionism,abstr/konkr
abolitsionist,in_roll
abolitsioon,tegevus
aboneerima,VERB_abstr
abonement,abstr/konkr
abonementkaart,ese_semio
abonementtasu,abstr/konkr
abonendiliin,abstr/konkr
abonenditasu,abstr/konkr
abonent,in_omadus
abonenttasu,abstr/konkr
abordaaž,tegevus_tegu
abordijärgne,omadus
abordikeeld,tegevus_tegu
abordiõigus,abstr
aborteerima,VERB_tegevus
abortiivne,omadus
abortima,VERB_tegevus
abrakadabra,esitus_keel_suhtlus
abrasiiv,materjal/aine
abrasiivaine,materjal/aine
abrasiivketas,ese_instru
abrasiivlõikeriist,ese_instru
abrasiivmaterjal,materjal/aine
abrasiivne,omadus_kval
abrasiivpasta,materjal/aine
abrasiivpulber,materjal/aine
abrasiivtöötlus,tegevus_tegu
abrekk,in_roll
ABS,abstr/konkr
absats,ese_semio
absentism,abstr/konkr
absint,toit_jook
absoluteerima,VERB_psühh
absolutiseerima,VERB_psühh
absolutism,abstr/konkr
absolutistlik,omadus
absolutsioon,tegevus
absoluutalkohol,materjal/aine
absoluutarv,esitus_arv
absoluuthälve,esitus_mõõt
absoluutkaal,abstr/konkr
absoluutkategooria,abstr
absoluutkõrgus,omadus_füüs
absoluutne,omadus_kval
absoluutne alkohol,materjal/aine
absoluutne enamus,kogus
absoluutne kuulmine,omadus_füüs
absoluutne kõrgus,omadus_füüs
absoluutne monarhia,abstr/konkr
absoluutne õhuniiskus,esitus_mõõt
absoluuttarind,esitus_keel
absoluutviga,esitus_arv
absoluutvõitja,in_roll
absoluutväärtus,esitus_arv
absorbent,materjal/aine
absorber,ese_instru
