"value","semantic_type_code"
mardihani,toit
polüartriit,seisund_haigus
sond,ese_instru
sond,ese_instru
sond,ese_instru
sond,nähtus_loodus
marmelaaditäidis,toit
youtuber,in_tegija
Nõva,koht_geogr
Nõva,koht_geogr
Lagting,koht_asutus
Lagting,koht_asutus
Oakland,koht_geogr
spordiklubi,koht_asutus
arahhis,taim
arahhis,toit_vili
Nõmmküla,koht_geogr
Nõmmküla,koht_geogr
Nõmmküla,koht_geogr
Nõmmküla,koht_geogr
sõbrapäev,aeg_tähtpäev
legendaarne,omadus_kval
legendaarne,omadus
suitsumees,in_tegija
suitsumees,in_omadus
tõeline polütsüteemia,seisund_haigus
mädane,omadus_füüs
mädane,omadus
mõte,abstr
mõte,abstr
mõte,abstr
mõte,tegevus
mõte,tegevus_tegu
mõte,abstr
mõte,tegevus_kõnetegu
mõte,abstr
mõte,abstr
pikatoimeline,omadus_kval
pikatoimeline,omadus_kval
pikatoimeline,omadus_aeg
psühhofarmakoloogia,vald
sügatõbi,seisund_haigus
purulentne,omadus
ristpalk,materjal/aine
ristpalk,materjal/aine
villavahetus,tegevus
villavahetus,tegevus
nonstop,tegevus
nonstop,sündmus
türa,kehaosa
Ogre,koht_geogr
põhjal,abstr
kolonoskoop,ese_instru
proktoloogia,vald
rektoskoop,ese_instru
visistama,VERB_tegevus
riispaber,toit
riispaber,materjal/aine
riispaber,materjal/aine
loop,tegevus_tegu
giid,in_elukutse
kataloogima,VERB_tegevus
Sääreots,koht_geogr
Pärispea poolsaar,koht_geogr
tõesti,ADV_viis
tõesti,ADV_modaalsus
tõesti,esitus_keel_suhtlus
fotokaamera,ese_instru
loomaomanik,in_omadus
loomakaitsja,in_roll
Juminda poolsaar,koht_geogr
põiepeegel,ese_instru
taluomanik,in_omadus
piletiomanik,in_omadus
relvaomanik,in_omadus
peale määrima,VERB_tegevus
katkutõbine,in_omadus
katkutõbine,omadus
uuskantianism,vald
katalaan,in_rahvas
tõenäoliselt,ADV_modaalsus
just,ADV_modaalsus
just,ADV_modaalsus
just,ADV_aeg
just,esitus_keel_suhtlus
just,ADV_modaalsus
põhimõtteliselt,ADV_viis
põhimõtteliselt,ADV_modaalsus
tõttöelda,esitus_keel_suhtlus
tõttöelda,ADV_modaalsus
üldlaiend,esitus_keel
kontinuiteet,abstr/konkr
Hollandi Ida-India,koht_geogr
katusetegija,in_elukutse
Karoliinid,koht_geogr
lõide,tegevus_kõnetegu
lõide,tegevus
Daugava,koht_geogr_veekogu
kooperatsioon,tegevus
krediidisüsteem,abstr
kaugnägelik,omadus_füüs
boyfriend,in_roll
boyfriend,in_omadus
kontoplaan,esitus
tagasilangus,tegevus
tagasilangus,nähtus
tagasilangus,nähtus
kaugelenägev,omadus_füüs
kaugelenägev,omadus_kval
piimahabe,in_roll
piimahabe,kehaosa
meessõber,in_roll
meessõber,in_omadus
süntekas,ese_instru
väljastpoolt,ADV_koht
peika,in_roll
peika,in_omadus
Oklahoma City,koht_geogr
kiirusmõõtja,ese_instru
kiirusmõõtja,ese_instru
soolikas,tegevus
soolikas,kehaosa
trussarid,ese_riie
viitaeg,aeg
dame,esitus_tiitel
tulused,ese_instru
tutakas,tegevus_tegu
täidetud munad,toit
tulirullid,loom
Oneega,koht_geogr_veekogu
turgid,in_rahvas
triaažima,VERB_abstr
poeglaps,in_omadus
ostmine,tegevus_tegu
riskirasedus,seisund
osaleja,in_roll
tilgake,konkr
tilgake,kogus
tilgake,kogus
tilgake,materjal/aine
tunked,ese_riie
Ontika,koht_geogr
pottsepp,in_elukutse
pottsepp,in_elukutse
Edivere,koht_geogr
Edivere,koht_geogr
Atika,koht_geogr
Eerikvere,koht_geogr
Eense,koht_geogr
põllupeenar,koht_ala
Eerma,koht_geogr
Eesküla,koht_geogr
põletushaav,seisund_haigus
kuidagimoodi,ADV_viis
kuidagimoodi,ADV_viis
kuidagimoodi,ADV_viis
põnn,in_omadus
ravipaast,seisund
refleksoteraapia,vald
hüpokoer,loom_omadus
arreteeritu,in_roll
bilanss,abstr/konkr
bilanss,abstr/konkr
bilanss,ese_semio
piima-tummipuu,taim
spordipood,koht_hoone
spordipood,koht_asutus
rektaalne,omadus_füüs
välissadam,koht_ala
Elbi,koht_geogr
Eikla,koht_geogr
Elbu,koht_geogr
annus,nähtus
annus,toit
annus,materjal/aine
Oomuli,koht_geogr
Hopa,koht_geogr
Oostende,koht_geogr
kullakarva,omadus_füüs_värv
õllekas,koht_asutus
Juminda neem,koht_geogr
Kongo-Brazzaville,koht_geogr
Ervu,koht_geogr
rigiidsus,seisund_haigus
rigiidsus,omadus_psühh
väikemees,in_omadus
õudukas,objekt
õudukas,ese_kunst
reumatoloogia,vald
Emmaste-Kurisu,koht_geogr
andmehõive,tegevus
andmekogu,esitus_info
piisake,konkr
piisake,kogus
piisake,kogus
piisake,materjal/aine
Käsmu laht,koht_geogr_veekogu
piisakene,konkr
piisakene,kogus
piisakene,kogus
piisakene,materjal/aine
sorts,kogus
sorts,konkr
sorts,kogus
surts,konkr
surts,kogus
sortsukene,konkr
sortsukene,kogus
arhiivimeeter,esitus_mõõt
Emmuvere,koht_geogr
Erja,koht_geogr
Erra-Liiva,koht_geogr
Ertsma,koht_geogr
Esivere,koht_geogr
Esku,koht_geogr
korilus,tegevus
korilus,tegevus
põnevus,seisund
põnevus,omadus_psühh
sensomotoorne,omadus_psühh
sensomotoorne,omadus_füüs
seroteraapia,vald
settereaktsioon,nähtus_loodus
soonele sattuma,VERB_muutus
soone peale saama,VERB_muutus
stauriid,loom_kala
stauriid,toit
brauser,ese_semio
särav piimalill,taim_liik
Essu,koht_geogr
hisp,in_rahvas_keel
Etsaste,koht_geogr
Haabsilla,koht_geogr
mitte raasugi,abstr
mitte üks tonks,abstr
liivi keel,in_rahvas_keel
kaldkiri,esitus
tuhnima,VERB_tegevus
tuhnima,VERB_liigutama
tuhnima,VERB_psühh
tuhnima,VERB_tegevus
tuhnima,VERB_liigutama
tuhnima,VERB_tegevus
ploomipuu,materjal/aine
ploomipuu,taim
tugitool,ese_instru
Iisraeli rahvas,in_rahvas
Iisraeli rahvas,in_rahvas
raviõpetus,ese_semio
lähtesuurus,esitus_info
pitsa,toit
kosja,tegevus
rotihammustustõbi,seisund_haigus
taimevesi,materjal/aine
ungari,omadus_kval
šokk,seisund_haigus
šokk,seisund
põgenik,in_roll
viiekümneaastaselt,ADV_aeg
üheksakümneselt,ADV_aeg
kaheksakümneaastaselt,ADV_aeg
pitsu,loom
Hara,koht_geogr
Hara,koht_geogr
distantseeruma,VERB_tegevus
kuuekuune,omadus_aeg
kuuekuune,omadus_aeg
kuuekuune,omadus
pahvaktsüklon,nähtus_loodus
puhmik,taim_liik
puhmik,taim
puhmik,grupp
silikoos,seisund_haigus
Papilaht,koht_geogr_veekogu
šokiteraapia,vald
šokiteraapia,tegevus_muutus
skorbuut,seisund_haigus
psühhiaatriline,omadus
mobik,in_roll
Haili,koht_geogr
krüptomeeria,taim
lorts,materjal/aine
stomatiit,seisund_haigus
stomatoloogia,vald
psühholoogia,seisund
psühholoogia,omadus_psühh
psühholoogia,vald
Oš,koht_geogr
Ostrava,koht_geogr
Ostrov,koht_geogr
kuurits,ese_instru
songabandaaž,ese_instru
rüü,kehaosa_loom
rüü,ese_riie
rüü,ese_riie
rüü,ese_riie
rüü,nähtus
luterlik,omadus
töötus,nähtus
pulgakomm,toit
põhiseadus,ese_semio
üheprotsendine,omadus_kval
dekoreerima,seisund
dekoreerima,VERB_tegevus
ahvileivapuu,taim
ahvileivapuu,taim
vabaabielu,seisund
vaas,ese_anum
vaas,ese_anum
südame laienemine,seisund_haigus
Borrby,koht_geogr
mälusalv,nähtus_psühh
Haapsipea,koht_geogr
Haapsu,koht_geogr
sünoptiline,omadus_kval
sünoptiline,omadus_kval
Haapse,koht_geogr
Haavakivi,koht_geogr
Haavapää,koht_geogr
Borbi,koht_geogr
elusorganism,organism
mälukamber,nähtus_psühh
säärehaavand,seisund_haigus
titelapp,ese_riie
Haavakannu,koht_geogr
ps,koht_ala
Haava-Tsäpsi,koht_geogr
Hagaste,koht_geogr
tagakiusamisluul,seisund_haigus
teadvushäire,nähtus_psühh
Haimre,koht_geogr
Hakjala,koht_geogr
täkujuhtmed,ese_instru
seespoolt,ADV_koht
Kolga,koht_geogr
Kolga,koht_geogr
Kolga,koht_geogr
Kolga,koht_geogr
Aulepa,koht_geogr
Oviedo,koht_geogr
Oulu,koht_geogr
sell,in_elukutse
sell,inimene
sell,in_elukutse
sell,loom
sell,in_omadus
sell,inimene
sokutama,VERB_tegevus
loojaminek,nähtus_loodus
päikesetõus,nähtus_loodus
pööning,koht_hoone
pööning,kehaosa
Harga,koht_geogr
toiduõli,toit
teadmistepagas,abstr
uriin,materjal/aine
päikeseprillid,ese_instru
turvamees,in_elukutse
tähelepanu,esitus_keel_suhtlus
tähelepanu,esitus_keel_suhtlus
tähelepanu,nähtus_psühh
tähelepanu,nähtus_psühh
tähelepanuavaldus,tegevus_tegu
tossikene,in_omadus
tossikene,omadus_kval
põhisõnavara,esitus_keel
tööjõumaks,ese_raha
Pasja,koht_geogr
vajalikkus,abstr
sõgevaim,esitus_keel_suhtlus
post,ese
post,abstr/konkr
rahvalik,omadus_kval
Halla,koht_geogr
Halliku,koht_geogr
Hallimäe,koht_geogr
Hanija,koht_geogr
maatriksbilanss,ese_semio
põrgu,koht
põrgu,koht_loodus
põrgu,koht
põrgu,esitus_keel_suhtlus
põrgu,esitus_keel_suhtlus
põrgu,seisund
põrgu,koht
inferno,koht
viinamari,taim
viinamari,toit_vili
töölisnoor,inimene
Förby,koht_geogr
verivorst,toit
töölisnoorsugu,in_omadus
töölisnoorsugu,grupp
Söderbi,koht_geogr
Norbi,koht_geogr
Norrby,koht_geogr
sõnulseletamatu,omadus_kval
Pagari,koht_geogr
Painküla,koht_geogr
Pala,koht_geogr
Pala,koht_geogr
Pala,koht_geogr
Pala,koht_geogr
Pajusi,koht_geogr
töötunked,ese_riie
notsu,loom
Liikva,koht_geogr
auväärne,esitus_keel_suhtlus
auväärne,omadus_kval
auväärne,omadus_kval
auväärne,omadus_kval
seapõrsas,loom
pummeldama,VERB_tegevus
tilguti,ese_instru
tilguti,ese_instru
tilguti,ese_instru
õunakoi,loom_putukas
õunapuu-õielõikaja,loom_putukas
ausõna,esitus_keel_suhtlus
ausõna,tegevus_kõnetegu
turunõudlus,abstr/konkr
peavõti,ese_instru
Palermo,koht_geogr
Palma,koht_geogr
Pankjavitsa,koht_geogr
Palivere,koht_geogr
Palivere,koht_geogr
Papiniidu,koht_geogr
Palanga,koht_geogr
Pasvalys,koht_geogr
Dirhami,koht_geogr
Einbi,koht_geogr
Paluküla,koht_geogr
Paluküla,koht_geogr
Paluküla,koht_geogr
Gutanäs,koht_geogr
Kudani,koht_geogr
Höbring,koht_geogr
Ölbäck,koht_geogr
Elbiku,koht_geogr
vertikaaltasapind,esitus_kujutis
Papilaid,koht_geogr
Papilaid,koht_geogr
Pécs,koht_geogr
Peetri,koht_geogr
Peetri,koht_geogr
Peetri,koht_geogr
Peipsiääre,koht_geogr
Pandivere,koht_geogr
puuviljapüree,toit
tung,tegevus
tung,seisund
tung,nähtus_psühh
tung,tegevus
tung,seisund
tung,nähtus_psühh
Pamma,koht_geogr
Peedu,koht_geogr
Peedu,koht_geogr
Penijõe,koht_geogr
Pampa,koht_geogr
Cauchy jada,esitus_info
Gambyn,koht_geogr
Klottorp,koht_geogr
Pasklep,koht_geogr
Noarootsi,koht_geogr
Noarootsi,koht_geogr
Odensholm,koht_geogr
Odensholm,koht_geogr
Paslepa,koht_geogr
Roslep,koht_geogr
Skåtanäs,koht_geogr
Tahu,koht_geogr
Tällnäs,koht_geogr
Eistrepa,koht_geogr
Väike-Nõmmküla,koht_geogr
Spithamn,koht_geogr
Sutlepa,koht_geogr
Harkujärve,koht_geogr
Harmi,koht_geogr
Hausma,koht_geogr
Heeska,koht_geogr
Heigi,koht_geogr
gaala,sündmus
põsk,ese
põsk,taim
põsk,kehaosa
põsk,kehaosa
Penza,koht_geogr
Õlbiku,koht_geogr
umbkott,seisund
tupiktee,abstr
tupiktee,koht_ala
seksting,tegevus
sarimonogaamia,nähtus
süüdistus,in_roll
süüdistus,tegevus_kõnetegu
süüdistus,tegevus_kõnetegu
ehtima,VERB_abstr
ehtima,seisund
ehtima,VERB_tegevus
tibi,in_omadus
tibi,inimene
lühinägev,omadus_füüs
lühinägev,omadus
müoopiline,omadus_füüs
müoopiline,omadus
Heistesoo,koht_geogr
südamepõõsas,taim
Helda,koht_geogr
Hergova,koht_geogr
Hendrikumõisa,koht_geogr
pikemini,ADV_viis
pikemini,ADV_aeg
strofant,taim
jaatav,abstr/konkr
jaatav,omadus_kval
kaheksakorruseline,omadus_füüs
Helenurme,koht_geogr
Hellekunnu,koht_geogr
Herjava,koht_geogr
Hermani,koht_geogr
Hertu,koht_geogr
soojemini,ADV_viis
sügavamini,ADV_viis
Petrokrepost,koht_geogr
Hiiessaare,koht_geogr
Hiiemetsa,koht_geogr
rängemini,ADV_viis
Hiietse,koht_geogr
Liiküla,koht_geogr
latva hakkama,VERB_muutust põhjustama
latv,kehaosa
latv,abstr/konkr
latv,konkr
latv,taim
ruuduline,omadus_füüs
ruuduline,omadus_kval
UÜ,koht_asutus
UÜ,esitus
latva tõusma,VERB_muutust põhjustama
sihitult,ADV_viis
sihitu,omadus_kval
sihitu,omadus
muretaignaküpsis,toit
mf,esitus
mf,ADV_viis
matškohtumine,sündmus
mesinädalate põiepõletik,seisund_haigus
mezzo forte,esitus
mezzo forte,ADV_viis
okidoki,omadus_kval
dim.,esitus
dim.,ADV_viis
TuÜ,koht_asutus
TuÜ,esitus
luhtama,VERB_seisund
luhtama,VERB_tegevus
luhtama,VERB_muutust põhjustama
luhtama,VERB_abstr
jaotuvus,seisund
šokolaad,toit_jook
šokolaad,toit
suguteed,kehaosa
sugemed,abstr
kohvikoor,toit
kõrvitsapüreesupp,toit
kõditama,VERB_nähtus
kõditama,VERB_liigutama
kõditama,VERB_psühh
edastus,VERB_liigutama
orienteerivalt,ADV_aste
orienteeruvalt,ADV_aste
kõdistama,VERB_nähtus
kõdistama,VERB_liigutama
kõdistama,VERB_psühh
munadepüha,aeg_tähtpäev
munadepüha,aeg
äärekant,ese_riie
brokoli,taim
hullumaja,seisund
hullumaja,abstr
hullumaja,koht_asutus
kõrge,omadus_füüs
kõrge,omadus_kval
kõrge,omadus_kval
kõrge,omadus_kval
kõrge,omadus_kval
kõrge,omadus_kval
kõrge,omadus_füüs
kõrge,omadus_füüs
kõrge,omadus_füüs
kõrge,seisund
kõrge,omadus_füüs
kõrge,omadus_füüs
kõrge,omadus_füüs
kõrge,omadus_füüs
kõrge,omadus_füüs
kõrge,omadus_füüs
eraldama,VERB_psühh
eraldama,VERB_abstr
eraldama,VERB_muutus
eraldama,VERB_abstr
eraldama,VERB_abstr
eraldama,VERB_abstr
kahhel,materjal/aine
kiigu,ese_instru
kiigu,ese
tedretähine,omadus
kahhelplaat,ese
kaljurahn,objekt_loodus
kaljurahn,koht_loodus
kaljurüngas,objekt_loodus
kaljurüngas,koht_loodus
rahvapsühholoogia,abstr
sinimajandus,vald
liivakivijärsak,koht_loodus
rünk,objekt_loodus
rünk,koht_loodus
rünk,objekt_loodus
suitsed,ese_instru
suitsed,ese_instru
sukapüksid,ese_riie
sukapöid,ese_riie
sukapöid,ese_riie
elavhõbebaromeeter,ese_instru
pikselöök,konkr_omadus
pikselöök,abstr
pikselöök,nähtus_loodus
pikselöök,nähtus_füüs
tööolud,abstr/konkr
üle-eelmine,omadus_aeg
üle-eelmine,aeg
üle-eelmine,omadus_koht
argipsühholoogia,abstr
nipsakalt,ADV_viis
piksepilv,nähtus_psühh
piksepilv,nähtus_loodus
Storbyn,koht_geogr
Storbyn,koht_geogr
Storbyn,koht_geogr
Väikeheinamaa,koht_geogr
Lillängin,koht_geogr
Bakbyn,koht_geogr
Lõunaküla,koht_geogr
Bisagidbyn,koht_geogr
Tagakülä,koht_geogr
Vanakülä,koht_geogr
mittetulek,sündmus
mittetulek,sündmus
Lääneküla,koht_geogr
Suurkülä,koht_geogr
Väikeküla,koht_geogr
Väikeküla,koht_geogr
Väikeküla,koht_geogr
igapäevaselt,ADV_aeg
igapäevaselt,ADV_viis
rublane,ese_raha
rublane,omadus_kval
teineteise,abstr_asend/suund
teineteise,omadus_kval
isostaasia,seisund
Lilla Rågö,koht_geogr
ainupärane,omadus_kval
ainupärane,omadus
iga päev,ADV_aeg
kõrrepõld,koht_ala
Vähk,in_omadus
Vähk,koht_ala
Vähk,esitus_kujutis
Vähk,objekt_loodus_tähtkuju
kauna kandma,VERB_psühh_emots
susped,ese_riie
kunstiteadlane,in_elukutse
ujumispüksid,ese_riie
krõllid,ese_kunst
teotahteline,omadus_psühh
mehehakatis,in_omadus
Liège,koht_geogr
huviväärsus,koht
huviväärsus,ese
huviväärsus,abstr
Muuga,koht_geogr
Muuga,koht_geogr
parfüüm,materjal/aine
ujumisriided,ese_riie
aidaa,esitus_keel_suhtlus
plehtima,VERB_tegevus
vann,tegevus_tegu
vann,ese_anum
püüd,tegevus_tegu
püüd,abstr
püüdlus,tegevus_tegu
püüdlus,abstr
püüe,tegevus_tegu
püüe,abstr
servelaat,toit
praakima,VERB_psühh
välja prakeerima,VERB_abstr
välja praakima,VERB_abstr
sopsus,omadus
sopsus,ADV_seisund
baguette,toit
babydoll,ese_riie
kaugliinibuss,ese_instru
rahulolek,seisund
rahulolek,seisund
veovanker,ese_instru
küüdivanker,ese_instru
voorivanker,ese_instru
nokastanud,omadus_kval
nokastanud,omadus
reisibuss,ese_instru
nokastunud,omadus_kval
nokastunud,omadus
rahulolematu,in_omadus
rahulolematu,omadus_psühh
difuusne udukogu,nähtus_loodus
švipsis,omadus
švipsis,ADV_seisund
iriseja,in_omadus
juhtsirge,esitus_kujutis
dumdumkuul,ese_instru
altuks,ese_instru
säbrune,omadus_füüs
säbrune,omadus_füüs
uisusõit,tegevus
uisusõit,vald
uisusõit,tegevus
sasipusa,seisund
sasipusa,abstr
vastand,esitus_keel
vastand,abstr/konkr
Liimala,koht_geogr
Liinamäe,koht_geogr
reggaeton,vald
surilina,ese_riie
umbtänav,koht
zentangle,ese_kunst
tupik,abstr
tupik,seisund
tupik,koht_ala
internetipangandus,abstr/konkr
eelarvedistsipliin,omadus_kval
kaksteisttahukas,esitus_kujutis
e-sportlane,in_roll
juurest,konkr
juurest,ADV_koht
fis,esitus
küürakas,in_omadus
küürakas,omadus_füüs
küürakas,omadus_füüs
argikultuur,abstr/konkr
oligonukleotiid,materjal/aine
kõrvalt,abstr/konkr
kõrvalt,abstr
murdumatu,omadus_psühh
murdumatu,omadus_kval
veeuputuseelne,omadus_aeg
veeuputuseelne,omadus_kval
veeuputuseelne,omadus_aeg
Jägala,koht_geogr_veekogu
Jägala,koht_geogr
kõrvakiil,tegevus_tegu
vanamoodi,omadus_kval
vanamoodi,ADV_viis
geeninokaut,tegevus_tegu
ellujäämus,abstr
vastasrind,in_roll
vastasrind,grupp
vastasrind,in_roll
vastasrind,abstr_asend/suund
skvotter,in_roll
skvotter,in_roll
Podolsk,koht_geogr
prantsuspärane,omadus_kval
tsentraalmoment,esitus_info
soolataigen,toit
kräsupäine,omadus_füüs
kiilakas,tegevus_tegu
lembus,seisund
lokkis,omadus_füüs
lokkis,ADV_seisund
sibistama,VERB_nähtus
õnge võtma,VERB_psühh_emots
õnge võtma,VERB_tegevus
õnge võtma,VERB_psühh
Reigi,koht_geogr
Reigi,koht_geogr
käänivõrk,ese_instru
kaksteistnurk,esitus_kujutis
Pireus,koht_geogr
Kraków,koht_geogr
Latgale,koht_geogr
virgats-RNA,materjal/aine
Leipzig,koht_geogr
prestiižikas,omadus_kval
rutjuma,VERB_tegevus
Hirvli,koht_geogr
keeduleem,toit
keeduleem,materjal/aine
mesti,ADV_seisund
supervisioon,tegevus
madalreljeef,ese_kunst
priipõli,seisund
priipõli,seisund
sõrmjätk,koht
üllatusbeebi,in_omadus
üllatusbeebi,inimene
libertiin,in_omadus
libertiin,in_roll
libertiin,in_roll
panda,loom
panda,loom
panek,tegevus_tegu
taust,koht_ala
taust,esitus_kujutis
taust,abstr/konkr
taust,nähtus_füüs
taust,ese_kunst
taust,abstr
pealinik,ese_riie
Hindu,koht_geogr
Hindu,koht_geogr
Hindu,koht_geogr
satelliidiantenn,ese_instru
jesses,esitus_keel_suhtlus
Hinniala,koht_geogr
sorbett,toit
Hirmuküla,koht_geogr
elektritõlvik,ese_instru
tinutuskolb,ese_instru
pulkas,ADV_seisund
pulkas,ADV_seisund
põlissõna,esitus_keel
keeduvesi,toit
keeduvesi,materjal/aine
tagasein,koht_hoone
tagasein,koht_ala
kavalasti,ADV_viis
solge,omadus_füüs
kavalalt,ADV_viis
Hirmuste,koht_geogr
Hirmuste,koht_geogr
Mandžukuo,koht_geogr
terveni,ADV_aste
terveni,ADV_aste
hulgitrauma,seisund_haigus
müümine,tegevus
seeniormaja,koht_hoone
seeniormaja,koht_asutus
vahetpidamata,ADV_viis
nagu hundikurku,ADV_viis
kui hundikurku,ADV_viis
priileivasööja,in_roll
priileivasööja,in_omadus
mudelhiir,loom
uitmõte,nähtus_psühh
karamellikaste,toit
Kolgata,koht_geogr
kookospähkel,toit_vili
end kokku võtma,VERB_psühh
külmpress-oliiviõli,materjal/aine
satelliiditaldrik,ese_instru
sissetulek,tegevus
sissetulek,abstr/konkr
hange,ADV_seisund
majandusteadlane,in_elukutse
pael,ese_instru
pael,esitus_kujutis
pael,ese_instru
pael,ese_instru
tasuvusaeg,aeg
probleemistik,abstr
priskelt,ADV_viis
kosmeetik,in_elukutse
iluraviarst,in_elukutse
raevukalt,ADV_aste
raevukalt,ADV_viis
rõhutu,inimene
hauapiire,ese
pusa,ese_riie
detektorism,tegevus
tänavavalgustus,tegevus
tänavavalgustus,ese_instru
Joa,koht_geogr
Joa,koht_geogr
tootmistsükkel,abstr/konkr
tootmistsükkel,aeg
küsimärk,esitus_tähis
küsimärk,abstr/konkr_omadus
pääsemisvõimalus,abstr
pääsemisvõimalus,abstr
punjas,omadus_füüs
Jõgeveste,koht_geogr
maa,koht_ala
maa,koht_ala
maa,koht_ala
maa,esitus_mõõt
maa,abstr/konkr
maa,koht_loodus
maa,koht_ala
maa,koht_loodus
mängusõltuvus,seisund_haigus
mängusõltuvus,seisund_haigus
varikonto,esitus
Jäneda,koht_geogr
loib,ese_riie
loib,kehaosa_loom
internetisõltuvus,seisund_haigus
internetisõltuvus,nähtus_psühh
Piilsi,koht_geogr
jatsmuusika,vald
jatsmuusika,ese_kunst
Piiumetsa,koht_geogr
Kopli poolsaar,koht_geogr
rööpjoon,abstr
rööpjoon,esitus_kujutis
Pikva,koht_geogr
Pikasilla,koht_geogr
Pikasilla,koht_geogr
Järveküla,koht_geogr
Järveküla,koht_geogr
Järveküla,koht_geogr
Järveküla,koht_geogr
Järvere,koht_geogr
Pisa,koht_geogr
mesenhüüm,kehaosa
Pittsburgh,koht_geogr
konspiratsiooniteooria,abstr
varahaldur,in_elukutse
Pikkjärve,koht_geogr
Pikkjärve,koht_geogr
Pillapalu,koht_geogr
Plaani,koht_geogr
paroodia,abstr/konkr_omadus
paroodia,ese_semio
Jäärja,koht_geogr
partnerlussuhe,abstr/konkr_omadus
Ormsö,koht_geogr
Ploieşti,koht_geogr
Plungė,koht_geogr
Pinsk,koht_geogr
Pleven,koht_geogr
Poitou-Charentes,koht_geogr
Pljussa,koht_geogr_veekogu
Pljussa,koht_geogr
Porkva,koht_geogr
Porkuni,koht_geogr
Porto,koht_geogr
Porto Alegre,koht_geogr
Port Sudan,koht_geogr
paaritufunktsioon,esitus_info
Prümli,koht_geogr
Polli,koht_geogr
Polli,koht_geogr
Pringi,koht_geogr
Pringi,koht_geogr
Pori,koht_geogr
paralleelprojektsioon,esitus_kujutis
infosõda,tegevus
Popocatépetl,koht_geogr
aru andma,VERB_suhtlus
Puiatu,koht_geogr
Puiatu,koht_geogr
Puiatu,koht_geogr
Puiatu,koht_geogr
Puiatu,koht_geogr
tulemusjuhtimine,tegevus
tähik,loom
mannerg,ese_anum
personalipartner,in_elukutse
lahtiste uste päev,aeg_tähtpäev
Puka,koht_geogr
Puka,koht_geogr
Puka,koht_geogr
personalispetsialist,in_elukutse
madrats,in_roll
madrats,ese_instru
rahvaluuleteadlane,in_elukutse
Puurmani,koht_geogr
Purila,koht_geogr
Päidla,koht_geogr
Pärlijõe,koht_geogr
Pärnjõe,koht_geogr
uusaastakontsert,sündmus
Puškin,koht_geogr
ühilduvus,omadus
Puru,koht_geogr
Puru,koht_geogr
Põdrala,koht_geogr
Pädaste,koht_geogr
Põllküla,koht_geogr
Raikküla,koht_geogr
aupärg,ese
Pöide,koht_geogr
Pöide,koht_geogr
selgesti,ADV_viis
selgesti,ADV_viis
Randvere,koht_geogr
Randvere,koht_geogr
Randvere,koht_geogr
Rahumäe,koht_geogr
Rahumäe,koht_geogr
Rebaste,koht_geogr
Rebaste,koht_geogr
Rebaste,koht_geogr
Rheinhessen-Pfalz,koht_geogr
Rheinland-Pfalz,koht_geogr
maalimispukk,ese_instru
keelevääratus,tegevus_tegu
keelevääratus,tegevus_kõnetegu
laadimiskäpp,ese_instru
keefir,toit_jook
tervisedendus,tegevus
hoolekandmine,tegevus
personalitöötaja,in_elukutse
tänuvastuvõtt,sündmus
pummeldus,sündmus
iseäraldi,ADV_seisund
kandmik,ese
kandmik,ese_instru
macho,inimene
aruanne,ese_semio
aruanne,ese_semio
prassing,sündmus
munsterroll,ese_semio
munsterroll,ese_semio
kaubanäidis,ese
joomine,tegevus
joomine,tegevus
laevaroll,ese_semio
pummelus,sündmus
emakaru,loom_omadus
imbkaev,koht_hoone
kergendus,abstr/konkr_omadus
kergendus,nähtus_psühh
proteesiarst,in_elukutse
suuneel,kehaosa
suuneeluvähk,seisund_haigus
provintsiaal,in_omadus
provintsiaal,in_elukutse
kangialune,koht_ala
kangialune,omadus_koht
alalhoid,tegevus
alalhoid,nähtus
Malaia,koht_geogr
Man,koht_geogr
Aleksejevka,koht_geogr
antroponüümika,vald
lojaalsusrabatt,abstr/konkr
lõviema,loom_omadus
lõviema,in_roll
tagatipp,koht_ala
tagatipp,abstr/konkr
provokatsiooniline,omadus_kval
emalõvi,loom_omadus
emalõvi,in_roll
emalõvi,loom_omadus
tükitööhinne,ese_raha
astraalvalgus,nähtus_loodus
e-õpe,vald
e-õpe,tegevus
praktikakool,koht_asutus
massiiive,esitus_mõõt
piimatööstus,koht_asutus
piimatööstus,vald
min,esitus_mõõt
min,aeg
pääsusaba,ese_riie
pääsusaba,loom_lind
sabakuub,ese_riie
sabakuub,ese_instru
turu-uuring,tegevus_tegu
viisakustiitel,esitus_tiitel
päeva lõpuks,aeg
päeva lõpuks,abstr/konkr
arendama,VERB_abstr
arendama,VERB_muutust põhjustama
arendama,VERB_muutust põhjustama
arendama,VERB_muutust põhjustama
hagelema,VERB_tegevus
kollabeeruma,VERB_muutus
kollabeeruma,VERB_muutus
kollabeeruma,VERB_nähtus
sooteadlane,in_elukutse
kulminatsioonipunkt,nähtus_loodus
kulminatsioonipunkt,abstr
lagipunkt,abstr/konkr
lagipunkt,abstr_asend/suund
Paljassaar,koht_geogr
kiirgustemperatuur,nähtus_füüs
kulmineeruma,VERB_seisund
kulmineeruma,VERB_seisund
kvasar,nähtus_loodus
kindlustusriisiko,sündmus
kindlustusriisiko,nähtus
konfirmeerima,VERB_abstr
konfirmeerima,VERB_psühh
konfirmeerima,VERB_muutus
kehvavõitu,omadus_kval
kehvavõitu,omadus_füüs
kokku sündima,VERB_psühh_emots
kommersant,in_elukutse
