Column1,collection,morph,experiment,model,source,split,LAS
137,edt,am,1,malt,test,8,0.834
138,edt,am,1,malt,train,9,0.949
139,edt,am,1,malt,test,9,0.842
140,est_ud,am,1,malt,train,0,0.932
141,est_ud,am,1,malt,test,0,0.796
142,est_ud,am,1,malt,train,1,0.932
143,est_ud,am,1,malt,test,1,0.799
144,est_ud,am,1,malt,train,2,0.932
145,est_ud,am,1,malt,test,2,0.799
146,est_ud,am,1,malt,train,3,0.932
147,est_ud,am,1,malt,test,3,0.799
148,est_ud,am,1,malt,train,4,0.932
149,est_ud,am,1,malt,test,4,0.796
150,est_ud,am,1,malt,train,5,0.931
151,est_ud,am,1,malt,test,5,0.803
152,est_ud,am,1,malt,train,6,0.932
153,est_ud,am,1,malt,test,6,0.798
154,est_ud,am,1,malt,train,7,0.932
155,est_ud,am,1,malt,test,7,0.804
156,est_ud,am,1,malt,train,8,0.932
157,est_ud,am,1,malt,test,8,0.8
158,est_ud,am,1,malt,train,9,0.931
159,est_ud,am,1,malt,test,9,0.803
160,edt,gm,2,udpipe,train,0,0.9098
161,edt,gm,2,udpipe,test,0,0.8414
162,edt,gm,2,udpipe,train,1,0.9095
163,edt,gm,2,udpipe,test,1,0.847
164,edt,gm,2,udpipe,train,2,0.9121
165,edt,gm,2,udpipe,test,2,0.8458
166,edt,gm,2,udpipe,train,3,0.9073
167,edt,gm,2,udpipe,test,3,0.8528
168,edt,gm,2,udpipe,train,4,0.9106
169,edt,gm,2,udpipe,test,4,0.858
170,edt,gm,2,udpipe,train,5,0.9129
171,edt,gm,2,udpipe,test,5,0.8514
172,edt,gm,2,udpipe,train,6,0.9142
173,edt,gm,2,udpipe,test,6,0.8445
174,edt,gm,2,udpipe,train,7,0.9115
175,edt,gm,2,udpipe,test,7,0.8591
176,edt,gm,2,udpipe,train,8,0.9099
177,edt,gm,2,udpipe,test,8,0.8369
178,edt,gm,2,udpipe,train,9,0.9083
179,edt,gm,2,udpipe,test,9,0.8487
180,est_ud,gm,2,udpipe,train,0,0.8947
181,est_ud,gm,2,udpipe,test,0,0.8362
182,est_ud,gm,2,udpipe,train,1,0.9066
183,est_ud,gm,2,udpipe,test,1,0.8404
184,est_ud,gm,2,udpipe,train,2,0.9053
185,est_ud,gm,2,udpipe,test,2,0.839
186,est_ud,gm,2,udpipe,train,3,0.902
187,est_ud,gm,2,udpipe,test,3,0.833
188,est_ud,gm,2,udpipe,train,4,0.9051
189,est_ud,gm,2,udpipe,test,4,0.8428
190,est_ud,gm,2,udpipe,train,5,0.9057
191,est_ud,gm,2,udpipe,test,5,0.8386
192,est_ud,gm,2,udpipe,train,6,0.9079
193,est_ud,gm,2,udpipe,test,6,0.8409
194,est_ud,gm,2,udpipe,train,7,0.9047
195,est_ud,gm,2,udpipe,test,7,0.8399
196,est_ud,gm,2,udpipe,train,8,0.9073
197,est_ud,gm,2,udpipe,test,8,0.8432
198,est_ud,gm,2,udpipe,train,9,0.9041
199,est_ud,gm,2,udpipe,test,9,0.8425
200,edt,gm,2,malt,train,0,0.936
201,edt,gm,2,malt,test,0,0.851
202,edt,gm,2,malt,train,1,0.936
203,edt,gm,2,malt,test,1,0.846
204,edt,gm,2,malt,train,2,0.936
205,edt,gm,2,malt,test,2,0.846
206,edt,gm,2,malt,train,3,0.934
207,edt,gm,2,malt,test,3,0.855
208,edt,gm,2,malt,train,4,0.935
209,edt,gm,2,malt,test,4,0.855
210,edt,gm,2,malt,train,5,0.936
211,edt,gm,2,malt,test,5,0.846
212,edt,gm,2,malt,train,6,0.936
213,edt,gm,2,malt,test,6,0.846
214,edt,gm,2,malt,train,7,0.935
215,edt,gm,2,malt,test,7,0.857
216,edt,gm,2,malt,train,8,0.937
217,edt,gm,2,malt,test,8,0.837
218,edt,gm,2,malt,train,9,0.935
219,edt,gm,2,malt,test,9,0.853
220,est_ud,gm,2,malt,train,0,0.938
221,est_ud,gm,2,malt,test,0,0.818
222,est_ud,gm,2,malt,train,1,0.938
223,est_ud,gm,2,malt,test,1,0.811
224,est_ud,gm,2,malt,train,2,0.938
225,est_ud,gm,2,malt,test,2,0.81
226,est_ud,gm,2,malt,train,3,0.938
227,est_ud,gm,2,malt,test,3,0.808
228,est_ud,gm,2,malt,train,4,0.938
229,est_ud,gm,2,malt,test,4,0.814
230,est_ud,gm,2,malt,train,5,0.938
231,est_ud,gm,2,malt,test,5,0.816
232,est_ud,gm,2,malt,train,6,0.938
233,est_ud,gm,2,malt,test,6,0.816
234,est_ud,gm,2,malt,train,7,0.937
235,est_ud,gm,2,malt,test,7,0.816
236,est_ud,gm,2,malt,train,8,0.938
237,est_ud,gm,2,malt,test,8,0.811
238,est_ud,gm,2,malt,train,9,0.938
239,est_ud,gm,2,malt,test,9,0.812
240,edt,am,2,udpipe,train,0,0.9088
241,edt,am,2,udpipe,test,0,0.8408
242,edt,am,2,udpipe,train,1,0.9052
243,edt,am,2,udpipe,test,1,0.8441
244,edt,am,2,udpipe,train,2,0.9066
245,edt,am,2,udpipe,test,2,0.8321
246,edt,am,2,udpipe,train,3,0.902
247,edt,am,2,udpipe,test,3,0.8414
248,edt,am,2,udpipe,train,4,0.8983
249,edt,am,2,udpipe,test,4,0.8319
250,edt,am,2,udpipe,train,5,0.9073
251,edt,am,2,udpipe,test,5,0.8406
252,edt,am,2,udpipe,train,6,0.9031
253,edt,am,2,udpipe,test,6,0.8353
254,edt,am,2,udpipe,train,7,0.9041
255,edt,am,2,udpipe,test,7,0.851
256,edt,am,2,udpipe,train,8,0.9022
257,edt,am,2,udpipe,test,8,0.8507
258,edt,am,2,udpipe,train,9,0.9006
259,edt,am,2,udpipe,test,9,0.8449
260,est_ud,am,2,udpipe,train,0,0.8806
261,est_ud,am,2,udpipe,test,0,0.817
262,est_ud,am,2,udpipe,train,1,0.8819
263,est_ud,am,2,udpipe,test,1,0.82
264,est_ud,am,2,udpipe,train,2,0.8726
265,est_ud,am,2,udpipe,test,2,0.8212
266,est_ud,am,2,udpipe,train,3,0.8812
267,est_ud,am,2,udpipe,test,3,0.8183
268,est_ud,am,2,udpipe,train,4,0.8807
269,est_ud,am,2,udpipe,test,4,0.8111
270,est_ud,am,2,udpipe,train,5,0.8761
271,est_ud,am,2,udpipe,test,5,0.8223
272,est_ud,am,2,udpipe,train,6,0.8767
273,est_ud,am,2,udpipe,test,6,0.8227
274,est_ud,am,2,udpipe,train,7,0.8802
275,est_ud,am,2,udpipe,test,7,0.8199
276,est_ud,am,2,udpipe,train,8,0.8793
277,est_ud,am,2,udpipe,test,8,0.8071
278,est_ud,am,2,udpipe,train,9,0.8772
279,est_ud,am,2,udpipe,test,9,0.8169
280,edt,am,2,malt,train,0,0.932
281,edt,am,2,malt,test,0,0.833
282,edt,am,2,malt,train,1,0.932
283,edt,am,2,malt,test,1,0.838
284,edt,am,2,malt,train,2,0.933
285,edt,am,2,malt,test,2,0.831
286,edt,am,2,malt,train,3,0.932
287,edt,am,2,malt,test,3,0.837
288,edt,am,2,malt,train,4,0.931
289,edt,am,2,malt,test,4,0.833
290,edt,am,2,malt,train,5,0.932
291,edt,am,2,malt,test,5,0.838
292,edt,am,2,malt,train,6,0.932
293,edt,am,2,malt,test,6,0.833
294,edt,am,2,malt,train,7,0.932
295,edt,am,2,malt,test,7,0.845
296,edt,am,2,malt,train,8,0.931
297,edt,am,2,malt,test,8,0.845
