,group0,group1,group2,group3,group4
group0,0.9118,0.9056,0.9147,0.9118,0.9099
group1,0.9132,0.9176,0.9158,0.9097,0.9158
group2,0.9199,0.9219,0.9231,0.9183,0.9199
group3,0.9180,0.9155,0.9137,0.9166,0.9184
group4,0.9244,0.9193,0.9193,0.9188,0.9214
