experiment,LAS_test,LAS_train,UAS_test,UAS_train,LAS_gap
eval_stanza_morph_extended_full_data_ensemble_majority_voting,0.8564,0.9337,0.8849,0.9517,0.0773
eval_stanza_morph_extended_half_data_ensemble_majority_voting,0.8449,0.9126,0.8762,0.9325,0.0677
