experiment,LAS_test,LAS_train,LAS_gap,UAS_test,UAS_train,test_words,train_words
eval_stanza_morph_analysis_full_data,0.8458,0.9178,0.0720,0.8807,0.9406,40815,325531
eval_stanza_morph_extended_full_data,0.8437,0.9120,0.0684,0.8786,0.9362,40815,325531
