experiment,LAS_test,LAS_train,LAS_gap,UAS_test,UAS_train
eval_stanza_ud_auto_morph_full_data,0.8523,0.9333,0.0810,0.8808,0.9508
eval_stanza_ud_gold_morph_full_data,0.8810,0.9380,0.0570,0.8987,0.9502
