experiment,LAS_test,UAS_test
eval_stanza_morph_extended_sketches_knockout_5groups_single_file_group0,0.9144,0.9396
eval_stanza_morph_extended_sketches_knockout_5groups_single_file_group1,0.9128,0.9359
eval_stanza_morph_extended_sketches_knockout_5groups_single_file_group2,0.9163,0.9407
eval_stanza_morph_extended_sketches_knockout_5groups_single_file_group3,0.9110,0.9376
eval_stanza_morph_extended_sketches_knockout_5groups_single_file_group4,0.9131,0.9384
