sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag
449951,704444,18,otsima,,el,detsember,detsembrist,"Lisaks peeti samas kinni sel hetkel sõiduautoga koormat turvanud venelane , keda keskkriminaalpolitsei otsis alates eelmise aasta detsembrist taga seoses narkokuriteoga .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,time,
11389924,18251429,3,uskuma,,ad,näide,näitel,Usub enda näitel väikeriigi võimalustesse,,,,
15758867,24580070,13,täitma,,ad,kinnitamine,kinnitamisel,"Ülesanded jagatakse nii , et iga ametnik täidab EAGGF arvele kantavate kulutuste kinnitamisel , väljamaksmisel või arvestamisel ainult ühte funktsiooni ning et iga ametniku tööd valvaks mõni teine ametnik .",,,,
12182310,19504428,12,jälgima,,abl,internetilehekülg,internetileheküljelt,"Et teleülekannet ei olnud siin võimalik näha , jälgisin seisu Livescore'i internetileheküljelt .",,,,
53706,93122,7,vajama,,in,keha,kehas,"“ Ma ei vaja plasti oma kehas selleks , et end naisena tunda ja end teistelegi naisena tutvustada .",,,,
769072,1226232,5,minema,,ad,Harjumaa,Harjumaal,Politseiameti relvainstruktor läks kolmapäeval Harjumaal Loksa vallas järve ujuma ja uppus .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
6913665,11112854,6,käima,läbi,ad,Berit,Beritil,"Härra mis härra , käis Beritil peast läbi .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
18695026,28266843,8,torkama,,in,eriosa,eriosas,"Kehtiva kriminaalõiguse puudused torkavadki kõige rohkem silma eriosas , mida on korduvalt muudetud ja täiendatud ning mille tõttu on tekkinud sisemisi vastuolusid .",,,,
12576757,20126714,6,maksma,,ad,kurjategija,kurjategijal,""" Tänapäeval ei maksa ju kurjategijal midagi autoga Tallinnast või Ida-Virust siia sõita , "" nentis ta .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
686543,1091835,3,lahkuma,,abl,ametipost,ametipostilt,"Lahkunud kõrgelt ametipostilt omal soovil ( protestiks kaitseminister Aleksander Tõnissoni ohvitseride väljaõppe- ja kasvatusmeetodite vastu ) , sai temast aastal 1934 3. diviisi ja ühtlasi ka Tallinna garnisoni ülem .",,,,
1494047,2378712,2,leidma,,abl,koduka,kodukalt,"Elvise kodukalt leiad kalkulaatori (  ) , mis rehkendab välja , kas oled oma pikkuse kohta liig raske või kerge .",,,,
7469579,11990202,6,ärgitama,,in,mina,minus,Noorte moetegijate silmatorkav mitteosavõtt ärgitas minus huvi nende eluolu ja tulevikuväljavaadete vastu .,,,,
7403729,11884676,7,mööduma,,ad,normaalkiirus,normaalkiirusel,Jan vaatas küljeaknasse -- kõik möödus normaalkiirusel .,,,,
4907256,7879494,7,investeerima,,ill,pangahoius,pangahoiustesse,"Analoogiliselt rahaturufondiga investeerib fond klientide raha pangahoiustesse ja peamiselt riigivõlakirjadesse , nii et risk raha kaotada on olematu .",,,,
13381902,21405783,7,puudutama,,ill,küsimus,küsimustesse,näiteks lauses :  See puudutab järgmistesse küsimustesse  .,,,,
4398745,7074826,9,toetama,,in,Jeruusalemm,Jeruusalemmas,"Ajaleht al-Ahram kirjutas , et kui Christopher teisipäeval Jeruusalemmas pressikonverentsil toetas Netanyahu üleskutset alustada ilma eeltingimusteta Araabia - Iisraeli rahukõnelusi , siis muutis ta sellega üleöö tervet USA poliitikat . "" äärmiselt veidral pressikonverentsil eirab Netanyahu kõiki rahvusvahelisi kokkuleppeid , Christopher aga toetab teda , "" väitis ajaleht .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
4112013,6618537,20,siirduma,,all,klubi,klubile,"FC Flora ja Glasgow Rangers kirjutasid eile alla lepingu , mille kohaselt Flora jalgpalluri Jonatan Johanssoni mängijaõigused siirduvad Shotimaa klubile .",,,,
