item	total	percentage
af,imper,main,pl,pres,ps,ps1	2740	0.009109347813251189
imper,main,neg,pl,pres,ps,ps1	2727	0.009066128279830653
imper,mod,neg,pl,pres,ps,ps1	2678	0.008903223884630176
af,imper,mod,pl,pres,ps,ps1	2669	0.008873302669185191
aux,imper,neg,pres,ps,ps3,sg	637	0.002117757137606207
af,cond,mod,past,ps,ps1,sg	442	0.0014694641362981845
aux,partic,pres,ps	439	0.0014594903978165227
main,partic,pres,ps	434	0.001442867500347086
af,cond,main,past,ps,ps1,sg	434	0.001442867500347086
af,aux,cond,past,ps,ps1,sg	416	0.0013830250694571147
mod,partic,pres,ps	415	0.0013797004899632275
af,cond,mod,past,pl,ps,ps1	281	0.0009342068377823299
af,cond,main,past,pl,ps,ps1	275	0.0009142593608190061
af,aux,cond,past,pl,ps,ps1	257	0.0008544169299290349
af,aux,cond,past,ps,ps2,sg	198	0.0006582667397896844
af,cond,mod,past,pl,ps,ps3	181	0.0006017488883936005
af,cond,main,past,pl,ps,ps3	174	0.0005784768319363894
af,aux,cond,past,pl,ps,ps3	171	0.0005685030934547274
af,cond,mod,past,ps,ps2,sg	161	0.0005352572985158545
af,cond,main,past,ps,ps2,sg	154	0.0005119852420586435
aux,neg,past,ps,quot	13	4.3219533420534835e-05
mod,neg,past,ps,quot	10	3.324579493887295e-05
main,neg,past,ps,quot	10	3.324579493887295e-05
af,mod,past,ps,quot	9	2.9921215444985657e-05
af,main,past,ps,quot	9	2.9921215444985657e-05
af,aux,past,ps,quot	9	2.9921215444985657e-05
af,aux,cond,past,pl,ps,ps2	9	2.9921215444985657e-05
af,cond,main,past,pl,ps,ps2	8	2.659663595109836e-05
af,cond,mod,past,pl,ps,ps2	6	1.994747696332377e-05
