pat_id,verb_word,verb_compound,phrase_case,adp,inf_verb,verb_occurrence_count,absolute_support,relative_support
1523,pääsema,,part,,tegema,43614,4,0.009171366992250195
1627,saama,,part,,tegema,1114043,100,0.008976314199721197
2106,unustama,,part,,teha,11386,1,0.008782715615668365
2010,tulema,,part,,tegema,631483,45,0.007126082570710534
1028,loobuma,,part,,tegemast,20838,1,0.004798925040790863
1763,sobima,,part,,teha,43171,2,0.004632739570545042
479,jääma,,part,,tegema,303012,12,0.0039602391984475864
475,jätma,,part,,tegema,59193,2,0.003378777896035004
435,juhtuma,,part,,tegema,59383,2,0.0033679672633581998
2058,tänama,,part,,tegemast,73299,2,0.0027285501848592747
1418,pidama,,part,,tegema,817024,12,0.001468745104182986
2336,võima,,part,,teha,722168,1,0.00013847193450831387
