,word,government,verb_word,compound_prt1,compound_prt2,compound_prt3,government_with_case,case,adp,verb,other
1760,sobima,kellele,sobima,,,,all,all,,,
1761,sobima,kellega/millega,sobima,,,,kom,kom,,,
1762,sobima,mida teha,sobima,,,,part teha,part,,teha,
1763,sobima,kelleks/milleks,sobima,,,,tr,tr,,,
1764,sobitama,mida,sobitama,,,,part,part,,,
1765,sobitama,millega,sobitama,,,,kom,kom,,,
1766,soetama,kellele,soetama,,,,all,all,,,
1767,solgutama,mida*,solgutama,,,,part,part,,,
1768,solvama,millega,solvama,,,,kom,kom,,,
1769,solvama,keda*,solvama,,,,part,part,,,
1770,solvuma,kelle/mille peale,solvuma,,,,gen peale,gen,peale,,
1771,soodustama,mida*,soodustama,,,,part,part,,,
1772,sooja kohta saatma,keda,saatma,sooja,kohta,,part,part,,,
1773,soojendama,keda/mida,soojendama,,,,part,part,,,
1774,soont olema,mille peale,olema,soont,,,gen peale,gen,peale,,
1775,soont olema,kellel,olema,soont,,,ad,ad,,,
1776,soosima,keda/mida*,soosima,,,,part,part,,,
1777,soostuma,mida tegema,soostuma,,,,part tegema,part,,tegema,
1778,soovima,mida teha,soovima,,,,part teha,part,,teha,
1779,soovima,mida*,soovima,,,,part,part,,,
1780,soovitama,mida*,soovitama,,,,part,part,,,
1781,sorima,kus,sorima,,,,ad,ad,,,
1782,sorima,milles,sorima,,,,in,in,,,
1783,sorkima,milles,sorkima,,,,in,in,,,
1784,sorkima,millega,sorkima,,,,kom,kom,,,
1785,spekuleerima,mille üle,spekuleerima,,,,gen üle,gen,üle,,
1786,spekuleerima,millega,spekuleerima,,,,kom,kom,,,
1787,spetsialiseeruma,millele,spetsialiseeruma,,,,all,all,,,
1788,sugereerima,kellele,sugereerima,,,,all,all,,,
1789,sugereerima,mida*,sugereerima,,,,part,part,,,
1790,suhestama,kellega/millega,suhestama,,,,kom,kom,,,
1791,suhestama,keda/mida*,suhestama,,,,part,part,,,
1792,suhestuma,millega,suhestuma,,,,kom,kom,,,
1793,suhtlema,kellega,suhtlema,,,,kom,kom,,,
1794,suhtuma,kellesse/millesse,suhtuma,,,,ill,ill,,,
1795,sulanema,kellega/millega,sulanema,,,,kom,kom,,,
1796,surkima,millega,surkima,,,,kom,kom,,,
1797,surkima,milles,surkima,,,,in,in,,,
1798,surmakella lööma,kellele/millele,lööma,surmakella,,,all,all,,,
1799,surnuks rääkima,keda,rääkima,surnuks,,,part,part,,,
1800,suu sisse valetama,kellele,valetama,suu,sisse,,all,all,,,
1801,suud andma,kellele/millele,andma,suud,,,all,all,,,
1802,suud kinni toppima,kellel,toppima,suud,kinni,,ad,ad,,,
1803,suudlema,keda/mida*,suudlema,,,,part,part,,,
1804,suunama,kuhu,suunama,,,,all,all,,,
1805,suunduma,kuhu,suunduma,,,,all,all,,,
1806,suunduma,mille poole,suunduma,,,,gen poole,gen,poole,,
1807,suunitlema,kellele/millele,suunitlema,,,,all,all,,,
1808,suureks puhuma,mida,puhuma,suureks,,,part,part,,,
1809,suutma,mida teha,suutma,,,,part teha,part,,teha,
1810,suvatsema,mida teha,suvatsema,,,,part teha,part,,teha,
1811,särisema,millest,särisema,,,,el,el,,,
1812,säru tegema,millele,tegema,säru,,,all,all,,,
1813,sõbrustama,kellega,sõbrustama,,,,kom,kom,,,
1814,sõbrutsema,kellega,sõbrutsema,,,,kom,kom,,,
1815,sõdima,kellega,sõdima,,,,kom,kom,,,
1816,sõdima,kelle vastu,sõdima,,,,gen vastu,gen,vastu,,
1817,sõidutama,millega,sõidutama,,,,kom,kom,,,
1818,sõidutama,kuhu,sõidutama,,,,all,all,,,
1819,sõimama,kelleks,sõimama,,,,tr,tr,,,
1820,sõitlema,keda*,sõitlema,,,,part,part,,,
1821,sõitma,kuhu,sõitma,,,,all,all,,,
1822,sõitma,millega,sõitma,,,,kom,kom,,,
1823,sõitu sisse tegema,kellele,tegema,sõitu,sisse,,all,all,,,
1824,sõltuma,kellest/millest,sõltuma,,,,el,el,,,
1825,sõnelema,kellega,sõnelema,,,,kom,kom,,,
1826,sõnu peale lugema,kellele,lugema,sõnu,peale,,all,all,,,
1827,sõnu suhu panema,kellele,panema,sõnu,suhu,,all,all,,,
1828,sõnu suust võtma,kellel,võtma,sõnu,suust,,ad,ad,,,
1829,sõnu tangidega välja kiskuma,kellelt,kiskuma,sõnu,tangidega,välja,abl,abl,,,
1830,sõrgu vastu ajama,millele,ajama,sõrgu,vastu,,all,all,,,
1831,sõrme peale panema,millele,panema,sõrme,peale,,all,all,,,
1832,sõrmedele vaatama,kelle,vaatama,sõrmedele,,,gen,gen,,,
1833,söandama,mida teha,söandama,,,,part teha,part,,teha,
1834,südamele hakkama,mis,hakkama,südamele,,,nom,nom,,,
1835,südamele hakkama,kellele,hakkama,südamele,,,all,all,,,
1836,südamele koputama,kelle,koputama,südamele,,,gen,gen,,,
1837,südamele panema,kellele,panema,südamele,,,all,all,,,
1838,südamele panema,mida*,panema,südamele,,,part,part,,,
1839,südamesse minema,kellele,minema,südamesse,,,all,all,,,
1840,südamesse võtma,mida*,võtma,südamesse,,,part,part,,,
1841,südametunnistusele koputama,kelle,koputama,südametunnistusele,,,gen,gen,,,
1842,südant puistama,kellele,puistama,südant,,,all,all,,,
1843,südant valutama,kelle/mille pärast,valutama,südant,,,gen pärast,gen,pärast,,
1844,südant võitma,kelle,võitma,südant,,,gen,gen,,,
1845,sügama,mida*,sügama,,,,part,part,,,
1846,sügelema,kellel,sügelema,,,,ad,ad,,,
1847,sülgama,mille peale,sülgama,,,,gen peale,gen,peale,,
1848,sülitama,millele,sülitama,,,,all,all,,,
1849,sülitama,mille peale,sülitama,,,,gen peale,gen,peale,,
1850,sümpatiseerima,keda/mida*,sümpatiseerima,,,,part,part,,,
1851,sümpatiseerima,kellele,sümpatiseerima,,,,all,all,,,
1852,sünkima,millega,sünkima,,,,kom,kom,,,
1853,sünkroniseerima,millega,sünkroniseerima,,,,kom,kom,,,
1854,sünkroniseeruma,millega,sünkroniseeruma,,,,kom,kom,,,
1855,sünkroonima,millega,sünkroonima,,,,kom,kom,,,
1856,süttima,millest,süttima,,,,el,el,,,
1857,süvenema,millesse,süvenema,,,,ill,ill,,,
1858,süübima,millesse,,süübima,,,ill,ill,,,
1859,süüdistama,keda*,süüdistama,,,,part,part,,,
1860,süüdistama,et,süüdistama,,,,et,,,,et
1861,süüdistama,milles,süüdistama,,,,in,in,,,
1862,süüks panema,mida,panema,süüks,,,part,part,,,
1863,süüks panema,kellele,panema,süüks,,,all,all,,,
1864,süüstama,keda*,,süüstama,,,part,part,,,
1865,süüvima,kellesse/millesse,süüvima,,,,ill,ill,,,
1866,taandama,mida,taandama,,,,part,part,,,
1867,taandama,kust,taandama,,,,abl,abl,,,
1868,tabama,millelt,tabama,,,,abl,abl,,,
1869,tabama,keda/mida*,tabama,,,,part,part,,,
1870,tabama,millega,tabama,,,,kom,kom,,,
1871,taga ajama,keda/mida*,ajama,taga,,,part,part,,,
1872,taga kiruma,keda/mida*,kiruma,taga,,,part,part,,,
1873,taga otsima,keda/mida*,otsima,taga,,,part,part,,,
1874,taga rääkima,keda*,rääkima,taga,,,part,part,,,
1875,taga õhkama,mida/keda*,õhkama,taga,,,part,part,,,
1876,tagama,mida,tagama,,,,part,part,,,
1877,tagant innustama,keda*,innustama,tagant,,,part,part,,,
1878,tagant innustama,mida tegema,innustama,tagant,,,part tegema,part,,tegema,
1879,tagant lükkama,mida*,lükkama,tagant,,,part,part,,,
1880,tagant tõukama,keda/mida*,tõukama,tagant,,,part,part,,,
1881,tagasi jõudma,kuhu,jõudma,tagasi,,,all,all,,,
1882,tagasi kohkuma,millest,kohkuma,tagasi,,,el,el,,,
1883,tagasi mõtlema,millele,mõtlema,tagasi,,,all,all,,,
1884,tagasi müüma,kellele,müüma,tagasi,,,all,all,,,
1885,tagastama,kellele,tagastama,,,,all,all,,,
1886,taha keerama,kellele,keerama,taha,,,all,all,,,
1887,taha panema,kellele,panema,taha,,,all,all,,,
1888,tahtma,mida teha,tahtma,,,,part teha,part,,teha,
1889,tahtma,mida/keda*,tahtma,,,,part,part,,,
1890,tahtma,kuhu,tahtma,,,,all,all,,,
1891,taipama,mida teha,taipama,,,,part teha,part,,teha,
1892,tajuma,mida*,tajuma,,,,part,part,,,
1893,tajuma,et,tajuma,,,,et,,,,et
1894,takistama,mida tegemast,takistama,,,,part tegemast,part,,tegemast,
1895,takistama,keda/mida*,takistama,,,,part,part,,,
1896,takka kiitma,kellele/millele,kiitma,takka,,,all,all,,,
1897,talitama,kellega/millega,talitama,,,,kom,kom,,,
1898,talitsema,keda/mida*,talitsema,,,,part,part,,,
1899,talluma,millel,talluma,,,,ad,ad,,,
1900,taltsutama,keda,taltsutama,,,,part,part,,,
1901,taluma,keda/mida*,taluma,,,,part,part,,,
1902,tankiga üle sõitma,kellest/millest,sõitma,tankiga,üle,,el,el,,,
1903,taotlema,kust/kellelt,taotlema,,,,abl,abl,,,
1904,taotlema,mida*,taotlema,,,,part,part,,,
1905,taotlema,mida teha,taotlema,,,,part teha,part,,teha,
1906,tappa andma,kellele,andma,tappa,,,all,all,,,
1907,tarima,keda/mida,tarima,,,,part,part,,,
1908,tarnima,kellele,tarnima,,,,all,all,,,
1909,tarnima,mida,tarnima,,,,part,part,,,
1910,tarvitsema,mida teha,tarvitsema,,,,part teha,part,,teha,
1911,tassima,keda/mida,tassima,,,,part,part,,,
1912,tasu,mille eest,,tasu,,,gen eest,gen,eest,,
1913,tasuma,mida*,tasuma,,,,part,part,,,
1914,tasuma,mida teha,tasuma,,,,part teha,part,,teha,
1915,tasuma,kellele,tasuma,,,,all,all,,,
1916,tasuma,mille eest,tasuma,,,,gen eest,gen,eest,,
1917,tasustama,keda/mida,tasustama,,,,part,part,,,
1918,tatti panema,kellega,panema,tatti,,,kom,kom,,,
1919,tavatsema,mida teha,tavatsema,,,,part teha,part,,teha,
1920,teada andma,millest,andma,teada,,,el,el,,,
1921,teadma,mida*,teadma,,,,part,part,,,
1922,teadma,kellest/millest,teadma,,,,el,el,,,
1923,teadvustama,mida*,teadvustama,,,,part,part,,,
1924,teatama,millest,teatama,,,,el,el,,,
1925,teatama,kellele,teatama,,,,all,all,,,
1926,teatama,et,teatama,,,,et,,,,et
1927,teed sillutama,kellele/millele,sillutama,teed,,,all,all,,,
1928,teed tasandama,kellele/millele,tasandama,teed,,,all,all,,,
1929,teenindama,keda/mida*,teenindama,,,,part,part,,,
1930,teerulliga üle sõitma,kellest/millest,sõitma,teerulliga,üle,,el,el,,,
1931,teesklema,et,teesklema,,,,et,,,,et
1932,teesklema,keda/mida*,teesklema,,,,part,part,,,
1933,tegelema,millega,tegelema,,,,kom,kom,,,
1934,tegemist olema,millega/kellega,olema,tegemist,,,kom,kom,,,
1935,tegemist tegema,millega,tegema,tegemist,,,kom,kom,,,
1936,tegu olema,millega/kellega,olema,tegu,,,kom,kom,,,
1937,tegutsema,kellena,tegutsema,,,,es,es,,,
1938,teise ilma saatma,keda,saatma,teise,ilma,,part,part,,,
1939,tellima,kellelt,tellima,,,,abl,abl,,,
1940,teotama,keda/mida*,teotama,,,,part,part,,,
1941,teretama,keda*,teretama,,,,part,part,,,
1942,terve nahaga pääsema,millest,pääsema,terve,nahaga,,el,el,,,
1943,tervitama,keda*,tervitama,,,,part,part,,,
1944,tihkama,mida teha,tihkama,,,,part teha,part,,teha,
1945,tiiba ripsutama,kellega,ripsutama,tiiba,,,kom,kom,,,
1946,tiibu kärpima,kellel,kärpima,tiibu,,,ad,ad,,,
1947,tiibu kärpima,kelle,kärpima,tiibu,,,gen,gen,,,
1948,tiirlema,kelle ümber,tiirlema,,,,gen ümber,gen,ümber,,
1949,tiirutama,kelle ümber,tiirutama,,,,gen ümber,gen,ümber,,
1950,tiivad andma,mis/kes,andma,tiivad,,,nom,nom,,,
1951,tiivad andma,kellele,andma,tiivad,,,all,all,,,
1952,tikkuma,mida tegema,tikkuma,,,,part tegema,part,,tegema,
1953,tikkuma,kuhu,tikkuma,,,,all,all,,,
1954,tikutulega otsima,keda/mida*,otsima,tikutulega,,,part,part,,,
1955,tikutulega taga otsima,keda/mida*,otsima,tikutulega,taga,,part,part,,,
1956,tilgendama,millest,tilgendama,,,,el,el,,,
1957,tipnema,millega,tipnema,,,,kom,kom,,,
1958,toestama,millega,toestama,,,,kom,kom,,,
1959,toestama,mida,toestama,,,,part,part,,,
1960,toetama,vastu mida / mille vastu,toetama,,,,vastu part,part,vastu,,
1961,toetama,keda*,toetama,,,,part,part,,,
1962,toetama,vastu mida / mille vastu,toetama,,,,gen vastu,gen,vastu,,
1963,toetama,millele,toetama,,,,all,all,,,
1964,toetuma,mille vastu,toetuma,,,,gen vastu,gen,vastu,,
1965,toetuma,millele,toetuma,,,,all,all,,,
1966,tohtima,mida teha,tohtima,,,,part teha,part,,teha,
1967,toime saama,millega/kellega,saama,toime,,,kom,kom,,,
1968,toime tulema,milleta,tulema,toime,,,abes,abes,,,
1969,toime tulema,millega/kellega,tulema,toime,,,kom,kom,,,
1970,toimetama,kuhu,toimetama,,,,all,all,,,
1971,toimima,kuidas,toimima,,,,kuidas,,,,kuidas
1972,toituma,millest,toituma,,,,el,el,,,
1973,tolereerima,keda/mida*,tolereerima,,,,part,part,,,
1974,tolmu koguma,mis,koguma,tolmu,,,nom,nom,,,
1975,tonksama,keda/mida*,tonksama,,,,part,part,,,
1976,tonksama,kuhu,tonksama,,,,all,all,,,
1977,tonksama,millega,tonksama,,,,kom,kom,,,
1978,tooma,mida,tooma,,,,part,part,,,
1979,tooma,kust,tooma,,,,abl,abl,,,
1980,torkama,millega,torkama,,,,kom,kom,,,
1981,tormama,kuhu,tormama,,,,all,all,,,
1982,tormama,mida tegema,tormama,,,,part tegema,part,,tegema,
1983,tormi jooksma,millele/kellele,jooksma,tormi,,,all,all,,,
1984,traati tõmbama,kellele,tõmbama,traati,,,all,all,,,
1985,trahvima,keda*,trahvima,,,,part,part,,,
1986,trahvima,mille eest,trahvima,,,,gen eest,gen,eest,,
1987,treenima,keda*,treenima,,,,part,part,,,
1988,trehvama,kellega,trehvama,,,,kom,kom,,,
1989,trehvama,mida*,trehvama,,,,part,part,,,
1990,trehvama,millesse,trehvama,,,,ill,ill,,,
1991,trehvama,kuhu,trehvama,,,,all,all,,,
1992,troonilt tõukama,keda,tõukama,troonilt,,,part,part,,,
1993,truudust murdma,kellele/millele,murdma,truudust,,,all,all,,,
1994,trügima,kuhu,trügima,,,,all,all,,,
1995,trünnima,keda*,,trünnima,,,part,part,,,
1996,tsiteerima,keda/mida*,tsiteerima,,,,part,part,,,
1997,tuginema,millele,tuginema,,,,all,all,,,
1998,tuginema,millel,tuginema,,,,ad,ad,,,
1999,tuhnima,milles,tuhnima,,,,in,in,,,
2000,tuhnima,в чём,tuhnima,,,,в чём,,,,в;чём
2001,tuhnima,kus,tuhnima,,,,ad,ad,,,
2002,tuld avama,kelle pihta,avama,tuld,,,gen pihta,gen,pihta,,
2003,tuld otsa panema,millele,panema,tuld,otsa,,all,all,,,
2004,tuld otsa pistma,millele,pistma,tuld,otsa,,all,all,,,
2005,tuld räästasse panema,millele,panema,tuld,räästasse,,all,all,,,
2006,tuld võtma,millest,võtma,tuld,,,el,el,,,
2007,tulema,kuhu,tulema,,,,all,all,,,
2008,tulema,kust,tulema,,,,abl,abl,,,
2009,tulema,mida tegema,tulema,,,,part tegema,part,,tegema,
2010,tulema,millega,tulema,,,,kom,kom,,,
2011,tulema,mida tegemast,tulema,,,,part tegemast,part,,tegemast,
2012,tulema,kellel,tulema,,,,ad,ad,,,
2013,tulenema,millest,tulenema,,,,el,el,,,
2014,tulenema,kellele,tulenema,,,,all,all,,,
2015,tulistama,kelle/mille pihta,tulistama,,,,gen pihta,gen,pihta,,
2016,tulistama,keda/mida,tulistama,,,,part,part,,,
2017,tundma,keda*,tundma,,,,part,part,,,
2018,tundma,millisena,tundma,,,,es,es,,,
2019,tundma,kuidas,tundma,,,,kuidas,,,,kuidas
2020,tundma õppima,keda/mida*,õppima,tundma,,,part,part,,,
2021,tunduma,et,tunduma,,,,et,,,,et
2022,tunduma,mida tegevat,tunduma,,,,part tegevat,part,tegevat,,
2023,tungima,kuhu,tungima,,,,all,all,,,
2024,tunnetama,et,tunnetama,,,,et,,,,et
2025,tunnetama,keda/mida*,tunnetama,,,,part,part,,,
2026,tunnistama,mida*,tunnistama,,,,part,part,,,
2027,tunnistama,kelle/mille vastu,tunnistama,,,,gen vastu,gen,vastu,,
2028,tunnistama,milliseks,tunnistama,,,,tr,tr,,,
2029,tunnistama,et,tunnistama,,,,et,,,,et
2030,tunnistust andma,millest,andma,tunnistust,,,el,el,,,
2031,tunnustama,millega,tunnustama,,,,kom,kom,,,
2032,turja kargama,kellele,kargama,turja,,,all,all,,,
2033,turjal liugu laskma,kelle,laskma,turjal,liugu,,gen,gen,,,
2034,tutvuma,kellega,tutvuma,,,,kom,kom,,,
2035,tutvustama,keda*,tutvustama,,,,part,part,,,
2036,tutvustama,kellele,tutvustama,,,,all,all,,,
2037,tuult alla tegema,millele/kellele,tegema,tuult,alla,,all,all,,,
2038,tuupi andma,kellele,andma,tuupi,,,all,all,,,
2039,tuupi saama,kellelt,saama,tuupi,,,abl,abl,,,
2040,tuupi saama,kelle käest,saama,tuupi,,,gen käest,gen,käest,,
2041,tuupi tegema,kellele,tegema,tuupi,,,all,all,,,
2042,tuvastama,et,tuvastama,,,,et,,,,et
2043,tähele panema,et,panema,tähele,,,et,,,,et
2044,tähele panema,keda/mida*,panema,tähele,,,part,part,,,
2045,tähelepanu juhtima,millele,juhtima,tähelepanu,,,all,all,,,
2046,tähelepanu pöörama,millele/kellele,pöörama,tähelepanu,,,all,all,,,
2047,tähendama,mida*,tähendama,,,,part,part,,,
2048,tähendama,et,tähendama,,,,et,,,,et
2049,tähistama,mida*,tähistama,,,,part,part,,,
2050,täiendama,mida*,täiendama,,,,part,part,,,
2051,täima,mida teha,täima,,,,part teha,part,,teha,
2052,täis jootma,keda,jootma,täis,,,part,part,,,
2053,täis valguma,mida*,valguma,täis,,,part,part,,,
2054,täitma,millega,täitma,,,,kom,kom,,,
2055,täituma,kellega/millega,täituma,,,,kom,kom,,,
2056,tänama,keda/mida*,tänama,,,,part,part,,,
2057,tänama,mida tegemast,tänama,,,,part tegemast,part,,tegemast,
2058,tänama,mille eest,tänama,,,,gen eest,gen,eest,,
2059,tänavale tõstma,keda,tõstma,tänavale,,,part,part,,,
2060,tänavale viskama,keda,viskama,tänavale,,,part,part,,,
2061,täpsustama,kas,täpsustama,,,,kas,,,,kas
2062,tõdema,et,tõdema,,,,et,,,,et
2063,tõestama,et,tõestama,,,,et,,,,et
2064,tõmbama,kuhu,tõmbama,,,,all,all,,,
2065,tõmbama,millega,tõmbama,,,,kom,kom,,,
2066,tõmbama,mida teha,tõmbama,,,,part teha,part,,teha,
2067,tõmbama,millesse,tõmbama,,,,ill,ill,,,
2068,tõrelema,mille pärast,tõrelema,,,,gen pärast,gen,pärast,,
2069,tõrelema,kellega,tõrelema,,,,kom,kom,,,
2070,tõrjuma,keda*,tõrjuma,,,,part,part,,,
2071,tõrkuma,mida tegemast,tõrkuma,,,,part tegemast,part,,tegemast,
2072,tõrvama,keda/mida*,tõrvama,,,,part,part,,,
2073,tõstma,keda/mida,tõstma,,,,part,part,,,
2074,tõtt vaatama,kellega/millega,vaatama,tõtt,,,kom,kom,,,
2075,tõtt vahtima,kellega/millega,vahtima,tõtt,,,kom,kom,,,
2076,tögama,keda*,tögama,,,,part,part,,,
2077,töötama,kus,töötama,,,,ad,ad,,,
2078,töötama,kellena,töötama,,,,es,es,,,
2079,tüdima,kellest/millest,tüdima,,,,el,el,,,
2080,tüdinema,kellest/millest,tüdinema,,,,el,el,,,
2081,tühistama,keda,tühistama,,,,part,part,,,
2082,tükkima,mida tegema,tükkima,,,,part tegema,part,,tegema,
2083,tülitama,keda*,tülitama,,,,part,part,,,
2084,tülitama,millega,tülitama,,,,kom,kom,,,
2085,tülitsema,kellega,tülitsema,,,,kom,kom,,,
2086,tülitsema,mille pärast,tülitsema,,,,gen pärast,gen,pärast,,
2087,tülpima,kellest/millest,tülpima,,,,el,el,,,
2088,tünga tegema,kellele,tegema,tünga,,,all,all,,,
2089,tüütama,keda*,tüütama,,,,part,part,,,
2090,uhkeldama,millega,uhkeldama,,,,kom,kom,,,
2091,uhkustama,millega,uhkustama,,,,kom,kom,,,
2092,uksele koputama,mis,koputama,uksele,,,nom,nom,,,
2093,ulatama,milleni,ulatama,,,,term,term,,,
2094,ulatama,mida tegema,ulatama,,,,part tegema,part,,tegema,
2095,ulatama,kellele,ulatama,,,,all,all,,,
2096,ulatama,mida,ulatama,,,,part,part,,,
2097,ulatuma,kuhu,ulatuma,,,,all,all,,,
2098,ulatuma,mida tegema,ulatuma,,,,part tegema,part,,tegema,
2099,ulatuma,milleni,ulatuma,,,,term,term,,,
2100,umbusaldama,keda/mida*,umbusaldama,,,,part,part,,,
2101,unistama,et,unistama,,,,et,,,,et
2102,unistama,millest/kellest,unistama,,,,el,el,,,
2103,unustama,mida tegemata,unustama,,,,part tegemata,part,,tegemata,
2104,unustama,kuhu,unustama,,,,all,all,,,
2105,unustama,mida teha,unustama,,,,part teha,part,,teha,
2106,uppuma,kuhu,uppuma,,,,all,all,,,
2107,usaldama,keda*,usaldama,,,,part,part,,,
2108,usaldama,kellele,usaldama,,,,all,all,,,
2109,usaldama,mida teha,usaldama,,,,part teha,part,,teha,
2110,usaldama,kelle kätte,usaldama,,,,gen kätte,gen,kätte,,
2111,uskuma,keda/mida*,uskuma,,,,part,part,,,
2112,uskuma,kellesse/millesse,uskuma,,,,ill,ill,,,
2113,uskuma,et,uskuma,,,,et,,,,et
2114,ust näitama,kellele,näitama,ust,,,all,all,,,
2115,usutlema,keda*,usutlema,,,,part,part,,,
2116,uudistama,keda/mida*,uudistama,,,,part,part,,,
2117,uurima,keda/mida*,uurima,,,,part,part,,,
2118,uut ja vana tegema,kellele,tegema,uut,ja,vana,all,all,,,
2119,vaatama,keda/mida*,vaatama,,,,part,part,,,
2120,vaatama,kelle/mille järele,vaatama,,,,gen järele,gen,järele,,
2121,vaatlema,mida*,vaatlema,,,,part,part,,,
2122,vaba voli andma,kellele,andma,vaba,voli,,all,all,,,
2123,vabadus,mida teha,,vabadus,,,part teha,part,,teha,
2124,vabandama,keda/mida*,vabandama,,,,part,part,,,
2125,vabandama,millega,vabandama,,,,kom,kom,,,
2126,vabandama,et,vabandama,,,,et,,,,et
2127,vabandama,kelle ees,vabandama,,,,gen ees,gen,ees,,
2128,vabanema,millest,vabanema,,,,el,el,,,
2129,vabanema,kust,vabanema,,,,abl,abl,,,
2130,vabastama,millest,vabastama,,,,el,el,,,
2131,vabastama,mille tõttu,vabastama,,,,gen tõttu,gen,tõttu,,
2132,vaeva nägema,millega,nägema,vaeva,,,kom,kom,,,
2133,vaeva nägema,mille kallal,nägema,vaeva,,,gen kallal,gen,kallal,,
2134,vaevuma,mida tegema,vaevuma,,,,part tegema,part,,tegema,
2135,vahelduma,kellega/millega,vahelduma,,,,kom,kom,,,
2136,vahele jääma,millega,jääma,vahele,,,kom,kom,,,
2137,vahele rääkima,kellele,rääkima,vahele,,,all,all,,,
2138,vahele segama,kellele/millele,segama,vahele,,,all,all,,,
2139,vahele tõmbama,keda,tõmbama,vahele,,,part,part,,,
2140,vahele tõmbama,millega,tõmbama,vahele,,,kom,kom,,,
2141,vahele võtma,mille eest,võtma,vahele,,,gen eest,gen,eest,,
2142,vahele võtma,keda,võtma,vahele,,,part,part,,,
2143,vahendama,millest,vahendama,,,,el,el,,,
2144,vahendama,millesse,vahendama,,,,ill,ill,,,
2145,vahetama,milleks,vahetama,,,,tr,tr,,,
2146,vahetama,mida,vahetama,,,,part,part,,,
2147,vahetama,mille vastu,vahetama,,,,gen vastu,gen,vastu,,
2148,vaidlema,mille üle,vaidlema,,,,gen üle,gen,üle,,
2149,vaidlema,kellega,vaidlema,,,,kom,kom,,,
2150,vaimustuma,kellest/millest,vaimustuma,,,,el,el,,,
2151,vaipa alt tõmbama,kellel/millel,tõmbama,vaipa,alt,,ad,ad,,,
2152,vaipa alt ära tõmbama,kellel/millel,tõmbama,vaipa,alt,ära,ad,ad,,,
2153,vajama,keda/mida*,vajama,,,,part,part,,,
2154,vajuma,millesse,vajuma,,,,ill,ill,,,
2155,vajuma,kuhu,vajuma,,,,all,all,,,
2156,vaktsineerima,mille vastu,vaktsineerima,,,,gen vastu,gen,vastu,,
2157,valama,kuhu,valama,,,,all,all,,,
2158,valdama,mida*,valdama,,,,part,part,,,
2159,valetama,kellele,valetama,,,,all,all,,,
2160,valgust näitama,millega,näitama,valgust,,,kom,kom,,,
2161,valima,kelleks,valima,,,,tr,tr,,,
2162,valima,millesse,valima,,,,ill,ill,,,
2163,valima,millest / mille hulgast,valima,,,,gen hulgast,gen,hulgast,,
2164,valima,kas,valima,,,,kas,,,,kas
2165,valima,millest / mille hulgast,valima,,,,el,el,,,
2166,valima,mille vahel,valima,,,,gen vahel,gen,vahel,,
2167,valimisvankri ette rakendama,keda/mida,rakendama,valimisvankri,ette,,part,part,,,
2168,vallandama,mille pärast,vallandama,,,,gen pärast,gen,pärast,,
2169,valmis jõudma,millega,jõudma,valmis,,,kom,kom,,,
2170,valmis seadma,milleks,seadma,valmis,,,tr,tr,,,
2171,valmis seadma,mis/kes,seadma,valmis,,,nom,nom,,,
2172,valmistuma,milleks,valmistuma,,,,tr,tr,,,
2173,valmistuma,mida tegema,valmistuma,,,,part tegema,part,,tegema,
2174,valu andma,kellele,andma,valu,,,all,all,,,
2175,valvama,mida/keda*,valvama,,,,part,part,,,
2176,valvama,kelle/mille järele,valvama,,,,gen järele,gen,järele,,
2177,valvama,mille üle,valvama,,,,gen üle,gen,üle,,
2178,vankri ette rakendama,kelle/mille,rakendama,vankri,ette,,gen,gen,,,
2179,vankrit vedama,mille,vedama,vankrit,,,gen,gen,,,
2180,vaos hoidma,keda/mida,hoidma,vaos,,,part,part,,,
2181,vapustama,keda/mida*,vapustama,,,,part,part,,,
2182,varastama,kust,varastama,,,,abl,abl,,,
2183,varba peale astuma,kellele,astuma,varba,peale,,all,all,,,
2184,varjama,mille eest,varjama,,,,gen eest,gen,eest,,
2185,varju heitma,kellele/millele,heitma,varju,,,all,all,,,
2186,varjust välja astuma,kelle/mille,astuma,varjust,välja,,gen,gen,,,
2187,varna riputama,mida,riputama,varna,,,part,part,,,
2188,varustama,millega,varustama,,,,kom,kom,,,
2189,varustama,keda/mida,varustama,,,,part,part,,,
2190,vastama,millega,vastama,,,,kom,kom,,,
2191,vastama,kellele/millele,vastama,,,,all,all,,,
2192,vastanduma,kellele/millele,vastanduma,,,,all,all,,,
2193,vastu ajama,millele,ajama,vastu,,,all,all,,,
2194,vastu hakkama,kellele,hakkama,vastu,,,all,all,,,
2195,vastu käima,kellele,käima,vastu,,,all,all,,,
2196,vastu minema,kellele,minema,vastu,,,all,all,,,
2197,vastu olema,millele/kellele,olema,vastu,,,all,all,,,
2198,vastu panema,kellele/millele,panema,vastu,,,all,all,,,
2199,vastu pidama,millele,pidama,vastu,,,all,all,,,
2200,vastu saama,kellele,saama,vastu,,,all,all,,,
2201,vastu seisma,kellele/millele,seisma,vastu,,,all,all,,,
2202,vastu tatti andma,kellele,andma,vastu,tatti,,all,all,,,
2203,vastu tegutsema,millele/kellele,tegutsema,vastu,,,all,all,,,
2204,vastu tulema,kellele,tulema,vastu,,,all,all,,,
2205,vastu tulema,milles,tulema,vastu,,,in,in,,,
2206,vastu vaidlema,milles,vaidlema,vastu,,,in,in,,,
