sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
21062397,34,38,vana,nom,+Tin-Man: vimka heakyll ma ei tea vana ta on :P,xcomp,"nom,pos,sg"
16101504,62,67,keema,ill,Igal hommikul paneb peaõllemeister uhketes vasksetes kateldes keema 1000 liitrit õlut .,xcomp,"ill,main,ps,sup"
669585,10,15,looma,ill,"Ta õpetab looma ja hoidma vastastikku kasulikke ja püsivaid partnerlussuhteid ( nii isiklikus elus kui äris ) , väärtustama erinevustest sündivat arengut , olema valmis kehaliseks , vaimseks , sotsiaalseks ja hingeliseks uuenemiseks .",xcomp,"aux,ill,ps,sup"
8611113,32,37,käima,ill,Üsna tujutul ilmel pani ta auto käima .,xcomp,"ill,main,ps,sup"
1815074,95,100,saama,ill,""" Pärast Washingtoni leitakse tee , kus on selged verstapostid , mis julgustavad teisigi riike saama osaks Euroopa julgeolekuperest , "" rääkis Robertson ühest võimalikust alternatiivist .",xcomp,"ill,main,ps,sup"
1143637,27,32,käima,ill,Teised panevad televiisori käima meelikõditavast võimalusest täbarasse olukorda sattujate üle mõnusasti naeru mugistada .,xcomp,"ill,main,ps,sup"
11881137,145,149,head,nom,"Hodorkovski advokaatide sõnul sarnaneb kohtuotsus äravahetamiseni prokuröri süüdistuskokkuvõttega , mis ei tähenda Jukose eksjuhist kohtualusele head .",xcomp,"nom,pl,pos"
950085,130,135,saama,ill,"Koos oma fotograafist kallima Svennega ( 29 ) plaanib Evelyn teha reklaamfilmi , kus ta julgustab noori ilma meelemürkideta toime saama .",xcomp,"aux,ill,ps,sup"
9306099,117,122,saama,ill,"Tähtis on , et me vajame seda kunsti , mida tehakse meie kõrval ning õpime selle kunsti kaudu nendest inimestest aru saama , ” selgitas Priimägi sellelaadse kunsti olulisust .",xcomp,"ill,mod,ps,sup"
15316955,51,56,käima,ill,"Mägaiver on kajutis ning paneb siis teleka valjult käima , üks terroristidest tuleb kajutisse ja kontrollib , teine on paar kajutit eespool .",xcomp,"ill,mod,ps,sup"
16986403,20,25,käima,ill,Uus keskkond lükkas käima ka aktiivse pereelu .,xcomp,"ill,mod,ps,sup"
15407836,44,48,head,nom,_mida oskaks igaüks meist öelda Harri kohta head ?,xcomp,"nom,pl,pos"
15138499,109,114,sööma,ill,"« Paljudest kroonilistest haigustest ja ka liigsest kehakaalust on võimalik jagu saada , kui inimesed õpivad sööma neile sobivaid toiduaineid , » ütlevad Eestis ainulaadse immunoloogilise dieedi propageerijad doktorid Adik Levin ja Marina Rozenstein .",xcomp,"ill,main,ps,sup"
9959185,146,151,käima,ill,"Uus film räägib sellest , kuidas Saamuel Pliuhkam satub internetti , muutub arvutiviiruseks , ostab ära kõik failid , baidid ja meilid ning paneb käima viinatootmise .",xcomp,"aux,ill,ps,sup"
8444309,65,69,vaba,nom,"Püüan mitte klammerduda mingisse kindlasse paika , eelistan olla vaba .",xcomp,"nom,pos,sg"
4554060,32,37,käima,ill,"Pat Burke ja Alan Jenkins panid käima firma Auld Sod Export Co , mis kaevab ja pakendab Corki linna lähistel mulda , ning tõdevad , et nõudlus "" ametliku Iirimaa mulla "" järele on teisel pool Atlandit lausa fenomenaalne .",xcomp,"ill,mod,ps,sup"
19532034,27,32,käima,ill,goldenhair: l2tilesbi pane käima ja sheigi :P,xcomp,"ill,mod,ps,sup"
15472808,37,42,lööma,ill,"Sõjaväe õpin ma paremini jalaga pähe lööma , kui mõne treeneri juures ?",xcomp,"aux,ill,ps,sup"
7073739,204,209,jääma,ill,"Alguses kavatses Linda jääda ainult ajutiselt ning siis laste juurde tagasi minna , kuid Armin kartis , et Jaagu naine külas nende asukohast ja toiduga varustajast liiga palju räägib ning keelitas Lindat jääma .",xcomp,"aux,ill,ps,sup"
16608704,11,16,keema,ill,Paneks vee keema ja keedaks ....,xcomp,"ill,mod,ps,sup"
7530380,50,55,keema,ill,"Kui minu poole jõudsime , panin hakatuseks teevee keema .",xcomp,"ill,main,ps,sup"
11955427,58,62,kõva,nom,"Pikas ujulas pole ju võistlusi peetud , ja kui tahad MMil kõva olla , ei saa ju end valel ajal tippvormi ajadagi !",xcomp,"nom,pos,sg"
13716253,33,38,käima,ill,Esikolmikusse tulek paneks kätel käima,xcomp,"ill,main,ps,sup"
798332,45,50,raske,nom,"Eesti Päevaleht soovitab Johannes Kerdil nii raske kui see ka poleks neelata alla isiklik solvumine ning teha valik lähtuvalt sellest , kus oleks temast Eesti riigile enim kasu .",xcomp,"nom,pos,sg"
6290724,21,26,käima,ill,"Plõks , paned teleka käima ja midagi sealt ikka tuleb , võid lösutada ja lasta mõtetel oma teed käia .",xcomp,"ill,mod,ps,sup"
