cnt,lemma
14,pisipõnn
14,pesamuna
14,peretütar
14,pensionieelik
14,parteijuht
14,niiditõmbaja
14,narkoärikas
14,narkar
14,naisõiguslane
14,naistudeng
14,naisolevus
14,möödasõitja
14,muusikasõber
14,muusikahuviline
14,mittesuitsetaja
14,metsnik
14,metsaülem
14,meesõpetaja
14,meessuusataja
14,mantlipärija
14,maailmaparandaja
14,luureametnik
14,lukksepp
14,lollike
14,lohe
14,lehemees
14,lasteaialaps
14,lasteaed
14,lapsepõlvesõber
14,laevandusettevõtja
14,laenuvõtja
14,küünik
14,käsutaja
14,kõrvaltvaataja
14,kunstikoguja
14,kuldkala
14,kratt
14,kosilane
14,koorilaulja
14,koolmeister
14,kontserdikülastaja
14,konsul
14,koalitsioonipartner
14,koalitsioonikaaslane
14,keskkoolilõpetaja
14,kasupoeg
14,kameeleon
14,kaitseingel
14,juuratudeng
14,jutlustaja
14,islamiterrorist
14,iseseisvuslane
14,isemõtleja
14,idasakslane
14,hüppaja
14,herilane
14,hankija
14,firmaomanik
14,filmilooja
14,esiisa
14,eriesindaja
14,eridemineerija
14,eratarbija
14,eksabikaasa
14,dessantväelane
14,demagoog
14,baltlane
14,aadlimees
13,üliõpilaskandidaat
13,ätt
13,võõrleegionär
13,võitluskaaslane
13,võimumees
13,võimleja
13,vanglatöötaja
13,tööinspektor
13,täitevvõim
13,tõusik
13,tõstja
13,tiibetlane
13,tatarlane
13,taimetoitlane
13,süüalune
13,sümfooniaorkester
13,sõbrad-tuttav
13,suursponsor
13,supermodell
13,spets
13,sotsiaalkomisjon
13,snoob
13,sisseastuja
13,sarimõrtsukas
13,rüüstaja
13,rännumees
13,rulluisutaja
13,reisikorraldaja
13,regionaalminister
13,ratsu
13,põhitegija
13,provokaator
13,poolkaitsja
13,poodnik
13,politseiuurija
13,poepidaja
13,pingviin
13,perepoeg
13,patroon
13,palgamõrtsukas
13,pakistanlas
13,nõbu
13,naispensionär
13,naislaulja
13,naiskodanik
13,naiskirjanik
13,naarits
13,muusa
13,megastaar
13,meesnäitleja
13,mardikas
13,manager
13,majandusnõunik
13,majandusinimene
13,maapoliitik
13,lõhe
13,lunastaja
13,liputaja
13,linnaosavanem
13,linnalaps
13,liikuja
13,lihttööline
13,leopard
13,külapoiss
13,kõrilõikaja
13,kosmeetik
13,konstruktor
13,koguja
13,kirp
13,kindralkuberner
13,keskkaitsja
13,kaukaaslane
13,karjus
13,karikaturist
13,kaksikõde
13,kaasvõitleja
13,kaalujälgija
13,juurdleja
13,jutuvestja
13,istuja
13,islandlane
13,islamisiss
13,inimõiguslane
13,individualist
13,hooldustöötaja
13,hiireke
13,hiid
13,harrastuskalamees
13,gangster
13,emakaru
13,ekspresident
13,ehitusettevõtja
13,eesistuja
13,barbar
13,aukonsul
13,arvuti
13,argpüks
13,argentiinlane
13,andmeesitaja
13,andja
13,allergik
12,üüriline
12,ühendriiklane
12,ööbik
12,ähvardaja
12,õhtujuht
12,viirusekandja
12,veinisõber
12,vanavanaema
12,vallaametnik
12,vaeslaps
12,uusmeremaalane
12,usujuht
12,tüdrukuke
12,tööloom
12,töödejuhataja
12,transvestiit
12,tobu
12,titt
12,tita
12,telefoniomanik
12,tartlanna
12,tantsujuht
12,tagaotsitav
12,sündinu
12,suuromanik
12,skaut
12,sisekujundaja
12,saadikukandidaat
12,röövpüüdja
12,ristiisa
12,reformist
12,raviarst
12,püssimees
12,projekteerija
12,primaat
12,pretendent
12,politseiülem
12,politoloog
12,pisisuli
12,pintsaklipslane
12,peaspetsialist
12,parkija
12,nigeerlane
12,naistemees
12,naiskunstnik
12,naiskolleeg
12,naabripoiss
12,musketär
12,metskond
12,meresõitja
12,mehhiklane
12,meestuttav
12,meestantsija
12,meesmodell
12,marurahvuslane
12,majandusjuht
12,majanaaber
12,majahoidja
12,maamõõtja
12,lähisugulane
12,loode
12,linnuke
12,lill
12,lehmapidaja
12,laululaps
12,lapsesuu
12,lapsendaja
12,lahkunu
12,laevakapten
12,küüditatu
12,küüditaja
12,käsitöömeister
12,kriminaalpolitsei
12,kriminaalkurjategija
12,koputaja
12,koalitsioonipoliitik
12,kloon
12,kilplane
12,keeleõpetaja
12,kasuvanem
12,karjerist
12,kariloom
12,kalakasvataja
12,kaardilugeja
12,järelevaataja
12,jalutaja
12,jalgpalliklubi
12,inimmass
12,imeloom
12,imeinimene
12,idanaaber
12,helimees
12,haug
12,haridustöötaja
12,haridusametnik
12,gei
12,ekspolitseinik
12,eideke
12,draakon
12,boyfriend
12,antropoloog
12,algklassilaps
12,akrobaat
11,üürivõlglane
11,välismängija
11,vokalist
11,viievõistleja
11,varustaja
11,varumees
11,vandemees
11,vanamehenäss
11,täitja
11,tippteadlane
11,teletöötaja
11,telemees
11,talunaine
11,talitaja
11,süütaja
11,suuraktsionär
11,sumomaadleja
11,suguõde
11,staabiohvitser
11,soovitaja
11,soomeugrilane
11,sisserännanu
11,sina
11,semiootik
11,seakasvataja
11,samurai
11,rüblik
11,rästik
11,roomlane
11,riigiprokurör
11,rasvatihane
11,rahvaliitlane
11,raadiokuulaja
11,pühamees
11,põhimees
11,primadonna
11,presidendiproua
11,pommipanija
11,poistekamp
11,plikake
11,pisipoiss
11,piiriületaja
11,peretuttav
11,perekonnapea
11,perekonnainimene
11,peasponsor
11,pangaametnik
11,oskaja
11,omainimene
11,näkk
11,nina
11,narr
11,narkosõltlane
11,naistearst
11,naissportlane
11,naispolitseinik
11,määrdemeister
11,mägiveis
11,muuseumitöötaja
11,multimiljonär
11,mormoon
11,metallivaras
11,mereväeohvitser
11,meeskoor
11,meeshääl
11,meelelahutaja
11,meedium
11,meediapersoon
11,majandustegelane
11,maalaps
11,logopeed
11,loendaja
11,likvideerija
11,liigikaaslane
11,leinaja
11,lahkuja
11,kuuluja
11,kunstihuviline
11,kunst
11,kriminaal
11,kreeditor
11,korstnapühkija
11,korrarikkuja
11,kondiiter
11,kolhoosnik
11,kolhoosiesimees
11,koduõpetaja
11,kodanikeühendus
11,kinnisvaraomanik
11,kettaheitja
11,keskkriminaalpolitseinik
11,keskkoolinoor
11,kaubasaatja
11,karpkala
11,karjäärinaine
11,kandideerija
11,kammerkoor
11,kaasaelajas
11,jälitaja
11,julgeolekuohvitser
11,jugoslaavlane
11,jooksik
11,jazzmuusik
11,jaoskonnaarst
11,jalgpallikoondis
11,härrased
11,homopaar
11,haiglaõde
11,hageja
11,golfimängija
11,füüsikaõpetaja
11,füsioterapeut
11,eriväelane
11,eraarst
11,elajas
11,ekspeaminister
11,eelkõneleja
11,dotsent
11,diletant
11,baarimees
11,avantürist
11,autosõitja
11,askeet
11,asjapulk
11,arvutifriik
11,armunu
11,alustaja
11,abiõpetaja
11,abiprokurör
10,ülesostja
10,ülalpeetav
10,ärireisija
10,äi
10,õemees
10,välisüliõpilane
10,väikeärimees
10,väiketalunik
10,väikekodanlane
10,väepealik
10,võõrasema
10,viinanina
10,vihavaenlane
10,vestluspartner
10,vallasema
10,vallasekretär
10,valgustaja
10,usaldusalune
10,uitaja
10,uimastisõltlane
10,tunnimees
10,tsiviilametnik
10,tippsuusataja
10,teraviljakasvataja
10,teletäht
10,teletegija
10,tekstiilikunstnik
10,tegeleja
10,teemeister
10,teatriinimene
10,teatrihuviline
10,teadja
10,tarvitaja
10,tantsuõpetaja
10,zombi
10,sünnipäevalaps
10,sülelaps
10,sööja
10,sõrm
10,suitsiiditerrorist
10,suhkruhaige
10,slaavlane
10,skandinaavlane
10,seltskonnainimene
10,seisja
10,satanist
10,riigisekretär
10,rahvusvähemus
10,rahvamuusik
10,pööbel
10,päästeingel
10,päevakangelane
10,põlvkonnakaaslane
10,põdravasikas
10,psühhoterapeut
10,pruunkaru
10,popartist
10,poni
10,politseiohvitser
10,poisse-tüdruk
10,pihiisa
10,paarimees
10,onupoeg
10,närv
10,noorsoopolitseinik
10,nominent
10,neiuke
10,nastik
10,mundrimees
10,moedisainer
10,minategelane
10,meessõber
10,meediategelane
10,massimõrvar
10,marjuline
10,marakratt
10,läbiviija
10,lõbunaine
10,lumelaudur
10,lord
10,lillemüüja
10,liibüalane
10,libamaakler
10,lennureisija
10,lasteaednik
10,käsipallur
10,kährikkoer
10,kõrvaltegelane
10,kõiketeadja
10,kõhkleja
10,kultuurrahvas
10,krundiomanik
10,kordnik
10,koolijüts
10,kontoriinimene
10,kolonist
10,kodueestlane
10,klaverimängija
10,kehastaja
10,kasupere
10,kasakas
10,kartulikasvataja
10,karjane
10,kannibal
10,kaaslanna
10,jääkaru
10,joonistaja
10,jooksupoiss
10,iseõppija
10,inkassaator
10,humanist
10,hoor
10,homoseksualist
10,hokimängija
10,hobu
10,hangeldaja
10,halduskohtunik
10,gay
10,fondivalitseja
10,filmiprodutsent
10,farmatseut
10,esinaine
10,eriteadlane
10,eramuomanik
10,emahunt
10,edendaja
10,dzhentelmen
10,destilleerija
10,botaanik
10,bolševik
10,bask
10,balletitantsija
10,asutajaliige
10,asiaat
10,aselinnapea
10,apostel
10,antikangelane
10,anestesioloog
10,allhankija
