cnt,lemma
76,poolehoidja
76,meedik
76,koolitüdruk
76,kadett
76,hispaanlane
76,eakaaslane
76,ametimees
75,turvatöötaja
75,rahuvalvaja
75,naabrimees
74,poisslaps
74,järglane
74,juunior
74,idioot
74,filosoof
74,entusiast
73,töökaaslane
73,justiitsminister
72,taanlane
72,spioon
72,osutaja
72,ori
72,intellektuaal
72,beebi
72,asjamees
72,alkohoolik
71,väravavaht
71,vedaja
71,valijamees
71,tuuker
71,skeptik
71,poeet
71,peatreener
71,helistaja
71,eraettevõtja
71,audiitor
71,araablane
70,volinik
70,valitsusjuht
70,pruut
70,proff
70,kutsealune
70,kaitse
70,farmer
70,abilinnapea
69,näitlejatar
69,mõtleja
69,mehike
69,kutsikas
69,eestimaalane
68,tšetšeen
68,taat
68,piimatootja
68,nõid
68,notar
68,kaitseminister
68,häkker
68,eksportija
68,asukas
68,abiturient
67,vasikas
67,päkapikk
67,perekonnaliige
67,memm
67,diktaator
66,veidrik
66,suli
66,elevant
65,mootorrattur
65,metsavend
65,kristlane
65,koduperenaine
65,kael
65,ingel
65,importija
64,väikeaktsionär
64,vastsündinu
64,usaldusisik
64,tõlk
64,sotsialist
64,prints
64,pealtnägija
64,mõrtsukas
64,komandör
64,kohtualune
64,hollandlane
63,pianist
63,parlamendisaadik
63,mänedžer
63,kuninganna
63,ihukaitsja
63,ahv
62,spekulant
62,senaator
62,pereema
62,liikluspolitseinik
62,kunde
62,ettekandja
61,vastaja
61,tippsportlane
61,rebane
61,meditsiiniõde
61,madu
61,austraallane
60,ülevaade
60,vabariiklane
60,tööotsija
60,tennisist
60,tavakodanik
60,püsiklient
60,neeger
60,kuberner
60,jalg
59,tugiisik
59,printsess
59,olümpiavõitja
59,mitte-eestlane
59,luuraja
59,kirjutaja
59,kirjastaja
59,huligaan
58,üksikema
58,tolliametnik
58,mittekodanik
58,maletaja
58,maailmameister
58,kelner
58,kardinal
58,isand
58,administraator
57,lõpetanu
57,luuser
57,kreeklane
57,kooliõpetaja
57,konn
56,lendur
56,erusõjaväelane
56,boss
55,võidusõitja
55,veis
55,tarnija
55,surm
55,pankrotihaldur
55,meeskodanik
54,piiskop
54,peasekretär
54,nõuandja
54,koristaja
54,kinnisvaraarendaja
54,indiaanlane
54,hull
53,väikeinvestor
53,suitsetaja
53,patrioot
53,pagulane
53,kriminaalpolitseinik
53,hoolealune
52,väikeettevõtja
52,võlgnik
52,mõttekaaslane
52,liikleja
52,korrespondent
52,kommentaator
52,haritlane
52,abielumees
51,õppija
51,õlg
51,ungarlane
51,saarlane
51,osavõtja
51,noorpaar
51,maalija
51,loomaarst
51,korrapidaja
51,koondislane
51,koolijuht
51,kerjus
51,instruktor
51,ameeriklanna
50,äripartner
50,suurkuju
50,semu
50,rahvaesindaja
50,maamees
50,kits
50,esivanem
49,vanake
49,süda
49,palverändur
49,luik
49,laureaat
49,külaelanik
49,kurikael
49,illegaal
49,iidol
49,esitaja
48,vares
48,tippametnik
48,tankist
48,prohvet
48,poksija
48,pettur
48,pastor
48,omavalitsusjuht
48,majaelanik
48,linnainimene
48,külamees
48,hukkunu
48,arendaja
47,ukrainlane
47,tänavalaps
47,skulptor
47,roolijoodik
47,projektijuht
47,peni
47,kassipoeg
46,äärmuslane
46,vanamutt
46,vanadaam
46,tšehh
46,sprinter
46,seikleja
46,rahvuslane
46,psühhiaater
46,peatoimetaja
46,palgasõdur
46,otsustaja
46,nunn
46,mängumees
46,mänedzher
46,maadleja
46,kultuuriinimene
46,koreograaf
46,kirikuõpetaja
46,harrastaja
46,filoloog
46,elusolend
45,vabadusvõitleja
45,tegevjuht
45,rektor
45,optimist
45,moekunstnik
45,meditsiinitöötaja
45,massöör
45,linnaelanik
45,korravalvur
45,klassivend
45,kindlustusandja
45,kaastöötaja
45,kaaskodanik
45,iirlane
45,idealist
45,haridusminister
45,asepresident
45,aseesimees
45,abivajaja
44,vanamemm
44,uustulnuk
44,tööinimene
44,tapja
44,tahe
44,sotsiaalminister
44,soomlanna
44,pühak
44,osanik
44,olija
44,noorsand
44,lastevanem
44,kelm
44,hääletaja
43,teener
43,superstaar
43,rikkuja
43,pärnakas
43,narkokuller
43,müügimees
43,mässaja
43,mesilane
43,majandusteadlane
43,lennuettevõtja
43,koll
43,keskerakondlane
43,kaasettekandja
43,hiiglane
43,eestvedaja
42,äriklient
42,vanavanem
42,turvafirma
42,sõjavang
42,sõbratar
42,seltsimees
42,riigitegelane
42,päästetöötaja
42,pull
42,palgamõrvar
42,maniakk
42,liberaal
42,leibkond
42,komissar
42,karupoeg
42,juhtivtöötaja
42,hindaja
42,eraklient
42,bürokraat
42,austerlane
41,ämm
41,võimalus
41,vennike
41,valijaskond
41,uusrikas
41,tiiger
41,tavainimene
41,zhürii
41,rahvasaadik
41,põllumajandusminister
41,protestija
41,osakonnajuhataja
41,oligarh
41,narkodiiler
