,lemma,form,naitelause
252,lödi,lödiks,tomatilahingus loopis võitlejat üksteise pihta lödiks tomateid
254,raskem,raskemaks,Teades sättisime aerud raskemaks
255,häbimärg,häbimärjaks,Nendega loobib mehe naksti häbimärjaks
256,kaunistus,kaunistuseks,Kõige peale säti kaunistuseks maasikad
258,hirm,hirmuks,hirmuks loobivad ameeriklased mäenõlvadele lõhkekehi
260,karikaturniir,karikaturniiriks,Pere sätivad vormi karikaturniiriks
261,kompensatsioon,kompensatsiooniks,kompensatsiooniks paiskan ma temperamendi ajel vajakajäämised välja
263,vabam,vabamaks,Mercedes-Benz raputab end imagost järjekindlalt vabamaks
264,samasugudse,samasugudseks,säti need XP-s samasugudseks
265,püha,pühadeks,Jagades sätib kultuurisekretär ka ennast pühadeks valmis
268,pikem,pikemaks,tiris pikemaks
271,näide,näiteks,näiteks riputasin pildid netti
272,proov,prooviks,Toppisin ka lakke prooviks
273,presidendikandidaat,presidendikandidaatideks,nõukogu sättis presidendikandidaatideks
275,adressaat,adressaadiks,mis sättis adressaadiks
279,täpsem,täpsemaks,tirisin mingid täpsemaks
280,lahing,lahinguks,sätiks osa valmis lahinguks
281,tühjem,tühjemaks,torm raputas puud lehtedest silmanähtavalt tühjemaks
283,meelehea,meeleheaks,riputasid verd valvajale meeleheaks
284,ehe,ehteks,mida nad meelsasti nurka ehteks sätivad
286,kõrgune,kõrguseks,ajas saadik olen kõrguseks sättinud nii ulatub
287,kolmapäev,kolmapäevaks,tagasisõiduks sätiks end juuliks kolmapäevaks laevale
288,ergas,erksaks,üllatused raputavad teid erksaks
290,retk,retkeks,Habemes sätib kaluripaati retkeks valmis
291,viimane,viimaseks,Valencias sättis Nool end passikontrolli sabas viimaseks
293,kold,kollaks,ükskõik lehel ei kollaks loobib miski värdja akna ette
295,slave,slaveks,olen varem ka slaveks torganud
296,suurus,suuruseks,koguaeg topib kirja suuruseks 10 määratud
297,tulemus,tulemuseks,toppisin juhtmed tulemuseks
298,draiver,draiveriks,Säti draiveriks
299,sõelapõhi,sõelapõhjaks,ta torkab selle lihtsalt sõelapõhjaks
301,nimeline,nimeliseks,tegija nimeliseks ei topi siis ehk mailin sulle õuna
305,haige,haigeks,pärast pausi raputab kihutamine lihased haigeks
306,soeng,soenguks,juuksed on Monica nüüd soenguks sättinud
307,kirjasõber,kirjasõbraks,Hillar pole end esialgu veel kirjasõbraks sättinud
314,must,mustaks,säti sealt mustaks
315,taysta,taystaks,enne v2rvi k2kerdise taystaks topin
316,avapauk,avapauguks,Maavanem meeskonnad sätivad end avapauguks paatidesse
319,kodulehekülg,koduleheküljeks,mis pidevalt iseennast koduleheküljeks sättis
320,täpne,täpseks,sättisin süüte täpseks
322,ööpäev,ööpäevaks,riputavad ööpäevaks puu otsa
323,väetis,väetiseks,paiskab seejärel murule väetiseks
326,pime,pimedaks,nurgad torkavad su pimedaks veel
329,null,nulliks,marginid säti nulliks
331,kõrge,kõrgeks,Number sättis piltidele lati kõrgeks
