,lemma,form,naitelause
2262,majutuskeskus,majutuskeskusse,Edasi liigub ta majutuskeskusse
2265,šampoonitam,šampoonitamas,kes käib purskkaevusid šampoonitamas
2269,inkasso,Inkassost,Julianuse Inkassost lahkunud
2274,infosüsteem,infosüsteemis,infosüsteemis liigub info koos patsiendiga
2314,raamatupidamisstandard,raamatupidamisstandarditele,Praegu käib arvutamine vastavalt raamatupidamisstandarditele
2315,liivasiil,liivasiili,kes endale liivasiili jalga astus
2326,vaenlane,vaenlasele,vaenlasele vastu astusid võitluses
2334,Põhja-Afganistan,Põhja-Afganistanis,Põhja-Afganistanis käivad lahingud protesteerivad
2335,džihaad,džihaadist,Täna astusime džihaadist džihaadi mõeldes
2337,esikülg,esikülgedelt,näopilt on läbi käinud esikülgedelt tootereklaami
2344,võidupäev,võidupäeval,kes lahkus võidupäeval pealinnast
2354,maakonnahaigla,maakonnahaiglasse,maakonnahaiglasse juhi kõrval istunud
2363,käsitlus,käsitluses,krahv astub käsitluses kultuurispasmidega sammu kerkib
2376,riigieelarve,riigieelarvele,väljamaksmine ei käi riigieelarvele kindlasti üle jõu suurenevad
2382,puukool,puukoolis,rootslased on puukoolis käinud küll
2383,tantsuetendus,tantsuetendusel,tantsuetendusel astuvad pühapäeval Ugalas lavale balletiartistid
2397,skulptuuriring,skulptuuriringis,Istusin ajal hoopis palees skulptuuriringis
2398,kopteriparras,kopteripardalt,Käisin korduvalt kopteripardalt vaatamas
2412,abieluvoodi,abieluvoodil,ämm istub abieluvoodil
2416,takistamispüüe,takistamispüüetele,kõndis takistamispüüetele minema
2425,fanatism,fanatismist,inimesed käivad koos fanatismist
2442,Kaagvere,Kaagverest,käis päeva eest Kaagverest toomas
2472,juulis-august,Juulis-augustis,Juulis-augustis käib rästik sageli jahil nuumata
2473,piletimüük,piletimüügis,Hinnanguliselt liigub piletimüügis sularaha üle krooni
2482,töötlemine,töötlemisel,mis käib töötlemisel konventsiooni kohta
2527,magaja,magajatel,magajatel käis laine aja vastu nina
2532,font,fondis,initsiatiivil käib fondis praegu inventuur
2547,narkosõltuvus,narkosõltuvuses,sõnul käis narkosõltuvuses turgutamas tekkisid
2565,internetilehekülg,internetileheküljel,Statistika järgi käib internetileheküljel huvilist
2598,herilasepesa,herilasepessa,me herilasepessa ei astuks
2599,internetikasiino,internetikasiinodest,käe all jookseb hulk internetikasiinodest
2619,tagumik,tagumikku,keegi enesele pindu tagumikku ei istuks
2636,punkar,punkarist,Ma käisin punkarist sõbral EÕM-is külas
2646,tele-eeter,tele-eetris,Mehed paneb on tele-eetris käinud sügisel
2649,seinaorv,seinaorvas,Istume seinaorvas
2660,kiirustama,kiirustas,sõnul lahkus Ivanov kiirustas
2662,retseptsioon,retseptsioonist,ajal avati käis Kunstihoones retseptsioonist
2679,Jefrey,Jefreyst,Lahkun Jefreyst
2685,Lätimaa,Lätimaale,hiljem liikusid hääletades Lätimaale Ipikule külje alla
2686,MTG,MTG-st,aastal lahkus Nuutmann MTG-st
2689,briifing,briifingul,Saulius on turismiministeeriumis briifingul käinud
2690,erilennuk,erilennukile,kes istus õhtul Tallinnas erilennukile lennata
2693,joogatund,joogatundides,Alul käis perekoolis joogatundides loengutes
2695,krematoorium,krematooriumisse,Matusetalituse järel liigub sark suurtükilafetil aupataljoni saatel krematooriumisse
2709,teravaim,teravaimalt,poolel liikusid teravaimalt Williams-Darling
2710,kuldkala,kuldkalale,Käisime veel Anne kuldkalale ütlemas
2720,Lõuna-Iraagi,Lõuna-Iraagist,sõdurid Lõuna-Iraagist lahkuvad
2724,paremus,paremuselt,Aleksander astus College kevadesse paremuselt kettakaarega rekordist
2725,jahi-maa,jahi-maadele,hoopis soovil jahi-maadele ei lahkuks
2729,odavise,odaviskes,Sama käib odaviskes
2733,vehklemistreening,vehklemistreeningul,käib küll vahetevahel saalis vehklemistreeningul
2734,etikett,etiketist,jutt käib etiketist
2736,laienemine,laienemisest,jutt käib laienemisest
2748,võitleja,võitlejatele,tänu võitlejatele lahkusid okupatsiooniväed
2762,kooskõlastusring,kooskõlastusringil,detailplaneering liigub kooskõlastusringil nüüd kiiremini võimalda
2797,võimsus,võimsusel,mõlema puhul käis töö võimsusel
2798,võltskarp,võltskarpides,turul on alati ka võlts-kuubalasi liikunud võltskarpides
2801,nõgi,nõel,Sarnaselt käib otsaga nõel üle molekulide võimaldades
2818,teabevargus,teabevarguses,õhtul astuvad LHV USA-s kohtu ette süüdistatuna teabevarguses teenimises
2825,netifoorum,netifoorumis,hilisõhtul istus paigus netifoorumis inimest otsides
2832,ärikomandeering,ärikomandeeringutes,kes käib pidevalt ärikomandeeringutes
2835,maletaja,maletajast,maletajast istuvad laua taha kaheksa
2845,hooldetiim,hooldetiimist,hooldetiimist lahkunud
2853,tagamine,tagamisele,Tänavatel liigub politsei koos tagamisele sotsiaaltöötajaga
2883,vahipost,vahipostidel,piirkaitsjad käisid vahipostidel juhtub
2887,õhuvägi,õhuväest,Tibbets lahkus õhuväest brigaadikindralina aastal
2894,Bravocom,Bravocomist,Numbriteisaldusega on Bravocomist lahkunud klienti
2918,koolistaadion,koolistaadionil,lastekollektiiv jookseb koolistaadionil
2926,ärikursus,ärikursusel,Käisin sissejuhatuseks ärikursusel
2937,korjanduskast,korjanduskastis,rahad korjanduskastis liikusid
2975,üleujutus,üleujutusel,Raidma on liikmena seni käinud missioonil aastal üleujutusel
2978,asutamine,asutamisest,surve tõttu ametis lahkunud alates asutamisest sõda
2987,Vuelta,Vueltal,kes astus Vueltal sadulast etappi enne lõppu
3003,jah-pool,jah-poolele,Erakonnas euroteemal jah-poolele astunud
3014,teatemeeskond,teatemeeskonnas,Golberg jooksis eile teatemeeskonnas
3016,peatreeneripink,peatreeneripingile,peatreeneripingile on hooaja jooksul istunud Jaak
3030,Spacecomi,Spacecomil,sõnul käivad Spacecomil aastat vaidlused küll tariifide üle
3032,ristik,ristikul,05.03.2003 kella ajal ristikul astus kohas sõiduteele
3037,mõisahoone,mõisahoones,mõisahoones käib elu
3040,ringkäik,ringkäigul,ringkäigul käis kultuuriminister lastekodudes
3041,napsipood,napsipoes,Käisin napsipoes
3056,pronks-skulptuur,pronks-skulptuurile,linnud ei istu pronks-skulptuurile
3106,valuuta,valuutades,60% käib valuutades tehakse
3117,abiorganisatsioon,abiorganisatsioonidele,mõju vastu võitlemine käib ülejõu abiorganisatsioonidele
3123,Maldiivi,Maldiividel,Ma olen korda käinud Maldiividel
3127,linastus,linastustel,samuti on ta sellega käinud linastustel
3128,sotsiaal-amet,sotsiaal-ametisse,nüüd käib ta sealt sotsiaal-ametisse toomas
3135,tragöödia,tragöödiasse,tragöödiasse istusid oivaliselt
3139,kirjanduslava,kirjanduslavale,aafriklased astusid kirjanduslavale suuresti aastatel seoses levikuga
3145,Erki,Erkile,Erkile käis kiirus üle jõu
3154,seltsipidu,seltsipidudel,kes käib seltsipidudel laulmas
3159,peiduurgas,peiduurkas,Emerson istus peiduurkas ampullide otsas
3181,Leigo,Leigol,meelde Leigol üles astuvat
3182,lavastajapult,lavastajapuldis,kes istus tänavu lavastajapuldis
3208,autasustamine,autasustamisel,Maret-Sport viis astusid autasustamisel astmele
3210,müüriosa,müüriosal,müüriosal käib täna lõppviimistlus
3217,riigiviis,riigiviisil,Viimati käis liidritest UKs riigiviisil tsaar
3226,kušett,kušetile,Tüdruk istus kušetile
3227,puulaud,puulaual,nad istusid üksteise vastu litsutuna puulaual
3231,taim,taimele,ju ma siis astusin liikudes taimele
3234,NKVD-mees,NKVD-meestele,Roopalu päeva ajal keset NKVD-meestele sülle jooksis
3235,paisjärv,paisjärves,Käisime Tshempionsoniga paisjärves granaatidega püüdmas
3236,inter,intris,Pärast käisin intris vaatamas
3238,Tretjakovkas,Tretjakovkas,Käisime Pavkaga Tretjakovkas
3239,GUM,GUM-is,Käisime kaubamajades GUM-is
3241,kotletibaar,kotletibaaris,Istub muudkui kotletibaaris metroojaama kõrval
3249,kapinurk,kapinurgal,kodus istus karu kapinurgal
3256,seksiõpetus,seksiõpetuses,seksiõpetuses käivat
3258,nõlvaed,nõlvaias,Nad istusid kõrvuti pingil maja ees nõlvaias
3260,kaitseseisang,kaitseseisangusse,astus jalad kaitseseisangusse
3262,Susanna,Susannale,Raigo muuseas käis seeaeg Susannale pinda võtta
3265,basseiniäär,basseiniäärel,Timo istus basseiniäärel
3266,luksusköök,luksusköögis,Inga istus üksinda luksusköögis
3269,kaljusopka,kaljusopkal,ma istusin koos Veronikaga männi all seal kaljusopkal
3273,mungaklooster,mungakloostris,Egiptuses käisime vaatamas mungakloostris
3275,psühholoogiakonverents,psühholoogiakonverentsil,käisin Sankt psühholoogiakonverentsil tuttavate hulgas furoori võrrelda
3292,ravimipood,ravimipoes,nõnda käib päeva jooksul ravimipoes klienti
3335,parteikool,parteikoolis,Enno-Lembit oli pärast demobiliseerimist käinud parteikoolis
3336,valgemets,Valgemetsas,kes käis suvekodus Valgemetsas
3350,suusatajasamm,suusatajasammul,lahkus suusatajasammul kabinetist
3355,Ingrid,Ingridil,Ingridil kodus väikelinnas külas käisin
3362,Moorasaar,Moorasaares,perenaisega koos käisite Moorasaares röövimas
3363,Köln,Kölnis,Kadri käis Kölnis aastasündmusel
3369,muulikivi,muulikivil,Kalju istuvad muulikivil
3392,Transiti,Transitis,Teinekord istus Transitis tüdruk nö ametlikult
3405,turvavöö,turvavööst,aga jutt käib turvavööst
3407,tuberkuloos,tuberkuloosi,lahter käib tuberkuloosi
3417,saalituba,saalitoas,me jälle saalitoas istusime
3418,Pegasus,Pegasuses,õhtul istusin Pegasuses
3429,kaldarinnatis,kaldarinnatisele,Istume kaldarinnatisele sööma
3431,eluiga,elueas,Pole ma elueas nende juures käinud
3435,sitt,sitas,Istu siis sitas
3442,pruut,pruutidele,Varem käis ta pruutidele helistamas
3469,pornomess,pornomessil,Käinud korduvalt pornomessil
3497,jõekäär,jõekäärus,Istusime sõpradega jõekäärus
3509,televisioonistaap,televisioonistaapi,oodates astusid sportlased televisioonistaapi
3517,äripartner,äripartnerile,Pangast liikus raha kergekäeliselt äripartnerile
3518,vesilood,vesiloodile,Jüri kõndis keset autoteed vesiloodile püüdes
3520,pohma,pohmas,Nimelt kõndis laulja pohmas peaga mööda tänavat
3525,Westbergi-eraalgkool,Westbergi-eraalgkoolis,Ilmar käis Westbergi-eraalgkoolis reaalgümnaasiumis
3526,reaalgümnaasium,reaalgümnaasiumis,Ilmar käis Westbergi-eraalgkoolis reaalgümnaasiumis
3535,tammepuu,tammepuust,tammepuust mehed käinud raamvankriga korda järel
3541,moeäri,moeäris,moeäris liiguvad mastaabis rahad
3571,kalurimajake,kalurimajakesse,Astume kalurimajakesse
3578,hiigelformaat,hiigelformaadis,hiigelformaadis lito vastas jooksis non-stop tantsuvideo
3584,saunatrepp,saunatrepil,Parajasti ta saunatrepil istus
3589,jalgotsi,jalgotsis,Enn-Aksel istus ta jalgotsis
3591,kolt,koldist,aastat ei lahkunud hetkekski koldist
3594,peolaud,peolauas,mõned istusid peolauas
3595,foogt,Foogtile,Estrada astus Foogtile lähemale
3599,vä,vä,paaritusmäng käib vä
3604,puhmas,puhmastes,sa mehega puhmastes käisid
3605,autokumm,autokummile,Istusin autokummile
3606,Wilde,Wilde'is,Istun Wilde'is koos majanaabriga
3618,Teise,Teises,Teises istus maani hobusevaras öövalvur
3638,kaupmeheelamu,kaupmeheelamus,Nüüd ma siis istusin kaupmeheelamus kamina ees
3640,tulepaiste,tulepaistel,nende keskel tulepaistel liiguvad haldjad
3658,dise,disesse,minutid enne keskpäeva astus luurerühm saarelt neljateistkümnekraa disesse vette
3670,Dinamo,Dinamos,Dmitri jooksis koos eestlasega platsile alguses Moskva Dinamos aga detsembrist saati Permi
3687,kodutu,kodututele,varjupaigas käib korda kodututele jagamas liige
3727,ritv,ridval,Pavel istub ridval
3736,diakooniamaja,diakooniamajas,diakooniamajas käib võimlemisrühm
3738,lumesadu,lumesajus,lumesajus ringi liikunud
3739,tutvumisõhtu,tutvumisõhtul,Õhtul käisime matkamajas tutvumisõhtul mängimas
3747,Metz,Metzis,Metzis käinud
3762,HETA,HETAst,tänaseks HETAst lahkunud
3766,Aeron,Aeronil,Istun hetkel Aeronil
3767,rütmika,rütmikalt,liigub rütmikalt
3768,Dixielant,Dixielandis,varem käisime Dixielandis
3777,lindla,lindlas,lindlas käib parasjagu kaalumine
3792,kümnepallisüsteem,kümnepallisüsteemis,Punktiarvestus käis kümnepallisüsteemis
3795,Ikarus-buss,Ikarus-bussi,Ta istus jaamas lõpp-peatuses aktsiaseltsile Ikarus-bussi
3796,telefonivabrik,telefonivabrikus,Nad on telefonivabrikus korda vaatamas käinud
3814,ekstaas,ekstaasi,ekstaasi asemele astub salvimine
3834,jalanõudekapp,jalanõudekapile,istusin luristades kirudes esikus jalanõudekapile
3836,hommikukaste,Hommikukastes,Hommikukastes istusin ta kõrval kerkis
3837,porimülgas,porimülkast,too astus porimülkast rambivalgusse
3843,maainimene,maainimestel,maainimestel käib lehti
3861,puhkebaas,puhkebaasides,puhkebaasides käinud
3880,teabmima,teabmis,istunuks ta seal teabmis ajast
3881,purskkaevupark,purskkaevupargis,ta siis ekspeditsiooni algul purskkaevupargis istus raamat
3885,poroloontugitool,Poroloontugitoolis,Poroloontugitoolis jalg istus Toomas
3895,boheem,Boheemis,ooperit käisin kuulamas poisikesena Boheemis
3896,Meinhard,Meinhardi,Korraks jooksin Meinhardi kägaras kogu poole
3904,toetuskonverents,toetuskonverentsil,spetsialist käis juuni algul Mongoolias toetuskonverentsil
3918,väljavisatu,väljavisatutele,kaameramehed jooksid väljavisatutele tormi
3921,tippmees,tippmeestelegi,Piirsalu astus lõpus tippmeestelegi kandadele
3923,neeger,neegrist,suunal liigub shokolaadinali neegrist sõbra pihta
3933,ringrõdu,ringrõdul,ringrõdul istuvad lamamistoolides kõrvuti kuju
3934,telkmaja,telkmajja,astub telkmajja
3935,töölispartei,Töölisparteisse,kes astus siis Töölisparteisse
3937,maanaisesamm,maanaisesammul,kes maanaisesammul astub nüüd mööda platsi
3949,Coruña,Coruñas,Tihti käis ta Coruñas
3955,poksitšempionaat,poksitšempionaadil,Käisin oktoobris esindajana poksitšempionaadil
3956,jalaväepataljon,jalaväepataljonis,sõnul käib jalaväepataljonis korda
3958,paintball,paintballist,naised käivad sageli paintballist hankimas
3960,orav,oraval,käib oraval söömas
3962,kasarmuhoone,kasarmuhoonest,mõrvar oli laskeharjutustele mineku eel käinud kasarmuhoonest teise
3965,maabumiskoridor,maabumiskoridoris,jooksevad maabumiskoridoris liivaluiteni
3971,muusikakihistus,muusikakihistustesse,tähendus liiguks helikeelest korraks muusikakihistustesse
3991,saepukk,saepukil,Nad istusid saepukil nii
3992,toojuur,toojuures,Jutuajamine käis neil toojuures enamaste malli järgi
3997,sügisrõske,sügisrõskes,ta nüüd siin sügisrõskes keldritoas istus
3999,eeden,Eedenist,Luuletajad on vaikselt lahkunud Eedenist
4000,veesoon,veesoontel,veesoontel käisid kustutamas loomad
4002,õlipõrgu,õlipõrgus,kuis sul õlipõrgus istub
4003,pressiruum,pressiruumi,astus vaiprada pressiruumi
4009,orelikontsert,orelikontserdil,Enne sõjaväge käis Lukk Vanemuises orelikontserdil
4011,näitemänguselts,näitemänguseltsis,Praegu käib näitemänguseltsis sõnul noort
4017,šefluskord,šefluskorras,ta šefluskorras käis ehitamas
4024,jazzifestival,jazzifestivalil,jazzifestivalil astuvad maailmastaaride kõrval üles muusikud
4026,tankiluuk,tankiluukidel,tankiluukidel istuvad
4029,Kahvli,Kahvlist,Hannes lahkus Kahvlist sügisel
4037,reduperiood,reduperioodidel,ta reduperioodidel öömajal käinud
4066,rahvaüritus,rahvaüritustel,rahvaüritustel agaralt käinud
4070,murre,murdes,külalisi jooksis messikeskuses ummisjalu rahva seast läbi murdes huvikeskuse boksi juurde näha
4074,alpimägi,alpimägedes,käis alpimägedes ekskursioonil
4076,mikrogramm,mikrogrammidest,jutt käib mikrogrammidest kg kohta
4089,laenutus,Laenutustes,Laenutustes käivad uisud tihtipeale jalast jalga
4102,kummitus,kummitusest,käivad jutud kummitusest
4108,mõttekus,mõttekusest,USAs käib diskussioon üle dollari mõttekusest
4116,enesetapp,enesetapust,surma kohta on liikunud legende alates enesetapust kuni allatulistamiseni
4117,tolmupilv,tolmupilves,tolmupilves liigub tonte
4134,moesalong,moesalongi,naine astub moesalongi
4138,õunapuu,õunapuudel,Need liiguvad õunapuudel
4168,kolmekümnes,kolmekümnendatel,Ülejäänud astusid kodakondsusse kolmekümnendatel
4169,Lõuna-Rootsi,Lõuna-Rootsis,hommikul lahkub Eckard kodust Lõuna-Rootsis tuua
4200,moemess,moemessil,Veebruaris käisid ülemused Itaalias moemessil
4224,Sussex,Sussexis,Käisin aga jälle Sussexis vaatamas
4237,arvutiturg,arvutiturult,Mitsubishi lahkub arvutiturult
4242,õmbluskursus,õmbluskursustel,Kõigepealt käisin õmbluskursustel
4245,töökaitseamet,töökaitseametis,Vallandatud käisid nädalal töökaitseametis
4248,ametnikkond,ametnikkonnale,kehtestamine ühekorraga käib ametnikkonnale
4282,riigipüha,riigipühal,Käige riigipühal mööda asulat
4288,mudilasmaja,Mudilasmajas,laps käis varem eralasteaias Mudilasmajas
4309,võimetus,võimetusest,Jutt käib võimetusest
4311,korrelatsioon,korrelatsioonis,teada siis liiguvad hinnad korrelatsioonis
4313,koristamistöö,koristamistöödelt,töölised koristamistöödelt lahkusid
4319,vererõhk,Vererõhku,Vererõhku käib siin mõõtmas inimest
4323,ploomike,Ploomikeses,Ploomikeses käib haigeid
4333,Managua,Managuas,Istusime abikaasaga juunil Managuas lennukisse sõita
4339,kirjanduspäev,kirjanduspäevadel,olen käinud kirjanduspäevadel
4361,lisavõimalus,lisavõimalusest,Seega käib jutt ilmselt lisavõimalusest
4381,valgerand,Valgerannas,nooruses istun Valgerannas kivi otsas
4433,Engqui,Engquist,Engquist jookseb lisaks põhidistantsile m
4434,menupaik,menupaigas,aega käivad menupaigas ettevalmistused ümberehituseks
4437,Amuurimaa,Amuurimaal,Carl käis Amuurimaal
4455,listaku,Listakult,kes Listakult Võrru tööle käib
4456,muusikapress,Muusikapressis,Muusikapressis liiguvad jutud
4461,mõõk,Mõõgal,tuusadest astuvad Mõõgal rajale vanameister
