,lemma,form,naitelause
4753,kalapaat,kalapaatidel,Kassid käivad kalapaatidel sadamas vastas
4755,autoomanik,autoomanikest,jutt käib rikkujate puhul siiski autoomanikest
4768,elamispind,elamispindadelt,maksujõuetud lahkuvad elamispindadelt
4814,Mordvamaa,Mordvamaal,Paraku on lahendamine käinud Mordvamaal üle kivide
4821,nahakiht,nahakihtidesse,UV-kiirguse mõjul liigub see nahakihtidesse
4826,videolaenutus,videolaenutuses,videolaenutuses leti taga istunud
4838,rajatähis,rajatähisele,astus kurvis rajatähisele
4845,alagrupimäng,alagrupimängus,The istus koos tütrega pingil alagrupimängus
4849,arengukõver,arengukõveral,Eesti liigub arengukõveral
4850,Charlton,Charltonisse,Juunis lahkus Charltonisse vasakkaitsja
4853,sideasutus,sideasutuses,kes on käinud sideasutuses pensioni järel
4872,Linnavalitsus,Linnavalitsusest,ajaks oli E. Tamm Linnavalitsusest juba lahkunud
4880,filmilinastus,filmilinastustel,liikusid koos filmilinastustel
4888,teleasjandus,teleasjanduses,teleasjanduses käib info-
4907,sõjakolledzh,sõjakolledzhisse,sõjakolledzhisse astus aastal noormeest
4923,agitatsioonikoosolek,agitatsioonikoosolekul,käisin linnukasvatuses agitatsioonikoosolekul
4928,talurahvaerakond,talurahvaerakonnast,talurahvaerakonnast läbi käinud
4934,radioloogiaosakond,radioloogiaosakonnas,radioloogiaosakonnas oli tänavu alguseks uuringutel käinud naist
4936,tantsulugu,tantsuloos,tantsuloos istus täht endast korda mulati süles
4944,päikeseprill,päikeseprillides,Üllatuseks astub ta lavale päikeseprillides
4951,lemmiksigaretipood,lemmiksigaretipoes,viimati käisin lemmiksigaretipoes
4955,baltlane,baltlastele,lääneriik ei tõtta baltlastele pakkuma
4965,eurovõistlus,eurovõistlusel,käib käsi eurovõistlusel
4969,peyote-tseremoonia,peyote-tseremoonial,Käisime korda peyote-tseremoonial
4973,detail,detailides,Nikolajev ei lahkunud eriarvamuse tõttu detailides
5005,saareküla,Saarekülas,tihti te Saarekülas käite
5016,lõpukolmandik,Lõpukolmandikul,Lõpukolmandikul kõndis noateral
5052,IQ,IQst,Jutt käib IQst
5053,voodikate,voodikattele,Ta istus voodikattele
5056,sotsiaalminister,sotsiaalministril,aastatel sotsiaalministril toolil istunud
5064,matshidel-maavõistlus,matshidel-maavõistlustel,Alates aastast olen käinud matshidel-maavõistlustel
5066,kuldvillak,Kuldvillakus,võistkonnast on Kuldvillakus käinud Uno
5067,eurokõnelus,eurokõnelustel,kas Eesti liigub eurokõnelustel kiiresti
5084,Siro,Sirol,Igatahes astus Milan Sirol seisus
5089,solfedžotund,solfedžotundides,nuku-teatrilased solfedžotundides käivad
5096,regionaalliiga,Regionaalliigas,Regionaalliigas käib matil juunior
5102,voorimine,voorimisest,voorimisest hoolimata istus
5106,raadiosaade,raadiosaates,Kõigepealt käis sõna välja linnapea raadiosaates
5111,veelomp,veelombis,järsku istusin veelombis aitasid
5116,söögikord,söögikorrast,Meie aga mitte aja pärast astumegi suplusest söögikorrast heatujulistena laeva
5125,Giro,Girol,Taas istus itaallane sadulasse Girol
5133,maffiasaal,maffiasaalis,maffiasaalis eile istunud
5180,vaatamisaeg,vaatamisajal,see käib eetris vaatamisajal varaõhtuti
5182,Vääna,Väänal,kinnitusel käis mullu Väänal massiliselt püüdjaid antud
5233,Tottenhami,Tottenhamist,aastal klubist Tottenhamist lahkunud
5235,Brodway,Brodwayl,Brodwayl pole ma käinud
5245,tuhkatriinu,tuhkatriinust,aatekaaslased istusid tuhkatriinust tõusmise ajal nördinult fraktsiooni toas
5246,põhimaantee,põhimaanteedel,sõnul käivad politseinikud põhimaanteedel patrullimas korravalvuritega
5255,OBU-galerii,OBU-galeriisse,OBU-galeriisse astub inimene tänavalt
5261,Andre,Andrest,kes Andrest toona haiglas vaatamas käis
5270,sunnitöövangla,sunnitöövanglas,Viimasega istus diktaator algul koos sunnitöövanglas harrastati
5274,Rotermanni,Rotermannis,ma pole Rotermannis veel käinud
5275,kiirendusrada,kiirendusrajal,Kella viie paiku hommikul käis kiirendusrajal mürakas
5276,igamehe-sõudevõistlus,igamehe-sõudevõistlusel,meil oli üks kambast käinud igamehe-sõudevõistlusel
5301,teatesõit,teatesõitudes,teatesõitudes liikusid teistest nobedamalt Kristina
5310,tänavarõivas,tänavarõivastes,kontrollmängul istus Sprewell pingil tänavarõivastes
5326,rajoonivalitsus,rajoonivalitsuses,aastat tagasi käisime koos konsuli rajoonivalitsuses õigust
5346,gümnaasiumiharidus,gümnaasiumiharidusest,Jutt käib niisiis aastal gümnaasiumiharidusest
5362,Sumatra,Sumatral,Davies on käinud tänavu ekspeditsioonil Sumatral otsis
5365,amnestiakampaania,amnestiakampaaniast,Jutt käib amnestiakampaaniast
5371,ratsatreening,ratsatreeningutel,Gümnasist käib Säreveres ratsatreeningutel
5401,rahvarõivakleit,rahvarõivakleidis,Modell astub altari ette punases rahvarõivakleidis saris
5404,hapnikumask,hapnikumaskis,läbi reisijatesalongi jooksid hapnikumaskis mehed
5405,perekoolitus,perekoolitusel,Talvel aga käivad isad-emad tervisekeskuste juures perekoolitusel
5409,kaotusmäng,kaotusmängus,kaotusmängus mees pingil istus
5412,Rahumägi,Rahumäel,kes aprillil Rahumäel tänaval poisiga seksuaalvahekorda astus
5416,eru,erru,aastat tagasi astus Karen modelliametist erru
5417,Talki,Talkist,sõnul on Talkist lahkunud juba juhatusest
5419,Isamaaliit,Isamaaliidust,Kindlasti ei lahku ma Isamaaliidust
5445,kaubaagent,kaubaagendist,Tartus liigub legende kaubaagendist
5448,robotkoduabiline,robotkoduabilistest,Jutt ei käi robotkoduabilistest
5449,hobuveski,Hobuveskist,autogrammikütt lahkus Hobuveskist kell õhtul
5451,palliklubi,Palliklubist,suvel lahkus Dorbeku Palliklubist noortegruppi korvpalliklubisse
5467,30.,30ndates,30ndates Lauri käinud
5478,kokkupõrkepiirkond,kokkupõrkepiirkonnast,lahkus kokkupõrkepiirkonnast helikopteritel
5482,valimissõda,valimissõjas,jookseb valimissõjas
5483,lollitamine,lollitamisest,jutt käib lollitamisest
5487,liikuv,liikuvale,Töötades liiguvad inglased rohkem liikuvale
5494,peatreeneripost,peatreeneripostile,kes astub peatreeneripostile
5506,Puhkus,Puhkusel,Puhkusel pole ma aastat käinud
5515,hoovõtt,hoovõtul,aastal liikusin hoovõtul vanaema
5520,testimiskeskus,testimiskeskuses,Urmo käis alguses Tšehhimaal testimiskeskuses proovimas
5521,testikatse,testikatsel,kord istub rooli testikatsel
5536,tagantotsasõit,tagantotsasõidul,istmel liigub peatugi tagantotsasõidul ette- püüdes
5538,memuaarid,memuaaridest,Käivad jutud memuaaridest
5539,kaalujälgija,Kaalujälgijates,ema käis aeg Kaalujälgijates
5548,bodypump,bodypump'is,Käib bodypump'is
5554,kättemaks,kättemaksust,kättemaksust käib jutt olete
5556,büstilõikus,büstilõikusel,= käis büstilõikusel
5565,inglis-maa,Inglis-maal,Inglis-maal käib suuroperatsioon
5573,Gunnar,Gunnar's,Üles astusid Gunnar's
5586,välitekk,välitekile,Jooksin paljajalu välitekile
5607,koaksiaalkaabel,Koaksiaalkaablis,Koaksiaalkaablis liigub telepilt kaablis valgusimpulsside näol
5614,modellikool,modellikoolis,Olen käinud ka modellikoolis
5624,kevadmüük,kevadmüügilt,Tütarlaps lahkus kevadmüügilt jätnud
5633,kolhoosikord,kolhoosikorras,Harley-mehed käisid kolhoosikorras kusagil garaažis kastmas
5640,sulgpall,sulgpalli-,aastatel käis neiu sulgpalli-
5646,kvalifikatsioonisõit,Kvalifikatsioonisõitudes,Kvalifikatsioonisõitudes liikus suurepäraselt kanadalane
5658,noorsooamet,noorsooametisse,Kell hommikul astusidki Stefan koos pisipojaga noorsooametisse
5659,giidikursus,giidikursustel,Käin giidikursustel
5676,keskmäestikulaager,keskmäestikulaagris,Esmakordselt keskmäestikulaagris käinud
5702,meditsiinisüsteem,meditsiinisüsteemis,meditsiinisüsteemis info ei liigu
5707,mõõtkava,mõõtkavas,Mäng käib mõõtkavas
5711,kasvukeskkond,kasvukeskkonnas,tegevus käis kasvukeskkonnas
5716,avameeter,Avameetritest,Avameetritest käis Lazutina vahel heitlus
5730,maadlusklubi,maadlusklubil,poisid käisid külas maadlusklubil
5746,raudpolt,raudpoltidele,keha liigub tänu raudpoltidele
5759,vana-aastaöö,vana-aastaööl,Nii käiski neiu vana-aastaööl otsimas
5763,skandaal,skandaalile,on loo pärast lõunal käinud aastast saadik skandaalile
5766,rabajooks,rabajooksul,õpilane käis pühapäeval rabajooksul
5792,jmt,jmt,läheb katkestab astub õhtukooli ilma otsuseta jmt
5828,peatool,peatoolil,peatoolil istus ta aastal
5841,matkaking,matkakingades,käid päevast päeva matkakingades
5872,õudukas,õudukas,parajasti jookseb õudukas
5875,ansambliliige,ansambliliikmetel,Lisaks käis ansambliliikmetel nagin
5882,keskpark,Keskparki,Pillimängijad liikusid piki avenüüd Keskparki
5888,kosmoselaev,kosmoselaevalt,inimesena astus juulil Kuule astronaut kosmoselaevalt
5898,remondiruum,remondiruumis,istuvad jõude remondiruumis masinate vahel tundi
5916,magama,magad,kõnni magad
5929,aastavahetusepidu,aastavahetusepeol,ta korraks ansambliga väliseestlastele aastavahetusepeol esinemas käis
5957,Vince,Vince'il,Jen istus Vince'il kaksiratsi süles
5963,pidutseja,pidutsejatelt,kes öösel peaga pidutsejatelt küsimas käis
5969,Hawaii,Hawaiil,Pole küll Hawaiil käinud
5975,aerutamine,aerutamises,spordialal aerutamises astuvad täna võistlustulle linna-
5984,ilmsikstulek,ilmsikstulekul,ilmsikstulekul lahkus ametist põllumajandusminister
5987,tuumakatsetus,tuumakatsetustel,me tuumakatsetustel ei käinud
5989,SS-diviis,SS-diviisi,Johannes astus noormehena korras 17aastaselt SS-diviisi
5997,joonistamine,joonistamisse,astun joonistamisse tule
6005,juunioriklass,juunioriklassist,Loomulikult lahkub Trepp praegu juunioriklassist ujujana
6013,klaaspuur,klaaspuuris,eemal klaaspuuris käib etendus
6017,klassikamaraton,klassikamaratonidel,Seni käis Ollega klassikamaratonidel Koidu
6032,maailmavõistlus,maailmavõistlusel,korda maailmavõistlusel käinud
6034,väljaütlemine,väljaütlemistes,kes väljaütlemistes korda tõsiselt ämbrisse astus
6042,loomejõud,loomejõus,Tegelikult lahkus ta teatrist ju loomejõus
6047,vetsupott,vetsupotist,vetsupotist ei käi jutt
6058,Maidan,Maidanil,Me pole seal Maidanil revolutsiooni ajal kordagi käinud
6068,metsaloom,metsaloomadele,selleks metsaloomadele appi tõttab
6078,raudteeülesõidukoht,raudteeülesõidukohas,raudteeülesõidukohas jooksis rong rööbastelt maha
6093,taluköök,taluköögis,istuvad koos lähedastega taluköögis
6098,sõrmeoperatsioon,sõrmeoperatsioonil,Pack käis sõrmeoperatsioonil
6100,põrgutuli,põrgutulele,tõttasid hoopiski vilistades põrgutulele
6111,ahjutulevalge,ahjutulevalgel,sina istud seal ahjutulevalgel
6119,Koronio,Koronios,Panathinaikose vastu jookseb platsile Koronios
6131,Uuno,Uunos,Uunos jookseb ta laupäeviti juba alates novembrist on
6133,näiteklass,näiteklassis,kes juba käis näiteklassis
6139,rannajalgpall,rannajalgpallis,Siin käivad meistrivõistlused rannajalgpallis
6141,rattasport,rattaspordist,rattaspordist lahkunud
6150,Joker,Jokeritesse,hooaja vahel Maardu Jokeritesse liikunud
6157,Jordani,Jordanist,sõitja lahkub Jordanist
6160,rahamaja,rahamajas,Marss liigub märgi rahamajas
6175,jõesäng,Jõesängis,Jõesängis jooksis jõevesi
6178,pisike,pisikesest,Olen pisikesest peale arstide juures käinud
6208,sööma-joom,sööma-jooma,osavõtjad istusid sööma-jooma heietama
6222,jõukurei,jõukureile,soetamine käiks ilmselt üle jõu jõukureile
6235,komplekteerimine,komplekteerimisel,Paralleelselt mänguks käib BC leeris veel komplekteerimisel
6247,õhuseirekeskus,õhuseirekeskuses,Jänkid käivad õhuseirekeskuses
6257,Šaruna,Šarunas,palluritest käisid tõmbamas Šarunas
6301,kirurgiakeskus,kirurgiakeskuses,leedi käis eile koos abikaasa kirurgiakeskuses
6303,DV,DV-st,valmistatud lahkus Heinz alias DV-st lõpus Friedrichstrasse vaksali kaudu
6316,Orlando,Orlandost,Lahkus ju O aastat tagasi Orlandost Los vaatamata pakkumisele
6318,loomatohter,loomatohtril,loomatohtril käib abiks meest
6344,kunstfotoateljee,kunstfotoateljeedes,kunstfotoateljeedes ei käi enam keegi
6351,nimekam,nimekamatest,Klubist on nimekamatest lahkunud veteran
6367,maim,Maimu,perenaine Maimu õhtul Raplamaal külas laudast lahkus
6377,jõujuurikas,jõujuurikas,olümpial jooksis sugulane jõujuurikas ga
6420,allfilm,Allfilmis,Raivo käis Allfilmis täitmas
6429,välisministeeriumihoone,välisministeeriumihoones,reporter käis välisministeeriumihoones uudistamas
6449,pidudel-vastuvõtt,pidudel-vastuvõttudel,pidudel-vastuvõttudel paarike on kuul käinud
6451,ajabilanss,ajabilansile,teised käivad vastavalt ajabilansile talle toeks
6462,löögirusikas,löögirusikas,Seni liigub löögirusikas kursil
6466,pesupäev,pesupäevadel,lapsed tal pesupäevadel seltsiks käisid
6477,hansa,Hansas,õhtul käisime Olde Hansas
6481,riigipolikliinik,riigipolikliinikuis,nii see ajal riigipolikliinikuis käis
6527,spordiüritus,spordiüritustel,Albert käib spordiüritustel
6531,kehaosa,kehaosast,kehaosast jutt käib
6538,motoringrada,motoringrajal,käib motoringrajal mehhaanikuks
6577,sõnavahetus,sõnavahetusse,Nigol sõnavahetusse astusid
6582,Harkivi,Harkivist,Täna lahkume Harkivist
6590,mustlaslaps,mustlaslapsest,Kesk-Eesti mustlaslapsest käib koolis seitse
6606,Fårö,Fårös,Filmilegend lahkus meie hulgast eile kodus Fårös vanuselt
6616,kultussari,kultussarjast,soulikuulsus lahkub kultussarjast haavus
6624,ooperimaailm,ooperimaailma,inimene astus ooperimaailma korda
6627,RS4,RS4ga,Röövel lahkus kuriteokohalt Rosset ’ i RS4ga
6630,lossiruum,lossiruumis,lossiruumis Keldris käis aga töö
6634,barakkõllekas,barakkõllekates,käinud barakkõllekates
6673,Põldroos,Põldroosil,fänn käis Põldroosil koduukse taga skandaalitsemas
6675,Bremen,Bremenist,novembris lahkus Bremenist pardal USA-sse tõesti ohvitser
6693,geiprideiparaad,geiprideiparaadil,Sellest Sokrates käis Rootsimaal geiprideiparaadil svenssonitele tegemas
6723,naisegrimm,naisegrimmis,Kuskil istuvad nägudega naisegrimmis mehed
6725,A-rühm,A-rühmas,A-rühmas on hooaja keskel kuute istunud
6741,teivasjaam,teivasjaamas,need lahkuvad rongist teivasjaamas
6743,sirin,sirinal,Siis jooksid ihumahlad sirinal tuletõrjuja
6747,torus-tikk,torus-tikust,Vesi jookseb masinasse automaatselt torus-tikust
6770,põrandalseisev,põrandalseisvatest,jutt käib siis põrandalseisvatest
6773,PMPO,PMPO-st,satelliidid Jutt ei käi PMPO-st
6781,suusahoolderuum,suusahoolderuumis,suusahoolderuumis lii-guvad näod saabub
6799,lasteiste,lasteistmel,Istus lasteistmel tagapingil
6806,infolaat,infolaadal,õpilane käis infolaadal aastal
6821,mõnes-mõte,mõnes-mõttes,mõnes-mõttes käib kah
6829,px,px,siis hiir liigub kogemata px vasakule
6830,ajupoolkera,ajupoolkeras,asjade-välja-selgitamis mõtlemine käib seal ajupoolkeras
6834,TIK,TIK'is,sa käid TIK'is
6845,esikolmikukoht,esikolmikukohtadel,esikolmikukohtadel liikunud
6847,maalikunst,maalikunstis,siis maalikunstis see PR-trikiga ei käi
6855,marmorsaal,marmorsaalis,Rufus istus mugavalt marmorsaalis troonil juhtida
6858,Valgus,Valgusest,Valgusest kiiremini ei liigu miski
6903,hiiekoht,hiiekohtades,ysna hiiekohtades käivad rahvas siiamaani
6913,hullar,hullaris,Mees istus päevad hullaris ära
6914,topicus,topicusse,saade siia topicusse imehästi istub
6965,komisariaadima,komisariaadis,käisin täna siis komisariaadis
6986,kõhklus,kõhklustele,Vaatamata kõhklustele võimeline käis koostamine
6991,haiglatöö,haiglatöölt,sõnul lahkuvad õed haiglatöölt suunduda
7031,ülehelikiirus,ülehelikiirusel,autot teadupärast ülehelikiirusel ei liigu
7034,vormelipiloot,vormelipiloodil,vormelipiloodil asi kähku käib
7040,kivihunnik,kivihunnikus,Istusime kivihunnikus tundi
7049,kiltmaa,kiltmaal,Ta kõndis meeleldi tundide viisi kiltmaal
7050,taluturg,Taluturul,aeg tagasi käis omanik Taluturul kaupleb
7069,läänlane,läänlasest,läänlasest käis kutse õppel
7084,meestekas,meestekas,mehed istuvad ajal meestekas
7118,esilaulja,esilauljal,President käib vahepeal esilauljal surumas
7126,Capr,Capril,Capril käinud
7145,msni,msnis,nüüd istuvad kõik rõõmsalt msnis
7146,vigane,vigaselt,sugulase juures Netscapes jooksis foorum vigaselt
7152,sadist,sadistil,sadistil jooksevad numbrid kiiremini
7155,manager,manageris,programmid sul task manageris jooksevad
7159,6V,6V,Athlon64 jookseb 1 6V
7168,Tänavusuvine,Tänavusuvisel,Tänavusuvisel moenädalal käisid gigandid sammu
7172,kaubalennuk,kaubalennukitel,liikus Hollandisse kaubalennukitel
7175,sügistuur,sügistuurist,Jutud käivad sügistuurist Ameerikas Lauryn
7191,varjusurm,varjusurmas,Kanal on areenilt lahkunud varjusurmas
7202,35mm,35mm,Töö käib 35mm
7210,vc,vc's,vc's käis pinda see
7211,deiv,deivi,meil käib see kordamööda deivi
7232,Bangalore,Bangalore'is,kes on ka ise Bangalore'is käinud
7267,5,5-st,Muidugi lahkuvad 5-st ka vaidlejad
7269,lõpusõrmus,lõpusõrmustest,Jutt käib siis lõpusõrmustest
7274,automaatika,automaatikast,jutt käib ikka automaatikast
7276,10,10-nes,ise ka jooksen 10-nes
7278,teisipeäva,teisipeäval,teisipeäval käin
7280,sõreste,sõrestes,Noniii eile sõrestes käisid
7284,meelelahutusmaailm,meelelahutusmaailmas,meelelahutusmaailmas liigub raha seal
7305,kiirabihaigla,kiirabihaiglasse,Arst liikus koos osakonnaga Keskhaiglast kiirabihaiglasse
7308,nurgapalse,nurgapalses,käin nurgapalses
7309,statoili,statoilis,käige statoilis sixbacki järel enam
7329,vanaduspension,vanaduspensionist,jutt käib vanaduspensionist
7331,välipark,välipargis,Ma käisin välipargis
7336,kummipall,kummipallist,jutt käib kummipallist
7357,aianduskauplus,aianduskaupluses,käib aianduskaupluses
7371,otsejoon,otsejoonele,siis astus ta korvi all otsejoonele
7398,rahatrepp,rahatrepil,sünniga liigub pere rahatrepil allapoole
7411,10Mb,10Mb,seda panna siis andmed jooksevad ikka 10Mb
7412,sry,sry,sry megadest siiski jutt käib
7413,firewalli,firewallist,jutt käiks firewallist
7435,maardla,maardlatesse,võetud liigub kaevandamine maardlatesse
7456,muskelauto,muskelautodest,jutt käib muskelautodest
7473,Hedvig,Hedvigil,Üldse käib Hedvigil töö
7478,krrr,krrr,Siis käis juba krrr
7483,varn,Varnas,Käisin suvel Varnas
7501,kutsekates,kutsekatesse,kutsekatesse käivad ikka kodust lähe
7521,misjonijaam,misjonijaamast,andmeil lahkus Rael koos kolleegiga misjonijaamast jaanuaril
7526,palvela,palvelas,Riigisekretär käis pärastlõunal koos saatjatega vallas külas palvelas
7528,asuküla,Asukülas,käis põldudel Asukülas
7556,suusahüppaja,suusahüppajatest,jutt käib suusahüppajatest
7559,keskkonnakomisjon,keskkonnakomisjonis,taanlast käisid keskkonnakomisjonis
7561,siber,siberis,käisin siberis tööl
7567,tripp,tripil,veel käisin klassiga tripil
7570,neonats,neonatsidest,neonatsidest küll mitte töö käib
7578,ksa,ksa-s,Käisin ksa-s
7583,rattamaraton,rattamaratonil,Käisin eile rattamaratonil
7593,peapea,peapeal,käin mcdonaldsi taga peapeal
7633,Mustjala,Mustjalas,Mustjalas käib perekonnavalss
7642,kaugküttesüsteem,kaugküttesüsteemist,kaugküttesüsteemist lahkus maja
7664,välissuhe,välissuhetesse,Nüüd aga astub riik välissuhetesse
7670,karjuja,karjujatest,palju karjujatest ise valimas käis
7680,konkurentsipoliitika,konkurentsipoliitikas,me konkurentsipoliitikas suunas liigume
7693,lade,lademes,busse käis juba enne lademes
7704,õiguskomisjon,õiguskomisjonis,Käisin praegu õiguskomisjonis lootuses
7712,sierra,sierral,Minuteada istuvad nad põiki vahel aga sierral pikimootor
7713,Melasi,Melasis,Käisin täna Melasis
7718,tagadiffr,tagadiffrisse,õli käib tagadiffrisse
7739,plaadiriiul,plaadiriiulil,ehk kunagi istub plaadiriiulil enne
7747,cruisim,cruisimas,vennaga käisime linnapial maz'iga cruisimas
7753,nuppu,nuppul,nii back nuppul klõps käis
7757,hoor,hoora,mäng käib ümber selle hoora
7760,Kurgja,Kurgjal,käin ka Kurgjal
7846,as,as,käisin sööömas ale as
7849,pyg,pyg,ta käib pyg
7852,jooxma,jooxmas,käisin jooxmas
7859,kukkeseene,kukkeseenele,käi honoluluga kukkeseenele
7861,ptslhm,ptslhm,käi ptslhm
7863,mmi,mmis,mmis pidu käib kah
7865,jalkpa,jalkpal,jalkpal käib
7866,pedeleht,pedelehtedel,käid pedelehtedel
7876,võistlustte,võistlusttel,võistlusttel käisin känza
7879,viiene,viiesel,Silent_Trigger jah ma käisin viiesel
7884,ztv,ztv,lugu käib ztv
7888,7esi,7ees,7ees käite
7899,knght,knght,irw knght astu tehtud
7901,okas,okkas,selle pärast okkas vahet käibki
7904,piibe,piibes,ma pole piibes käinud
7907,hüppetornioca,hüppetorniocas,istub hüppetorniocas
7914,ttg,ttg-s,ttg-s käin
7951,närvie,närviele,närviele käib ju
7958,aegviidu,aegviidus,ma käisin aegviidus 1kord
7963,ssee,ssees,sa käisid ikka ssees
7967,terariumi,terariumis,äksion käis terariumis
7984,bättel,bättelil,hvakk ma käisin eile bättelil
7986,sja,sjal,istuvad sjal teleka taga
7990,rannakas,rannakas,ciel käisid eile rannakas vä
7992,makoiha,makoihal,makoihal käin
7997,diskett,disketilt,jookseb disketilt
8002,OnaFest,OnaFestil,käisin OnaFestil
8006,süntesaator,süntesaatorist,jutt käib süntesaatorist
8027,hormooniravi,hormooniravil,hormooniravil käinud
8035,nnnn,nnnn,kas kõik käis kõigi kohta vee nnnn
8052,amigo,amigos,rahvas amigos käib maimu
8054,Vetsitall,Vetsitallist,käib kord Vetsitallist
8056,kook,kooku,pommiauk käib kooku freek
8060,kalevispordihall,kalevispordihallis,raffast on kes käisid see kalevispordihallis
8064,päinaka,päinakas,slow sa käid päinakas
8071,aurama,auras,ma käis täna auras
8080,il,il,keegi RAHZEL il ka käis
8087,lasteaija,lasteaijas,ma käin lasteaijas
